organism_ch1	series_id	geo_accession	CLASSIFICATION	title	SAMPLE_TYPE	CELL	TISSUE	TB	source_name_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	molecule_ch1	platform_id	cell.type.ch1	tissue.ch1	time.ch1	TIME_POINT	CONTRAST	SIGNATURE_NAME	SAMPLE_CONDITION	EXPRMAT_PATH
Homo sapiens	GSE34151	GSM843052	disease without treatment	DCs ID12 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID12	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843053	healthy control without treatment	DCs ID13 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID13	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843054	disease without treatment	DCs ID13 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID13	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843055	healthy control without treatment	DCs ID31 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID31	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843056	disease without treatment	DCs ID31 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID31	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843057	healthy control without treatment	DCs ID32 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID32	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843058	disease without treatment	DCs ID32 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID32	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843059	healthy control without treatment	DCs ID33 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID33	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843060	disease without treatment	DCs ID33 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID33	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843061	healthy control without treatment	DCs ID38 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID38	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843062	disease without treatment	DCs ID38 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID38	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843063	healthy control without treatment	DCs ID39 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID39	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843064	disease without treatment	DCs ID39 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID39	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843065	healthy control without treatment	DCs ID40 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID40	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843066	disease without treatment	DCs ID40 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID40	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843067	healthy control without treatment	DCs ID47 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID47	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843068	disease without treatment	DCs ID47 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID47	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843069	healthy control without treatment	DCs ID49 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID49	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843070	disease without treatment	DCs ID49 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID49	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843071	healthy control without treatment	DCs ID50 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID50	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843072	disease without treatment	DCs ID50 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID50	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843073	healthy control without treatment	DCs ID51 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID51	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843074	disease without treatment	DCs ID51 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID51	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843075	healthy control without treatment	DCs ID52 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID52	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843076	disease without treatment	DCs ID52 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID52	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843077	healthy control without treatment	DCs ID53 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID53	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843078	disease without treatment	DCs ID53 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID53	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843079	healthy control without treatment	DCs ID25 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID25	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843080	disease without treatment	DCs ID25 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID25	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843081	healthy control without treatment	DCs ID26 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID26	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843082	disease without treatment	DCs ID26 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID26	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843083	healthy control without treatment	DCs ID27 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID27	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843084	disease without treatment	DCs ID27 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID27	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843085	healthy control without treatment	DCs ID28 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID28	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843086	disease without treatment	DCs ID28 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID28	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843087	healthy control without treatment	DCs ID29 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID29	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843088	disease without treatment	DCs ID29 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID29	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843089	healthy control without treatment	DCs ID30 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID30	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843090	disease without treatment	DCs ID30 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID30	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843091	healthy control without treatment	DCs ID54 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID54	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843092	disease without treatment	DCs ID54 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID54	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843093	healthy control without treatment	DCs ID55 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID55	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843094	disease without treatment	DCs ID55 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID55	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843095	healthy control without treatment	DCs ID20 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID20	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843096	disease without treatment	DCs ID20 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID20	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843097	healthy control without treatment	DCs ID57 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID57	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843098	disease without treatment	DCs ID57 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID57	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843099	healthy control without treatment	DCs ID59 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID59	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843100	disease without treatment	DCs ID59 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID59	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843101	healthy control without treatment	DCs ID68 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID68	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843102	disease without treatment	DCs ID68 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID68	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843103	healthy control without treatment	DCs ID90 non-infected rep_1	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID90	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843104	disease without treatment	DCs ID90 MTB-infected rep_1	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID90	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843105	healthy control without treatment	DCs ID91 non-infected rep_1	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID91	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843106	disease without treatment	DCs ID91 MTB-infected rep_1	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID91	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843107	healthy control without treatment	DCs ID87 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID87	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843108	disease without treatment	DCs ID87 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID87	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843109	healthy control without treatment	DCs ID88 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID88	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843110	disease without treatment	DCs ID88 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID88	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843111	healthy control without treatment	DCs ID90 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID90	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843112	disease without treatment	DCs ID90 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID90	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843113	healthy control without treatment	DCs ID91 non-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID91	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843114	disease without treatment	DCs ID91 MTB-infected rep_2	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID91	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843115	healthy control without treatment	DCs ID75 non-infected rep_1	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID75	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843116	disease without treatment	DCs ID75 MTB-infected rep_1	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID75	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843117	healthy control without treatment	DCs ID77 non-infected rep_1	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID77	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843118	disease without treatment	DCs ID77 MTB-infected rep_1	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID77	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843119	healthy control without treatment	DCs ID78 non-infected rep_1	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID78	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843120	disease without treatment	DCs ID78 MTB-infected rep_1	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID78	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM843121	healthy control without treatment	DCs ID80 non-infected rep_1	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID80	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
