GeneID	GSE84076_MTB_control_blood_dn.tsv	GSE148171_MTB_control_blood_PBMC_dn.tsv	GSE198557_MTB_control_blood_PBMC_dn.tsv	GSE100897_MTB_control_24h_THP-1_dn.tsv	GSE100897_MTB_control_6h_THP-1_dn.tsv	GSE112482_MTB_control_lung_ILC1_dn.tsv	GSE112482_MTB_control_lung_ILC2_dn.tsv	GSE112482_MTB_control_lung_ILC3neg_dn.tsv	GSE112482_MTB_control_lung_ILC3pos_dn.tsv	GSE112482_MTB_control_lung_NK_dn.tsv	GSE112482_MTB_control_lung_susp_dn.tsv	GSE132283_MTB_control_blood_macrophage_dn.tsv	GSE143627_MTB_control_PBMC_macrophage_dn.tsv	GSE148731_MTB_control_blood_monocytes_dn.tsv	GSE174566_MTB_control_blood_PBMC_dn.tsv	GSE193777_MTB_control_blood_dn.tsv	GSE256184_MTB_control_HEPG2_HepG2_dn.tsv	GSE64179_MTB_control_blood_dendritic_cells_dn.tsv	GSE64182_MTB_control_blood_dendritic_cells_dn.tsv	GSE110564_MTB_control_blood_lymphatic_endothelial_cell_dn.tsv	GSE141656_MTB_control_blood_blood_dn.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE165708_MTB_control_BAL_bronchoalveolar_lavage_dn.tsv	GSE183912_MTB_control_blood_marcophages_dn.tsv	GSE211974_MTB_control_blood_THP-1_dn.tsv	GSE211974_MTB_control_48h_blood_THP-1_dn.tsv	GSE236156_MTB_control_BALF_alveolar_macrophage_dn.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_dn.tsv
10007	-0.121027679541056	0	0	0	0	0	0	0	0	0	0	-0.11927359485271977	-0.39139575392716464	-0.6775181752212058	-0.4324569432126747	0	0	-1.0372653329289865	-0.7597182033883696	-0.26867640643194096	-0.6581492177262971	-0.21291295197755608	-0.8131826024616633	-0.07394662627051893	-0.17278015824440943	0	0	-0.8801778660312911	-0.8801778660312911
1001	0	-0.5478533544035245	-1.858853896012247	-1.5914566454276848	-1.5914566454276848	0	0	0	0	0	0	-0.2139457175633351	-0.01556204028844259	0	0	0	-0.01464400943846088	0	-0.20257896689578417	-0.06016052668946961	-0.0199431287747682	-0.17207609449149347	0	-0.4132131148432028	0	-0.6453644744854137	-0.6453644744854137	0	0
10013	0	-0.409629803724626	-0.11073737197607852	0	0	-0.7669200192104454	-0.7669200192104454	-0.7669200192104454	-0.7669200192104454	-0.7669200192104454	-0.7669200192104454	0	0	0	-0.07405930474514642	-0.06367678273956834	0	0	0	0	-0.16761041982956354	-0.04160363738661431	-0.09121918353100972	0	0	0	0	-0.24137073739229503	-0.24137073739229503
10038	-0.14622849605244648	0	0	-0.5808224886360546	-0.5808224886360546	0	0	0	0	0	0	-0.3336523814907629	-0.5321595225449844	-0.39922617742455024	-0.08421928397642264	-0.2320877628132199	0	-1.0316799892254689	-0.4799198631341173	0	-0.5125242433678632	-0.3481549331693761	0	-0.10785122847779748	0	-0.0803204497570879	-0.0803204497570879	-0.14909472422666112	-0.14909472422666112
10046	-0.8090418667735451	-0.39336772049244473	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.26855295277751606	0	0	0	-0.5625707243372126	0	0	0	0	0	0	0	0	0
10049	-0.02111185083410013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.036095815138253023	0	0	0	0	-0.04000677262799781	0	0	0	0
10051	-0.24508829502034568	0	0	-0.7877953601200001	-0.7877953601200001	-0.26510139352033174	-0.26510139352033174	-0.26510139352033174	-0.26510139352033174	-0.26510139352033174	-0.26510139352033174	-0.2075310079922764	-1.1391947258379702	-0.15045918765076474	0	-0.7418160130016883	0	0	-0.7998223556868198	-0.2348589215665893	-0.14002174983166266	-0.35522229169333064	0	0	-0.5652888477711897	-0.3007057990682092	-0.3007057990682092	-0.0862540829433459	-0.0862540829433459
10057	-0.4708904584030943	0	0	-0.3516637240066901	-0.3516637240066901	0	0	0	0	0	0	-0.7931084460469319	-0.988758715210156	-1.0289184220960008	-0.7836748050665244	-0.12591810451071597	-0.4136077825715128	-1.2700007386223784	-1.422384067128418	-0.31188231900495883	-0.9842339434570678	-0.5204266848249307	-0.37105570312801567	-0.3828638929825201	-0.4880858090706803	-0.19256817589944145	-0.19256817589944145	-1.6761499059762026	-1.6761499059762026
10058	0	-0.3206536711261597	0	0	0	0	0	0	0	0	0	0	0	0	-0.25737104741064093	0	-0.20972031612890177	0	-1.4571560482238413	0	0	0	-0.01551796240336449	0	0	-0.09364641185261484	-0.09364641185261484	-0.4397209505705615	-0.4397209505705615
10059	-0.04853774308852513	0	0	-0.41284336159861657	-0.41284336159861657	-1.0629232851860313	-1.0629232851860313	-1.0629232851860313	-1.0629232851860313	-1.0629232851860313	-1.0629232851860313	0	0	0	0	-0.4248786138931037	0	0	-0.16557559711664704	0	0	0	0	0	-0.04112712739497207	0	0	0	0
