GeneID	GSE84076_MTB_control_blood_up.tsv	GSE148171_MTB_control_blood_PBMC_up.tsv	GSE198557_MTB_control_blood_PBMC_up.tsv	GSE100897_MTB_control_24h_THP-1_up.tsv	GSE100897_MTB_control_6h_THP-1_up.tsv	GSE112482_MTB_control_lung_ILC1_up.tsv	GSE112482_MTB_control_lung_ILC2_up.tsv	GSE112482_MTB_control_lung_ILC3neg_up.tsv	GSE112482_MTB_control_lung_ILC3pos_up.tsv	GSE112482_MTB_control_lung_NK_up.tsv	GSE112482_MTB_control_lung_susp_up.tsv	GSE132283_MTB_control_blood_macrophage_up.tsv	GSE143627_MTB_control_PBMC_macrophage_up.tsv	GSE148731_MTB_control_blood_monocytes_up.tsv	GSE174566_MTB_control_blood_PBMC_up.tsv	GSE193777_MTB_control_blood_up.tsv	GSE256184_MTB_control_HEPG2_HepG2_up.tsv	GSE64179_MTB_control_blood_dendritic_cells_up.tsv	GSE64182_MTB_control_blood_dendritic_cells_up.tsv	GSE110564_MTB_control_blood_lymphatic_endothelial_cell_up.tsv	GSE141656_MTB_control_blood_blood_up.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE165708_MTB_control_BAL_bronchoalveolar_lavage_up.tsv	GSE183912_MTB_control_blood_marcophages_up.tsv	GSE211974_MTB_control_blood_THP-1_up.tsv	GSE211974_MTB_control_48h_blood_THP-1_up.tsv	GSE236156_MTB_control_BALF_alveolar_macrophage_up.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_up.tsv
10007	0	0.34685885327229604	0.824040615087996	1.0982126951333868	1.0982126951333868	0	0	0	0	0	0	0	0	0	0	0.1808103156328451	0.300148696359076	0	0	0	0	0	0	0	0	0.08064381796678928	0.08064381796678928	0	0
1001	1.1876643950867345	0	0	0	0	0	0	0	0	0	0	0	0	0.412982313657471	0.9299822991370056	0.03088828951660008	0	0.11373383050777022	0	0	0	0	0	0	0	0	0	0.5202030449672038	0.5202030449672038
10013	0.06180582776409681	0	0	0.5164518517599276	0.5164518517599276	0	0	0	0	0	0	0.3818877898364253	0.00244976454199442	0.03677105412110253	0	0	0.2707749640765881	0.8297870898946359	0.5637895577367065	0.18873412987255744	0	0	0	0.12541228039428062	0.01354020965410046	0.11249024795413032	0.11249024795413032	0	0
10038	0	0.00169601584153778	0.26892571595725523	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4191846093291894	0	0	0.2040237869300037	0	0	0.23483164717589047	0	0.2028098209919329	0	0	0	0
10046	0	0	0.3560313700655861	0.8750993787307386	0.8750993787307386	0	0	0	0	0	0	1.9657876775969936	2.1737597913403253	1.996281073466191	1.1258014181669216	0	0.23246254796989496	4.368227534059324	2.625107486967293	0	3.748523361282238	0.4549265214688757	1.932314463856658	0.06979352106536843	0.6168952991026642	0.0644547333787881	0.0644547333787881	2.328082489039456	2.328082489039456
10049	0	1.876260932577376	1.7217548268127283	0.9205721489077072	0.9205721489077072	0.1287060848950474	0.1287060848950474	0.1287060848950474	0.1287060848950474	0.1287060848950474	0.1287060848950474	1.3552910765249195	0.5274810114124328	0.8567251024683304	0.42498282887974553	0.2398053597160725	0.06963222979333053	1.622304344429948	1.229635635648478	0	1.3589986573962678	0.43538084854629305	0.24904262552003936	0.12657481615309385	0	0.08463625338911811	0.08463625338911811	0.45112986833214	0.45112986833214
10051	0	0.6001451379586515	0.6499562458155292	0	0	0	0	0	0	0	0	0	0	0	0.4760360700814892	0	0.02008791505853483	0.4071701328911882	0	0	0	0	0.6617858148864951	0.03830915447518525	0	0	0	0	0
10057	0	0.02122989958268504	0.4057482654262293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10058	0.2046884444087179	0	0.20663804331916336	0.13768409516968008	0.13768409516968008	0	0	0	0	0	0	0.6806966523385614	1.2407914677760294	0.13166936436288948	0	0.43624631513819634	0	0.07801819685108272	0	0.10563726844781	0.3692111463666895	0.6303598039363639	0	0.13894809002131991	0.33611845014512	0	0	0	0
10059	0	0.4629319158153291	0.6908912332299351	0	0	0	0	0	0	0	0	0.4745829379056571	0.21779294502752808	0.1996721801257706	0.1413137454430788	0	0.19118375393796264	0.02386887936357688	0	0.11527209557928604	0.4668542136166348	0.1552513365990838	0.0074898361794022	0.09777508874709138	0	0.0752864225766216	0.0752864225766216	0.1934192826478185	0.1934192826478185
10099	0	0	0.24544555128855464	0.135457709835069	0.135457709835069	0	0	0	0	0	0	0.7339943189330858	0.5493198067762962	0.3292410207050238	0.2338295135196035	0	0.12076004867662464	0	0	0	0.01018799840345048	0.1485433158535505	0	0.1070272615341622	0.16093015964410284	0.11036680729854614	0.11036680729854614	0.21629712311600024	0.21629712311600024
10112	0.6039388856160474	1.7614750576980025	2.511345399866113	0	0	0	0	0	0	0	0	0	0	0	2.9877692139588685	0.10212260855428136	0	1.0677137490285795	0	0	0	0	1.0602760026387068	0	0	0	0	0	0
10123	0	0	0	0.3581584470922192	0.3581584470922192	0.08814891212270289	0.08814891212270289	0.08814891212270289	0.08814891212270289	0.08814891212270289	0.08814891212270289	0	0.0786747278410805	0	0	0	0.5111613902428935	0	0	0.2564310662804263	0	0	0.31666155266554	0	0	0	0	0	0
10131	0.14635829998253955	0	0	0	0	0.6251161242954989	0.6251161242954989	0.6251161242954989	0.6251161242954989	0.6251161242954989	0.6251161242954989	0	0	0	0.2415027018919781	0	0	0	0.7348143647440246	0	0	0.05353206229863804	0	0	0.23966815173953435	0	0	0.02402167826748518	0.02402167826748518
10146	0	0	0.26533010123624584	0	0	0.4773687613181273	0.4773687613181273	0.4773687613181273	0.4773687613181273	0.4773687613181273	0.4773687613181273	1.2860203453909742	0.03733290145898942	0.4850974618108991	0.09853767404029326	0	0	0.9894250784316504	0.4435036261063234	0.0704442161202696	0.828328839352979	0.32091247054893257	0.26506646846153104	0	0.5521287139835335	0.08968314714725918	0.08968314714725918	0.18233310438080053	0.18233310438080053
10150	0	0.4275115473130424	0.647769951128624	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18523047400225104	0.05468700106540886	0	0	0	0	0	0	0	0	0	0	0
10153	0	0.789325020540802	0.7359692752452462	0.2988181567036558	0.2988181567036558	0	0	0	0	0	0	0.24749657154508367	0.21859162726619663	0.41094579401532905	0.08383288471800236	0	0.4080131821776273	0	0	0.304954886616614	1.0043030491546845	0.2905121956303208	0.23632978433754503	0.07127794064785613	0.01728237475980451	0.2148014362269713	0.2148014362269713	0.341303245285281	0.341303245285281
