aggregated_GeneScores	GeneID
-0.2693783730161999	10007
-0.27412856422987936	1001
-0.20389778763450425	10013
-0.20962550296867657	10038
-0.0647570199972406	10046
-0.0031849273808422667	10049
-0.2997934733801076	10051
-0.5293950206644117	10057
-0.11312448050908105	10058
-0.266294004757485	10059
-0.12601029696294905	10099
-0.6664593011646778	10112
-0.43133752486794863	10123
-0.2036972821900666	10131
-0.04026139468464475	10146
-0.30876515738104565	10150
-0.1885254072506004	10153
-0.03593173295470575	10165
-0.10065064217050862	1017
-0.26442188216889995	10174
-0.08879152205458522	10180
-0.17962510018314684	1019
-0.07588302195607319	10190
-0.23499577973874192	102
-0.20838158536488385	10206
-0.19668541885867907	1021
-0.052116538666843064	1022
-0.11017708297419515	10221
-0.13845616371889308	10227
-0.13550106907592166	10237
-0.09815545759283051	10245
-0.013059732179770255	1026
-0.17753090943153035	1027
-0.008679433804429648	10270
-0.19129042123358303	10273
-0.2717863350721352	10276
-0.005839889732443604	10285
-0.016175077613123545	1029
-0.020959427033299775	10298
-0.0010228844685729837	10318
-0.10603083432272976	10320
-0.12310079307452133	10329
-0.07842554518151741	10362
-0.2809313256618153	10398
-0.08801734473141289	10434
-0.1970083663312798	10450
-0.19150237511458734	10451
-0.031602530156702405	10489
-0.38102615931125833	10491
-0.19480741981407365	10493
-0.23200610901587496	10494
-0.6434227824457917	1050
-0.08671529162206762	10513
-0.09186577645556956	1052
-0.017225481967289968	10523
-0.0949203046466746	10525
-0.030312815037142324	10557
-0.22015284107377503	10559
-0.07538652224710643	10589
-0.23169207067772155	10606
-0.14853371861155998	10610
-0.020425344459105318	10617
-0.4809827046829117	1062
-0.18633081153791173	10641
-0.10375374387727508	10644
-0.03937507626504116	10652
-0.03649551325442632	10668
-0.042870280678319744	10670
-0.3370584302598512	10681
-0.18993349216964525	10682
-0.29287690333564287	10695
-0.20988218116997268	1070
-0.003727891484330157	10730
-0.11885879245285383	10732
-0.06456181839569987	10765
-0.031701408840930666	10775
-0.09865421303086566	10776
-0.2408983665207898	10782
-0.10473330912187924	10810
-0.03286465353335507	10813
-0.050506976181024434	10818
-0.19168357148161905	10845
-0.04720170032789861	10857
-0.05911969146786337	10892
-0.11592653621287233	10898
-0.15573550020976232	10904
-0.07920024396754183	10915
-0.012369517566070487	10921
-0.022938497501326385	10953
-0.13974870430189323	10954
-0.038861810571929355	10962
-0.12066455903644692	10969
-0.2120103602900467	10972
-0.05392405657225347	10973
-0.34449403891887737	11000
-0.4721913823461408	11004
-0.3435033972746875	11007
-0.004117277564718171	11011
-0.06470276615286336	11014
-0.14859320865537617	11031
-0.457857634953731	11041
-0.01731433129976138	11044
-0.4251176534288344	11065
-0.049294459062189	11072
-0.1464218785289354	11073
-0.3670021890605743	11098
-0.22613398654760686	1111
-0.12816778509549528	11137
-0.032537241810457425	11142
-0.5072028289084635	11151
-0.1558257505408932	11157
-0.3540617734316087	11168
-0.30004872748025324	11188
