names	GSE100897_MTB_control_24h_THP-1_dn.tsv	GSE100897_MTB_control_6h_THP-1_dn.tsv	GSE110564_MTB_control_blood_lymphatic_endothelial_cell_dn.tsv	GSE112482_MTB_control_lung_ILC1_dn.tsv	GSE112482_MTB_control_lung_ILC2_dn.tsv	GSE112482_MTB_control_lung_ILC3neg_dn.tsv	GSE112482_MTB_control_lung_ILC3pos_dn.tsv	GSE112482_MTB_control_lung_NK_dn.tsv	GSE112482_MTB_control_lung_susp_dn.tsv	GSE132283_MTB_control_blood_macrophage_dn.tsv	GSE141656_MTB_control_blood_blood_dn.tsv	GSE143627_MTB_control_PBMC_macrophage_dn.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE148171_MTB_control_blood_PBMC_dn.tsv	GSE148731_MTB_control_blood_monocytes_dn.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE165708_MTB_control_BAL_bronchoalveolar_lavage_dn.tsv	GSE174566_MTB_control_blood_PBMC_dn.tsv	GSE183912_MTB_control_blood_marcophages_dn.tsv	GSE193777_MTB_control_blood_dn.tsv	GSE198557_MTB_control_blood_PBMC_dn.tsv	GSE211974_MTB_control_48h_blood_THP-1_dn.tsv	GSE211974_MTB_control_blood_THP-1_dn.tsv	GSE236156_MTB_control_BALF_alveolar_macrophage_dn.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_dn.tsv	GSE256184_MTB_control_HEPG2_HepG2_dn.tsv	GSE64179_MTB_control_blood_dendritic_cells_dn.tsv	GSE64182_MTB_control_blood_dendritic_cells_dn.tsv	GSE84076_MTB_control_blood_dn.tsv
GSE100897_MTB_control_24h_THP-1_dn.tsv	1	1	0.3601112086625695	0.1703572174639649	0.1703572174639649	0.1703572174639649	0.1703572174639649	0.1703572174639649	0.1703572174639649	0.3155329049412807	0.3603932828678326	0.42877480202865026	0.3629968641410289	0.2756888415283909	0.38171262699564584	0.3352561343090831	0.3946098818832141	0.2619149543378995	0.3119923137391912	0.31354584689937154	0.21721095105211555	0.4526105753242434	0.4526105753242434	0.3587316994257057	0.3587316994257057	0.23383432366305487	0.37126555194547906	0.26864686468646864	0.2549081199937176
GSE100897_MTB_control_6h_THP-1_dn.tsv	1	1	0.3601112086625695	0.1703572174639649	0.1703572174639649	0.1703572174639649	0.1703572174639649	0.1703572174639649	0.1703572174639649	0.3155329049412807	0.3603932828678326	0.42877480202865026	0.3629968641410289	0.2756888415283909	0.38171262699564584	0.3352561343090831	0.3946098818832141	0.2619149543378995	0.3119923137391912	0.31354584689937154	0.21721095105211555	0.4526105753242434	0.4526105753242434	0.3587316994257057	0.3587316994257057	0.23383432366305487	0.37126555194547906	0.26864686468646864	0.2549081199937176
GSE110564_MTB_control_blood_lymphatic_endothelial_cell_dn.tsv	0.3601112086625695	0.3601112086625695	1	0.1504226752859274	0.1504226752859274	0.1504226752859274	0.1504226752859274	0.1504226752859274	0.1504226752859274	0.3641630043947263	0.33306639487478157	0.37094767654592026	0.33442413032652774	0.2998060589848191	0.3503242346554064	0.31784911950141315	0.4031466512702079	0.33852626043515416	0.3096277658551025	0.3373405463167034	0.2630907626208378	0.40816326530612246	0.40816326530612246	0.3535830958504205	0.3535830958504205	0.29259141494435614	0.3544844417327639	0.3157236018707595	0.2984409799554566
GSE112482_MTB_control_lung_ILC1_dn.tsv	0.1703572174639649	0.1703572174639649	0.1504226752859274	1	1	1	1	1	1	0.09420410890262235	0.17106109324758842	0.1440524193548387	0.1628834355828221	0.08187449501750606	0.15282646801051708	0.2119851868477163	0.1487233231707317	0.127443315089914	0.19241443108233117	0.12536728697355534	0.067725361980383	0.14230734807124318	0.14230734807124318	0.14685513708376816	0.14685513708376816	0.07483388704318937	0.1502283105022831	0.11594716780427267	0.14102044948370115
GSE112482_MTB_control_lung_ILC2_dn.tsv	0.1703572174639649	0.1703572174639649	0.1504226752859274	1	1	1	1	1	1	0.09420410890262235	0.17106109324758842	0.1440524193548387	0.1628834355828221	0.08187449501750606	0.15282646801051708	0.2119851868477163	0.1487233231707317	0.127443315089914	0.19241443108233117	0.12536728697355534	0.067725361980383	0.14230734807124318	0.14230734807124318	0.14685513708376816	0.14685513708376816	0.07483388704318937	0.1502283105022831	0.11594716780427267	0.14102044948370115
GSE112482_MTB_control_lung_ILC3neg_dn.tsv	0.1703572174639649	0.1703572174639649	0.1504226752859274	1	1	1	1	1	1	0.09420410890262235	0.17106109324758842	0.1440524193548387	0.1628834355828221	0.08187449501750606	0.15282646801051708	0.2119851868477163	0.1487233231707317	0.127443315089914	0.19241443108233117	0.12536728697355534	0.067725361980383	0.14230734807124318	0.14230734807124318	0.14685513708376816	0.14685513708376816	0.07483388704318937	0.1502283105022831	0.11594716780427267	0.14102044948370115
GSE112482_MTB_control_lung_ILC3pos_dn.tsv	0.1703572174639649	0.1703572174639649	0.1504226752859274	1	1	1	1	1	1	0.09420410890262235	0.17106109324758842	0.1440524193548387	0.1628834355828221	0.08187449501750606	0.15282646801051708	0.2119851868477163	0.1487233231707317	0.127443315089914	0.19241443108233117	0.12536728697355534	0.067725361980383	0.14230734807124318	0.14230734807124318	0.14685513708376816	0.14685513708376816	0.07483388704318937	0.1502283105022831	0.11594716780427267	0.14102044948370115
GSE112482_MTB_control_lung_NK_dn.tsv	0.1703572174639649	0.1703572174639649	0.1504226752859274	1	1	1	1	1	1	0.09420410890262235	0.17106109324758842	0.1440524193548387	0.1628834355828221	0.08187449501750606	0.15282646801051708	0.2119851868477163	0.1487233231707317	0.127443315089914	0.19241443108233117	0.12536728697355534	0.067725361980383	0.14230734807124318	0.14230734807124318	0.14685513708376816	0.14685513708376816	0.07483388704318937	0.1502283105022831	0.11594716780427267	0.14102044948370115
GSE112482_MTB_control_lung_susp_dn.tsv	0.1703572174639649	0.1703572174639649	0.1504226752859274	1	1	1	1	1	1	0.09420410890262235	0.17106109324758842	0.1440524193548387	0.1628834355828221	0.08187449501750606	0.15282646801051708	0.2119851868477163	0.1487233231707317	0.127443315089914	0.19241443108233117	0.12536728697355534	0.067725361980383	0.14230734807124318	0.14230734807124318	0.14685513708376816	0.14685513708376816	0.07483388704318937	0.1502283105022831	0.11594716780427267	0.14102044948370115
GSE132283_MTB_control_blood_macrophage_dn.tsv	0.3155329049412807	0.3155329049412807	0.3641630043947263	0.09420410890262235	0.09420410890262235	0.09420410890262235	0.09420410890262235	0.09420410890262235	0.09420410890262235	1	0.3672307572330968	0.3979289940828402	0.33961701810595335	0.32818395386915356	0.4008014393195944	0.2654307524536532	0.4075722150991779	0.38530098323548134	0.29938556067588323	0.32852409222697776	0.3079042784626541	0.38103386809269163	0.38103386809269163	0.37919586868314276	0.37919586868314276	0.3062683774391874	0.3491427768409219	0.38852719907407407	0.284174987429064
GSE141656_MTB_control_blood_blood_dn.tsv	0.3603932828678326	0.3603932828678326	0.33306639487478157	0.17106109324758842	0.17106109324758842	0.17106109324758842	0.17106109324758842	0.17106109324758842	0.17106109324758842	0.3672307572330968	1	0.4348458670546513	0.42884267631103073	0.26825702193151213	0.535530909837749	0.43747050495516754	0.44331611660684583	0.34538990648427237	0.3548387096774194	0.2783852606351108	0.21737795517347253	0.36712786259541985	0.36712786259541985	0.499682251475261	0.499682251475261	0.21322810448386645	0.42017017017017017	0.326914080773429	0.2404993284348582
GSE143627_MTB_control_PBMC_macrophage_dn.tsv	0.42877480202865026	0.42877480202865026	0.37094767654592026	0.1440524193548387	0.1440524193548387	0.1440524193548387	0.1440524193548387	0.1440524193548387	0.1440524193548387	0.3979289940828402	0.4348458670546513	1	0.4764331210191083	0.3170237631476432	0.5260023818975784	0.34545298263709817	0.5068615220103369	0.3479739945570003	0.38949972512369435	0.36795182607335575	0.2604892398204056	0.449518637373488	0.449518637373488	0.43551940349093377	0.43551940349093377	0.26243348705214614	0.413022351797862	0.34262181510276346	0.30200258397932817
GSE143731_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	0.3629968641410289	0.3629968641410289	0.33442413032652774	0.1628834355828221	0.1628834355828221	0.1628834355828221	0.1628834355828221	0.1628834355828221	0.1628834355828221	0.33961701810595335	0.42884267631103073	0.4764331210191083	1	0.2814534443603331	0.43831138507518447	0.3751754385964912	0.4076475477971737	0.33675226473010406	0.35567654409139593	0.3148175949557124	0.2392279048559921	0.36914001862775536	0.36914001862775536	0.4072660915726609	0.4072660915726609	0.22536276734750016	0.38468854018069426	0.3059668012561687	0.2662118717164589
