from	to	type
APOB	UBC	target-target
CDC25C	CDK1	target-target
CDC25C	CCNB1	target-target
CDC25C	CHEK1	target-target
CDC25C	CDK2	target-target
CDC25C	ORC5	target-target
CDC25C	UBC	target-target
DFFB	UBC	target-target
DNMT3B	UBC	target-target
DNMT3B	HDAC1	target-target
FDFT1	UBB	target-target
FDFT1	UBC	target-target
FOXO3	TP53	target-target
FOXO3	EP300	target-target
FOXO3	SKP2	target-target
FOXO3	SMAD4	target-target
FOXO3	UBC	target-target
FOXO3	CREBBP	target-target
FOXO3	ESR1	target-target
GABPA	UBC	target-target
GABPA	EP300	target-target
HMGCR	UBC	target-target
HNF1A	CREBBP	target-target
HNF1A	EP300	target-target
PLD1	UBC	target-target
PLD2	UBC	target-target
RIPK1	UBC	target-target
SLC2A3	UBC	target-target
SMAD2	TP53	target-target
SMAD2	SMAD4	target-target
SMAD2	HDAC1	target-target
SMAD2	EP300	target-target
SMAD2	ESR1	target-target
SMAD2	UBC	target-target
SMAD2	CREBBP	target-target
SREBF1	EP300	target-target
SREBF1	UBC	target-target
SREBF1	CREBBP	target-target
USP24	UBC	target-target
ZNF423	SMAD4	target-target
dopamine	RBM34	drug-dpgene
dopamine	HMOX1	drug-dpgene
dopamine	SUV39H1	drug-dpgene
dopamine	STUB1	drug-dpgene
quercetin	LAMA3	drug-dpgene
quercetin	ATP6V1D	drug-dpgene
quercetin	MVP	drug-dpgene
quercetin	SIRT3	drug-dpgene
curcumin	CDC45	drug-dpgene
curcumin	ABHD4	drug-dpgene
curcumin	HMOX1	drug-dpgene
curcumin	AKR7A2	drug-dpgene
resveratrol	CDC20	drug-dpgene
resveratrol	CDKN1A	drug-dpgene
resveratrol	TIMELESS	drug-dpgene
resveratrol	TIPARP	drug-dpgene
rosuvastatin	TPM1	drug-dpgene
rosuvastatin	RHOA	drug-dpgene
rosuvastatin	CSRP1	drug-dpgene
rosuvastatin	TSC22D3	drug-dpgene
lovastatin	TSC22D3	drug-dpgene
lovastatin	CDKN1A	drug-dpgene
lovastatin	CDC25A	drug-dpgene
lovastatin	CCDC86	drug-dpgene
tamoxifen	ITGAE	drug-dpgene
tamoxifen	PRSS23	drug-dpgene
tamoxifen	HMGCS1	drug-dpgene
tamoxifen	INSIG1	drug-dpgene
simvastatin	CCDC86	drug-dpgene
simvastatin	HMGCR	drug-dpgene
simvastatin	TSC22D3	drug-dpgene
simvastatin	CDC25A	drug-dpgene
gemfibrozil	ST3GAL5	drug-dpgene
gemfibrozil	GMNN	drug-dpgene
gemfibrozil	MAP7	drug-dpgene
gemfibrozil	CYCS	drug-dpgene
fluvastatin	PCNA	drug-dpgene
fluvastatin	RHOA	drug-dpgene
fluvastatin	TSC22D3	drug-dpgene
fluvastatin	TPM1	drug-dpgene
triclosan	CDC25A	drug-dpgene
triclosan	HMOX1	drug-dpgene
triclosan	DDIT4	drug-dpgene
triclosan	ITGAE	drug-dpgene
dopamine	ADRA2A	drug-target
quercetin	APOB	drug-target
curcumin	CAMK2A	drug-target
quercetin	CD34	drug-target
quercetin	CDC25C	drug-target
resveratrol	CEL	drug-target
rosuvastatin	COQ2	drug-target
curcumin	DFFB	drug-target
curcumin	DNMT3B	drug-target
lovastatin	FDFT1	drug-target
tamoxifen	FMO1	drug-target
rosuvastatin	FOXA3	drug-target
resveratrol	FOXO3	drug-target
