Unnamed: 0	GSM3001089	GSM3001091	GSM3001092	GSM3001093	GSM3001094
ENSG00000004961	1837	956	2308	1194	1229
ENSG00000004975	2581	1417	2879	1668	1966
ENSG00000005007	7316	3889	7947	3760	4368
ENSG00000005020	10766	7993	8586	7335	6744
ENSG00000005022	25157	15591	20385	8401	9950
ENSG00000005059	6001	3247	8352	4104	4515
ENSG00000005073	62	44	82	39	60
ENSG00000005075	2930	1623	2566	1555	1613
ENSG00000005100	2801	1380	3273	1522	1689
ENSG00000005102	1	2	4	3	4
ENSG00000005108	13977	7459	10664	6489	6815
ENSG00000005156	4151	2374	4189	2392	2549
ENSG00000005175	2833	1137	3653	1434	1572
ENSG00000005187	292	46	373	57	45
ENSG00000005189	592	224	508	180	199
ENSG00000005194	7035	3240	7315	3611	3629
ENSG00000005206	1306	1049	1216	965	1153
ENSG00000005238	3117	1611	3020	1567	1800
ENSG00000005243	1379	721	1293	788	802
ENSG00000005249	2280	1557	1811	1181	1251
ENSG00000005302	4407	1905	4575	2204	2360
ENSG00000005339	3587	2742	3722	2486	3182
ENSG00000005379	13	8	15	28	17
ENSG00000005421	18	11	11	4	12
ENSG00000005436	3293	1664	3386	1713	1666
ENSG00000005448	1222	884	766	580	603
ENSG00000005469	599	370	736	450	425
ENSG00000005471	35	8	11	4	3
ENSG00000005483	15318	10491	13996	11575	11826
ENSG00000005486	2070	1432	2073	1547	1659
ENSG00000005513	82	26	51	36	25
ENSG00000005700	6470	2932	6756	3194	3311
ENSG00000005801	3457	1595	3495	1905	1940
ENSG00000005810	67839	25504	92095	42736	44444
ENSG00000005812	10430	5777	8704	5717	5581
ENSG00000005844	196	101	193	151	150
ENSG00000005882	2484	1857	1662	1374	1546
ENSG00000005884	32950	12650	35747	13161	15218
ENSG00000005889	10921	6216	10911	6896	6679
ENSG00000005893	19900	14743	20587	17745	17017
ENSG00000005961	54	145	40	79	82
ENSG00000005981	141	63	200	92	134
ENSG00000006007	4967	3462	5182	3489	3431
ENSG00000006015	2160	1163	2278	1357	1386
ENSG00000006016	143	77	159	158	182
ENSG00000006025	1277	682	1425	814	911
ENSG00000006042	3181	3142	2151	2213	2284
ENSG00000006047	7	12	8	7	11
ENSG00000006062	560	525	676	583	677
ENSG00000006071	170	109	169	122	127
ENSG00000006118	6192	4501	4404	4074	4304
ENSG00000006125	39748	29211	38921	27759	29302
ENSG00000006194	3412	2017	3230	2429	2378
ENSG00000006210	1018	215	4836	2337	2469
ENSG00000006282	5278	3122	4401	2789	3080
