Unnamed: 0	GSM3855590	GSM3855591	GSM3855593	GSM3855594	GSM3855596	GSM3855597	GSM3855599	GSM3855600	GSM3855602	GSM3855603	GSM3855605	GSM3855606
ENSG00000000003	177	131	195	62	138	135	214	31	169	134	138	44
ENSG00000000419	1055	1159	769	694	731	878	880	600	967	1075	844	919
ENSG00000000457	735	549	716	724	643	364	705	595	732	254	652	925
ENSG00000000460	395	173	382	214	290	194	399	186	339	193	371	290
ENSG00000000938	3945	8087	9298	5537	4959	4171	8755	3564	3426	4464	7833	6200
ENSG00000000971	87	73	68	377	112	127	70	364	102	76	43	411
ENSG00000001036	3249	3281	4603	6137	2700	2857	4753	4236	3344	2931	4397	7261
ENSG00000001084	14254	10823	10626	7662	12025	7558	10344	8227	16250	6325	9532	8001
ENSG00000001167	1357	1264	1213	1086	1418	1524	1425	851	1065	1114	971	1057
ENSG00000001460	88	36	91	40	73	38	77	51	57	30	76	63
ENSG00000001461	746	248	517	342	450	513	499	263	624	579	417	335
ENSG00000001497	906	714	883	550	559	610	810	446	795	631	805	595
ENSG00000001561	525	327	502	434	298	337	493	416	453	360	491	476
ENSG00000001626	276	39	61	27	191	76	64	38	233	49	62	25
ENSG00000001629	2024	1270	1838	2877	1512	1440	2043	2448	1858	1281	1833	3592
ENSG00000001630	2635	3117	2603	7219	1617	2636	2373	4641	2542	2929	2166	7821
ENSG00000001631	1807	1529	1698	1099	1670	1404	1769	1067	1664	1272	1543	1470
ENSG00000002016	354	195	505	345	299	135	488	261	317	171	402	419
ENSG00000002330	679	360	491	374	525	565	722	271	524	623	524	380
ENSG00000002549	3453	4077	4248	51966	2776	3145	4464	36176	5596	3403	4555	65781
ENSG00000002586	7685	5886	5503	3931	4839	5894	5880	3423	6621	6937	4980	3859
ENSG00000002587	918	573	913	429	884	1086	1088	382	845	903	820	358
ENSG00000002726	540	207	94	112	240	404	114	143	509	446	130	98
ENSG00000002745	10	8	11	3	9	3	3	7	7	6	4	10
ENSG00000002746	12	7	10	2	10	9	5	5	0	9	10	6
ENSG00000002822	1819	1711	2338	1579	1610	1288	2385	1351	1729	1459	2188	1699
ENSG00000002834	19111	12820	20595	14378	16799	13197	20446	10404	16265	15600	17711	14466
ENSG00000002919	1260	1480	1260	2230	1112	1584	1419	1669	1150	1808	1253	2518
ENSG00000002933	2933	2084	2013	5702	2242	3097	2911	4470	2931	2907	2230	7490
ENSG00000003056	20487	21621	24993	21419	16711	16073	25531	15673	19063	19330	23928	24983
ENSG00000003096	52	26	55	0	22	18	66	2	20	46	74	1
ENSG00000003137	19	11	2	3	11	13	7	3	13	12	2	4
ENSG00000003147	1255	544	875	700	809	782	961	497	1075	925	906	695
ENSG00000003249	65	21	51	8	45	32	50	14	50	35	29	14
ENSG00000003393	1469	818	1578	988	1262	809	1557	786	1246	704	1435	1286
ENSG00000003400	1095	248	802	2693	658	553	896	1741	977	615	804	3053
ENSG00000003402	6666	26915	5200	17225	5460	26761	5238	12773	6826	20518	4960	24800
ENSG00000003436	4130	2896	2033	800	2082	3130	2700	626	3549	3226	2555	824
ENSG00000003509	631	434	639	485	485	373	732	321	605	447	610	634
ENSG00000003756	6021	5954	7472	4693	4536	4625	7370	3920	5317	4752	6616	6029
ENSG00000003987	254	165	114	62	175	211	119	87	188	102	132	114
ENSG00000003989	1777	10853	1210	1092	1090	5098	1492	1149	1644	3471	1219	1640
ENSG00000004059	2676	1927	1908	1176	1910	2271	2271	1161	2076	2291	2051	1229
ENSG00000004139	353	137	273	125	359	211	316	88	376	128	300	124
ENSG00000004142	2649	2512	2826	2441	2251	2040	2976	1869	2597	2317	2532	2805
ENSG00000004399	17394	14436	12495	8005	17384	17515	13845	7704	14650	11980	14171	10972
ENSG00000004455	2036	1917	2413	3336	1854	1530	2624	2460	1969	1545	2398	3801
ENSG00000004468	53	353	33	3074	56	278	51	2555	64	88	37	4682
ENSG00000004478	908	882	1579	850	755	718	1734	613	905	452	1429	1077
ENSG00000004487	2788	1747	2236	1588	1807	1837	2330	1358	2382	1741	2251	2181
ENSG00000004534	1987	1317	2692	1673	1330	1153	2319	1510	1513	1285	2266	2301
ENSG00000004660	831	198	788	237	818	266	773	139	974	250	825	188
ENSG00000004700	2260	2546	2875	3014	1750	1649	2722	2118	2306	2057	2676	3439
ENSG00000004766	1648	868	1945	1753	1117	896	2044	1192	1408	1115	1851	1927
