Unnamed: 0	GSM4455458	GSM4455459	GSM4455460	GSM4455461	GSM4455462	GSM4455463	GSM4455464	GSM4455465	GSM4455466
ENSG00000000003	3	17	4	19	30	48	43	79	22
ENSG00000000419	1058	1298	1203	1195	1718	1151	1338	831	933
ENSG00000000457	843	683	1225	891	628	996	1673	854	704
ENSG00000000460	46	112	115	228	158	207	197	114	164
ENSG00000000938	64588	11490	32790	14152	19763	12174	2492	5984	21144
ENSG00000000971	33	247	75	115	191	272	139	191	129
ENSG00000001036	639	1182	649	1273	1357	715	795	524	1288
ENSG00000001084	256	1222	838	1446	876	1299	1431	515	1212
ENSG00000001167	912	1017	383	1026	2547	1461	1476	523	1085
ENSG00000001460	19	80	66	129	112	159	186	161	114
ENSG00000001461	190	1329	512	2037	897	2475	1918	1598	1673
ENSG00000001497	132	1053	263	1046	683	1436	1302	927	979
ENSG00000001561	2014	1071	1327	1355	751	1158	758	274	679
ENSG00000001617	3	7	7	4	27	5	6	2	2
ENSG00000001629	871	1297	817	1664	1457	1641	1553	782	1518
ENSG00000001630	664	1614	1259	2265	4350	937	1404	454	1147
ENSG00000001631	530	1256	510	1040	1171	1843	1907	1093	1204
ENSG00000002016	60	112	46	206	216	646	456	357	369
ENSG00000002330	333	214	345	340	454	308	382	500	266
ENSG00000002549	1473	4607	14339	4343	5056	1432	7036	1389	11213
ENSG00000002586	774	5954	4329	5685	4765	7133	3042	4204	5749
ENSG00000002587	10	947	5	14	17	42	99	34	31
ENSG00000002726	93	14	15	12	44	6	57	21	7
ENSG00000002745	4	4	2	7	18	17	11	6	10
ENSG00000002746	8	9	13	9	7	17	30	91	15
ENSG00000002822	122	536	232	638	581	1083	1020	898	781
ENSG00000002834	16687	12844	11722	12715	13117	9841	9660	4102	9311
ENSG00000002919	1628	1097	1022	1072	1052	832	1035	667	931
ENSG00000002933	187	1278	96	1447	1147	636	923	124	1332
ENSG00000003056	1603	4257	3536	5213	5024	5271	6197	3164	6433
ENSG00000003147	414	98	120	79	118	95	95	117	128
ENSG00000003249	1	5	1	18	22	57	25	30	22
ENSG00000003393	246	476	235	488	630	690	674	611	671
ENSG00000003400	822	911	5312	1817	1754	1928	928	1265	2446
ENSG00000003402	25337	12580	29321	13873	12235	11977	10746	6259	10567
ENSG00000003436	126	190	413	276	295	305	418	326	287
ENSG00000003509	518	424	244	513	494	566	616	363	305
ENSG00000003756	2603	3919	1484	4389	5586	5059	4923	3214	3547
ENSG00000003987	44	96	69	100	93	140	116	40	96
ENSG00000004059	3710	2666	2206	2272	2974	2527	2318	2412	2464
ENSG00000004139	58	403	215	847	447	923	808	399	758
ENSG00000004142	1354	1314	841	1176	1026	1378	1948	1063	1248
ENSG00000004399	342	3157	626	8660	3486	1967	2712	1218	2919
ENSG00000004455	1779	3271	3580	3007	2436	3475	3616	2000	3341
ENSG00000004468	277	3318	1605	1093	575	1971	1645	1931	1952
ENSG00000004478	1481	460	228	898	3576	1316	1511	1082	1130
ENSG00000004487	353	1660	551	2141	1891	2375	2021	1486	1805
ENSG00000004534	1491	2006	887	2651	2703	7232	5591	3968	4598
ENSG00000004660	626	996	396	628	626	308	250	187	429
ENSG00000004700	708	1762	1186	1943	1305	2118	1839	782	1897
ENSG00000004766	152	458	209	642	603	724	746	453	628
ENSG00000004777	79	256	62	302	243	534	256	214	329
ENSG00000004779	235	461	251	491	307	602	804	818	611
ENSG00000004799	361	565	63	186	143	138	55	108	433
ENSG00000004809	33	75	60	82	25	16	9	4	38
