Unnamed: 0	GSM2695725	GSM2695726	GSM2695727	GSM2695728	GSM2695729	GSM2695730	GSM2695731	GSM2695732	GSM2695733	GSM2695734	GSM2695735	GSM2695736	GSM2695737	GSM2695738
ENSG00000004809	358	255	278	381	216	282	331	461	348	180	453	265	248	453
ENSG00000004848	1	2	4	6	0	4	10	5	17	6	24	10	4	25
ENSG00000004864	113	127	196	156	161	174	199	136	424	229	232	338	296	277
ENSG00000004866	66	46	43	53	54	49	64	71	275	147	174	113	152	111
ENSG00000004897	888	887	1091	1088	780	948	1151	1110	1902	854	1099	1248	932	1265
ENSG00000004939	0	2	3	2	0	6	1	6	3	1	1	1	12	3
ENSG00000004961	151	173	201	236	175	231	248	285	817	439	579	483	481	527
ENSG00000004975	61	77	50	71	61	67	75	70	406	200	248	156	128	184
ENSG00000005007	319	299	391	353	422	380	410	377	2661	1397	1744	1315	1036	1385
ENSG00000005020	440	635	873	970	593	658	1037	938	2094	1575	3147	1307	761	2233
ENSG00000005022	280	206	421	416	170	194	602	402	499	209	813	563	280	952
ENSG00000005059	322	98	311	185	29	103	254	184	128	56	82	95	71	82
ENSG00000005073	36	47	43	63	90	76	86	103	654	374	434	227	312	252
ENSG00000005075	380	276	364	401	210	266	438	487	1234	713	2560	677	623	1634
ENSG00000005100	69	86	110	79	83	67	123	117	320	151	208	179	168	293
ENSG00000005108	372	621	1100	1541	229	480	966	1593	2853	1022	2994	2051	1624	2421
ENSG00000005156	63	77	104	115	45	95	102	111	201	80	184	163	116	197
ENSG00000005175	718	776	969	981	492	837	788	1002	4144	3512	3715	2211	2457	2852
ENSG00000005187	44	51	49	56	37	44	44	26	37	20	22	14	7	9
ENSG00000005189	17	18	29	61	13	15	56	57	56	24	161	61	22	151
ENSG00000005194	205	241	272	294	202	230	369	256	527	319	456	382	286	486
ENSG00000005206	20	68	50	78	21	53	53	63	262	216	336	152	116	285
ENSG00000005238	259	194	251	280	264	173	175	198	823	365	436	279	173	350
ENSG00000005243	89	39	62	88	49	30	99	93	240	145	233	111	63	121
ENSG00000005249	6	14	21	51	10	21	33	47	44	37	117	9	6	29
ENSG00000005302	426	399	424	503	276	504	462	532	1227	828	1308	828	887	1282
ENSG00000005339	194	368	301	255	528	293	225	277	3684	2035	2026	1297	1291	1198
ENSG00000005379	136	139	162	178	29	110	122	140	79	20	117	257	141	327
ENSG00000005436	102	174	201	270	94	144	162	216	329	203	363	230	114	349
ENSG00000005448	26	8	36	14	19	9	62	23	46	15	55	53	14	50
ENSG00000005469	28	54	39	32	25	50	54	40	69	42	70	60	32	93
ENSG00000005471	320	545	551	726	238	505	449	643	446	259	861	392	148	858
ENSG00000005483	819	828	1125	865	1234	1019	755	782	6835	4924	2886	3029	3549	3265
ENSG00000005486	49	45	54	94	44	42	73	80	294	154	174	207	164	195
ENSG00000005700	714	721	740	919	610	790	678	769	1594	890	959	1087	728	1092
ENSG00000005801	174	239	308	348	155	278	255	368	656	546	575	394	465	649
ENSG00000005810	1798	2610	2605	3027	1400	2363	2288	3093	4372	2080	3317	4555	2865	4153
ENSG00000005812	396	355	516	576	379	380	555	462	1690	904	1103	686	567	700
ENSG00000005844	506	1278	1400	1898	311	1059	2046	3250	652	334	5524	685	177	2510
ENSG00000005882	25	27	45	52	5	21	58	44	141	91	202	42	11	128
ENSG00000005884	51	25	63	51	15	34	44	66	502	138	376	246	101	447
ENSG00000005889	335	451	465	502	426	405	429	492	1481	715	572	546	506	510
ENSG00000005893	1050	796	885	828	1017	876	1109	961	3695	2271	2228	2155	1844	1842
ENSG00000005981	12	24	12	8	11	37	8	13	27	5	9	14	22	18
ENSG00000006007	248	195	384	383	217	287	460	307	806	622	745	276	229	406
ENSG00000006015	125	97	148	163	85	114	141	144	351	181	485	258	119	356
ENSG00000006016	24	22	30	11	12	24	31	37	59	31	58	83	76	83
ENSG00000006025	38	27	32	61	12	43	55	57	158	122	176	198	128	284
ENSG00000006062	39	95	79	83	63	78	64	83	235	165	219	150	91	277
ENSG00000006071	51	43	37	27	16	17	24	17	8	8	9	8	5	11
ENSG00000006118	26	47	31	11	33	21	11	12	27	9	13	52	17	12
ENSG00000006125	175	209	309	332	201	219	285	345	751	383	938	797	516	985
ENSG00000006194	245	379	428	522	319	485	441	515	975	583	752	625	620	709
ENSG00000006282	116	80	199	176	83	65	184	165	389	168	606	329	166	582
ENSG00000006283	14	2	6	3	18	18	3	7	8	8	19	6	1	6
ENSG00000006327	487	165	255	159	359	293	209	181	689	293	295	588	390	476
ENSG00000006432	8	5	5	3	11	3	5	1	84	28	17	16	11	7
ENSG00000006451	617	339	322	329	554	439	303	260	8426	3686	2040	4949	5463	1756
ENSG00000006453	7	9	10	14	23	19	7	15	118	51	61	74	36	61
ENSG00000006459	509	255	320	254	572	323	168	189	1763	885	776	517	210	382
ENSG00000006468	5	9	14	26	9	7	14	21	19	12	23	6	3	24
ENSG00000006530	94	145	123	148	99	166	120	108	157	59	113	169	165	138
ENSG00000006534	100	100	131	125	102	65	131	149	457	297	542	196	89	234
