Unnamed: 0	GSM6506628	GSM6506629	GSM6506634	GSM6506635	GSM6506640	GSM6506643
ENSG00000006638	224	293	226	197	495	419
ENSG00000006652	1472	1614	1776	1588	1966	1547
ENSG00000006659	2	2	4	2	4	1
ENSG00000006695	804	938	980	929	1011	1125
ENSG00000006704	546	714	644	490	1022	986
ENSG00000006712	2304	2716	2795	2604	2319	2867
ENSG00000006715	3210	3429	4343	3802	3687	3988
ENSG00000006740	144	167	102	116	262	194
ENSG00000006744	2106	2490	2728	2330	2519	2785
ENSG00000006747	518	538	982	831	744	758
ENSG00000006756	699	735	849	712	716	696
ENSG00000006757	96	102	96	82	112	87
ENSG00000006831	1613	1819	1900	1759	1960	2096
ENSG00000006837	82	69	91	84	97	103
ENSG00000007047	1992	2280	2364	2211	3820	3642
ENSG00000007080	1268	1499	1486	1382	1712	1780
ENSG00000007129	46	51	49	26	20	12
ENSG00000007168	4894	5526	6443	5812	5591	6246
ENSG00000188425	16	22	11	13	28	20
ENSG00000007202	23712	27886	24243	21876	28108	25172
ENSG00000007237	4169	4859	3971	3489	4655	3414
ENSG00000007255	222	231	217	195	368	253
ENSG00000007264	1060	1096	1123	1060	1457	1468
ENSG00000007312	79	69	92	103	56	99
ENSG00000007314	1	2	5	2	4	5
ENSG00000007341	650	778	1024	930	706	837
ENSG00000007350	7	2	3	4	4	5
ENSG00000007372	5	8	7	9	19	8
ENSG00000007376	681	971	993	874	998	1117
ENSG00000007384	951	1007	874	822	2345	1555
ENSG00000007392	926	944	985	865	1422	1099
ENSG00000007402	7	2	8	11	24	17
ENSG00000007516	23	17	38	45	63	55
ENSG00000007520	809	1071	1130	1085	1200	1333
ENSG00000007541	1056	1130	1177	1028	1799	1772
ENSG00000007545	1526	1651	1810	1632	2525	2176
ENSG00000007866	291	355	470	504	670	850
ENSG00000007923	2135	2420	2935	2716	2599	2772
ENSG00000007944	334	416	379	363	427	438
ENSG00000007952	10	19	16	23	21	14
ENSG00000007968	102	127	80	84	36	38
ENSG00000008018	2225	2711	3331	3067	3096	3505
ENSG00000008056	6	6	3	6	6	5
ENSG00000008083	5219	5749	6869	6248	9668	8260
ENSG00000008086	161	183	193	186	326	316
ENSG00000008118	3	6	10	9	3	2
ENSG00000008128	929	1089	1218	1298	1325	1307
ENSG00000008130	3598	4073	7491	6502	4145	5510
ENSG00000008226	16	11	21	15	30	22
ENSG00000008256	418	502	437	357	790	762
ENSG00000008277	573	691	486	465	725	596
ENSG00000008282	1767	2038	2216	1953	2514	2849
ENSG00000008283	131	188	194	209	180	239
ENSG00000008294	9522	10218	12986	11519	17927	15039
ENSG00000008300	578	629	614	609	929	879
ENSG00000008311	5	1	6	10	8	5
ENSG00000008323	13	6	9	14	8	9
ENSG00000008324	460	460	650	574	644	692
ENSG00000008382	268	332	393	358	238	225
ENSG00000008394	3395	4086	5994	5309	4802	6853
ENSG00000008405	179	199	225	219	364	358
ENSG00000008438	6	4	8	10	4	7
ENSG00000008441	261	271	267	200	341	303
ENSG00000008513	2717	3150	4909	4270	4520	4949
ENSG00000271447	102	99	159	154	90	127
ENSG00000008517	678	699	763	693	1102	942
ENSG00000008710	3137	3642	3489	3171	5794	4572
ENSG00000008735	6	8	13	8	27	27
ENSG00000008838	2945	3446	3515	3094	4179	4020
ENSG00000008853	1968	2315	2278	2095	3984	3365
ENSG00000008869	1441	1649	1662	1486	2091	1782
ENSG00000008952	5893	6298	8730	8065	6690	8657
ENSG00000008988	8069	9527	9597	8340	11425	10250
ENSG00000009307	72162	79733	71846	64104	98048	78605
ENSG00000009335	6104	6935	6731	6035	7831	7435
ENSG00000009413	599	640	681	612	969	983
ENSG00000009724	35	45	50	35	61	64
ENSG00000009780	337	330	413	352	505	432
ENSG00000009790	501	496	319	300	494	451
ENSG00000009830	969	1111	1020	930	1471	1354
ENSG00000009844	1522	1634	1930	1673	1712	1996
ENSG00000009950	463	449	239	283	463	283
ENSG00000009954	6590	7129	7445	6953	5801	6475
ENSG00000010017	2637	2877	3790	3536	3250	3981
ENSG00000010030	16	19	299	289	33	116
ENSG00000010072	1262	1471	1627	1490	1473	1688
ENSG00000010165	1074	1333	1430	1261	1436	1471
ENSG00000010219	160	183	203	161	194	240
ENSG00000010244	7043	7708	9882	9192	8298	8549
ENSG00000010256	5429	6596	6626	5778	7680	7433
ENSG00000010270	1951	2233	2696	2431	2658	2819
ENSG00000010278	7143	8296	8935	7801	11928	9253
ENSG00000010282	6	7	8	11	27	7
ENSG00000010292	3050	3636	2242	2030	2375	1898
ENSG00000010295	2705	2837	3327	2918	4404	3920
ENSG00000010310	481	406	749	727	1437	1473
ENSG00000010318	116	117	157	120	137	111
ENSG00000010319	50	56	39	33	36	44
ENSG00000010322	2428	2671	2411	2113	2812	2678
ENSG00000010327	20	27	15	17	13	10
ENSG00000010361	27	19	40	27	45	44
ENSG00000010379	78	66	166	148	80	159
ENSG00000010404	9996	11310	9888	9284	14266	11672
ENSG00000010539	577	699	883	782	703	793
ENSG00000010610	13914	16291	14022	11945	17775	14812
ENSG00000010626	161	151	159	134	173	178
