Unnamed: 0	GSM5005789	GSM5005790	GSM5005791	GSM5005792	GSM5005793	GSM5005794	GSM5005795	GSM5005796
ENSG00000000419	648	597	325	286	515	495	288	222
ENSG00000000457	310	280	125	131	281	303	131	148
ENSG00000000460	351	136	108	49	259	193	95	73
ENSG00000000938	5727	3536	4202	4074	2155	1773	1989	1643
ENSG00000000971	43	56	24	88	40	69	23	65
ENSG00000001036	1459	2518	1395	1259	752	887	600	626
ENSG00000001084	3004	2238	3288	2493	834	382	602	285
ENSG00000001167	309	232	152	118	250	233	114	134
ENSG00000001460	59	48	40	28	53	66	26	23
ENSG00000001461	632	624	415	287	587	881	288	288
ENSG00000001497	435	221	165	144	481	313	183	109
ENSG00000001561	710	667	380	399	534	721	250	437
ENSG00000001626	1	8	1	1	1	1	1	3
ENSG00000001629	953	1144	595	584	850	1160	472	525
ENSG00000001630	2346	879	2598	1451	1259	924	808	691
ENSG00000001631	561	457	226	306	443	434	180	225
ENSG00000002016	105	79	54	46	98	87	52	48
ENSG00000002330	260	187	173	86	165	204	84	75
ENSG00000002549	7253	12844	5749	4271	3573	5707	3941	3032
ENSG00000002586	1343	1357	1153	867	636	910	676	595
ENSG00000002587	12	14	5	6	6	22	4	6
ENSG00000002726	260	48	482	82	79	67	99	206
ENSG00000002745	3	1	2	1	2	8	1	2
ENSG00000002822	502	415	289	211	294	296	141	157
ENSG00000002834	8562	8114	6466	4981	3740	3139	2486	2453
ENSG00000002919	504	431	370	209	355	316	185	158
ENSG00000002933	1920	1441	1230	770	621	676	539	416
ENSG00000003056	6759	7711	5131	4591	3613	3364	2474	2342
ENSG00000003147	111	155	125	104	37	72	47	27
ENSG00000003393	280	320	217	194	227	308	129	149
ENSG00000003400	532	642	195	279	309	415	109	211
ENSG00000003402	4096	4006	2128	2046	5028	9506	3353	5701
ENSG00000003436	378	131	269	277	256	190	118	295
ENSG00000003509	154	207	122	103	173	191	85	58
ENSG00000003756	1303	1239	665	596	1175	1216	526	631
ENSG00000003987	13	14	9	5	10	7	8	4
ENSG00000003989	1	128	8	1	1	44	10	1
ENSG00000004059	850	694	558	383	493	606	301	281
ENSG00000004139	225	220	77	65	206	249	65	70
ENSG00000004142	1137	728	516	430	864	719	417	291
ENSG00000004399	4566	3528	4610	2760	1078	870	1117	812
ENSG00000004455	1985	1616	710	679	1979	1779	913	681
ENSG00000004468	716	780	130	433	1185	1965	447	944
ENSG00000004478	1070	400	359	369	1339	962	510	474
ENSG00000004487	976	727	543	349	932	908	437	418
ENSG00000004534	793	706	406	429	885	813	350	458
ENSG00000004660	112	211	83	118	48	32	26	43
