Unnamed: 0	GSM4273334	GSM4273341	GSM4273348	GSM4273355	GSM4273362	GSM4273369	GSM4273376	GSM4273383
ENSG00000006451	2164	2111	1871	2088	1457	1900	1944	2282
ENSG00000006453	40	70	18	41	43	56	54	82
ENSG00000006459	850	926	789	1080	964	1089	836	1130
ENSG00000006468	4	2	2	3	5	1	2	3
ENSG00000006530	603	612	471	579	437	502	521	555
ENSG00000006534	5184	3103	4299	3106	5271	5640	4082	3958
ENSG00000006555	7	18	7	14	10	11	16	12
ENSG00000006576	1932	1826	1580	1789	1433	1220	1454	1431
ENSG00000006607	754	789	693	826	687	672	733	938
ENSG00000006625	1465	1053	1276	1076	1276	1266	1266	1368
ENSG00000006634	324	381	273	361	200	289	294	348
ENSG00000006638	44	81	30	67	28	32	50	68
ENSG00000006652	612	581	591	721	621	636	564	618
ENSG00000006695	534	658	567	788	449	654	647	831
ENSG00000006704	483	430	389	401	363	371	411	402
ENSG00000006712	982	791	819	956	730	713	673	861
ENSG00000006715	3989	3720	3522	3352	4464	4092	4550	4207
ENSG00000006740	7	7	11	9	12	21	10	22
ENSG00000006744	1756	1493	1488	1545	1564	1520	1704	1704
ENSG00000006747	280	107	169	74	683	500	310	243
ENSG00000006756	1345	1187	997	1039	791	819	699	861
ENSG00000006757	264	210	166	148	192	220	151	185
ENSG00000006831	1197	951	1184	1013	1154	1290	1021	1259
ENSG00000006837	59	55	46	36	49	79	58	58
ENSG00000007038	246	121	374	210	472	584	357	416
ENSG00000007047	372	311	298	391	372	418	342	349
ENSG00000007080	776	638	660	692	696	679	710	704
ENSG00000007129	28	22	56	14	73	89	48	45
ENSG00000007168	3400	3273	3184	3511	3325	3338	3604	3788
ENSG00000007202	15218	12337	15280	13582	16835	14599	14198	14566
ENSG00000007237	4636	2144	4020	2074	8697	5043	5843	3116
ENSG00000007255	347	197	341	220	512	514	387	338
ENSG00000007264	7399	5310	5808	4655	4289	6408	4063	5834
ENSG00000007312	15	8	11	6	15	15	10	7
ENSG00000007341	194	193	265	324	202	221	248	303
ENSG00000007372	77	68	41	35	110	44	65	62
ENSG00000007376	445	417	428	373	286	418	410	336
ENSG00000007384	1027	509	845	527	1148	899	767	642
ENSG00000007392	498	537	555	550	418	490	470	601
ENSG00000007402	4	5	2	3	7	8	4	4
ENSG00000007516	17	8	8	12	14	23	14	26
