names	GSE100897_MTB_control_24h_THP-1_up.tsv	GSE100897_MTB_control_6h_THP-1_up.tsv	GSE110564_MTB_control_blood_lymphatic_endothelial_cell_up.tsv	GSE112482_MTB_control_lung_ILC1_up.tsv	GSE112482_MTB_control_lung_ILC2_up.tsv	GSE112482_MTB_control_lung_ILC3neg_up.tsv	GSE112482_MTB_control_lung_ILC3pos_up.tsv	GSE112482_MTB_control_lung_NK_up.tsv	GSE112482_MTB_control_lung_susp_up.tsv	GSE132283_MTB_control_blood_macrophage_up.tsv	GSE141656_MTB_control_blood_blood_up.tsv	GSE143627_MTB_control_PBMC_macrophage_up.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE148171_MTB_control_blood_PBMC_up.tsv	GSE148731_MTB_control_blood_monocytes_up.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE165708_MTB_control_BAL_bronchoalveolar_lavage_up.tsv	GSE174566_MTB_control_blood_PBMC_up.tsv	GSE183912_MTB_control_blood_marcophages_up.tsv	GSE193777_MTB_control_blood_up.tsv	GSE198557_MTB_control_blood_PBMC_up.tsv	GSE211974_MTB_control_48h_blood_THP-1_up.tsv	GSE211974_MTB_control_blood_THP-1_up.tsv	GSE236156_MTB_control_BALF_alveolar_macrophage_up.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_up.tsv	GSE256184_MTB_control_HEPG2_HepG2_up.tsv	GSE64179_MTB_control_blood_dendritic_cells_up.tsv	GSE64182_MTB_control_blood_dendritic_cells_up.tsv	GSE84076_MTB_control_blood_up.tsv
GSE100897_MTB_control_24h_THP-1_up.tsv	1	1	0.33492858194669417	0.13965661641541038	0.13965661641541038	0.13965661641541038	0.13965661641541038	0.13965661641541038	0.13965661641541038	0.3712159164102197	0.3731863029599536	0.4319278184741826	0.37685410206989023	0.354563312178906	0.3887284501618973	0.33261908686335917	0.3771028864884009	0.2910541478909655	0.28160720471077244	0.2978515625	0.3514614450082184	0.4349752410737555	0.4349752410737555	0.3504905903168731	0.3504905903168731	0.3281310460466916	0.3815251572327044	0.3049425368398787	0.27373236751810903
GSE100897_MTB_control_6h_THP-1_up.tsv	1	1	0.33492858194669417	0.13965661641541038	0.13965661641541038	0.13965661641541038	0.13965661641541038	0.13965661641541038	0.13965661641541038	0.3712159164102197	0.3731863029599536	0.4319278184741826	0.37685410206989023	0.354563312178906	0.3887284501618973	0.33261908686335917	0.3771028864884009	0.2910541478909655	0.28160720471077244	0.2978515625	0.3514614450082184	0.4349752410737555	0.4349752410737555	0.3504905903168731	0.3504905903168731	0.3281310460466916	0.3815251572327044	0.3049425368398787	0.27373236751810903
GSE110564_MTB_control_blood_lymphatic_endothelial_cell_up.tsv	0.33492858194669417	0.33492858194669417	1	0.09927555674805473	0.09927555674805473	0.09927555674805473	0.09927555674805473	0.09927555674805473	0.09927555674805473	0.36472227752339237	0.29791230224662285	0.3188592177925713	0.2938914683691236	0.28919117156764684	0.30517567057045714	0.27827478362062696	0.32432643498633346	0.3018477661334804	0.23523134385242778	0.2558257345491388	0.2964073766830451	0.34355322338830585	0.34355322338830585	0.30894835275499927	0.30894835275499927	0.32980716919543007	0.32167978271467373	0.30679879249245307	0.2586877953850431
GSE112482_MTB_control_lung_ILC1_up.tsv	0.13965661641541038	0.13965661641541038	0.09927555674805473	1	1	1	1	1	1	0.13924050632911392	0.16822837219437786	0.16405803724437334	0.15384615384615385	0.14870771569745345	0.18238622966281537	0.15264449899575988	0.15315208358067198	0.1540063466878223	0.1663629263212705	0.13713578580267746	0.1496042216358839	0.13294429708222813	0.13294429708222813	0.1632501327668614	0.1632501327668614	0.12617357453629494	0.13100057836899942	0.14642533936651583	0.1334237429584811
GSE112482_MTB_control_lung_ILC2_up.tsv	0.13965661641541038	0.13965661641541038	0.09927555674805473	1	1	1	1	1	1	0.13924050632911392	0.16822837219437786	0.16405803724437334	0.15384615384615385	0.14870771569745345	0.18238622966281537	0.15264449899575988	0.15315208358067198	0.1540063466878223	0.1663629263212705	0.13713578580267746	0.1496042216358839	0.13294429708222813	0.13294429708222813	0.1632501327668614	0.1632501327668614	0.12617357453629494	0.13100057836899942	0.14642533936651583	0.1334237429584811
GSE112482_MTB_control_lung_ILC3neg_up.tsv	0.13965661641541038	0.13965661641541038	0.09927555674805473	1	1	1	1	1	1	0.13924050632911392	0.16822837219437786	0.16405803724437334	0.15384615384615385	0.14870771569745345	0.18238622966281537	0.15264449899575988	0.15315208358067198	0.1540063466878223	0.1663629263212705	0.13713578580267746	0.1496042216358839	0.13294429708222813	0.13294429708222813	0.1632501327668614	0.1632501327668614	0.12617357453629494	0.13100057836899942	0.14642533936651583	0.1334237429584811
GSE112482_MTB_control_lung_ILC3pos_up.tsv	0.13965661641541038	0.13965661641541038	0.09927555674805473	1	1	1	1	1	1	0.13924050632911392	0.16822837219437786	0.16405803724437334	0.15384615384615385	0.14870771569745345	0.18238622966281537	0.15264449899575988	0.15315208358067198	0.1540063466878223	0.1663629263212705	0.13713578580267746	0.1496042216358839	0.13294429708222813	0.13294429708222813	0.1632501327668614	0.1632501327668614	0.12617357453629494	0.13100057836899942	0.14642533936651583	0.1334237429584811
GSE112482_MTB_control_lung_NK_up.tsv	0.13965661641541038	0.13965661641541038	0.09927555674805473	1	1	1	1	1	1	0.13924050632911392	0.16822837219437786	0.16405803724437334	0.15384615384615385	0.14870771569745345	0.18238622966281537	0.15264449899575988	0.15315208358067198	0.1540063466878223	0.1663629263212705	0.13713578580267746	0.1496042216358839	0.13294429708222813	0.13294429708222813	0.1632501327668614	0.1632501327668614	0.12617357453629494	0.13100057836899942	0.14642533936651583	0.1334237429584811
GSE112482_MTB_control_lung_susp_up.tsv	0.13965661641541038	0.13965661641541038	0.09927555674805473	1	1	1	1	1	1	0.13924050632911392	0.16822837219437786	0.16405803724437334	0.15384615384615385	0.14870771569745345	0.18238622966281537	0.15264449899575988	0.15315208358067198	0.1540063466878223	0.1663629263212705	0.13713578580267746	0.1496042216358839	0.13294429708222813	0.13294429708222813	0.1632501327668614	0.1632501327668614	0.12617357453629494	0.13100057836899942	0.14642533936651583	0.1334237429584811
GSE132283_MTB_control_blood_macrophage_up.tsv	0.3712159164102197	0.3712159164102197	0.36472227752339237	0.13924050632911392	0.13924050632911392	0.13924050632911392	0.13924050632911392	0.13924050632911392	0.13924050632911392	1	0.4188825814161936	0.43246178912250755	0.368841158116247	0.38835481011795187	0.45089179548156955	0.315886263969444	0.41373889805863395	0.40674014412886816	0.33111917818799724	0.32273152478952294	0.4085389996040649	0.3862921512691098	0.3862921512691098	0.4176375165904734	0.4176375165904734	0.380823889188703	0.3857182435240338	0.4435789618804715	0.3258746103221337
GSE141656_MTB_control_blood_blood_up.tsv	0.3731863029599536	0.3731863029599536	0.29791230224662285	0.16822837219437786	0.16822837219437786	0.16822837219437786	0.16822837219437786	0.16822837219437786	0.16822837219437786	0.4188825814161936	1	0.41248219373219375	0.42135616917161833	0.3537300922045264	0.5010035362706681	0.4204827831025914	0.3979832848837209	0.3782041076261742	0.2921338394985433	0.2549892661206965	0.3751191960683635	0.3471169686985173	0.3471169686985173	0.4513397922667365	0.4513397922667365	0.30609896432681244	0.41318288822144655	0.36599895748008043	0.2574882165120876
GSE143627_MTB_control_PBMC_macrophage_up.tsv	0.4319278184741826	0.4319278184741826	0.3188592177925713	0.16405803724437334	0.16405803724437334	0.16405803724437334	0.16405803724437334	0.16405803724437334	0.16405803724437334	0.43246178912250755	0.41248219373219375	1	0.4625825044157293	0.3842075668728412	0.5185667100390351	0.32033449953067666	0.46929087132825636	0.3632301567958404	0.35488519550389086	0.33663453111305874	0.39016943978018626	0.42134579103404907	0.42134579103404907	0.39459318949831035	0.39459318949831035	0.3363556988380684	0.38839983545865897	0.36273909716908953	0.30284040042321153
GSE143731_MTB_control_blood_monocyte_derived_macrophages_up.tsv	0.37685410206989023	0.37685410206989023	0.2938914683691236	0.15384615384615385	0.15384615384615385	0.15384615384615385	0.15384615384615385	0.15384615384615385	0.15384615384615385	0.368841158116247	0.42135616917161833	0.4625825044157293	1	0.35263884627186254	0.44488773427352013	0.3649183147033534	0.37203237410071943	0.3556099100520751	0.33137506884523593	0.2874886896438266	0.37319268220714075	0.3462240663900415	0.3462240663900415	0.3814588392931915	0.3814588392931915	0.30550553125803964	0.37206162642947904	0.33313813044433055	0.27905526541429576
GSE148171_MTB_control_blood_PBMC_up.tsv	0.354563312178906	0.354563312178906	0.28919117156764684	0.14870771569745345	0.14870771569745345	0.14870771569745345	0.14870771569745345	0.14870771569745345	0.14870771569745345	0.38835481011795187	0.3537300922045264	0.3842075668728412	0.35263884627186254	1	0.390228013029316	0.2984304932735426	0.36627527723418135	0.3742367394982712	0.28672509447615985	0.47029575653664807	0.7312790497503874	0.35502370393026456	0.35502370393026456	0.3368249015674913	0.3368249015674913	0.3764208133367012	0.35468975468975467	0.3396995854006661	0.3676493050252024
GSE148731_MTB_control_blood_monocytes_up.tsv	0.3887284501618973	0.3887284501618973	0.30517567057045714	0.18238622966281537	0.18238622966281537	0.18238622966281537	0.18238622966281537	0.18238622966281537	0.18238622966281537	0.45089179548156955	0.5010035362706681	0.5185667100390351	0.44488773427352013	0.390228013029316	1	0.35513274336283185	0.4826472962066182	0.4054968287526427	0.3766785150078989	0.32365581966494167	0.3925183185499421	0.3851937024588714	0.3851937024588714	0.4765567086730912	0.4765567086730912	0.3203773080010704	0.39789262418464627	0.3901709065133496	0.3061897304871013
GSE164287_MTB_control_blood_monocyte_derived_macrophages_up.tsv	0.33261908686335917	0.33261908686335917	0.27827478362062696	0.15264449899575988	0.15264449899575988	0.15264449899575988	0.15264449899575988	0.15264449899575988	0.15264449899575988	0.315886263969444	0.4204827831025914	0.32033449953067666	0.3649183147033534	0.2984304932735426	0.35513274336283185	1	0.3195776506819182	0.3796167957602935	0.2882336981097947	0.2290003193867774	0.33782798833819244	0.29131947253458457	0.29131947253458457	0.3263622253083898	0.3263622253083898	0.2885344993891068	0.39346544382574516	0.3210685112959011	0.24318706697459586
GSE165708_MTB_control_BAL_bronchoalveolar_lavage_up.tsv	0.3771028864884009	0.3771028864884009	0.32432643498633346	0.15315208358067198	0.15315208358067198	0.15315208358067198	0.15315208358067198	0.15315208358067198	0.15315208358067198	0.41373889805863395	0.3979832848837209	0.46929087132825636	0.37203237410071943	0.36627527723418135	0.4826472962066182	0.3195776506819182	1	0.3735467565290649	0.319295188304773	0.31661022990554266	0.3796375515283503	0.3845529188847785	0.3845529188847785	0.3806240608149916	0.3806240608149916	0.31249577617084545	0.3707790036776998	0.34057690820508857	0.2972521506723461
GSE174566_MTB_control_blood_PBMC_up.tsv	0.2910541478909655	0.2910541478909655	0.3018477661334804	0.1540063466878223	0.1540063466878223	0.1540063466878223	0.1540063466878223	0.1540063466878223	0.1540063466878223	0.40674014412886816	0.3782041076261742	0.3632301567958404	0.3556099100520751	0.3742367394982712	0.4054968287526427	0.3796167957602935	0.3735467565290649	1	0.3489764052741152	0.32763555414215295	0.42509241139378123	0.3263440860215054	0.3263440860215054	0.3619284217063893	0.3619284217063893	0.34736775659638935	0.3548243992606285	0.43424188263330354	0.3414278029662645
GSE183912_MTB_control_blood_marcophages_up.tsv	0.28160720471077244	0.28160720471077244	0.23523134385242778	0.1663629263212705	0.1663629263212705	0.1663629263212705	0.1663629263212705	0.1663629263212705	0.1663629263212705	0.33111917818799724	0.2921338394985433	0.35488519550389086	0.33137506884523593	0.28672509447615985	0.3766785150078989	0.2882336981097947	0.319295188304773	0.3489764052741152	1	0.32357938455729657	0.3314258838284863	0.2945351312987935	0.2945351312987935	0.2640081625712099	0.2640081625712099	0.26305818673883624	0.23117475804547957	0.3578447428758598	0.3666543369705937
GSE193777_MTB_control_blood_up.tsv	0.2978515625	0.2978515625	0.2558257345491388	0.13713578580267746	0.13713578580267746	0.13713578580267746	0.13713578580267746	0.13713578580267746	0.13713578580267746	0.32273152478952294	0.2549892661206965	0.33663453111305874	0.2874886896438266	0.47029575653664807	0.32365581966494167	0.2290003193867774	0.31661022990554266	0.32763555414215295	0.32357938455729657	1	0.44175876600143116	0.30438385679953595	0.30438385679953595	0.26323262601561886	0.26323262601561886	0.30480015802989396	0.2655414060733931	0.32808988764044944	0.43202661391836
