names	GSE132283_MTB_control_2h_blood_macrophage_up.tsv	GSE132283_MTB_control_48h_blood_macrophage_up.tsv	GSE141656_MTB_control_blood_blood_up.tsv	GSE143627_MTB_control_blood_PBMC_macrophage_up.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE148171_MTB_control_blood_PBMC_up.tsv	GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF1_up.tsv	GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF2_up.tsv	GSE148731_MTB_4h_blood_CD14plus_monocyte_derived_macrophages_MF1_up.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE165708_MTB_control_BAL_bronchoalveolar_lavage_up.tsv	GSE174566_MTB_control_blood_PBMC_up.tsv	GSE183912_MTB_control_blood_marcophages_up.tsv	GSE193777_MTB_control_blood_up.tsv	GSE198557_MTB_control_blood_PBMC_up.tsv	GSE211974_MTB_control_blood_THP-1_up.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_up.tsv	GSE256184_MTB_4control_48h_HEPG2_HepG2_up.tsv	GSE256184_MTB_control_0h_HEPG2_HepG2_up.tsv	GSE64179_MTB_control_blood_dendritic_cells_up.tsv	GSE64182_MTB_control_blood_dendritic_cells_up.tsv	GSE84076_MTB_control_blood_up.tsv
GSE132283_MTB_control_2h_blood_macrophage_up.tsv	1	0.4259198152120112	0.5028294260307195	0.4008660171538013	0.36419802615742597	0.35751665080875356	0.35194709772226307	0.40578239918843523	0.39446981227803146	0.3322495274102079	0.37406189392022937	0.3896560381621893	0.3604014598540146	0.3195309937684487	0.35612285600319105	0.3503789389708815	0.4472270363951473	0.347877638131373	0.3157855380243775	0.3783911299834867	0.446155133461635	0.33465221175912
GSE132283_MTB_control_48h_blood_macrophage_up.tsv	0.4259198152120112	1	0.396271186440678	0.48047538200339557	0.39744659546061417	0.38211915102843563	0.4462480042575838	0.426803764377832	0.34615703507171874	0.35023328149300154	0.4527669595145367	0.38231315522489007	0.37295918367346936	0.3443680502504032	0.3854046003640576	0.4127616303703076	0.37969798657718123	0.391055900621118	0.31222096102913355	0.40576171875	0.39288343558282207	0.33314606741573033
GSE141656_MTB_control_blood_blood_up.tsv	0.5028294260307195	0.396271186440678	1	0.4246063517480651	0.41054006968641116	0.3515618526804209	0.3894671841919548	0.44224633056796425	0.4243415077202543	0.3951365258527679	0.4115395132622368	0.3931910389839478	0.3522983521248916	0.2947056332062685	0.3490542454795434	0.3609727265051085	0.5017955017955018	0.32325865580448065	0.309132028386493	0.42528343704714006	0.4182162534435262	0.29606909355073047
GSE143627_MTB_control_blood_PBMC_macrophage_up.tsv	0.4008660171538013	0.48047538200339557	0.4246063517480651	1	0.4617179786374652	0.3749057078199648	0.5133250549240616	0.4891904539073467	0.3884341167150779	0.36152730787820203	0.46837590724856254	0.36859333275906625	0.376151618847065	0.3488902535310115	0.36662749706227965	0.4370567375886525	0.4286735788344655	0.37755102040816324	0.3154859325072091	0.4353282677367028	0.3979746835443038	0.31753283837806967
GSE143731_MTB_control_blood_monocyte_derived_macrophages_up.tsv	0.36419802615742597	0.39744659546061417	0.41054006968641116	0.4617179786374652	1	0.3393910023422987	0.4593314509518171	0.4246126604692342	0.3864940031288024	0.3932300163132137	0.3756766195215645	0.35838687859316876	0.358249850158404	0.29538640906062624	0.3398176786586358	0.35850464190981435	0.41038394415357765	0.32663881748071977	0.30592558566835093	0.41250311746612356	0.3632663030204347	0.2911592598450103
GSE148171_MTB_control_blood_PBMC_up.tsv	0.35751665080875356	0.38211915102843563	0.3515618526804209	0.3749057078199648	0.3393910023422987	1	0.3439633638634471	0.3930904090752836	0.2996927058062429	0.29576615940937173	0.36052789442111577	0.3454696591853699	0.2756006065927049	0.46144522144522143	0.707166392092257	0.3568962682886734	0.3515398024404416	0.3762204203210326	0.32753690393384344	0.36595880568417694	0.3304930966469428	0.33314420037286213
GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF1_up.tsv	0.35194709772226307	0.4462480042575838	0.3894671841919548	0.5133250549240616	0.4593314509518171	0.3439633638634471	1	0.4443008767881864	0.37900071123755336	0.3689016865487454	0.4527603870233352	0.34861039185223547	0.3656571023733617	0.30859814702571653	0.3464739009834412	0.3880233266602838	0.39296473506999824	0.33821815154038304	0.3025005879125186	0.4245502281139709	0.34936268829663963	0.2797873197454282
GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF2_up.tsv	0.40578239918843523	0.426803764377832	0.44224633056796425	0.4891904539073467	0.4246126604692342	0.3930904090752836	0.4443008767881864	1	0.3998203054806828	0.3609187912356439	0.44572878488863826	0.4169375225713254	0.3721321640535034	0.3575963516051149	0.38869227449287874	0.3860666378191259	0.4573142593447162	0.3682292108163092	0.3203291920550764	0.41912894961571306	0.42056399132321043	0.3214344873281431
GSE148731_MTB_4h_blood_CD14plus_monocyte_derived_macrophages_MF1_up.tsv	0.39446981227803146	0.34615703507171874	0.4243415077202543	0.3884341167150779	0.3864940031288024	0.2996927058062429	0.37900071123755336	0.3998203054806828	1	0.3641228286819791	0.3499203116699132	0.3366557827805465	0.37908731584620914	0.2915521978021978	0.2992831541218638	0.3361945636623748	0.3979992854590925	0.30668735200457253	0.3099271690943635	0.35883905013192613	0.37926932880203906	0.30837951857060136
GSE164287_MTB_control_blood_monocyte_derived_macrophages_up.tsv	0.3322495274102079	0.35023328149300154	0.3951365258527679	0.36152730787820203	0.3932300163132137	0.29576615940937173	0.3689016865487454	0.3609187912356439	0.3641228286819791	1	0.35210569777043765	0.3981396128383474	0.34049129656743127	0.2550054322520565	0.30615678776290634	0.33275862068965517	0.3751843960006556	0.3150379980041452	0.3185378590078329	0.4571333995365773	0.36687135884112737	0.27004946784590017
GSE165708_MTB_control_BAL_bronchoalveolar_lavage_up.tsv	0.37406189392022937	0.4527669595145367	0.4115395132622368	0.46837590724856254	0.3756766195215645	0.36052789442111577	0.4527603870233352	0.44572878488863826	0.3499203116699132	0.35210569777043765	1	0.37980596478620193	0.34159511374701246	0.32264386246214144	0.3641007879470084	0.4033109619686801	0.40317748524738994	0.3517188301693176	0.2984197570078615	0.4069466044582685	0.37264635398836016	0.30675924376777647
GSE174566_MTB_control_blood_PBMC_up.tsv	0.3896560381621893	0.38231315522489007	0.3931910389839478	0.36859333275906625	0.35838687859316876	0.3454696591853699	0.34861039185223547	0.4169375225713254	0.3366557827805465	0.3981396128383474	0.37980596478620193	1	0.35857343640196765	0.33210299674839616	0.3693632256414628	0.3227460711331679	0.3765825547891382	0.3493804420629605	0.2962732436007158	0.37072526020155294	0.43908450704225355	0.33291499330655955
GSE183912_MTB_control_blood_marcophages_up.tsv	0.3604014598540146	0.37295918367346936	0.3522983521248916	0.376151618847065	0.358249850158404	0.2756006065927049	0.3656571023733617	0.3721321640535034	0.37908731584620914	0.34049129656743127	0.34159511374701246	0.35857343640196765	1	0.33398751115075825	0.28598070218114	0.33277055546175927	0.32352440891308043	0.3041304704146861	0.2777173913043478	0.3031724576608094	0.4116824064358167	0.37533887188456494
GSE193777_MTB_control_blood_up.tsv	0.3195309937684487	0.3443680502504032	0.2947056332062685	0.3488902535310115	0.29538640906062624	0.46144522144522143	0.30859814702571653	0.3575963516051149	0.2915521978021978	0.2550054322520565	0.32264386246214144	0.33210299674839616	0.33398751115075825	1	0.43455400793284754	0.32921174652241114	0.2850884582982308	0.33673119753297925	0.2936794039894256	0.2877962844330557	0.3503879935192291	0.4234675036927622
GSE198557_MTB_control_blood_PBMC_up.tsv	0.35612285600319105	0.3854046003640576	0.3490542454795434	0.36662749706227965	0.3398176786586358	0.707166392092257	0.3464739009834412	0.38869227449287874	0.2992831541218638	0.30615678776290634	0.3641007879470084	0.3693632256414628	0.28598070218114	0.43455400793284754	1	0.34797630799605134	0.34096755455978756	0.3913373219853375	0.3181080454440065	0.3648268659114646	0.3474446680080483	0.3427372923178154
