GeneID	GSE84076_MTB_control_blood_dn.tsv	GSE148171_MTB_control_blood_PBMC_dn.tsv	GSE198557_MTB_control_blood_PBMC_dn.tsv	GSE112482_MTB_control_lung_ILC2_dn.tsv	GSE132283_MTB_control_2h_blood_macrophage_dn.tsv	GSE132283_MTB_control_48h_blood_macrophage_dn.tsv	GSE143627_MTB_control_PBMC_macrophage_dn.tsv	GSE148731_MTB_control_blood_monocytes_dn.tsv	GSE174566_MTB_control_blood_PBMC_dn.tsv	GSE193777_MTB_control_blood_dn.tsv	GSE256184_MTB_control_0h_HEPG2_HepG2_dn.tsv	GSE256184_MTB_4control_48h_HEPG2_HepG2_dn.tsv	GSE64179_MTB_control_blood_dendritic_cells_dn.tsv	GSE64182_MTB_control_blood_dendritic_cells_dn.tsv	GSE141656_MTB_control_blood_blood_dn.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE165708_MTB_control_BAL_bronchoalveolar_lavage_dn.tsv	GSE183912_MTB_control_blood_marcophages_dn.tsv	GSE211974_MTB_control_blood_THP-1_dn.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_dn.tsv
1	0	-1.2212814184205971	-2.0343933780640584	0	0	-1.2811289138946007	-0.47834486270762855	-0.1338837354131427	-0.22850749329087625	-0.14674859142567337	-0.0812449693978892	-0.7111861471310192	-0.4033716357878513	0	0	-0.311948764887912	-0.4444442296791507	-0.23387848283196724	-0.001478451462780626	-0.4265660950441	0
100	0	0	0	0	0	0	0	0	0	-0.25426419803318	-0.1364998363396351	-0.31359784782980943	0	0	0	0	0	-0.06139586540808927	0	0	0
1000	-0.1604947312101568	-0.4435229873811055	-1.3294918940305471	0	0	0	0	0	0	0	-0.6937915309710401	-0.12958740223473678	-2.7967525861461024	-1.5421765808427368	0	0	0	0	0	0	0
10000	-0.4276890029595812	-0.4401172701033016	-0.3382050073287748	0	0	0	-0.17105544091843397	0	-0.23286202531582947	-0.826947467368823	0	-0.17904772445941933	0	0	0	0	0	-0.04499933098775187	0	-0.04685080096140178	0
10001	0	0	-0.19896076122480796	0	0	0	0	0	0	-0.04968440334032226	-0.06372861902786468	0	0	0	0	0	0	0	-0.19784173575493252	0	0
10002	0	0	0	0	-0.7785066057338749	-1.2032488408106772	0	0	-0.23395742192382943	0	0	-0.2902327946003969	0	-0.9744177911406398	0	0	0	0	0	0	0
10003	-0.385167327103017	0	0	0	0	-0.8452501152347912	-0.529207571726072	0	-0.3543475362553547	0	-0.007480905595431855	-1.3423049672247658	0	-1.0403959457391412	-0.620983854263515	-0.2843812666047568	0	-0.5105490490156074	0	-0.04208542503566741	-0.2696606883778604
100033411	0	0	0	0	-1.4686252426732906	-1.4946141205858348	0	0	0	0	0	0	0	-1.4165780457234118	0	0	0	0	0	0	0
100037417	0	0	-0.17883762243489662	0	0	-0.3174641350118528	0	0	-0.3473670527537208	0	-0.6875543305505948	-1.244322755799281	0	0	0	0	-0.7270132564996794	-0.0956590346555108	-0.002871512380651888	-0.20998861655720327	0
10004	0	-1.067751859729489	-0.31521559320780074	0	0	-1.5680546687322732	0	-0.2531262345085128	-0.025909594892290624	-0.014322372449245464	-2.1323420334512937	-2.4906185559897005	0	0	-1.1232359496017832	0	0	-0.119352918190517	0	0	-0.8168592657057039
100049587	-0.1524959489978694	0	0	0	0	0	0	0	-0.2131827710229552	0	0	-0.1352747050317173	-1.412873159075052	-0.564985618573042	-0.47262504759035023	0	-1.188332759240466	0	0	-0.04976257766405791	0
10005	0	0	0	0	-0.10079221989206193	-0.32017011726345984	0	-0.12300595385572666	-0.028023787463584665	0	-0.24381385926842372	-0.218803336865181	-0.9885147631876902	0	-0.4536650387651752	-0.191425885500084	-0.5325649159976391	-0.13616377950936143	0	-0.12227952884286523	-0.4197588751345944
10007	0	0	0	0	0	-0.3663699086799089	0	0	0	0	0	-0.3289540482226992	-0.4623692059580332	0	0	0	-0.3307468885149462	-0.04913150409565633	0	-0.0795497438269688	-0.09872200147548774
10008	0	0	0	0	-0.8462329125120089	-1.2539949010084632	-0.34247456121321185	-0.42063439631538646	-0.663530596276967	0	0	-0.8793080092579082	-2.535749165605661	-1.2283996362931706	-1.4001084112426667	-0.3831672786656719	-1.625721826265729	-0.2903536954728519	-0.02151510727649265	-0.049217332889871776	-1.1065016789803352
10009	-0.09867678637983186	0	0	0	-0.13173614602586264	0	0	0	-0.2109494305283731	-0.7897948314488697	-0.10020133777972089	0	0	-0.3919451071525272	-0.2718396357067616	-0.0027678496348418533	-0.3457415920974588	0	-0.29219343848943385	0	-0.4511243800086307
10010	-0.009942362840784327	-0.465428536875971	0	0	0	0	0	0	0	-0.42581249613884353	-0.18228751133335924	-0.0010544873606989507	0	0	0	0	0	0	0	0	0
100101267	-0.14555320610706196	0	0	0	-0.015369871829875984	-0.20013229643494	-0.03700174218603124	0	0	0	-0.2976164065887866	-0.0070693452389751325	-0.05817250556026585	-0.1860903853860525	0	0	0	-0.024119136065971127	0	-0.011243849547999372	0
100101268	-0.6377066030197218	0	0	0	-1.2696603470520085	-1.141432156371179	0	0	0	0	0	-0.006722619160125429	0	0	0	-0.25676101820802527	0	0	0	0	0
100101467	-0.4405044347136754	-0.19432312681424307	0	0	-0.4206638821812625	-1.074427747762421	-0.09799755074144004	-0.2560889375332242	-0.09270866515189902	-0.3019916824378617	0	0	-0.21066698318227065	-0.461857657338806	-1.0110700410771984	0	0	-0.2521755194607239	0	-0.3875184542085589	-0.5226910725853192
