names	GSE132283_MTB_control_2h_blood_macrophage_dn.tsv	GSE132283_MTB_control_48h_blood_macrophage_dn.tsv	GSE141656_MTB_control_blood_blood_dn.tsv	GSE143627_MTB_control_PBMC_macrophage_dn.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE148171_MTB_control_blood_PBMC_dn.tsv	GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF1_dn.tsv	GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF2_dn.tsv	GSE148731_MTB_4h_blood_CD14plus_monocyte_derived_macrophages_MF1_dn.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE165708_MTB_control_BAL_bronchoalveolar_lavage_dn.tsv	GSE174566_MTB_control_blood_PBMC_dn.tsv	GSE183912_MTB_control_blood_marcophages_dn.tsv	GSE193777_MTB_control_blood_dn.tsv	GSE198557_MTB_control_blood_PBMC_dn.tsv	GSE211974_MTB_control_blood_THP-1_dn.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_dn.tsv	GSE256184_MTB_4control_48h_HEPG2_HepG2_dn.tsv	GSE256184_MTB_control_0h_HEPG2_HepG2_dn.tsv	GSE64179_MTB_control_blood_dendritic_cells_dn.tsv	GSE64182_MTB_control_blood_dendritic_cells_dn.tsv	GSE84076_MTB_control_blood_dn.tsv
GSE132283_MTB_control_2h_blood_macrophage_dn.tsv	1	0.46310491676345333	0.5139546684709067	0.41234311295866977	0.3725825242718447	0.38667865437926124	0.3569296040226273	0.40490347804838317	0.39881723914452366	0.3147002672775869	0.4182014333050782	0.4403053435114504	0.37190408581795237	0.38476792009400707	0.38406999547443055	0.3738019169329074	0.47690934177420663	0.38275114069863114	0.3199080255155021	0.3735259664193674	0.45197416823346687	0.3489384450893539
GSE132283_MTB_control_48h_blood_macrophage_dn.tsv	0.46310491676345333	1	0.41282031188778306	0.4839059372915277	0.40278981795255736	0.41353155339805825	0.4391232423490488	0.41821743388834476	0.34646644477126715	0.3322067747138797	0.4850548922189278	0.43376858630840065	0.3764631942807762	0.4036527654540077	0.4118276283618582	0.43077407174323473	0.4096153846153846	0.42504976267034145	0.31922567348741354	0.39947863180346	0.39634717452388385	0.34251433745849685
GSE141656_MTB_control_blood_blood_dn.tsv	0.5139546684709067	0.41282031188778306	1	0.44777662874870733	0.42366994239240935	0.37562383031815344	0.41255489537587187	0.4606330806954971	0.44353490009682245	0.38621332881125997	0.46105140381571275	0.43904388840035175	0.3798113050012524	0.3586102719033233	0.36001555814858033	0.3885478921014376	0.5374378992193045	0.3527063339731286	0.3094059405940594	0.43589523400601116	0.42826950714346096	0.32012890041656844
GSE143627_MTB_control_PBMC_macrophage_dn.tsv	0.41234311295866977	0.4839059372915277	0.44777662874870733	1	0.4735016894895963	0.38690144211616606	0.5337190552973536	0.5024658044105331	0.4061059406801774	0.3493259650004187	0.5089386936426267	0.4046169657680449	0.40037820182224515	0.396852871754524	0.36799111745578555	0.4554582904222451	0.4619462972464512	0.39874487086652183	0.30933333333333335	0.44180148666375163	0.40232303678141573	0.33252876337597553
GSE143731_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	0.3725825242718447	0.40278981795255736	0.42366994239240935	0.4735016894895963	1	0.3490354071434105	0.4685854367169058	0.43026653679270344	0.3929709707985184	0.3762486126526082	0.41648252721171947	0.3921353595488015	0.3722633883462445	0.34425857240178637	0.3403247106346617	0.37382572076449627	0.4373003866195999	0.34358340415668703	0.2920922315072733	0.4106577709349072	0.3626032213228681	0.29733750978856693
GSE148171_MTB_control_blood_PBMC_dn.tsv	0.38667865437926124	0.41353155339805825	0.37562383031815344	0.38690144211616606	0.3490354071434105	1	0.3498651007776543	0.39486000492651285	0.3060205805559822	0.28056793293557886	0.40847694457382394	0.40310662041924294	0.2838516298239041	0.5182070542129327	0.7220371251784864	0.3789897737837	0.388205247271883	0.410790308847434	0.3324468085106383	0.3686122739120133	0.34228084975841705	0.34875610323180656
GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF1_dn.tsv	0.3569296040226273	0.4391232423490488	0.41255489537587187	0.5337190552973536	0.4685854367169058	0.3498651007776543	1	0.4547889535420708	0.39360197949805587	0.36354961832061067	0.49632710859368084	0.3785413856043171	0.3918220821294107	0.35229043315674663	0.33457396262274314	0.40364406779661016	0.4220027247956403	0.3499404052443385	0.2920564452195973	0.43579905416257697	0.3491207697412077	0.29172992409109066
GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF2_dn.tsv	0.40490347804838317	0.41821743388834476	0.4606330806954971	0.5024658044105331	0.43026653679270344	0.39486000492651285	0.4547889535420708	1	0.4108950810859242	0.3518215485315649	0.48430769230769233	0.440983470387906	0.39579669363348574	0.3969699411717302	0.37130285993644585	0.3993231810490694	0.48424706301174797	0.37554726771525865	0.30796431728682794	0.4269982238010657	0.4177723463687151	0.3345734126984127
GSE148731_MTB_4h_blood_CD14plus_monocyte_derived_macrophages_MF1_dn.tsv	0.39881723914452366	0.34646644477126715	0.44353490009682245	0.4061059406801774	0.3929709707985184	0.3060205805559822	0.39360197949805587	0.4108950810859242	1	0.36119532265049803	0.3952125464300454	0.36748031496062994	0.39685330051859014	0.33399953878084404	0.2890367990207329	0.3533017325923504	0.4277407217376432	0.317585912652238	0.29780963759458384	0.3702725724020443	0.380624893869927	0.3168744398272631
GSE164287_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	0.3147002672775869	0.3322067747138797	0.38621332881125997	0.3493259650004187	0.3762486126526082	0.28056793293557886	0.36354961832061067	0.3518215485315649	0.36119532265049803	1	0.3678571428571429	0.4001778927791704	0.3427990166991608	0.27923998225639507	0.2787758830694275	0.3215915459130574	0.3763022986604928	0.30391930391930394	0.27797010228166796	0.4282151763448522	0.3358055212196127	0.25114545313349385
GSE165708_MTB_control_BAL_bronchoalveolar_lavage_dn.tsv	0.4182014333050782	0.4850548922189278	0.46105140381571275	0.5089386936426267	0.41648252721171947	0.40847694457382394	0.49632710859368084	0.48430769230769233	0.3952125464300454	0.3678571428571429	1	0.44732107938991006	0.3927373844769772	0.407336935839866	0.40023355391202803	0.4507296278078374	0.4648431082635124	0.40513297666123904	0.3252489926252566	0.4367701034367701	0.4092013607646201	0.35487155388471175
GSE174566_MTB_control_blood_PBMC_dn.tsv	0.4403053435114504	0.43376858630840065	0.43904388840035175	0.4046169657680449	0.3921353595488015	0.40310662041924294	0.3785413856043171	0.440983470387906	0.36748031496062994	0.4001778927791704	0.44732107938991006	1	0.3915360750934691	0.42443826557450964	0.4201046798029557	0.3710834277085693	0.4346087501960169	0.40643208475217557	0.32154198360534675	0.39231738035264485	0.46951871657754013	0.3795433364398882
GSE183912_MTB_control_blood_marcophages_dn.tsv	0.37190408581795237	0.3764631942807762	0.3798113050012524	0.40037820182224515	0.3722633883462445	0.2838516298239041	0.3918220821294107	0.39579669363348574	0.39685330051859014	0.3427990166991608	0.3927373844769772	0.3915360750934691	1	0.375836284927194	0.2774683925346177	0.3550718752537968	0.36199498016354953	0.3185636125452724	0.27593441603854224	0.3179157860510486	0.4160905634289665	0.3904729383643504
GSE193777_MTB_control_blood_dn.tsv	0.38476792009400707	0.4036527654540077	0.3586102719033233	0.396852871754524	0.34425857240178637	0.5182070542129327	0.35229043315674663	0.3969699411717302	0.33399953878084404	0.27923998225639507	0.407336935839866	0.42443826557450964	0.375836284927194	1	0.4850583971002819	0.38844682478959447	0.36285032796660704	0.40534200968523004	0.33417891516824594	0.33265475382643445	0.39783851515388835	0.46742724867724866
GSE198557_MTB_control_blood_PBMC_dn.tsv	0.38406999547443055	0.4118276283618582	0.36001555814858033	0.36799111745578555	0.3403247106346617	0.7220371251784864	0.33457396262274314	0.37130285993644585	0.2890367990207329	0.2787758830694275	0.40023355391202803	0.4201046798029557	0.2774683925346177	0.4850583971002819	1	0.3633693972179289	0.36982818398952155	0.41954745443117536	0.319638517618469	0.35827861719800647	0.3503581438804111	0.3470551476331823
GSE211974_MTB_control_blood_THP-1_dn.tsv	0.3738019169329074	0.43077407174323473	0.3885478921014376	0.4554582904222451	0.37382572076449627	0.3789897737837	0.40364406779661016	0.3993231810490694	0.3533017325923504	0.3215915459130574	0.4507296278078374	0.3710834277085693	0.3550718752537968	0.38844682478959447	0.3633693972179289	1	0.4019238476953908	0.396982555398397	0.30754514845423936	0.37425710331352274	0.3595344387755102	0.342970297029703
GSE236156_MTB_control_blood_monocyte_derived_macrophage_dn.tsv	0.47690934177420663	0.4096153846153846	0.5374378992193045	0.4619462972464512	0.4373003866195999	0.388205247271883	0.4220027247956403	0.48424706301174797	0.4277407217376432	0.3763022986604928	0.4648431082635124	0.4346087501960169	0.36199498016354953	0.36285032796660704	0.36982818398952155	0.4019238476953908	1	0.3804130066265989	0.34070210944189305	0.4456715657123439	0.4203916384367512	0.30702760571996635
GSE256184_MTB_4control_48h_HEPG2_HepG2_dn.tsv	0.38275114069863114	0.42504976267034145	0.3527063339731286	0.39874487086652183	0.34358340415668703	0.410790308847434	0.3499404052443385	0.37554726771525865	0.317585912652238	0.30391930391930394	0.40513297666123904	0.40643208475217557	0.3185636125452724	0.40534200968523004	0.41954745443117536	0.396982555398397	0.3804130066265989	1	0.3959030766778256	0.3436335403726708	0.3667995934005786	0.35534934497816595
GSE256184_MTB_control_0h_HEPG2_HepG2_dn.tsv	0.3199080255155021	0.31922567348741354	0.3094059405940594	0.30933333333333335	0.2920922315072733	0.3324468085106383	0.2920564452195973	0.30796431728682794	0.29780963759458384	0.27797010228166796	0.3252489926252566	0.32154198360534675	0.27593441603854224	0.33417891516824594	0.319638517618469	0.30754514845423936	0.34070210944189305	0.3959030766778256	1	0.31770957252755966	0.28829036218538984	0.30187207488299533
GSE64179_MTB_control_blood_dendritic_cells_dn.tsv	0.3735259664193674	0.39947863180346	0.43589523400601116	0.44180148666375163	0.4106577709349072	0.3686122739120133	0.43579905416257697	0.4269982238010657	0.3702725724020443	0.4282151763448522	0.4367701034367701	0.39231738035264485	0.3179157860510486	0.33265475382643445	0.35827861719800647	0.37425710331352274	0.4456715657123439	0.3436335403726708	0.31770957252755966	1	0.4470721703464526	0.26296835491533216
GSE64182_MTB_control_blood_dendritic_cells_dn.tsv	0.45197416823346687	0.39634717452388385	0.42826950714346096	0.40232303678141573	0.3626032213228681	0.34228084975841705	0.3491207697412077	0.4177723463687151	0.380624893869927	0.3358055212196127	0.4092013607646201	0.46951871657754013	0.4160905634289665	0.39783851515388835	0.3503581438804111	0.3595344387755102	0.4203916384367512	0.3667995934005786	0.28829036218538984	0.4470721703464526	1	0.3879676693608866
GSE84076_MTB_control_blood_dn.tsv	0.3489384450893539	0.34251433745849685	0.32012890041656844	0.33252876337597553	0.29733750978856693	0.34875610323180656	0.29172992409109066	0.3345734126984127	0.3168744398272631	0.25114545313349385	0.35487155388471175	0.3795433364398882	0.3904729383643504	0.46742724867724866	0.3470551476331823	0.342970297029703	0.30702760571996635	0.35534934497816595	0.30187207488299533	0.26296835491533216	0.3879676693608866	1
