GeneID	GSE84076_MTB_control_blood_up.tsv	GSE148171_MTB_control_blood_PBMC_up.tsv	GSE198557_MTB_control_blood_PBMC_up.tsv	GSE112482_MTB_control_lung_ILC2_up.tsv	GSE132283_MTB_control_2h_blood_macrophage_up.tsv	GSE132283_MTB_control_48h_blood_macrophage_up.tsv	GSE143627_MTB_control_PBMC_macrophage_up.tsv	GSE148731_MTB_control_blood_monocytes_up.tsv	GSE174566_MTB_control_blood_PBMC_up.tsv	GSE193777_MTB_control_blood_up.tsv	GSE256184_MTB_control_0h_HEPG2_HepG2_up.tsv	GSE256184_MTB_4control_48h_HEPG2_HepG2_up.tsv	GSE64179_MTB_control_blood_dendritic_cells_up.tsv	GSE64182_MTB_control_blood_dendritic_cells_up.tsv	GSE141656_MTB_control_blood_blood_up.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE165708_MTB_control_BAL_bronchoalveolar_lavage_up.tsv	GSE183912_MTB_control_blood_marcophages_up.tsv	GSE211974_MTB_control_blood_THP-1_up.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_up.tsv
10007	0.27595004829891595	1.3402855861116538	1.09191659922959	0.9865606140935712	0.2103835660507176	0	5.547209518766191e-4	0.10982532586091284	0.07044089183952908	0.009856477985832592	0.1105576223518086	0	0	0.48379832238014026	0.2822469027235142	0.01342109720536558	0	0	0.11292699260934937	0	0
1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10013	0.04614018355007493	0	0	0	0.04428658044585557	0.8868126989192643	0.003142491599100362	0.037164923002142365	0	0	0.4352103071733552	0	0.851770823149431	0.4948890827243844	0	0	0	0.12196686048783228	0.013780514153482757	0.09221145430256812	0
10038	0	0	0	0	0	0	0	0	0	0	0.16981371701705164	0.5327053720772886	0	0	0	0	0.26152841034525803	0	0.2030391438078226	0	0
10046	0	0	0.15427684034411152	0	2.4781745710609053	0	2.171653948487105	1.998362826911969	1.0823699101658817	0	0	0.15361328622676734	4.398521435080589	2.56796530735186	5.489747652903085	0.4552923207242212	1.9543845038487464	0.06534549833395022	0.6176578287781848	0.01806899192656593	4.755850266500118
10049	0	1.724497459189408	1.381230354342296	0	1.898248569079584	1.03252579327792	0.5279797568403378	0.8559502987052845	0.3891406652943926	0.2376317883875892	0	0.018408198937046805	1.650175976845144	1.1668333251450709	1.8647021345205317	0.4378254831973898	0.27432634102005526	0.12353728773309618	0	0.08378856036226627	0.7945824267663433
10051	0	0.4372601132559508	0.2839184084918687	0	0	0.06917781431195971	0	0	0.4218178233794762	0	0.05253935834293037	0	0.4341908879622624	0	0	0	0.6866152727207803	0.03498759230014107	0	0	0
10057	0	0	0.14927678567082162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10058	0.19016837490549865	0	0	0	0.953372507744323	0.9734971754876466	1.2418623603671062	0.13266264652408327	0	0.43777045492159966	0	0	0.1008247465561811	0	0.5462205220325533	0.6321501941653606	0.011964614675350487	0.1348657523570222	0.3365134849568775	0	0
10059	0	0.3256937613146099	0.4235925114985989	0	0.6317212465807134	0.5148472995885016	0.21995404082773107	0.1996961681907122	0.11123041272171508	0	0.09685209336007854	0.13542571047276236	0.04594212491172282	0	0.7153272578162452	0.15752881372050323	0.03452196647552332	0.09469106373973764	0	0.053016540795046994	0.378643994554472
10099	0	0	0	0	0.480677485426092	1.4504259540813027	0.549421007125728	0.32796068022012514	0.19889194106138344	0	0	0.3323039997846566	0	0	0	0.15060129268815803	0	0.10495291447567884	0.16116334893564263	0.1145412548542331	0.3007689580848727
10112	0.589316881656613	1.4969387683829931	2.181118489196483	0	0	0	0	0	2.9528265816364048	0	0	0	1.095883378797674	0	0	0	1.0840573068811477	0	0	0	0
10123	0	0	0	0.16502146168670134	0	0	0.08066326207751101	0	0	0	0.6802565933673005	0.1376001885471732	0	0	0	0	0.3400471740167735	0	0	0	0
