GeneID	GSE16250_GPL570_MTB_control_blood_PBMC_dn.tsv	GSE34151_GPL10558_MTB_control_blood_dendritic_cell_dn.tsv	GSE83456_GPL10558_EPTB_control_blood_dn.tsv	GSE83456_GPL10558_PTB_control_blood_dn.tsv	GSE139871_GPL10558_MTB_control_blood_monocyte_dn.tsv
1	-0.12796663117490836	0	-1.934948704955804	-0.3334285924690552	0
10	-0.7762614514775137	0	-0.06344436622692795	0	0
100	-4.624105384874918	0	-2.541829156973457	-0.2224037859137078	0
1000	-47.87437788471493	-0.18498829124573343	0	0	-0.2484906180370036
10000	-0.8304816802731967	-0.005560611752152112	0	-8.326889879370984	-0.07228330055143561
10001	0	0	-1.9864556384447305	-6.098298380327826	-0.06496612610676389
10002	-0.3587157184613912	0	0	-0.3350615030783368	0
10003	0	0	-0.5461566479597164	-2.596457760210759	0
10004	-0.2115493513249121	0	-0.1972375720807762	0	0
10005	-0.16967321637090302	-0.004070310674313404	0	-0.05295550514940128	-0.04853583340928421
10006	0	0	-0.0018044660033862403	0	-0.10237721973749891
10007	-0.15644277487326996	0	0	0	0
10008	-2.0563126920649	-0.017994952134020303	0	-2.077591477226937	0
10009	-3.659839607216062	0	-0.015641023250380748	0	-0.2609602317914086
1001	0	0	0	-0.6119660067761863	-0.0623284436398166
10010	0	-0.02269160204994486	0	0	-0.004931156137619644
10011	-1.0858290454302892	-0.053664276757654936	-0.03917295889367356	0	-0.47812966971056525
10013	-0.1296560069499031	0	0	0	-0.3207494075557902
10014	0	-0.5271560744386705	-0.3722573120262183	0	0
10015	-0.5332196312933972	-0.3028619523115045	-0.03917295889367356	0	0
10016	-1.6612016521965711	0	0	-1.4126561646682934	-0.06605902773250838
10017	0	-0.6249331316324955	0	0	0
10018	0	0	-2.0341690539038	-6.174792164671027	-0.4962252805211353
10019	-0.5430719490081656	0	0	0	0
1002	0	0	-1.9689128906669264	-0.7809629856316509	0
10020	-0.8311747328883571	0	-0.03917295889367356	0	0
10021	-1.4571730568926131	-0.05156855100100363	-0.07394376352768406	-0.5184066678244994	-0.07719613049483409
10022	0	0	-7.729563579994656	-4.989718577642476	-0.3836246572650088
10023	0	0	0	-0.4700984778099093	0
10024	0	-0.022432495645642318	-5.831697566919607	-3.830180255355795	-0.010021530150469804
10025	0	0	0	0	-0.00631319386251325
10026	-0.38124149114786166	0	-0.8538721384829312	-1.1660289293423327	-0.08074978984238834
10029	-0.26664163825399867	0	-0.03917295889367356	0	-0.04141248676568288
1003	-2.865416390587347	0	0	0	-0.02011965568555346
10036	0	-0.007569662360146903	0	0	0
10038	-0.4154674424181093	0	-0.03917295889367356	0	-0.001272573562504542
10039	-3.536028262297378	0	-0.03917295889367356	0	0
1004	-2.5792524928791893	-0.02137779170874221	-8.76503906987761	-5.427819535964491	0
10040	-6.771769722744607	0	0	-0.668543866487564	-0.0509723967151019
10042	-1.6993518145032054	-0.055406513528021534	-4.519079562136409	-4.574821517298176	0
10043	0	0	-1.0018540107738223	-0.8567747618000742	-0.05584819979282347
10044	-1.0910140616872894	0	-0.038038926835435305	-0.8174350815351005	0
10045	-1.1762201625283488	0	-2.5222345238740385	-3.575554041324625	-0.03790806045463839
