names	GSE139871_GPL10558_MTB_control_blood_monocyte_up.tsv	GSE16250_GPL570_MTB_control_blood_PBMC_up.tsv	GSE34151_GPL10558_MTB_control_blood_dendritic_cell_up.tsv	GSE83456_GPL10558_EPTB_control_blood_up.tsv	GSE83456_GPL10558_PTB_control_blood_up.tsv
GSE139871_GPL10558_MTB_control_blood_monocyte_up.tsv	1	0.2899817573730617	0.33198529411764705	0.31452030475626896	0.36532990109741226
GSE16250_GPL570_MTB_control_blood_PBMC_up.tsv	0.2899817573730617	1	0.2939346811819596	0.2829475673122343	0.3221970554926387
GSE34151_GPL10558_MTB_control_blood_dendritic_cell_up.tsv	0.33198529411764705	0.2939346811819596	1	0.30538922155688625	0.36125798255853875
GSE83456_GPL10558_EPTB_control_blood_up.tsv	0.31452030475626896	0.2829475673122343	0.30538922155688625	1	0.43446244477172313
GSE83456_GPL10558_PTB_control_blood_up.tsv	0.36532990109741226	0.3221970554926387	0.36125798255853875	0.43446244477172313	1
