GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected
GO:0051972	regulation of telomerase activity	47	0.001996007984031936	47/16075	0.7746951568830731	0.8437848342650698	0.7687556660567307	TCP1	1		0	0	0	0	0
GO:0051973	positive regulation of telomerase activity	34	0.001996007984031936	34/16075	0.6596042240221971	0.7717386132593125	0.7031157797172326	TCP1	1		0	0	0	0	0
GO:0051974	negative regulation of telomerase activity	10	0	0	1	1	1		0		0	0	0	0	0
GO:0051977	lysophospholipid transport	3	0	0	1	1	1		0		0	0	0	0	0
GO:0051983	regulation of chromosome segregation	129	0.005988023952095809	129/16075	0.7706766113044058	0.8427621574718793	0.7678239254667323	MAD2L1/MOS/NUMA1	3		72	2	3.5903792574060387	-0.5851106590919289	0.5316435109595261
GO:0051984	positive regulation of chromosome segregation	27	0.001996007984031936	27/16075	0.5749669508550144	0.7252656047660356	0.6607751412664047	NUMA1	1		18	1	0.8975948143515097	0.10803652146801637	0.959790698954136
GO:0051985	negative regulation of chromosome segregation	50	0.003992015968063872	50/16075	0.4646725890731993	0.6762558336206435	0.6161233085595751	MAD2L1/MOS	2		24	1	1.1967930858020128	-0.17964555098376447	0.7602006268522197
GO:0051987	positive regulation of attachment of spindle microtubules to kinetochore	11	0	0	1	1	1		0		0	0	0	0	0
GO:0051988	regulation of attachment of spindle microtubules to kinetochore	18	0	0	1	1	1		0		0	0	0	0	0
GO:0052040	modulation by symbiont of host programmed cell death	1	0	0	1	1	1		0		0	0	0	0	0
GO:0052041	suppression by symbiont of host programmed cell death	1	0	0	1	1	1		0		0	0	0	0	0
GO:0052150	modulation by symbiont of host apoptotic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:0052183	disruption by host of symbiont structure	2	0	0	1	1	1		0		0	0	0	0	0
GO:0052314	phytoalexin metabolic process	2	0	0	1	1	1		0		0	0	0	0	0
GO:0052337	disruption by host of symbiont membrane	2	0	0	1	1	1		0		0	0	0	0	0
GO:0052372	modulation by symbiont of entry into host	54	0.005988023952095809	53/16075	0.22846998993881765	0.5535542568402203	0.504332329919619	IFNA2/CIITA/SMPD1	3		26	1	1.2965258429521807	-0.259688258657301	0.7100938044675404
GO:0052373	suppression of symbiont entry into host	1	0	0	1	1	1		0		0	0	0	0	0
GO:0052403	negative regulation by host of symbiont catalytic activity	4	0	0	1	1	1		0		0	0	0	0	0
