ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	39/2279	43/8507	1.4450797135171838e-18	9.768738863376163e-15	9.753527497970719e-15	NDUFA1/NDUFA2/NDUFA6/NDUFA4/NDUFA5/NDUFA7/ND5/ND4/ND3/NDUFS6/NDUFS8/NDUFS5/NDUFV3/NDUFS3/NDUFV1/NDUFS4/NDUFV2/NDUFC2/NDUFC1/ND6/NDUFB9/NDUFS2/ND4L/ND1/NDUFS1/ND2/NDUFB6/NDUFA3/NDUFB8/NDUFB5/NDUFB4/NDUFB7/NDUFB3/NDUFB2/NDUFB1/NDUFAB1/NDUFA10/NDUFA9/NDUFA8	39
GO:0042776	proton motive force-driven mitochondrial ATP synthesis	43/2279	57/8507	2.2239031457885615e-14	7.516792632765338e-11	7.505087879366451e-11	NDUFA1/NDUFA2/NDUFA6/NDUFA5/NDUFA7/ND5/ND4/ND3/NDUFS6/NDUFS8/NDUFS5/NDUFV3/NDUFS3/NDUFV1/NDUFS4/NDUFV2/NDUFC2/NDUFC1/ND6/ATP5MF/ATP6/NDUFB9/NDUFS2/ND4L/SDHB/ND1/NDUFS1/ND2/NDUFB6/NDUFA3/ATP5PD/NDUFB8/NDUFB5/ATP8/NDUFB4/NDUFB7/NDUFB3/NDUFB2/NDUFB1/NDUFAB1/NDUFA10/NDUFA9/NDUFA8	43
GO:0015986	proton motive force-driven ATP synthesis	45/2279	64/8507	3.946432455193618e-13	8.892627799036287e-10	8.878780667614555e-10	NDUFA1/NDUFA2/NDUFA6/NDUFA5/NDUFA7/ND5/ATP5MJ/VPS9D1/ND4/ND3/NDUFS6/NDUFS8/NDUFS5/NDUFV3/NDUFS3/NDUFV1/NDUFS4/NDUFV2/NDUFC2/NDUFC1/ND6/ATP5MF/ATP6/NDUFB9/NDUFS2/ND4L/SDHB/ND1/NDUFS1/ND2/NDUFB6/NDUFA3/ATP5PD/NDUFB8/NDUFB5/ATP8/NDUFB4/NDUFB7/NDUFB3/NDUFB2/NDUFB1/NDUFAB1/NDUFA10/NDUFA9/NDUFA8	45
GO:0010257	NADH dehydrogenase complex assembly	32/2279	40/8507	3.01777240614192e-12	4.080028293103876e-9	4.073675088038314e-9	NDUFA1/NDUFA2/NDUFA6/NDUFA5/ND5/ND4/NDUFS8/NDUFS5/NDUFS3/NDUFS4/NDUFC2/NDUFC1/ND6/OXA1L/NDUFB9/NDUFS2/ND1/NDUFS1/ND2/NDUFB6/NDUFA3/NDUFB8/NDUFB5/NDUFB4/NDUFB7/NDUFB3/NDUFB2/NDUFB1/NDUFAB1/NDUFA10/NDUFA9/NDUFA8	32
GO:0032981	mitochondrial respiratory chain complex I assembly	32/2279	40/8507	3.01777240614192e-12	4.080028293103876e-9	4.073675088038314e-9	NDUFA1/NDUFA2/NDUFA6/NDUFA5/ND5/ND4/NDUFS8/NDUFS5/NDUFS3/NDUFS4/NDUFC2/NDUFC1/ND6/OXA1L/NDUFB9/NDUFS2/ND1/NDUFS1/ND2/NDUFB6/NDUFA3/NDUFB8/NDUFB5/NDUFB4/NDUFB7/NDUFB3/NDUFB2/NDUFB1/NDUFAB1/NDUFA10/NDUFA9/NDUFA8	32
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	53/2279	87/8507	1.9860691364872184e-11	2.2376378937755995e-8	2.234153561957201e-8	LIPA/NDUFA1/NDUFA2/NDUFA6/NDUFA5/NDUFA7/ND5/ATP5MJ/VPS9D1/ND4/ND3/NDUFS6/NDUFS8/NDUFS5/NDUFV3/NDUFS3/NDUFV1/NDUFS4/NDUFV2/NDUFC2/NDUFC1/ND6/ATP5MF/NME5/ATP6/NDUFB9/NME3/NDUFS2/ND4L/SDHB/ND1/NDUFS1/ND2/NDUFB6/NDUFA3/NME1/PPARGC1A/ATP5PD/NDUFB8/NDUFB5/NME2/ATP8/NDUFB4/IL4/NDUFB7/NDUFB3/NDUFB2/NDUFB1/NDUFAB1/NDUFA10/NDUFA9/NDUFA8/LDHC	53
GO:0009145	purine nucleoside triphosphate biosynthetic process	53/2279	88/8507	3.7046020135104515e-11	3.57758708733295e-8	3.5720162572374464e-8	LIPA/NDUFA1/NDUFA2/NDUFA6/NDUFA5/NDUFA7/ND5/ATP5MJ/VPS9D1/ND4/ND3/NDUFS6/NDUFS8/NDUFS5/NDUFV3/NDUFS3/NDUFV1/NDUFS4/NDUFV2/NDUFC2/NDUFC1/ND6/ATP5MF/NME5/ATP6/NDUFB9/NME3/NDUFS2/ND4L/SDHB/ND1/NDUFS1/ND2/NDUFB6/NDUFA3/NME1/PPARGC1A/ATP5PD/NDUFB8/NDUFB5/NME2/ATP8/NDUFB4/IL4/NDUFB7/NDUFB3/NDUFB2/NDUFB1/NDUFAB1/NDUFA10/NDUFA9/NDUFA8/LDHC	53
GO:0006754	ATP biosynthetic process	49/2279	79/8507	4.540298673996113e-11	3.8365523795267155e-8	3.8305783023240896e-8	LIPA/NDUFA1/NDUFA2/NDUFA6/NDUFA5/NDUFA7/ND5/ATP5MJ/VPS9D1/ND4/ND3/NDUFS6/NDUFS8/NDUFS5/NDUFV3/NDUFS3/NDUFV1/NDUFS4/NDUFV2/NDUFC2/NDUFC1/ND6/ATP5MF/ATP6/NDUFB9/NDUFS2/ND4L/SDHB/ND1/NDUFS1/ND2/NDUFB6/NDUFA3/PPARGC1A/ATP5PD/NDUFB8/NDUFB5/ATP8/NDUFB4/IL4/NDUFB7/NDUFB3/NDUFB2/NDUFB1/NDUFAB1/NDUFA10/NDUFA9/NDUFA8/LDHC	49
GO:0033108	mitochondrial respiratory chain complex assembly	34/2279	47/8507	8.760049065725141e-11	6.579770187144661e-8	6.569524515722761e-8	NDUFA1/NDUFA2/NDUFA6/NDUFA5/ND5/ND4/SCO2/NDUFS8/NDUFS5/NDUFS3/NDUFS4/NDUFC2/NDUFC1/ND6/OXA1L/NDUFB9/NDUFS2/AIFM1/ND1/NDUFS1/ND2/NDUFB6/NDUFA3/NDUFB8/NDUFB5/NDUFB4/NDUFB7/NDUFB3/NDUFB2/NDUFB1/NDUFAB1/NDUFA10/NDUFA9/NDUFA8	34
GO:0009201	ribonucleoside triphosphate biosynthetic process	53/2279	90/8507	1.2262246390076778e-10	8.289278559691902e-8	8.276370931912874e-8	LIPA/NDUFA1/NDUFA2/NDUFA6/NDUFA5/NDUFA7/ND5/ATP5MJ/VPS9D1/ND4/ND3/NDUFS6/NDUFS8/NDUFS5/NDUFV3/NDUFS3/NDUFV1/NDUFS4/NDUFV2/NDUFC2/NDUFC1/ND6/ATP5MF/NME5/ATP6/NDUFB9/NME3/NDUFS2/ND4L/SDHB/ND1/NDUFS1/ND2/NDUFB6/NDUFA3/NME1/PPARGC1A/ATP5PD/NDUFB8/NDUFB5/NME2/ATP8/NDUFB4/IL4/NDUFB7/NDUFB3/NDUFB2/NDUFB1/NDUFAB1/NDUFA10/NDUFA9/NDUFA8/LDHC	53
