GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected
GO:2000777	positive regulation of proteasomal ubiquitin-dependent protein catabolic process involved in cellular response to hypoxia	2	0	0	1	1	1		0		0	0	0	0	0
GO:2000779	regulation of double-strand break repair	130	0.006092254134029591	130/16075	0.8296028750139304	0.8779757531378196	0.7649233007909576	TRIP12/PARP1/TP53BP1/POGZ/DPF1/PARP3/DDX11	7		110	6	19.38932165804287	-1.1729630153012345	0.30471138188748503
GO:2000780	negative regulation of double-strand break repair	33	0.0017406440382941688	33/16075	0.6939696951393428	0.7983614512128964	0.6955605257929781	TRIP12/TP53BP1	2		34	2	5.993063057940525	-1.0974554627930897	0.32781616118654827
GO:2000781	positive regulation of double-strand break repair	84	0.004351610095735422	84/16075	0.726117445729723	0.8194384222664663	0.7139235229615815	PARP1/POGZ/DPF1/PARP3/DDX11	5		70	4	12.338659236936374	-1.1264429996663419	0.3187588108095601
GO:2000785	regulation of autophagosome assembly	44	8.703220191470844e-4	44/16075	0.9619024613323928	0.9700230141279672	0.8451181062325812	BECN1	1		41	0	7.2269289816341615	-Inf	0
GO:2000786	positive regulation of autophagosome assembly	19	8.703220191470844e-4	19/16075	0.7558252576085479	0.8339368605646073	0.7265550714293979	BECN1	1		18	0	3.172798089497925	-Inf	0
GO:2000790	regulation of mesenchymal cell proliferation involved in lung development	2	0	0	1	1	1		0		0	0	0	0	0
GO:2000791	negative regulation of mesenchymal cell proliferation involved in lung development	2	0	0	1	1	1		0		0	0	0	0	0
GO:2000793	cell proliferation involved in heart valve development	4	0	0	1	1	1		0		0	0	0	0	0
GO:2000794	regulation of epithelial cell proliferation involved in lung morphogenesis	7	8.703220191470844e-4	7/16075	0.4050184442226413	0.6394443317639756	0.5571063519429428	FGFR2	1		2	0	0.35253312105532497	-Inf	0
GO:2000795	negative regulation of epithelial cell proliferation involved in lung morphogenesis	1	0	0	1	1	1		0		0	0	0	0	0
GO:2000797	regulation of amniotic stem cell differentiation	1	0	0	1	1	1		0		0	0	0	0	0
GO:2000798	negative regulation of amniotic stem cell differentiation	1	0	0	1	1	1		0		0	0	0	0	0
GO:2000800	regulation of endocardial cushion to mesenchymal transition involved in heart valve formation	1	0	0	1	1	1		0		0	0	0	0	0
GO:2000802	positive regulation of endocardial cushion to mesenchymal transition involved in heart valve formation	1	0	0	1	1	1		0		0	0	0	0	0
