GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0000002	mitochondrial genome maintenance	30	0.002320185614849188	30/16075	0.4039770389280518	0.663346096290501	0.5545404772048919	DNA2/TYMP/ENDOG/LONP1	4	21	0.6642847439091933	1.4178956450999782
GO:0000003	reproduction	1410	0	0	1	1	1		0	0	0	0
GO:0000012	single strand break repair	11	5.80046403712297e-4	11/16075	0.7130115467931367	0.8057258277978673	0.6735663140884215	TNP1	1	11	-0.07538245228564475	0.8290866914724185
GO:0000017	alpha-glucoside transport	2	0	0	1	1	1		0	0	0	0
GO:0000018	regulation of DNA recombination	132	0.0075406032482598605	131/16075	0.658681140996277	0.7824534662313456	0.6541112112982606	PARP3/KAT5/MORF4L1/POGZ/MSH6/IL4/STAT6/TGFB1/NSD2/YEATS4/TRRAP/TIMELESS/CD28	13	89	0.3988258082421226	1.1892446419449074
GO:0000019	regulation of mitotic recombination	7	0	0	1	1	1		0	0	0	0
GO:0000022	mitotic spindle elongation	12	0.001160092807424594	12/16075	0.3742136741203933	0.6437712866555599	0.5381764338542827	NUMA1/KIF23	2	8	0.9362184593928352	1.6657587388386872
GO:0000023	maltose metabolic process	3	0	0	1	1	1		0	0	0	0
GO:0000025	maltose catabolic process	1	0	0	1	1	1		0	0	0	0
GO:0000027	ribosomal large subunit assembly	25	0.001160092807424594	25/16075	0.765433642370959	0.8427706658796152	0.7045348572104934	DHX30/RRS1	2	15	0.3076097999704611	1.1146113046961408
GO:0000028	ribosomal small subunit assembly	17	5.80046403712297e-4	17/16075	0.8547927191311052	0.8995542539621301	0.7520044936623732	PWP2	1	8	0.24307127883288984	1.0632141249450617
GO:0000038	very long-chain fatty acid metabolic process	35	0.002320185614849188	35/16075	0.5259947847535673	0.716381807344385	0.5988769837151251	ABCD1/ABCD2/PEX5/TECR	4	24	0.5307533512846707	1.3009282567365015
