ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0046686	response to cadmium ion	5/195	56/16259	5.483452111327221e-4	0.02902138563921004	0.02430825483841998	CDKN1B/DAXX/EGFR/FOS/JUN	5
GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	4/195	32/16259	5.546242215136163e-4	0.02902138563921004	0.02430825483841998	EGR1/ATF6/JUN/NCK2	4
GO:0072160	nephron tubule epithelial cell differentiation	3/195	14/16259	5.609247893394745e-4	0.02902138563921004	0.02430825483841998	GATA3/MEF2C/PAX8	3
GO:1901722	regulation of cell proliferation involved in kidney development	3/195	14/16259	5.609247893394745e-4	0.02902138563921004	0.02430825483841998	EGR1/GATA3/BMP4	3
GO:0022612	gland morphogenesis	7/195	119/16259	5.789608321457051e-4	0.029500686037969792	0.024709715898276027	EGFR/PDGFA/BAX/RPS6KA1/BMP4/TBX2/CAPN1	7
GO:0007623	circadian rhythm	9/195	196/16259	6.075392275914763e-4	0.030046388564560805	0.02516679524821657	PARP1/EGR1/GFPT1/HDAC2/ID2/SUV39H1/USP7/NRIP1/BHLHE40	9
GO:0032869	cellular response to insulin stimulus	9/195	196/16259	6.075392275914763e-4	0.030046388564560805	0.02516679524821657	RAB31/PARP1/CTSD/EPRS1/WDTC1/GNAI2/RB1/PIP4K2B/PIK3R3	9
GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	8/195	159/16259	6.718143987294704e-4	0.03274364960764071	0.027426015728452522	DNAJB6/MALT1/CTSD/GPER1/HSPD1/BAX/RPS6KA1/SOX2	8
GO:0032352	positive regulation of hormone metabolic process	3/195	15/16259	6.9498276597428e-4	0.033252266297175453	0.027852032055101648	EGR1/GATA3/PAX8	3
GO:0071276	cellular response to cadmium ion	4/195	34/16259	7.020252474277303e-4	0.033252266297175453	0.027852032055101648	DAXX/EGFR/FOS/JUN	4
GO:1905898	positive regulation of response to endoplasmic reticulum stress	4/195	35/16259	7.85238382585518e-4	0.03641774429755908	0.03050343012669393	ATF6/BAX/WFS1/NCK2	4
GO:0009266	response to temperature stimulus	8/195	163/16259	7.905130341129388e-4	0.03641774429755908	0.03050343012669393	DNAJB6/CDKN1A/ADRB2/DAXX/ERO1A/HDAC2/HSPB1/HSPD1	8
GO:0010594	regulation of endothelial cell migration	8/195	164/16259	8.226768558715461e-4	0.037387327922919045	0.03131555144114164	ETS1/FUT1/GATA3/HSPB1/MEF2C/PRCP/TBXA2R/GFUS	8
GO:0090399	replicative senescence	3/195	16/16259	8.478367409999859e-4	0.037516775789249376	0.03142397671628756	CDKN1A/CDKN2A/SERPINE1	3
GO:2000696	regulation of epithelial cell differentiation involved in kidney development	3/195	16/16259	8.478367409999859e-4	0.037516775789249376	0.03142397671628756	GATA3/PRKX/PAX8	3
GO:0051385	response to mineralocorticoid	4/195	36/16259	8.75181265928613e-4	0.03822382593919384	0.03201620051435363	CDKN1A/PARP1/FOS/GPER1	4
GO:0009225	nucleotide-sugar metabolic process	4/195	37/16259	9.721455740045686e-4	0.041627086614930704	0.034866764881466915	GNPDA1/GFPT1/GFUS/UGDH	4
GO:0030879	mammary gland development	7/195	130/16259	9.778590076061629e-4	0.041627086614930704	0.034866764881466915	GATA3/ID2/BAX/BMP4/STAT5B/TBX2/CAPN1	7
GO:1905330	regulation of morphogenesis of an epithelium	5/195	64/16259	0.0010131436327992485	0.04194606901244983	0.035133943902629465	GATA3/PDGFA/BMP4/TBX2/PAX8	5
GO:2000310	regulation of NMDA receptor activity	3/195	17/16259	0.001020462076090275	0.04194606901244983	0.035133943902629465	MEF2C/CCL2/CAPN1	3
GO:0050680	negative regulation of epithelial cell proliferation	7/195	131/16259	0.0010227706390189967	0.04194606901244983	0.035133943902629465	CDKN1B/GATA3/MEF2C/RB1/CCL2/BMP4/SOX2	7
GO:0071392	cellular response to estradiol stimulus	4/195	38/16259	0.0010764231499224008	0.04361459100227752	0.03653149459977609	EGFR/GPER1/NCOA3/NRIP1	4
GO:0031570	DNA integrity checkpoint signaling	7/195	133/16259	0.0011174551771048879	0.04473811619766355	0.03747255706682556	CDKN1A/CDKN1B/TOPBP1/ORC1/TP53BP1/CDC45/MBTPS1	7
