ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006939	smooth muscle contraction	33/1732	104/16259	4.2994053011279024e-9	2.998835197536712e-5	2.5104001268796292e-5	NMU/CHRNA3/CHRNB2/CHRNB4/CNN1/ADRA2A/ADRA2C/ADRB2/EDN1/EDN2/EDN3/EDNRA/EDNRB/F2R/GHSR/GPER1/APBB1/HTR7/KIT/RHOA/MYH11/NEUROG1/ATP2B1/OXTR/P2RX3/BBS2/SSTR2/TACR2/TBX3/CALCA/MKKS/CAV1/KCNB2	33
GO:0007204	positive regulation of cytosolic calcium ion concentration	43/1732	170/16259	4.589048439754982e-8	1.5461617788837273e-4	1.2943307885256421e-4	GNA13/ADCY5/CMKLR1/ADM/CX3CR1/EDN1/EDN2/EDNRA/EDNRB/F2R/SWAP70/GALR1/GATA2/GNAT2/GPR6/CXCR3/MCHR1/GPER1/CXCR2/ITGAV/LHCGR/OXTR/P2RX3/PKD2/AVP/PTGER1/PTGER2/PTGFR/PTGIR/BCL2/RYR2/TAC1/TMBIM6/C3AR1/TRPC3/CACNA1A/CACNA1C/CACNA2D1/CXCR4/CALCA/CAV1/GALR2/CCKBR	43
GO:0008217	regulation of blood pressure	45/1732	184/16259	6.650158188747214e-8	1.5461617788837273e-4	1.2943307885256421e-4	ATP6AP2/RAMP2/CORO2B/GNA13/CORIN/CHRNA7/CNR1/COL1A2/ADM/ADORA1/ADRB1/ADRB2/CYP4A11/EDN1/EDN2/EDN3/EDNRA/EDNRB/EMP2/EXT1/EXT2/F2R/RHOA/LEP/LNPEP/MYH6/NOS2/NPR2/NPR3/ATP2B1/OPRL1/OXTR/PCSK5/PLCB3/AVP/SLC2A5/BRS3/TAC3/NR2F2/TNF/UCN/CALCA/MKKS/KL/ACVRL1	45
GO:0045766	positive regulation of angiogenesis	40/1732	159/16259	1.566525063057643e-7	2.1853024629654122e-4	1.82937147890121e-4	CDH5/RAMP2/CHRNA7/ADM/CTSH/CX3CR1/CYP1B1/APLNR/ECM1/EMP2/EPHA1/ETS1/VEGFD/FUT1/GATA2/GDF2/GHSR/HSPB1/HYAL1/CXCR2/ITGAX/ITGB8/RHOB/SMAD1/PDPK1/PIK3CD/PRKCB/RLN2/S100A1/STAT3/STIM1/C3/C3AR1/TWIST1/VEGFB/CXCR4/ADAM12/RUNX1/SEMA5A/ACVRL1	40
GO:1904018	positive regulation of vasculature development	40/1732	159/16259	1.566525063057643e-7	2.1853024629654122e-4	1.82937147890121e-4	CDH5/RAMP2/CHRNA7/ADM/CTSH/CX3CR1/CYP1B1/APLNR/ECM1/EMP2/EPHA1/ETS1/VEGFD/FUT1/GATA2/GDF2/GHSR/HSPB1/HYAL1/CXCR2/ITGAX/ITGB8/RHOB/SMAD1/PDPK1/PIK3CD/PRKCB/RLN2/S100A1/STAT3/STIM1/C3/C3AR1/TWIST1/VEGFB/CXCR4/ADAM12/RUNX1/SEMA5A/ACVRL1	40
GO:0034698	response to gonadotropin	14/1732	28/16259	2.1744329931783386e-7	2.5277783545698184e-4	2.1160666338877626e-4	CYP1B1/EDN1/EDNRA/EFNA5/GHSR/GCLC/INHBA/INHBB/ITGA3/LHCGR/NPR2/SRD5A1/SRD5A2/PAX8	14
GO:0006940	regulation of smooth muscle contraction	20/1732	56/16259	5.67710841538902e-7	5.656833028191202e-4	4.7354767488966764e-4	NMU/CHRNA3/CHRNB4/CNN1/ADRA2A/ADRA2C/ADRB2/EDN1/EDN2/F2R/GHSR/GPER1/KIT/RHOA/ATP2B1/OXTR/TACR2/CALCA/CAV1/KCNB2	20
GO:0009266	response to temperature stimulus	39/1732	163/16259	8.910613169310259e-7	7.768940856992382e-4	6.503575164495264e-4	CDH8/CETN1/CHRNA7/CIDEA/ADORA1/ADRB1/ADRB2/DAXX/EP300/EPHB1/AKT1/MTOR/GCLC/GMPR/HSBP1/DNAJA1/HSPA6/HSPB1/HSPB2/HSP90AA2P/LYN/MAPT/NF1/NFKBIA/P2RX3/RBBP7/CXCL12/ST8SIA1/THRA/TPR/TRPM2/CXCR4/CALCA/CASQ1/EIF2B2/TRPA1/ASIC3/SLC25A27/BAG3	39
GO:0032355	response to estradiol	30/1732	112/16259	1.32730737347766e-6	9.691090457528772e-4	8.112654784819785e-4	KAT5/CYP1B1/DNMT3A/F7/FGF10/GHSR/GPER1/GRIA1/LEP/OPRL1/OXTR/PTGFR/RARA/SLC6A4/SRD5A1/SSTR1/SSTR2/SSTR3/STAT3/NR2F2/TGFB1/TH/UCN/NRIP1/CASP8/NCOA1/CFLAR/MBD4/AIFM1/NCOR2	30
GO:0044703	multi-organism reproductive process	44/1732	197/16259	1.3894036498249135e-6	9.691090457528772e-4	8.112654784819785e-4	CORIN/EDDM3A/PRDX3/CNR1/ADM/CLDN4/ADRA2A/CTSB/DSG1/EDN1/EMP2/AKT1/FKBP4/FOS/FOSB/GHSR/HFE/ITGA3/ITGB4/LEP/LNPEP/OXTR/PCSK5/PGR/MED1/PRL/PTGFR/RARA/BCL2/RLN2/PRDM1/SEMG1/SLC2A1/SLC6A4/TAC1/TAC3/NR2F2/C1QBP/UCN/CALCA/CAPN2/RECK/PLA2G4C/ENDOU	44
GO:0045471	response to ethanol	31/1732	120/16259	2.0657866641637824e-6	0.0013098965438674893	0.0010965472369489477	CDO1/CHRNA7/CHRNB2/CNR1/CLDN7/DNMT3A/FGFR2/FOS/GNRH1/BIRC2/TNC/IL13/LEP/MAOB/MYD88/OPRM1/AVP/PRKCB/PRKCE/RARA/RGS7/S100A8/ST6GAL1/SLC6A3/TH/TNF/TYMS/CASP8/ABCB11/TNFRSF11A/CD27	31
GO:0006937	regulation of muscle contraction	37/1732	157/16259	2.475465409973176e-6	0.0013216647736101525	0.001106398717104775	AKAP9/MYL9/NMU/CHRNA3/CHRNB4/CNN1/ADORA1/ADRA2A/ADRA2C/ADRB2/EDN1/EDN2/F2R/GHSR/GPER1/NR4A1/KIT/RHOA/SMAD7/MYL5/PPP1R12B/ATP2B1/OXTR/RYR2/TACR2/TNNC1/UCN/CACNA1C/CACNB1/CALCA/CALM1/CALM2/CAMK2D/CASQ1/CAV1/KCNB2/GSTO1	37
GO:1904064	positive regulation of cation transmembrane transport	33/1732	133/16259	2.5807817501238786e-6	0.0013216647736101525	0.001106398717104775	AKAP9/CTSS/APLNR/EDN1/EDN3/EDNRA/F2R/GPER1/IL13/KCNC1/KCNE1/KCNN4/LHCGR/P2RX3/PDPK1/PKD2/PPP3CC/PPP3R2/RGS7/RYR2/CXCL11/STIM1/TRPC1/TRPC3/CACNA2D1/CALM1/CALM2/CASQ1/CAV1/GALR2/F2RL3/MS4A1/GSTO1	33
GO:0015837	amine transport	28/1732	104/16259	2.6528038466727072e-6	0.0013216647736101525	0.001106398717104775	CHRNA3/CHRNA4/CHRNA7/CHRNB2/CNR1/ADORA1/ADRA2A/ADRA2C/ARL6IP1/GHSR/GRM7/AQP9/LEP/OXTR/AVP/PRKCB/RAB3B/CXCL12/SDHD/SLC12A2/SNCG/STX1A/SYT4/SYT5/TACR2/TH/TNF/SV2A	28
GO:0051952	regulation of amine transport	26/1732	94/16259	3.4680457150677144e-6	0.0016126412575064872	0.0013499824267705694	CHRNA3/CHRNA4/CHRNA7/CHRNB2/CNR1/ADORA1/ADRA2A/ADRA2C/ARL6IP1/GHSR/GRM7/LEP/OXTR/AVP/PRKCB/RAB3B/CXCL12/SDHD/SLC12A2/SNCG/STX1A/SYT4/SYT5/TACR2/TNF/SV2A	26
GO:0034767	positive regulation of monoatomic ion transmembrane transport	35/1732	150/16259	5.811694993132911e-6	0.0024868562998561147	0.0020818097559406707	AKAP9/CTSS/ADRB2/APLNR/EDN1/EDN3/EDNRA/F2R/GPER1/IL13/KCNC1/KCNE1/KCNN4/LHCGR/NDUFA4/P2RX3/PDPK1/PKD2/PPP3CC/PPP3R2/RGS7/RYR2/CXCL11/STIM1/TRPC1/TRPC3/CACNA2D1/CALM1/CALM2/CASQ1/CAV1/GALR2/F2RL3/MS4A1/GSTO1	35
GO:0051928	positive regulation of calcium ion transport	29/1732	114/16259	6.061155139434258e-6	0.0024868562998561147	0.0020818097559406707	APLNR/F2R/MCHR1/GPER1/IL13/LHCGR/ATP2B1/P2RX3/PDPK1/PKD2/PPP3CC/PPP3R2/RYR2/CCL4/CXCL11/CXCL12/STIM1/TRPC1/TRPC3/UCN/CACNA2D1/CALM1/CALM2/CAMK2A/CASQ1/CAV1/F2RL3/MS4A1/GSTO1	29
GO:1904036	negative regulation of epithelial cell apoptotic process	18/1732	54/16259	6.428411199158127e-6	0.0024910093396737745	0.002085286369691821	CDH5/RAMP2/ADAR/FGG/GATA2/IL4/IL13/NPC1/PDPK1/SERPINB13/PKHD1/BCL2/SRSF6/TMF1/SCG2/CFLAR/KRIT1/SEMA5A	18
GO:1904427	positive regulation of calcium ion transmembrane transport	23/1732	81/16259	7.754650805952304e-6	0.002846773124816701	0.002383105153496811	APLNR/F2R/GPER1/IL13/LHCGR/P2RX3/PDPK1/PKD2/PPP3CC/PPP3R2/RYR2/CXCL11/STIM1/TRPC1/TRPC3/CACNA2D1/CALM1/CALM2/CASQ1/CAV1/F2RL3/MS4A1/GSTO1	23
