ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0002026	regulation of the force of heart contraction	0.0051933064050779	26/16323	0.34615384615384615	3.2603977096187133	3.9753559578674658	9.76406847909628e-4	0.034223305347586205	0.02839094653773724	ADM/ADRB1/EDN2/GAA/MYH6/RYR2/CSRP3/CAMK2D/CAV1	9	12	-0.27165425367118085	0.7028131723600536
GO:0002367	cytokine production involved in immune response	0.015002885170225043	124/16323	0.20967741935483872	1.9749362470450271	3.755789810138499	5.119664045348769e-4	0.023942212269506085	0.01986196428530088	ARID5A/PKP3/IRAK3/DDX1/FFAR2/HFE/HK1/HLA-E/APOA1/IFNB1/IL1R1/IL4/KIT/SMAD7/MIF/MYD88/ACP5/SECTM1/BST2/TGFB1/TNF/TWIST1/TNFRSF14/RIPK2/BCL10/TRIL	26	NA	NA	NA
GO:0002687	positive regulation of leukocyte migration	0.016156953260242354	150/16323	0.18666666666666668	1.758199653779573	3.2150833784987167	0.0021127248972078825	0.04934457089461465	0.04093523579818099	ADAM10/LYVE1/CMKLR1/CX3CR1/EDN1/EDN2/EDN3/F7/VEGFD/SWAP70/NCKAP1L/IL1R1/RHOA/PIK3R1/PTK2/S100A7/CCL4/CCL20/CXCL12/TGFB1/C1QBP/TNF/C3AR1/VEGFB/TNFRSF14/FADD/TNFRSF18/RIPOR2	28	90	-1.1515773413744612	0.3110953940861143
GO:0002698	negative regulation of immune effector process	0.014425851125216388	126/16323	0.1984126984126984	1.868834666007199	3.3741426876059584	0.0014943736102013146	0.04361194950273711	0.03617957161540025	PARP3/IRAK3/CR1L/CX3CR1/FOXF1/GFER/NCKAP1L/HFE/HLA-B/HLA-E/APOA1/IFNB1/KLRD1/SMAD7/SERPINB9/ACP5/MASP1/PTPN6/SPI1/BST2/TMBIM6/TGFB1/SERPING1/TNF/TWIST1	25	70	-1.0135915984005581	0.3553850465461367
GO:0002700	regulation of production of molecular mediator of immune response	0.021350259665320254	190/16323	0.19473684210526315	1.8342120448264343	3.9861534381335098	1.9104996869385134e-4	0.013737871460202196	0.0113966541281617	PARP3/ARID5A/PKP3/IRAK3/DDX1/FFAR2/HFE/HK1/HLA-E/APOA1/IFNB1/IL1R1/IL4/IL5/IL13/IL17A/KIT/SMAD7/MIF/MYD88/PGC/ACP5/PKN1/SECTM1/STAT6/BST2/TMBIM6/TGFB1/TNF/TWIST1/TNFRSF4/NSD2/TNFRSF14/RIPK2/BCL10/CD28/TRIL	37	78	-0.7297630952647672	0.4650753345012518
GO:0002701	negative regulation of production of molecular mediator of immune response	0.006924408540103866	45/16323	0.26666666666666666	2.5117137911136758	3.4997226808159203	0.0020153371316795686	0.048979012172351885	0.04063197584024423	PARP3/IRAK3/HFE/APOA1/IFNB1/SMAD7/ACP5/BST2/TMBIM6/TGFB1/TNF/TWIST1	12	19	-0.4435045105978402	0.6043221799952908
GO:0002704	negative regulation of leukocyte mediated immunity	0.009809578765147143	70/16323	0.24285714285714285	2.287453631192812	3.720250390844791	8.353932415159741e-4	0.03066772557670484	0.02544131107264992	PARP3/CR1L/CX3CR1/FOXF1/GFER/NCKAP1L/HFE/HLA-B/HLA-E/IFNB1/KLRD1/SMAD7/SERPINB9/PTPN6/SPI1/BST2/TGFB1	17	46	-0.9794002336522791	0.3672266808336492
GO:0002718	regulation of cytokine production involved in immune response	0.015002885170225043	123/16323	0.21138211382113822	1.990992639297426	3.8021023127915146	4.491342750060123e-4	0.02187702601384257	0.01814872846603926	ARID5A/PKP3/IRAK3/DDX1/FFAR2/HFE/HK1/HLA-E/APOA1/IFNB1/IL1R1/IL4/KIT/SMAD7/MIF/MYD88/ACP5/SECTM1/BST2/TGFB1/TNF/TWIST1/TNFRSF14/RIPK2/BCL10/TRIL	26	54	-0.7148596897621923	0.4715857814997454
GO:0002719	negative regulation of cytokine production involved in immune response	0.005770340450086555	34/16323	0.29411764705882354	2.770272563728319	3.561153612336028	0.002124703174557492	0.04934457089461465	0.04093523579818099	IRAK3/HFE/APOA1/IFNB1/SMAD7/ACP5/BST2/TGFB1/TNF/TWIST1	10	17	-0.5146004322815703	0.5668854703445056
GO:0002761	regulation of myeloid leukocyte differentiation	0.017311021350259664	124/16323	0.24193548387096775	2.278772592744262	4.926271936108939	1.1623720449163718e-5	0.002384572062732851	0.001978191681394829	FSTL3/TOB2/FOS/MTOR/GATA2/IL4/IL5/IL17A/INHBA/INPP5D/LYN/MITF/NF1/PIK3R1/PTPN2/RARA/TAL1/TGFB1/TNF/C1QC/CALCA/CAMK4/CASP8/TNFSF11/RUNX1/RIPK1/FADD/TNFRSF11A/CD4/GPR55	30	58	-0.6432178101036639	0.5039897619901966
GO:0002762	negative regulation of myeloid leukocyte differentiation	0.008655510675129832	55/16323	0.2727272727272727	2.568798195457168	4.016425041622478	4.487518875822782e-4	0.02187702601384257	0.01814872846603926	FSTL3/TOB2/GATA2/IL4/INHBA/INPP5D/LYN/NF1/PIK3R1/PTPN2/RARA/C1QC/CALCA/RUNX1/GPR55	15	25	-0.49479780498539067	0.5771197873955863
GO:0003014	renal system process	0.016156953260242354	129/16323	0.21705426356589147	2.044418202069271	4.104408155908941	1.7313660184940324e-4	0.01372304315794986	0.011384352875193418	CORO2B/CORIN/CHRNA3/CHRNB2/CHRNB4/COMT/ADM/ADORA1/CLDN4/CYP4A11/EDN1/EDNRA/EDNRB/EMP2/F2R/AQP2/ITGA3/RHOA/NPR3/OPRL1/PCSK5/PRKACB/PKN1/BCL2/BMP4/SLC15A2/NPHS2/AKR1C3	28	48	-0.522968681952087	0.5626052145286907
GO:0003044	regulation of systemic arterial blood pressure mediated by a chemical signal	0.008078476630121177	45/16323	0.3111111111111111	2.930332756299288	4.468854731930225	1.5226467615816236e-4	0.012967659246381512	0.010757701999978745	ATP6AP2/CORIN/COMT/ADRB1/ADRB2/EDN1/EDN2/EDN3/EDNRB/F2R/RHOA/OXTR/PCSK5/SLC2A5	14	17	-0.17812819566035742	0.7611739822920601
GO:0003071	renal system process involved in regulation of systemic arterial blood pressure	0.0051933064050779	25/16323	0.36	3.3908136180034623	4.122938822710976	7.041684028185393e-4	0.02759311578460287	0.022890678357738087	CORO2B/COMT/ADORA1/CYP4A11/EDNRB/EMP2/F2R/RHOA/PCSK5	9	4	0.8269580349969289	1.5648235684989873
