GeneID	GSE16250_GPL570_MTB_control_blood_pmbc_up.tsv	GSE18794_GPL6244_MTB_Cpn60.1_control_2h_blood_monocytes_up.tsv	GSE19491_GPL6947_PTB_control_blood_whole_blood_up.tsv	GSE34151_GPL10558_MTB_control_blood_dcs_up.tsv	GSE39941_GPL10558_MTB_HIVneg_control_blood_whole_blood_up.tsv	GSE39941_GPL10558_MTB_HIVpos_control_blood_whole_blood_up.tsv	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_up.tsv	GSE83456_GPL10558_EPTB_control_blood_up.tsv	GSE83456_GPL10558_PTB_control_blood_up.tsv	GSE119143_GPL17586_MTB_control_blood_pbmc_up.tsv	GSE139871_GPL10558_MTB_control_blood_monocyte_up.tsv
10007	0	0	0.22965550237418164	0	0	0	0	0	0	0	0
1001	0	0	0	0	0	0	0	0	0	0	0
10013	0	0	0	0	0	0	0	1.4303331209850327	1.4303331209850327	0	0
10038	0	0.14576400385173768	0	0	0	0	0	0	0	0	0
10046	0	0	0	0	0	0	0	0	0	0	0
10049	0	0	0	0	0	0	0	0	0	0	0
10051	0	0	0	0	0	0	0	1.1107950807322766	1.1107950807322766	0	0
10057	0	0	0.30750301217787546	0	0	0	0	0	0	0	0
10058	0	0	0	0	0	0	0	0	0	0.029621891539400647	0
10059	0	0	0	0	0	0	0	0	0	0	0
10099	0	0	0	0	0	0	0	0	0	0	0
10112	0	0	0	0	0	0	0	0	0	0	0
10123	0	0	0	0	0	0	0	0	0	0	0
10131	0	0	0	0	0	0	0	0	0	0.30923432297713616	0
10146	0	0	0	0.07049067702933327	0	0	0	0	0	0.062071182056899765	0
10150	0	0	0	0.07049067702933327	0	0	0	0	0	0	0
10153	4.863415854269973	0	0	0.07049067702933327	0	0	0	0	0	0	0
10165	0	0	0	0.07049067702933327	0	0	0	0	0	0.22605563023591516	0
1017	0	0	0	0	0	0	0	0	0	0	10.694820529467556
10174	0	0.4227555135482117	0	0.07049067702933327	0	0	0	0	0	0	0
10180	0	0.1379769095481984	0	0.037002118659114215	0	0	0	0	0	0.3194812527137807	0
1019	0	0	0	0	0	0	0.3395033975901831	0	0	0	0
10190	0	0.9524947062436302	0	0.037002118659114215	0	0	0	0	0	0	0
102	0	0	0	0	0	0	0	2.862420108608474	2.862420108608474	0	0
10206	0	0.754952551851227	0	0.037002118659114215	0	0	0	0	0	0	0
1021	0	0	0	0	0	0	0.6451454912799264	27.34762115279896	27.34762115279896	0	0
1022	0	0	0	0	0	0	0	0	0	0	0
10221	0	0	0	0	0	0	0	0	0	0	0
10227	0	0	0	0	0	0	0	0	0	0	0
10237	0	0	0	0	0	0	0	0	0	0	0
10245	0	0	0	0	0	0	0	0	0	0.9221044322147656	0
1026	0	0	0	0	0	0	0	0	0	0	0
1027	3.017410291322101	0	0	0	0	0	0	0	0	0	0
10270	0	0	0	0	0	0	0	0	0	0	0
10273	0	0.4097627058717444	0	0	0	0	0	0	0	0	0
10276	0	0	0	0	0	0	0	4.4441359275872205	4.4441359275872205	0	0
10285	0	0.03063735661950417	0	0	0	0	0	0	0	0	0
1029	0	0	0	0	0	0	0	0	0	0	0
10298	0	0	0	0	0	0	0	0	0	0	0
10318	0	0	0	0	0	0	0	0	0	0	0
10320	0	0.324817902311771	0	0	0	0	0	0	0	0	0
10329	0	0	0	0	0	0	0	0	0	0	0
10362	0	0.052222395482649175	0	0	0	0	0	0	0	0	0
10398	0	0	0	0	0	0	0	0	0	0	0
10434	0	0	0	0	0	0	0	0	0	0	0
10450	0	0	0	0	0	0	0	0	0	0	0
10451	0	0	0	0	0	0	0	0	0	0	0
10489	0	0	0	0	0	0	0	0	0	0	0
10491	0	0	0	0	0	0	0	0	0	0	0
10493	0	0	0	0	0	0	0	0	0	0	0
10494	0	0	0	0	0	0	0	0	0	0	0
1050	0	0	0	0	0	0	1.0123446399378655	0	0	0	0
10513	0	0	0	0	0	0	0	0	0	0	0
1052	0	0	0	0	0	0	0	0	0	0	0
10523	0	0	0	0	0	0	0	0	0	0	0
10525	0	0	0	0	0	0	0	0	0	0	0
10557	0	0	0	0	0	0	0	0.7852307294947473	0.7852307294947473	0	0
10559	0	0	0	0	0	0	0	0	0	0	0
10589	0	0	0	0	0	0	0	0	0	0	0
10606	0	0	0	0	0	0	0	0	0	0.5229828425801679	0
10610	0	0	0	0	0	0	0	0	0	0.004858900746123052	0
10617	0	0	0	0	0	0	0	0	0	0	0
1062	0	0	0	0	0	0	0	2.165527921556121	2.165527921556121	0	0
10641	0	0.11377618336440865	0	0	0	0	0	0.9201123908697768	0.9201123908697768	0	0
10644	0	0	0	0	0	0	0	0	0	0	0
10652	0	0	0	0	0	0	0	0	0	0	0
10668	0	0	0	0	0	0	0	0	0	0	0
10670	0	0	0	0	0	0	0	0	0	0	0
10681	0	0	0	0	0	0	0	0	0	0	0
10682	0	0	0	0	0	0	0	0	0	0	0
10695	0	0	0	0	0	0	1.7256088519844577	0	0	0	0
1070	0	0	0	0	0	0	0	0	0	0	0
10730	0	0	0	0	0	0	0	0	0	0	0
10732	0	0	0	0	0	0	0	0	0	0.48179158948726153	0
10765	0	0	0	0	0	0	0	0	0	0	0
10775	0	0	0	0	0	0	0.39027071581435946	0.9701571944980172	0.9701571944980172	0	0
10776	0	0	0	0	0	0	0	0	0	0	0
10782	0	0	0	0	0	0	0	0	0	0	0
10797	0	0	0	0	0	0	0	0	0	0	0
10810	0	0	0	0	0	0	0	0	0	0	0
10813	0	0	0	0	0	0	0	0	0	0	0
10818	0	0	0	0	0	0	0	0	0	0	0
10845	0	0	0	0	0	0	0.6642479444974971	0	0	0.0638252023916821	0
10857	0	0	0	0	0	0	0	0	0	0	0
10892	0	0	0	0	0	0	0	0	0	0.09143590380741616	0
10898	0	0	0	0	0	0	0.5742238748073758	0	0	0	0
10904	0	0.5341431224204709	0	0	0	0	0	0	0	0	0
10915	0	0.5336261176390693	0	0	0	0	0	0	0	0.979738194440861	0
10921	0	0	0	0	0	0	0	0	0	0	0
10953	0	0	0	0	0	0	0	0	0	0	0
10954	0	0	0	0	0	0	0	0	0	0	0
10962	0	0.3936477129270497	0	0	0	0	0	0	0	0	0
10969	0	0	0	0	0	0	0	0	0	0	0
10972	0	0	0	0	0	0	0	0	0	0	0
10973	0	0	0	0	0	0	0	0	0	0	0
11000	0	0	0	0	0	0	0	0	0	0	0
11004	0	0	0	0	0	0	0	0	0	0	0
11007	0	0	0	0	0	0	0	0	0	0	0
11011	0	0	0	0	0	0	9.056015703971834	0	0	0	0
11014	0	0	0	0	0	0	0	0.7365667329438923	0.7365667329438923	0	0
11031	0	0	0	0	0	0	0	0	0	0	0
11041	0	0	0	0	0	0	0	0	0	0	0
11044	0	0.4687756453929411	0	0	0	0	0.9034565860587168	0	0	0	0
11065	0	0	0	0	0	0	0	0	0	0	0
11072	0	0	0	0	0	0	0	0	0	0	0
11073	0	0	0	0	0	0	0.48691673898923016	0	0	0	0
11098	0	0	0	0	0	0	0	0	0	0	0
1111	0	0	0	0	0	0	0	0	0	0	0
11137	0	0	0	0	0	0	0	0	0	0	0
11142	0	0	0	0	0	0	0	0	0	0.014407031740446108	0
11151	0	0	0	0	0	0	0	0	0	0	0
11157	0	0.3974873563829324	0	0	0	0	0	0	0	0	0
11168	0	0	0	0	0	0	0.4242298136669555	0	0	0	0
11182	0	0	0	0	0	0	0	0	0	0	0
11188	0	0	0	0	0	0	0	0	0	0	0
11200	0	0	0	0	0	0	0	0	0	0	0
1123	0	0	0	0	0	0	0	0	0	0	0
11230	0	0	0	0	0	0	0	0	0	0	0
11232	0	0	0.5280886340435629	0	0	0	0	0	0	0	0
11261	0.5335410877552167	0	0	0	0	0	0	0	0	0	0
11284	0	0	0	0	0	0	0	0	0	0	0
11319	0	0	0	0	0	0	0	0	0	0	0
11325	0	0	0.3021564593256099	0	0	0	0	0	0	0	0
11344	0	0	0	0	0	0	0	0	0	0	0
1153	0	0.373705214638637	0	0	0	0	0	0	0	0	0
116832	0	0	0	0	0	0	0	0	0	0	0
1212	0	0	0	0	0	0	1.1091731162057723	0	0	0	0
1213	0	0.21743955989562191	0	0	0	0	0	0	0	0	0
124583	0	0	0	0	0	0	0	0	0	0	0
1277	0	0	0	0	0	0	2.0436085983291274	0	0	0	0
128	0.5693152200969952	0.4465202823882297	0	0	0	0	0	0	0	0	0
1282	0	0	0	0	0	0	0	0	0	0	0
1385	0	0.1595900542876143	0	0	0	0	0	0	0	0.352198229108013	0
1398	0	0	0	0	0	0	0	0	0	0	0
1399	0	0	0	0	0	0	0	0	0	0	0
142	0	0	0	0	0	0	2.448436128622093	0	0	0	0
1429	0	0	0	0	0	0	0	0	0	0	0
1445	0	0	0	0	0	0	0	0	0	0	0
1452	0	0	0	0	0	0	0	0	0	0.7413586910416043	0
1454	0	0	0	0	0	0	9.034538256966393	0	0	0	0
1459	0	0	0	0	0	0	0	0	0	0.4765588039428028	0
1465	0	0	0	0	0	0	0	0	0	0	0
147179	0	0	0	0	0	0	0	0	0	0	0
148022	0	0	0	0	0	0	0	0	0	0	0
1500	7.81386920929212	0	0	0	0	0	0.5420972320865021	0	0	0	0
1509	0	0	0	0	0	0	0	0	0	0	0
1514	0	0	0	0	0	0	0	0	0	0	0
1534	0	0	0	0	0	0	0	0	0	0	0
154	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	1.0601720255044405	0	0	0	0
1605	0	0	0	0	0	0	0	0	0	0	0
1616	0	0	0	0	0	0	0	0	0	0.1423357301130106	0
1633	0	0.7035511761476791	0	0	0	0	0	0	0	0	0
1635	0	0	0	0	0	0	0	0	0	0	0
1643	2.5627767668450923	0	0	0	0	0	0	0	0	0	0
1647	0	0	0	0	0	0	0	0	0	0	0
1662	12.355034400037232	0	0	0	0	0	0	0	0	0	0
1666	0	0	0	0	0	0	0	0	0	0	0
1676	0	0	0	0	0	0	0.6457530540818452	0	0	0	0
1677	0	0	0	0.047174839218667386	0	0	0	0	0	0	0
1738	0	0	0	0	0	0	0	0	0	0	0
1759	0	0	0	0	0	0	0	0	0	0	0
178	0.554298940712028	0	0	0.11173189635079606	0	0	0	0	0	0	0
1786	0	0	0	0	0	0	0	0	0	0	28.252453269567127
1788	0	0	0	0	0	0	0	0	0	0	0
1802	0	0	0	0	0	0	0	0	0	0	0
1829	0	0	0	0	0	0	0	0	0	0	0
1831	0	0	0	0.10403573098345842	0	0	0	0	0	0	0
1845	0	0	0	0	0	0	0	0	0	0	0
1846	0	0	0	0	0	0	0	0	0	0	0
1848	0	0	0	0	0	0	0	0	0	0	0
1861	0	0	0	0	0	0	0	0	0	0	0
1870	0	0	0	0	0	0	0.8928624868057328	0	0	0	0
1891	0	0	0	0	0	0	0	0	0	0	0
1906	0	0	0	0	0	0	0	0	0	0	0
1950	0	0	0	0	0	0	0	0	0	0	0
1956	0	0	0	0	0	0	0	0	0	0	0
1958	0	0	0	0	0	0	0	1.600587918959004	1.600587918959004	0.37742961110788886	0
1978	0	0	0	0.03958166624605125	0	0	0	0	0	0	0
1981	0	0.02031257009309173	0	0	0	0	0.6530243124261251	0	0	0	0
