aggregated_GeneScores	GeneID
-0.16811764262574536	10007
-0.2968566904794612	1001
-0.1069027614745591	10049
-1.0419215667885091	10123
-0.06041602565150452	10146
-0.440515082278785	10153
-0.29934568449642085	102
-0.08144744633566893	1022
-0.034004187325816095	10227
-0.17402746353457868	1026
-0.18052395554550282	1027
-0.17402746353457868	1029
-0.08992347467558819	10298
-0.04812722315899675	1050
-0.03641215609205752	10557
-0.039012131715922556	10589
-1.0157125594315797	10617
-0.07768851848145278	1062
-0.12853487000187522	10668
-0.0531232096568692	10681
-0.38714040078365664	10682
-0.04035092319446507	10775
-0.08118537317048816	10892
-0.7045972473691388	10898
-0.10517406046576001	10915
-0.07001233447735603	10921
-1.109627956499903	10969
-0.3195191882063256	10972
-0.06139586513068491	11031
-0.34544399387711805	11065
-0.033847612157159646	11072
-0.07567520847055438	11073
-0.08161262944848113	11137
-0.07865781614349789	11142
-0.10927991854049315	11182
-1.4246322330026329	11344
-0.377665773855467	1282
-0.2976764839830475	142
-0.10712287787391177	1509
-0.46071345363207794	154
-0.812955058385785	16
-0.2502174387753234	1616
-0.03107628557161397	1662
-0.19038594996366087	1788
-0.4147826095226117	1831
-0.24770569639657056	1846
-0.09561216068624206	1891
-0.06986682244609069	1956
-0.07021411070137433	1958
-0.0483911116974411	2042
-0.03933761645706314	2058
-0.37107479324997167	211
-0.3666835756889832	2113
-0.4584074019179363	2184
-0.031165965126994266	22823
-0.34747340511792857	22889
-0.23350984058932017	22926
-0.037675442731367706	23013
-0.03725567656258727	23029
-0.07308842001207114	23038
-0.42942193373027404	23076
-0.5985302759857762	23212
-0.06644277931264597	23223
-0.05762023510006079	23224
-0.29964824189967953	23326
-0.29499220171252066	23365
-0.1461119673915762	23368
-0.10610667313811777	23378
-0.38687788351464675	2353
-0.05024785829686466	23536
-0.06955639795087314	2523
-0.1260435308743966	2542
-0.032551075378107176	25839
-0.04034258144589088	26036
-0.20417938552838424	2625
-0.06949752774517375	2673
-0.031841396989544926	2771
-0.6954901945231834	2852
-0.10606753554689037	28969
-0.03666658159055698	2946
-0.22937269308135447	2956
-0.15979746179341947	2961
-0.09537358098239865	29937
-0.07786453445442863	30001
-0.11210829333154146	3033
-0.34248706520463285	3066
-0.5766954009363975	3300
-0.3841016400252536	3308
-1.9354086048926793	3315
-0.13413103568737234	3329
-0.03209851655963826	3398
-0.5146351108538757	3454
-0.08694916781320472	3482
-0.05317938174306603	3682
-0.0698491655130414	3725
-0.04519179220212784	3800
-0.10811947329543342	4208
-0.05537814608916416	4331
-0.6675734902257159	4482
-0.12108717015517682	4616
-0.0647611765714706	466
-0.4778810674628603	4794
-1.0577105196923016	4850
-0.9079400551138013	4860
-0.10764731708171249	4998
-0.09645046433145649	5054
-0.1378612544401556	5092
-0.04566470882387328	5154
-0.6399675975575561	5261
-0.03130807515660561	5355
-0.04849431793916462	5547
-0.12535490808284647	5603
-0.7701010917872404	5613
-0.1330046204270774	5699
-0.05330827762544973	5710
-0.44796613269962693	5716
-0.278801297799494	5720
-0.7427805763173929	5777
-0.048666055034730316	581
-0.06401815988380948	5829
-0.10428182915985171	5836
-0.06774363740095887	5867
-0.8236099396405501	5873
-0.13605110227661157	5880
-0.0834492311510371	5925
-0.04857690112188347	5982
-0.3897696989666305	5997
-0.041521553888503183	6184
-0.04319107096753411	6195
-0.05046202494199169	6251
-0.203106585345103	6342
-0.1640048343138598	6347
-3.0115733622246066	6390
-0.47083912629247837	652
-0.1263593501493734	665
-0.033371003543454215	6657
-0.47667497102968026	6676
-0.04402686963938213	6696
-0.39129485469124853	6697
-0.06680870846807244	670
-0.035436348808314956	6777
-0.3789641510722409	6790
-0.1502645466912805	6839
-0.3249910956804545	6894
-0.06188070316337084	6909
-0.11087501076725988	6915
-0.23963707081462535	6944
-0.05495900786675321	6990
-0.1603895521568081	7016
-0.03826809217616594	7077
-0.3359974914792939	7158
-0.6125364737638762	7264
-0.5917400419177055	7358
-0.0616962727149562	7376
-0.0712938355597053	7466
-0.2520667277852565	7485
-0.4816126542473762	7690
-0.5078982058594638	7849
-0.44719489395669987	7866
-1.4308495666258116	7874
-0.05731031392905756	8050
-0.03511290462943503	8202
-0.3851193893807763	8204
-0.280887167412263	823
-0.09741565253553518	8318
-0.033151422291030325	8349
-0.12843759852766357	8396
-0.3722721652898937	8440
-0.08791710920148808	8444
-0.042617603363273956	8503
-1.820975393975143	8553
-0.06814966380144524	8607
-0.3679617683378669	8624
-0.11448265814279845	8720
-0.6167722739866048	874
-0.3543519056674639	8800
-0.08037638194791184	8821
-0.30333557941803035	8851
-0.425137944519999	9143
-0.1299173853446416	9267
-0.25718836781328674	9289
-0.09690066376132087	9653
-0.08118582800967028	9702
-0.29465479633082087	9703
-0.04900816039490798	9710
-0.45686465861459924	976
-0.40064663388558786	9761
-0.06601807950268114	9801
-0.613746932852983	9833
-1.6275197307561644	9842
-0.03972947786514206	9868
-0.053510186638645055	9897
-0.10990099070576652	9926
-0.1302531432560254	9928
-0.49249898354034727	994
-0.11522694582294123	9961
