GeneID	GSE16250_GPL570_MTB_control_blood_pmbc_dn.tsv	GSE18794_GPL6244_MTB_Cpn60.1_control_2h_blood_monocytes_dn.tsv	GSE19491_GPL6947_PTB_control_blood_whole_blood_dn.tsv	GSE34151_GPL10558_MTB_control_blood_dcs_dn.tsv	GSE39941_GPL10558_MTB_HIVneg_control_blood_whole_blood_dn.tsv	GSE39941_GPL10558_MTB_HIVpos_control_blood_whole_blood_dn.tsv	GSE42830_GPL10558_MTB_control_blood_whole_blood_dn.tsv	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_dn.tsv	GSE83456_GPL10558_EPTB_control_blood_dn.tsv	GSE83456_GPL10558_PTB_control_blood_dn.tsv	GSE119143_GPL17586_MTB_control_blood_pbmc_dn.tsv	GSE139871_GPL10558_MTB_control_blood_monocyte_dn.tsv
10892	0	-0.4473294779133985	0	0	0	0	0	0	0	0	0	0
10898	0	0	0	0	0	0	0	0	0	0	0	0
10904	0	0	0	0	0	0	0	0	0	0	0	0
10915	0	0	-1.7453395872361337	0	0	0	0	0	0	0	0	0
10921	0	0	-0.2682547014243243	0	0	0	0	0	0	0	0	0
10953	-0.8147926394298017	0	0	0	0	0	0	0	0	0	0	0
10954	-0.0026227817655117835	0	0	0	0	0	0	0	0	0	-0.22821394570260436	0
10962	-0.03743797331651766	0	0	0	0	0	0	0	0	0	-0.3624199197389059	0
10969	-0.16427503909328411	-1.2781267370634026	0	0	0	0	0	0	0	0	-0.5909709320197838	0
10972	0	0	0	0	0	0	0	0	0	0	0	0
10973	0	0	0	0	0	0	0	0	0	0	0	0
11000	0	0	0	0	0	0	0	0	0	0	0	0
11004	0	0	0	0	0	0	0	0	0	0	0	0
11007	0	0	-0.11643430271487844	0	0	0	0	0	-0.1379512576384917	-0.1379512576384917	0	-0.5825436977367611
11011	0	0	0	0	0	0	0	0	0	0	0	0
11014	0	0	0	0	0	0	0	0	0	0	0	0
11031	-1.271381161833756	0	0	0	0	0	0	0	0	0	0	-0.2975588990248168
11041	0	0	0	0	0	0	0	0	0	0	0	-1.381132644788119
11044	0	0	0	0	0	0	0	0	0	0	0	0
11065	-1.035389477112771	0	0	0	0	0	0	0	0	0	0	0
11072	0	0	0	0	0	0	0	0	0	0	-0.4123198586104424	0
11073	-0.08985213921619128	0	0	0	0	0	-1.3586562607940484	0	0	0	0	0
11098	0	0	0	0	0	0	0	0	0	0	0	0
1111	-0.8774204887513541	0	0	0	0	0	0	0	0	0	0	0
11137	-0.018635854868525925	-0.384166838270201	-0.5735003554992705	0	0	0	0	0	0	0	0	0
11142	0	-0.34440358337955934	-0.8871228774222271	0	0	0	0	0	0	0	0	0
11151	-0.8926143982411	0	0	0	0	0	0	0	0	0	0	0
11157	0	0	-0.28468844498865487	0	0	0	0	0	0	0	0	0
11168	0	0	-0.06911523279608356	0	0	0	0	0	0	0	0	0
11182	0	0	-0.9929458094311786	0	0	0	0	0	0	0	-0.7055692519314452	0
11188	-0.004330813590866844	0	0	0	0	0	0	0	0	0	0	0
11200	0	0	0	0	0	0	0	0	0	0	0	0
1123	0	0	0	0	0	0	0	0	0	0	0	0
11230	-0.3010666227650597	0	0	0	0	0	0	0	0	0	0	0
11232	-0.6541996199320006	0	0	0	0	0	0	0	0	0	0	0
11261	0	0	0	0	0	0	0	0	0	0	0	0
11284	-2.0891337686899334	0	0	0	0	0	0	0	0	0	0	0
11319	-1.068205822104626	0	0	0	0	0	0	0	0	0	0	0
11325	0	0	0	0	0	0	0	0	0	0	0	0
11344	0	0	0	0	0	0	0	0	0	0	-0.3993298968081689	0
1153	0	0	0	0	0	0	0	0	0	0	0	0
116832	0	0	0	0	0	0	0	0	0	0	0	0
1212	0	0	0	0	0	0	0	0	0	0	-0.2148123173424028	0
1213	0	0	0	0	0	0	0	0	0	0	-0.25753743655776584	0
124583	0	0	0	0	0	0	0	0	0	0	0	0
1277	-0.9397667031337402	0	0	0	0	0	0	0	0	0	0	0
128	0	0	0	0	0	0	0	0	0	0	0	0
1282	0	0	0	0	0	0	0	0	0	0	0	0
