GeneID	GSE84076_MTB_control_blood_up.tsv	GSE148171_MTB_control_blood_PBMC_up.tsv	GSE198557_MTB_control_blood_PBMC_up.tsv	GSE132283_MTB_control_blood_macrophage_up.tsv	GSE143627_MTB_control_PBMC_macrophage_up.tsv	GSE148731_MTB_control_blood_monocytes_up.tsv	GSE174566_MTB_control_blood_PBMC_up.tsv	GSE193777_MTB_control_blood_up.tsv	GSE64179_MTB_control_blood_dendritic_cells_up.tsv	GSE64182_MTB_control_blood_dendritic_cells_up.tsv	GSE110564_MTB_control_blood_lymphatic_endothelial_cell_up.tsv	GSE141656_MTB_control_blood_blood_up.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE183912_MTB_control_blood_marcophages_up.tsv	GSE211974_MTB_control_blood_THP-1_up.tsv	GSE211974_MTB_control_48h_blood_THP-1_up.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_up.tsv
8284	8.571527376585408	0	0	0.01385991940604499	0	0	0	1.4731872419389136	0.2928830806346735	0	0.36752798281916327	0	0.22189638993498603	0	0.00168706866324892	0	0	0
9086	8.554389064600578	0.6102758837245316	1.060368860264545	0.36053884239151146	0.651443139531464	0.8256610645165261	0.4415825511318629	1.950142630973439	0.6238046700944999	0	0	0.279830094482159	0.15901127436564028	0.14698473072139723	0	0	0	0
5616	7.078345672240682	0	0	0.14374062585250347	0	0	0	0.903876911892822	0	0	0.05781786740069137	0.5029162393427086	0.5152622852632958	0.2732651324613381	0	0	0	0
107075141	6.03154438966217	0	0	0	0	0	0.05433783759708345	0.31646690892857304	0.41537104167653344	0	0	0.10510264756810447	0.0723291575865214	0	0	0	0	0.5991223344549792
8287	5.930006241066029	0	0	0	0.10405219629472348	0.6162833620131783	0	0.43251463397649065	0	0	0.5231117663263224	0.28775512535508424	0	0.06759864892921805	0	0.07488434671694134	0.07488434671694134	0
105377225	5.741849350756701	0	0	0.16185700152226704	0.5658842946698649	0.2065315870847052	0	0.22728855884330507	0.7295230058234601	0	0.03577508440745913	1.6870014490073677	0.40264797651371537	0.09821561792738104	0	0	0	0.4331504654188315
106478943	4.655011961881078	2.99212756207339	2.3422148500213056	0	0	0.00375265396411286	0.11440614846811673	0	0.3514698869663745	0	0.18036772509276705	0	0.09183233672468771	0	0	0	0	0.6076167653410887
100887749	4.541475911938932	0	0	0.10572502676325723	0	0.13481118579139287	0.0255798870799537	0.246133746195776	0	0	0	0	0.12915443264710083	0	0.01438431927049529	0.07244210286190775	0.07244210286190775	0.2878799080160386
3048	4.515950601130435	4.330487936949548	3.1034367033960035	0	0	0	0	1.251054334748203	0.4363186190244214	0	1.2889243246212336	0	0	0.6578262376344378	0	0	0	0
107075270	3.968409345078307	0	0	0	0	0	1.2729446880474673	0.27031378608021656	0.7542214832455022	0	0	0	0	0	0	0	0	0.4817122743808928
10107	3.70304898008771	0	0	0	0	0	0	0.9036759526522404	0	0	0	0	0	0	0	0	0	0
388344	3.6265155751023728	0	0	0.1656835121108466	0	0	0	0	0	0	0	0	5.039124919315857	0	0	0	0	0.13205030283987404
10562	3.601702125376101	7.208325586416647	0	0	0	0	0	1.563002744667102	0	0	0	0	0	0	0	0	0	0
54097	3.596989719999823	0	0	0	1.0241169881353192	0	0	0.6870010941984939	0.00204165143559978	0	0	0.16405795502141085	2.4494926725436583	0.2101460833731776	0	1.2671915516011965	1.2671915516011965	0.4529189499097701
284013	3.371034367451716	0	0	0.4186972262976186	2.593978576833479	0.4341838016674775	0	0	1.3977782036254682	1.1665353286014295	0	0.5132295743302597	0.2085667371256381	2.187073644101615	0.5582269943931721	0.314658939811959	0.314658939811959	0.4138282365481786
3848	3.229868573661008	0	1.2433595534413044	0	0	0	0	0.4483195576414351	0	0	0	0.34140991176950786	0.3874700435829328	0	1.112312495418922	0	0	0
8991	3.209463248873519	2.670478666800216	0.41909743284301904	0.5679567336722696	0	0	0.8367358176973119	1.6191961456487358	0	0	0.892832214379716	0	0	0	0	0	0	0.02138997067792047
137797	3.200400714334096	0	0	0.2608868743423801	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1668	3.1126031418271856	4.121260129041868	2.8583226384382465	0	0	0	0	1.405229278480889	0	0	0	0	0	0	0	0	0	0
55220	3.071467033588013	0	0	0	0	0	0	1.3677558348308216	0	0	0	0	0	0	0	0	0	0
2994	2.975615168507711	0	0	0.3264745517583599	0	0	0	1.6318334197608724	0	0	0.5815304659821913	0	0	0	0	0	0	0
389860	2.9337049366928007	0.5811431998811615	0.2639658690168929	0	0	0	0.36810339677194337	0	0	0	0	0	0	0	0	0	0	0
1669	2.9257785249861463	4.231603785881941	2.8027616901869106	0	0	0	0	1.0533304608391278	0	0	0	0	0	0	0	0	0	0
212	2.919486328412431	7.490290870811846	2.229972485360713	0	0	0	0.3296458641784227	1.716526172582269	1.79430567057009	0	0.4091143114521528	0	0	1.398391885436196	0	0	0	0
439996	2.9002758622019464	3.675080213080248	2.102846889934799	0	0	0	0	0.8005680760506028	0	0	0	0	0	0	0	0	0	0
2038	2.890957155332797	4.483889397141241	1.2493010583662558	0	0	0	0	1.2662601844285202	0	0	0	0	0	0	0	0	0	0
7280	2.879445304512132	2.4999869407577524	1.865312247468899	1.6649699715799813	0	0.224216814192722	0	1.0665371584430428	2.3731967820675632	3.664411392599936	0	1.807772009782177	0	0	0	0.02728266592307028	0.02728266592307028	0.25020591249624474
1675	2.8762483875352167	1.5922882945281256	0.9367510082861498	0	0	0	0	0.5285191831714979	0	0	0.31636643081040944	0.5354263002481703	0.4876435426918029	0	0.00337508710462537	0.12463667327073671	0.12463667327073671	0
727909	2.772750408738907	0	0.09244156846531378	0	0	0	0	0	0	0	0	0	0	0.8116054646332601	0.5316828620477608	0.2840256317009545	0.2840256317009545	0
3043	2.7244811968351903	6.4944360772494845	2.0136274400210823	0	0	0	0	1.5268116748067335	0.6188603797577227	0	0	0.6845842366965224	0	2.4237989863062186	0	0	0	0
10900	2.698331681946484	1.1169883584296068	0	0	0.30490430102634913	0.1902901265617041	0.22110646835454756	0.9861789370687142	0	0	0.2044134326663456	0.36636799005056486	0	0	0	0	0	0
51327	2.689160242024455	5.250658292851547	0.9580615800362582	0	0	0	0	2.603295566899063	0	0	0	0	0	0	0	0	0	0
3039	2.6588395137697742	5.658326218438068	0	0	0	0	0	0.7267416498588085	0.13372655483836854	0	0	0	0	0	0	0	0	0
3050	2.6437266731832203	0	0	0	0	0	0	0.7097404084527775	0	0	0	0	0	0	0	0	0	0
117583	2.637885198074001	0	0	0	0	0	0	0	1.888797352283006	0.7684579283737194	0	0	0	0.4507815572914562	0	0	0	0
3049	2.637511408228957	1.3242449653639403	0	0	0	0	0	1.157000294865531	0	0	0	0	0	0	0	0	0	0
6521	2.636086089390748	1.9866593148932044	0.2880965267010501	0.1365010284621478	0.11728337757928374	0	0.4600045929866716	0.9658573245572922	0.32279106809164854	0	0	0.687719688360174	0.10431298675914104	0.3188353443146309	0.6906119962538141	0.33558584992829965	0.33558584992829965	0
107075172	2.6059976497584287	0	0	0	0	0	0	0	0.35249537561929895	0	0.2918532450921361	0	0.44033790513039234	0	0.40660664984446937	0	0	0
1667	2.576959661542883	4.628313533350995	4.088828975537895	0	0	0	0	1.890731735264165	0	0	0	0	0	0	0	0	0	0
55384	2.5734345513149406	0	0	0.07233954663365598	1.4941397869640392	0.36437879062258505	0	0	0.5951659956282987	0	0	0	0	0	0	0.4685924408787175	0.4685924408787175	0.22968681535779176
56670	2.519840462064305	3.437768274157581	3.645723473641452	0	0	0	0	0.6696509633234969	0	0	0	0	0	0	0	0	0	0
10842	2.511114690058068	0.47607164969233057	0.5889356945662824	0	0	0	0	0	0	0	0	0.4827669349126376	0	0	0	0	0	0
83538	2.5104871082323736	0.6054608742562695	0	0.0493509381947337	0	0	0.594906653370915	0.7831062563730948	0.00883847454051551	0	0.6062994283657589	0	0.20370140953354648	1.3765241116829647	0	0.10950224640478542	0.10950224640478542	0
3620	2.4742810718506667	0	0	6.8316020439867575	6.7869576476029225	7.319280938656227	4.026402864857362	0	8.482590031045277	7.557380049793232	8.085141240857391	2.9030388615099683	3.4514770337509613	2.085599916164778	4.72151857496152	4.005224692822072	4.005224692822072	1.0602984693312192
79168	2.451193699916392	4.74319421284422	4.27381678212546	0.5341778441631161	0	0	0	0.8675294511754804	0.17051038964722912	0	0	0	0.20797722588144907	0	0	0.5205617682326439	0.5205617682326439	0
105369595	2.4510423781805177	0	0	0	0	0	0	0.4446333627701703	0	0	0	0	0	0	0	0	0	0
3040	2.428426023659809	4.814586888034844	0.854589006861617	0	0	0	0	0.3761464988390046	1.3322114644213123	0	0	1.6742477653456398	0	0	0	0	0	0
6423	2.42827757176844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.248019685792731	2.248019685792731	0
25893	2.419338413704625	0.01764596223437008	0	0.01334989438827692	0	0	0.2753844039326255	1.389750100504693	0.8191557795859815	0	0	0	0	0.3029220849791144	0	0	0	0
147700	2.3932137730187293	0	0	0	0	0	0	0.9664591344827884	0.3714288681854721	0	0	1.7152225028672468	0.1040473200506474	0	0	0.13562165849304958	0.13562165849304958	0.23945896499883365
51629	2.388317721830302	0.1359352639818862	0.24289731162780845	0	0	0	0.1387828269782938	1.0525016047861826	0	0.6811281267381276	0	0	0	0	0.13222244004274714	0	0	0
497190	2.364290329313547	0	0.3127606916514049	0	0	0	0	1.199098786325652	0	0	0.30018836761871104	0	0.5601586143820229	0	0	0	0	0
100506169	2.319717939323544	0	0	0.15261232471694552	0	0.04697358264281096	0.2513116243014336	0.48336575374004753	0.5011615788627483	0.07414400007126146	0.2341267072880793	0	0	0	0	0.5643749675393174	0.5643749675393174	0.02637449859294872
