GeneID	GSE148171_MTB_control	GSE157657_PTB_control	GSE112482_MTBilc1_control	GSE112482_MTBilc2_control	GSE112482_MTBilc3neg_control	GSE112482_MTBilc3pos_control	GSE112482_MTBnk_control	GSE112483_MTBam_control	GSE112483_MTBendo_control	GSE112483_MTBmait_control	GSE112483_MTBnkt_control	GSE129270_MTB72h_control	GSE129270_MTB120h_control	GSE198557_MTB_control	GSE67427_MTBrv4h_control	GSE67427_MTBrv18h_control	GSE110564_MTB_control
1	-1.2436579554698073	0.39009146795403665	0	0	0	0	0	0	0	0	0	0	0	-1.6213473811853487	0	0	0
100	0	0	0	0	0	0	0	0	0	0	0	0.7823261667513095	0	0	0	0	0
1000	0	-0.564507558914449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10000	0	-0.2553331185493239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29796716847891896
100009676	1.4470426150095148	0	0	0	0	0	0	0	0	0	0	0	0	1.4120268700019456	0	0	0
10001	0	-0.1079018247182537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10003	2.359856555636575	-0.34024127903016943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033411	0	1.3012705648073815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033418	0	0	0	0	0	0	0	0	0	0	0	1.4786923019894247	0	0	0	0	0
100033426	0	0	0	0	0	0	0	0	0	0	0	1.059140938512791	0	0	0	0	0
100033430	0	0	0	0	0	0	0	0	0	0	0	1.082148833391105	0	0	0	0	0
100033431	0	0	0	0	0	0	0	0	0	0	0	0.7865680783098935	0	0	0	0	0
100033432	0	0	0	0	0	0	0	0	0	0	0	1.3289853051962683	0	0	0	0	0
100033819	0	0	0	0	0	0	0	0	0	0	0	2.2694404211042345	0	0	0	0	0
100037417	0	0.28704386724069025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10004	-1.1798885092149292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100049587	3.1085522311911973	0	0	0	0	0	0	0	0	0	0	0	0	2.570945513984104	0	0	0
100049716	0	0.2602538281570233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45374442177306423
10005	0	0.3168644664013009	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.6481806858262802	0
10006	1.93544881342649	-0.1486222528592692	0	0	0	0	0	0	0	0	0	0	0	1.8471917155334427	0	0	0
10007	0	0.10526808756812847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10008	2.468042268042294	0	0	0	0	0	0	0	0	0	0	0	0	2.470752157525087	0	0	-1.597876709532399
10009	0	-0.24497912320961882	0	0	0	0	0	0	0	0	0	0.573614251513862	0	0	0	0	-0.5297512682464587
100093630	0	-0.41634827747408215	0	0	0	0	0	0	0	0	0	0.5493147101206423	0	0	0	0	0
100093631	0	-0.16171483948159301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4497801534829453
