significant_drug	CMAP	LINCS	Cor	occurrence
NECA	1	3	2	6
acamprosate	1	3	2	6
albendazole	1	3	2	6
altrenogest	1	3	2	6
aminoglutethimide	1	3	2	6
amiodarone	1	3	2	6
amoxapine	1	3	2	6
amperozide	1	3	2	6
atorvastatin	1	3	2	6
azaperone	1	3	2	6
azasetron	1	3	2	6
benazepril	1	3	2	6
bendroflumethiazide	1	3	2	6
benzonatate	1	3	2	6
bicalutamide	1	3	2	6
bisoprolol	1	3	2	6
brompheniramine	1	3	2	6
budesonide	1	3	2	6
bupropion	1	3	2	6
butoconazole	1	3	2	6
carbamazepine	1	3	2	6
carbinoxamine	1	3	2	6
carteolol	1	3	2	6
celecoxib	1	3	2	6
chloroquine	1	3	2	6
chlorphenamine	1	3	2	6
chlorpromazine	1	3	2	6
chlorprothixene	1	3	2	6
cimetidine	1	3	2	6
clofarabine	1	3	2	6
clonidine	1	3	2	6
crizotinib	1	3	2	6
curcumin	1	3	2	6
cyclopentolate	1	3	2	6
dasatinib	1	3	2	6
dexamethasone	1	3	2	6
dienestrol	1	3	2	6
diflunisal	1	3	2	6
dilazep	1	3	2	6
dipyridamole	1	3	2	6
disopyramide	1	3	2	6
docetaxel	1	3	2	6
doxorubicin	1	3	2	6
dydrogesterone	1	3	2	6
ephedrine	1	3	2	6
escitalopram	1	3	2	6
estradiol	1	3	2	6
estradiol-cypionate	1	3	2	6
estrone	1	3	2	6
ethinyl-estradiol	1	3	2	6
eugenol	1	3	2	6
ezetimibe	1	3	2	6
fasudil	1	3	2	6
felodipine	1	3	2	6
fenbendazole	1	3	2	6
fipronil	1	3	2	6
fluconazole	1	3	2	6
fludroxycortide	1	3	2	6
fluorometholone	1	3	2	6
flupentixol	1	3	2	6
flutamide	1	3	2	6
fluvastatin	1	3	2	6
formoterol	1	3	2	6
forskolin	1	3	2	6
fostamatinib	1	3	2	6
halcinonide	1	3	2	6
hesperidin	1	3	2	6
hexylresorcinol	1	3	2	6
icosapent	1	3	2	6
imiquimod	1	3	2	6
ipratropium	1	3	2	6
isotretinoin	1	3	2	6
isradipine	1	3	2	6
itraconazole	1	3	2	6
ketorolac	1	3	2	6
ketotifen	1	3	2	6
lapatinib	1	3	2	6
levocabastine	1	3	2	6
lisuride	1	3	2	6
lovastatin	1	3	2	6
mebendazole	1	3	2	6
medrysone	1	3	2	6
meloxicam	1	3	2	6
mepacrine	1	3	2	6
mestranol	1	3	2	6
metergoline	1	3	2	6
methoxsalen	1	3	2	6
metyrapone	1	3	2	6
midostaurin	1	3	2	6
minoxidil	1	3	2	6
mitotane	1	3	2	6
mometasone	1	3	2	6
montelukast	1	3	2	6
mosapride	1	3	2	6
moxonidine	1	3	2	6
mycophenolate-mofetil	1	3	2	6
mycophenolic-acid	1	3	2	6
nabumetone	1	3	2	6
naftopidil	1	3	2	6
naltrexone	1	3	2	6
naproxen	1	3	2	6
nateglinide	1	3	2	6
nemonapride	1	3	2	6
nifedipine	1	3	2	6
nilotinib	1	3	2	6
nitrendipine	1	3	2	6
nortriptyline	1	3	2	6
oxibendazole	1	3	2	6
oxybuprocaine	1	3	2	6
oxymetazoline	1	3	2	6
paclitaxel	1	3	2	6
panobinostat	1	3	2	6
papaverine	1	3	2	6
paroxetine	1	3	2	6
pefloxacin	1	3	2	6
perphenazine	1	3	2	6
phenazopyridine	1	3	2	6
pimozide	1	3	2	6
piretanide	1	3	2	6
piribedil	1	3	2	6
podophyllotoxin	1	3	2	6
probucol	1	3	2	6
procaterol	1	3	2	6
promazine	1	3	2	6
pyrimethamine	1	3	2	6
quercetin	1	3	2	6
raloxifene	1	3	2	6
reboxetine	1	3	2	6
resorcinol	1	3	2	6
resveratrol	1	3	2	6
rilmenidine	1	3	2	6
rimexolone	1	3	2	6
rizatriptan	1	3	2	6
ropinirole	1	3	2	6
rosuvastatin	1	3	2	6
sertraline	1	3	2	6
simvastatin	1	3	2	6
sirolimus	1	3	2	6
spironolactone	1	3	2	6
sulpiride	1	3	2	6
tamibarotene	1	3	2	6
tamoxifen	1	3	2	6
thalidomide	1	3	2	6
thiethylperazine	1	3	2	6
thioproperazine	1	3	2	6
thiotepa	1	3	2	6
thiothixene	1	3	2	6
tianeptine	1	3	2	6
tivozanib	1	3	2	6
tofacitinib	1	3	2	6
tolazamide	1	3	2	6
toremifene	1	3	2	6
trapidil	1	3	2	6
trazodone	1	3	2	6
treprostinil	1	3	2	6
triamcinolone	1	3	2	6
triamterene	1	3	2	6
triclosan	1	3	2	6
triflupromazine	1	3	2	6
valproic-acid	1	3	2	6
valsartan	1	3	2	6
varenicline	1	3	2	6
vemurafenib	1	3	2	6
verapamil	1	3	2	6
vinburnine	1	3	2	6
vincristine	1	3	2	6
vinpocetine	1	3	2	6
vorinostat	1	3	2	6
zolmitriptan	1	3	2	6
zuclopenthixol	1	3	2	6
amcinonide	1	2	2	5
azathioprine	1	3	1	5
belinostat	1	3	1	5
bifemelane	1	2	2	5
bosutinib	1	2	2	5
bumetanide	1	2	2	5
buphenine	1	2	2	5
cabergoline	1	2	2	5
carbenoxolone	1	2	2	5
cilostazol	1	2	2	5
dactinomycin	1	3	1	5
deferiprone	1	3	1	5
desipramine	1	2	2	5
diclofenac	1	2	2	5
donepezil	1	2	2	5
etacrynic-acid	1	3	1	5
gabexate	1	2	2	5
gemfibrozil	1	3	1	5
hydrocortisone	1	2	2	5
iloperidone	1	2	2	5
irinotecan	1	2	2	5
isoxsuprine	1	2	2	5
ivermectin	1	2	2	5
linezolid	1	2	2	5
maprotiline	1	2	2	5
maraviroc	1	2	2	5
mebeverine	1	2	2	5
methylprednisolone	1	2	2	5
molindone	1	2	2	5
nafcillin	1	2	2	5
nalbuphine	1	2	2	5
nicotinamide	1	2	2	5
nimesulide	1	2	2	5
olmesartan	1	2	2	5
oxiconazole	1	2	2	5
oxybutynin	1	3	1	5
ozagrel	1	2	2	5
penfluridol	1	2	2	5
pinacidil	1	2	2	5
pioglitazone	1	2	2	5
pizotifen	1	2	2	5
prednicarbate	1	2	2	5
prednisolone	1	2	2	5
propranolol	1	3	1	5
ranolazine	1	2	2	5
rifabutin	1	2	2	5
ruxolitinib	1	2	2	5
sotalol	1	3	1	5
sulindac	1	2	2	5
tacrolimus	1	2	2	5
talniflumate	1	2	2	5
temsirolimus	1	3	1	5
thiocolchicoside	1	3	1	5
tranilast	1	3	1	5
trifluoperazine	1	3	1	5
trimipramine	1	2	2	5
tropicamide	1	2	2	5
tubocurarine	1	2	2	5
vardenafil	1	2	2	5
vinblastine	1	3	1	5
xylazine	1	2	2	5
yohimbine	1	2	2	5
GR-235	0	3	2	5
amlodipine	0	3	2	5
amodiaquine	0	3	2	5
aniracetam	0	3	2	5
aprepitant	0	3	2	5
benzbromarone	0	3	2	5
betamethasone	0	3	2	5
betaxolol	0	3	2	5
biperiden	0	3	2	5
brinzolamide	0	3	2	5
bromocriptine	0	3	2	5
cetirizine	0	3	2	5
chenodeoxycholic-acid	0	3	2	5
cilastatin	0	3	2	5
citalopram	0	3	2	5
clarithromycin	0	3	2	5
clofibrate	0	3	2	5
clomifene	0	3	2	5
clozapine	0	3	2	5
coumarin	0	3	2	5
danazol	0	3	2	5
dantrolene	0	3	2	5
decitabine	0	3	2	5
dextromethorphan	0	3	2	5
diazoxide	0	3	2	5
dicycloverine	0	3	2	5
diethylcarbamazine	0	3	2	5
dihydroergocristine	0	3	2	5
diltiazem	0	3	2	5
doconexent	0	3	2	5
domperidone	0	3	2	5
dopamine	0	3	2	5
dosulepin	0	3	2	5
doxepin	0	3	2	5
doxylamine	0	3	2	5
econazole	0	3	2	5
