pert	cell	NCS
chenodeoxycholic-acid	A549	-1.1725711358500872
valproic-acid	NEU	-1.1723909279052604
sorafenib	FIBRNPC	-1.1713910198815016
dobutamine	MCF7	-1.1708460463030093
sulindac	A375	-1.170435775156616
cholic-acid	NPC	-1.1702550698537473
rosmarinic-acid	NPC	-1.169499680018887
ethinyl-estradiol	PC3	-1.1693911653385851
hyoscyamine	ASC	-1.1693744073177994
dexamethasone	PC3	-1.1692519378273485
timolol	A549	-1.1686851110201832
etacrynic-acid	A549	-1.1686099448751934
oxprenolol	A549	-1.1670482828712063
verapamil	A549	-1.166743266530861
prednisone	NPC	-1.1667262094077182
dantrolene	PC3	-1.1650946452743265
mifepristone	PC3	-1.1642097181107036
dexamethasone	A375	-1.163994142409979
varenicline	PC3	-1.1639139460118344
carbamazepine	HCC515	-1.1634978196741483
methantheline	A549	-1.1629975176193583
rifaximin	A549	-1.1613605575394668
dobutamine	HCC515	-1.161327840611167
forskolin	VCAP	-1.1605796348054027
diflunisal	ASC	-1.160113679366285
procaterol	VCAP	-1.1595052015293428
voriconazole	A549	-1.1586077418327905
tretinoin	HCC515	-1.1572282776499363
vinpocetine	MCF7	-1.1567856404574457
tranilast	PHH	-1.156664462424362
diflunisal	SKB	-1.1560499859139002
propofol	MCF7	-1.1556161966721596
ziprasidone	VCAP	-1.1552538359139497
chlorphenamine	PHH	-1.1552041609646175
rivaroxaban	PC3	-1.1550931545285736
fludarabine	SKB	-1.1550707710815964
thiocolchicoside	SKB	-1.1532827928643252
flupentixol	HA1E	-1.1531986391402296
levetiracetam	VCAP	-1.153144897230825
methylergometrine	NPC	-1.1530510243566554
amiodarone	HA1E	-1.151909545032887
prednisolone	MCF7	-1.15150509739406
ipratropium	A549	-1.151452276444076
protriptyline	PC3	-1.1512908427223454
mexiletine	A549	-1.149639450001118
molsidomine	ASC	-1.1495643605717747
prazosin	VCAP	-1.1490702447386694
rilmenidine	A375	-1.148853530978135
phenoxybenzamine	HCC515	-1.148494652117034
gabexate	A549	-1.1484127711362817
rilmenidine	FIBRNPC	-1.1483919765496935
quinine	A549	-1.1482000393881606
mepivacaine	MCF7	-1.1478975211098978
biotin	MCF7	-1.1472710475328451
cilostazol	A549	-1.147115609866876
maraviroc	A375	-1.1468830618893395
tolazamide	HT29	-1.1467602452183765
lidoflazine	NEU	-1.1466419828072034
bendroflumethiazide	NPC	-1.146294065039086
clonidine	MCF7	-1.1461994560716682
talniflumate	MCF7	-1.1458346316561547
ropivacaine	MCF7	-1.1451078213492
leflunomide	PC3	-1.1449083970422491
pinacidil	PHH	-1.144605501259969
oxybuprocaine	HCC515	-1.1445873048682256
cabergoline	HCC515	-1.1428683568723752
ketoprofen	A549	-1.1426190969656558
valsartan	A549	-1.1416154613984428
ketanserin	MCF7	-1.1412186843643708
cyclopentolate	MCF7	-1.1411262636421449
memantine	PC3	-1.138816547203727
noscapine	MCF7	-1.13830098683686
thalidomide	PHH	-1.1378739435141163
cefotaxime	MCF7	-1.137254802437866
trazodone	ASC	-1.1370447822549623
pirenzepine	MCF7	-1.136759731018706
amantadine	A549	-1.1360668404565382
ketoprofen	SKB	-1.1358083633872036
abiraterone	VCAP	-1.1354014846141445
vinburnine	HA1E	-1.1353044684534837
carbamazepine	NEU	-1.1351873124588063
methylergometrine	SKB	-1.1348893546025065
proxymetacaine	HCC515	-1.134281091224673
mebendazole	SKB	-1.1340710198980328
flutamide	PC3	-1.1340546410434085
dienestrol	SKB	-1.1340095187718542
lisuride	A549	-1.133912349834575
amlexanox	VCAP	-1.1330267027191347
dopamine	ASC	-1.132297416022426
