pert	cell	Tau
azaperone	PHH	-98.98762654668168
niacin	PHH	-98.65016872890888
NECA	VCAP	-98.49820437479596
disopyramide	HCC515	-98.19651741293532
ephedrine	VCAP	-97.84524975514202
albendazole	VCAP	-97.68201110022854
pancuronium	MCF7	-97.51243781094529
dopamine	A549	-97.5
panobinostat	SKB	-97.4764756201882
methoxsalen	PC3	-97.47174301011304
quercetin	VCAP	-97.4371531178583
valsartan	HCC515	-97.38805970149254
fenbendazole	VCAP	-97.32288605941886
propranolol	PC3	-97.27840571088636
tofacitinib	ASC	-97.18550106609808
mebendazole	VCAP	-96.88214169115246
olaparib	VCAP	-96.86581782566113
forskolin	A549	-96.82926829268293
resveratrol	FIBRNPC	-96.8174204355109
mometasone	PC3	-96.72813801308745
pindolol	PHH	-96.28796400449944
verapamil	MCF7	-96.26063232225968
tolbutamide	PC3	-96.25223081499108
hydrocortisone	VCAP	-96.14756774404178
itraconazole	HA1E	-96.07318161535028
benazepril	A549	-96.03658536585364
formoterol	VCAP	-95.80476656872348
estradiol-valerate	SKB	-95.68006843455946
ephedrine	NEU	-95.5959595959596
tivozanib	PC3	-95.55324211778704
diethylcarbamazine	MCF7	-95.47424169475204
benzydamine	PC3	-95.35990481856038
norepinephrine	NPC	-95.25240384615384
vinburnine	VCAP	-95.2007835455436
nemonapride	NEU	-95.15151515151516
citalopram	PC3	-95.09220701963118
mitoxantrone	PHH	-95.05061867266592
diflunisal	MCF7	-94.8804365270422
benzbromarone	MCF7	-94.47921681913016
moexipril	MCF7	-94.39897287754776
estrone	FIBRNPC	-94.30485762144056
treprostinil	A549	-94.1869918699187
tianeptine	PC3	-94.0957763236169
ketanserin	ASC	-94.02985074626864
topotecan	PHH	-93.7570303712036
dobutamine	MCF7	-93.46814315519178
nitrendipine	A549	-93.3130081300813
phenazopyridine	HA1E	-93.2619366354306
estradiol	A549	-93.15040650406505
phenoxybenzamine	HA1E	-92.9495760821062
verapamil	A549	-92.9471544715447
oxibendazole	VCAP	-92.9154423767548
mifepristone	PC3	-92.89113622843546
palmitoylethanolamide	VCAP	-92.81749918380672
rosuvastatin	HA1E	-92.8157072735386
naltrexone	MCF7	-92.7298988926336
etilefrine	VCAP	-92.71955599085864
phenoxybenzamine	HCC515	-92.53731343283582
thalidomide	MCF7	-92.32867918472157
rilmenidine	MCF7	-92.15214251324024
atorvastatin	HA1E	-92.05711735832216
tamoxifen	HA1E	-91.96787148594376
molsidomine	ASC	-91.94029850746269
montelukast	A549	-91.93089430894308
hexylcaine	A549	-91.8089430894309
rosmarinic-acid	PHH	-91.78852643419572
fostamatinib	HCC515	-91.72885572139305
halcinonide	PC3	-91.70136823319451
loxapine	A549	-91.64634146341464
dantrolene	PC3	-91.62700773349196
ephedrine	PC3	-91.58239143367044
belinostat	SKB	-91.57399486740805
pargyline	PC3	-91.5377751338489
enalaprilat	A549	-91.52439024390245
thalidomide	A375	-91.51422764227642
ethinyl-estradiol	PC3	-91.4187983343248
atorvastatin	PHH	-91.33858267716536
minoxidil	MCF7	-91.2855079441502
valproic-acid	NEU	-91.27272727272728
noscapine	VCAP	-91.1524649036892
nifedipine	A549	-90.97560975609755
nafcillin	MCF7	-90.9324346011876
norgestrel	MCF7	-90.9324346011876
icosapent	A549	-90.89430894308944
tranylcypromine	A549	-90.8739837398374
voriconazole	A549	-90.8130081300813
minoxidil	HT29	-90.7902924704418
fenoldopam	VCAP	-90.71172053542278
mefenamic-acid	NPC	-90.59495192307692
topotecan	SKB	-90.590248075278
nicorandil	A549	-90.5691056910569
cabergoline	HCC515	-90.48507462686568
clarithromycin	MCF7	-90.48306852832611
clofibrate	MCF7	-90.3225806451613
tianeptine	HA1E	-90.18295403837573
nifedipine	VCAP	-90.1403852432256
febuxostat	HCC515	-90.11194029850746
nemonapride	FIBRNPC	-89.9497487437186
varenicline	VCAP	-89.89552726085537
chloroquine	MCF7	-89.84111699566682
sertraline	PHH	-89.70753655793025
coumarin	HCC515	-89.61442786069652
citalopram	A549	-89.57317073170732
resorcinol	MCF7	-89.56828759428663
lypressin	VCAP	-89.5364022200457
phenazopyridine	PC3	-89.45568114217728
temsirolimus	MCF7	-89.39175092280533
trazodone	HCC515	-89.36567164179105
granisetron	PC3	-89.33670434265318
ranitidine	PHH	-89.31383577052868
quinine	A549	-89.28861788617886
formoterol	NEU	-89.25252525252526
methylergometrine	HCC515	-89.17910447761194
vemurafenib	A549	-89.16666666666667
NECA	PHH	-89.08886389201349
valsartan	A549	-89.0650406504065
mexiletine	A549	-88.9430894308943
chlorphenamine	PHH	-88.92013498312711
diflunisal	ASC	-88.91257995735607
mitotane	ASC	-88.91257995735607
norepinephrine	VCAP	-88.88344760039178
ubenimex	PHH	-88.86389201349832
trapidil	SKB	-88.75106928999145
hyoscyamine	ASC	-88.74200426439232
ephedrine	NPC	-88.70192307692308
ozagrel	MCF7	-88.65350666024715
itraconazole	A375	-88.61788617886178
diclofenac	FIBRNPC	-88.60971524288108
dactinomycin	SKB	-88.49443969204448
deoxycholic-acid	MCF7	-88.47696998876584
nimodipine	A375	-88.41463414634146
stiripentol	MCF7	-88.34857968223399
vinburnine	HA1E	-88.17492190986167
ruxolitinib	SKB	-88.15226689478186
chloroquine	A549	-87.9471544715447
lovastatin	HA1E	-87.86256135653726
resveratrol	MCF7	-87.8029208794736
oxprenolol	A549	-87.74390243902438
aniracetam	FIBRNPC	-87.60469011725294
isradipine	PC3	-87.52230814991077
eprosartan	VCAP	-87.49591903362716
trapidil	A549	-87.33739837398373
rimexolone	VCAP	-87.25106105125694
dexamethasone	PC3	-87.23973825104105
dopamine	MCF7	-87.20911571176376
iloperidone	PC3	-87.0464009518144
memantine	PC3	-87.0464009518144
alprenolol	A549	-86.93089430894308
oxprenolol	VCAP	-86.87561214495592
tolazamide	A375	-86.83943089430895
ziprasidone	VCAP	-86.79399281749919
cilastatin	PC3	-86.7935752528257
benzthiazide	HCC515	-86.75373134328359
urapidil	A549	-86.7479674796748
salmeterol	HA1E	-86.74698795180723
niflumic-acid	MCF7	-86.74370085058578
letrozole	PC3	-86.71921475312314
molindone	PC3	-86.71921475312314
ropinirole	MCF7	-86.69555448563634
bezafibrate	MCF7	-86.59926175573744
mebendazole	SKB	-86.52694610778443
oxybuprocaine	HCC515	-86.5049751243781
vardenafil	PHH	-86.44544431946007
sorafenib	FIBRNPC	-86.43216080402011
curcumin	MCF7	-86.35852993099022
bumetanide	PHH	-86.27671541057367
carbetocin	PC3	-86.04997025580012
palonosetron	PC3	-86.0202260559191
tolazamide	PHH	-85.9392575928009
forskolin	VCAP	-85.92882794645772
lidoflazine	NEU	-85.81818181818183
dexamethasone	MCF7	-85.76472476328037
meloxicam	MCF7	-85.7326271866474
gemfibrozil	A549	-85.71138211382113
toremifene	HA1E	-85.6760374832664
protriptyline	PC3	-85.48483045806069
pregnenolone	FIBRNPC	-85.42713567839196
urapidil	PC3	-85.41046995835812
felbamate	VCAP	-85.37381651975187
procaterol	VCAP	-85.19425399934704
amcinonide	MCF7	-85.17091959557054
mepivacaine	MCF7	-85.12277323062109
raltitrexed	NEU	-85.0909090909091
milrinone	PC3	-85.08328375966687
chenodeoxycholic-acid	A549	-85.08130081300813
lapatinib	SKB	-85.07271171941831
lisuride	A549	-85.04065040650406
dydrogesterone	VCAP	-84.99836761345087
dantrolene	ASC	-84.94669509594883
molindone	MCF7	-84.72155352270903
vidarabine	MCF7	-84.70550473439255
ketorolac	A549	-84.6951219512195
nifedipine	MCF7	-84.67340715775958
pimozide	HA1E	-84.64970995091477
fexofenadine	NPC	-84.6454326923077
indapamide	PC3	-84.63712076145151
amisulpride	A549	-84.59349593495935
xylazine	MCF7	-84.4808216979618
flavoxate	NPC	-84.43509615384616
temozolomide	A549	-84.41056910569105
triamcinolone	A375	-84.34959349593495
deferiprone	MCF7	-84.32033381479698
naloxone	A549	-84.22764227642276
ketoprofen	SKB	-84.17450812660394
hyoscyamine	A549	-83.98373983739837
oxybenzone	PC3	-83.95300416418799
levofloxacin	PC3	-83.92325996430696
scopolamine	ASC	-83.92324093816632
indapamide	A549	-83.8821138211382
fostamatinib	MCF7	-83.87096774193549
dexamethasone	A375	-83.79065040650406
fenoldopam	PC3	-83.77453896490185
imiquimod	HA1E	-83.57875948237394
metyrapone	MCF7	-83.48579682233992
rifaximin	A549	-83.45528455284553
esmolol	A549	-83.4349593495935
esmolol	VCAP	-83.41495266079008
zonisamide	VCAP	-83.41495266079008
lofexidine	MCF7	-83.4055528807575
terguride	HCC515	-83.3955223880597
cefotaxime	MCF7	-83.35740651580805
olmesartan	VCAP	-83.33333333333333
diflunisal	SKB	-83.23353293413173
amiodarone	HA1E	-83.17715305667113
balsalazide	MCF7	-83.11667469106082
hesperidin	MCF7	-83.11667469106082
meclofenamic-acid	MCF7	-83.10062590274434
timolol	A549	-83.04878048780488
reboxetine	MCF7	-82.98828438452897
temozolomide	MCF7	-82.89199165463008
nicotinamide	PC3	-82.88221296847115
sirolimus	A375	-82.8760162601626
methantheline	A549	-82.86585365853658
atovaquone	A549	-82.82520325203252
curcumin	PC3	-82.80785246876859
vinpocetine	A549	-82.78455284552845
panobinostat	HA1E	-82.64167782240071
tolazamide	HT29	-82.63845675171126
nevirapine	PC3	-82.43604997025581
dipivefrine	A549	-82.3780487804878
finasteride	MCF7	-82.36238164018617
treprostinil	MCF7	-82.36238164018617
palmitoylethanolamide	HCC515	-82.21393034825871
decitabine	SKB	-82.20701454234388
deferiprone	PC3	-82.10886377156454
curcumin	A549	-82.09349593495935
idebenone	A549	-82.09349593495935
tranilast	VCAP	-81.91315703558602
oxprenolol	PC3	-81.84116597263534
naproxen	HCC515	-81.8407960199005
somatostatin	SKB	-81.82207014542344
tibolone	PC3	-81.7965496728138
nicotine	MCF7	-81.78462526079281
ethinyl-estradiol	A549	-81.76829268292683
buphenine	A549	-81.7479674796748
cilostazol	MCF7	-81.68833253089392
resveratrol	HT29	-81.64281269446172
flupirtine	MCF7	-81.64018616594447
pinacidil	PHH	-81.60854893138358
saquinavir	PC3	-81.54372397382511
tofacitinib	MCF7	-81.47969828277965
betahistine	HCC515	-81.46766169154229
varenicline	PC3	-81.4098750743605
etacrynic-acid	A549	-81.40243902439025
labetalol	MCF7	-81.38340555288076
imiquimod	PC3	-81.32064247471743
levocabastine	A549	-81.26016260162602
quinine	PC3	-81.23140987507436
valproic-acid	VCAP	-81.21123081945805
