pert	cell	pearson
fostamatinib	SKBR3	-0.4155018776930666
dasatinib	SKBR3	-0.3209099239618467
atorvastatin	HEPG2	-0.2816388959953749
atorvastatin	HA1E	-0.2747485007060659
rosuvastatin	HA1E	-0.2719418747056115
atovaquone	MCF7	-0.2713755317143196
stiripentol	MCF7	-0.2676461032669072
fluvastatin	HA1E	-0.2670160670780358
verapamil	MCF7	-0.2653133156968999
methoxsalen	PC3	-0.26343903742940533
carbetocin	PC3	-0.26320269503477545
itraconazole	HA1E	-0.26146360728058576
resveratrol	A375	-0.2592019749934814
chloroquine	MCF7	-0.2590917766606423
temozolomide	MCF7	-0.25845231960335946
olanzapine	MCF7	-0.2573004941729984
thalidomide	MCF7	-0.2558593215953727
sorafenib	FIBRNPC	-0.25443871087239606
treprostinil	MCF7	-0.2485314260849028
mometasone	PC3	-0.24255195121325213
vecuronium	PC3	-0.2420568601309154
bucladesine	HEPG2	-0.23934471318900707
iloperidone	PC3	-0.2379067213310382
oxybenzone	PC3	-0.2370656345377285
sirolimus	A375	-0.23701305882794635
chlorphenamine	PC3	-0.23575486845866456
benzbromarone	MCF7	-0.23398190162332716
tubocurarine	NPC	-0.23304650219656609
acitretin	NEU	-0.2327174499719544
flavoxate	NPC	-0.23100690376704203
haloperidol	HA1E	-0.22942147891837308
nimodipine	A375	-0.22798979647555384
toremifene	HA1E	-0.2269544681012451
temozolomide	HT29	-0.22613479188305444
dopamine	MCF7	-0.2255709749756672
abiraterone	VCAP	-0.2251157791859575
procaterol	VCAP	-0.22481589127806215
salmeterol	HA1E	-0.2245752427828192
clonidine	MCF7	-0.22377057953810917
fenoldopam	VCAP	-0.22330347125923872
diltiazem	A549	-0.22109974142011107
prilocaine	VCAP	-0.2201486381286644
norepinephrine	NPC	-0.21900143937742825
lofexidine	PC3	-0.21794443701817853
cinacalcet	PC3	-0.2159355303819177
flunarizine	VCAP	-0.2156694173868116
olaparib	VCAP	-0.21564263829383268
tofacitinib	ASC	-0.21522442053607332
ketotifen	HCC515	-0.2149465582304868
lofexidine	MCF7	-0.2146077054860152
dantrolene	PC3	-0.2140333529601084
dopamine	VCAP	-0.2127402277242565
tamoxifen	HA1E	-0.2125846489625036
lovastatin	HA1E	-0.21251856748259484
quercetin	VCAP	-0.211789685847152
rilmenidine	A375	-0.21171334128579383
oxybuprocaine	HCC515	-0.2114308558709025
gliquidone	MCF7	-0.21134310149450555
temozolomide	PC3	-0.21109389701497883
