significant_drug	CMAP	WCS	NCS	Tau	Cor_pearson	Cor_spearman
GR-235	1	5	3	3	3	5
NECA	4	3	10	9	4	3
SN-38	2	0	4	4	1	1
acamprosate	3	4	3	5	5	3
acarbose	1	2	0	0	5	3
acebutolol	1	0	0	0	1	0
acepromazine	1	3	2	2	3	4
acetyl-farnesyl-cysteine	1	4	1	2	6	6
acitretin	1	5	1	0	6	5
acyclovir	3	3	2	1	4	3
afatinib	6	2	3	1	4	5
albendazole	6	6	8	8	8	7
alimemazine	2	2	5	5	6	8
alprenolol	1	3	2	2	5	5
altrenogest	4	6	6	6	7	6
amantadine	1	4	2	3	4	5
amcinonide	5	4	4	1	7	6
amiloride	1	4	2	6	5	6
aminoglutethimide	4	4	4	3	4	3
amiodarone	8	3	7	5	9	8
amisulpride	2	4	1	4	3	2
amitriptyline	1	2	2	3	2	4
amlodipine	2	5	6	3	5	5
amodiaquine	1	4	5	3	5	5
amoxapine	3	5	5	4	5	5
amperozide	4	4	5	5	4	4
ampicillin	1	2	0	0	3	2
amsacrine	3	4	4	2	2	4
anagrelide	2	4	1	0	6	6
anastrozole	2	3	5	2	2	3
aniracetam	1	6	5	8	5	7
aprepitant	2	4	3	4	5	5
argatroban	2	4	1	0	4	6
artemether	4	2	4	1	3	4
ascorbic-acid	1	3	2	1	2	1
aspirin	1	2	2	2	1	2
ataluren	2	1	0	0	0	1
atomoxetine	1	3	1	2	2	2
atorvastatin	14	9	10	10	10	9
atracurium	1	2	2	3	3	3
auranofin	4	2	2	0	3	1
axitinib	3	2	5	1	4	4
azaperone	4	5	6	14	7	6
azasetron	3	5	4	7	5	6
azathioprine	5	3	7	6	4	2
azithromycin	1	2	2	2	4	3
belinostat	4	4	9	10	3	2
benazepril	4	4	6	8	5	5
bendroflumethiazide	5	4	7	5	6	7
benidipine	2	3	3	5	3	2
benzbromarone	1	5	3	5	5	3
benzonatate	8	5	6	3	6	7
benzthiazide	1	5	3	2	6	6
benzydamine	2	4	1	2	3	2
benzylpenicillin	2	5	1	0	3	2
bepridil	3	3	1	6	2	2
betahistine	1	2	2	2	5	7
betamethasone	2	3	4	4	7	8
betaxolol	2	4	5	3	5	6
bethanechol	1	1	0	0	3	2
bezafibrate	1	4	2	2	5	6
bicalutamide	4	3	4	8	5	5
bifemelane	4	2	3	5	5	5
bimatoprost	3	2	0	0	0	0
biotin	3	1	1	0	3	2
biperiden	2	6	6	5	3	5
bisoprolol	3	4	3	3	5	5
bosutinib	3	1	7	5	5	5
brompheniramine	14	5	10	11	5	6
bucladesine	3	5	2	2	6	7
budesonide	5	3	3	3	6	4
