pert	cell	WTCS
hyoscyamine	A549	-0.3578241552036331
cabergoline	HCC515	-0.35779676819987344
rilmenidine	A375	-0.357645422589336
flupirtine	MCF7	-0.3575544172484034
rilmenidine	FIBRNPC	-0.3573945446498617
temozolomide	MCF7	-0.35730343503007134
maraviroc	A375	-0.3570320030097649
deferiprone	MCF7	-0.3569133706175004
flupentixol	HA1E	-0.3568140822564225
mefenamic-acid	VCAP	-0.356584743781711
molindone	MCF7	-0.3564159850593346
amiodarone	HA1E	-0.35641522041663
fostamatinib	MCF7	-0.3563586114089925
diflunisal	ASC	-0.35632402451721534
clofibrate	MCF7	-0.3560130788965607
rivaroxaban	PC3	-0.35586744807318954
mitotane	MCF7	-0.3557752634041714
meloxicam	MCF7	-0.3557676156545275
ibudilast	VCAP	-0.35569264309670434
tranylcypromine	A549	-0.35547948586495803
resorcinol	MCF7	-0.3553839991559972
proxymetacaine	HCC515	-0.3551083606698672
protriptyline	PC3	-0.3546960109523339
niflumic-acid	MCF7	-0.35427733803635963
tofacitinib	MCF7	-0.3538163952590645
pindolol	PHH	-0.3534680518201925
molsidomine	ASC	-0.3530838457350564
leflunomide	PC3	-0.352729672005785
rosmarinic-acid	PHH	-0.3524781005816804
nemonapride	NEU	-0.3522993289217992
diflunisal	SKB	-0.3520905726094641
fludarabine	SKB	-0.35179233956140005
nabumetone	A549	-0.3517902785782323
homatropine	A375	-0.3516742025815757
nalbuphine	A375	-0.35156707895523487
dobutamine	MCF7	-0.3513688389096217
gemfibrozil	A549	-0.3513214929106748
vinburnine	HA1E	-0.35127740203965496
thiocolchicoside	SKB	-0.35124778674620794
nicergoline	HCC515	-0.3511473198314922
mexiletine	HCC515	-0.3511124502520141
bumetanide	A549	-0.350918790108523
memantine	PC3	-0.35085286142338246
citalopram	A549	-0.3507477909458686
eugenol	A375	-0.350492211517449
enalaprilat	A549	-0.350054607299724
mitotane	HA1E	-0.3498621285985539
febuxostat	A549	-0.3498006999418777
nitrendipine	A549	-0.3497145873696449
chlorprothixene	HA1E	-0.34959032542433566
flutamide	PC3	-0.34938578719946134
trazodone	ASC	-0.34923851004903816
forskolin	VCAP	-0.3485774535259818
formoterol	NEU	-0.34857022545560246
tropicamide	A375	-0.3483038782449074
procaterol	VCAP	-0.34825474993536143
imiquimod	A375	-0.3482534095187317
isradipine	PC3	-0.3479011528842793
tolbutamide	HCC515	-0.34785310332124764
dopamine	ASC	-0.3477803765299519
molindone	PC3	-0.34770327250768784
amitriptyline	HCC515	-0.34768826983747736
ropinirole	PC3	-0.347501788468078
vinpocetine	MCF7	-0.3471493358484351
ziprasidone	VCAP	-0.3469778619426903
propofol	MCF7	-0.34679838782559
tolazamide	HT29	-0.3464236142712141
levetiracetam	VCAP	-0.3463444470060847
phenazopyridine	PC3	-0.34597039493805665
ketoprofen	SKB	-0.345925714209907
montelukast	A549	-0.345679649877911
methylergometrine	SKB	-0.3456458177234404
prednisolone	MCF7	-0.3455646541638937
mebendazole	SKB	-0.345396582882218
dienestrol	SKB	-0.3453778518870221
loxapine	A549	-0.34519270940496305
nevirapine	PC3	-0.3451290415278253
prazosin	VCAP	-0.3451206343980364
zuclopenthixol	HCC515	-0.3447062465874573
fluphenazine	HA1E	-0.34469298405199217
letrozole	PC3	-0.3445559145532556
mepivacaine	MCF7	-0.34448202686695195
dapsone	PC3	-0.34437393485830226
biotin	MCF7	-0.3442940232484817
chenodeoxycholic-acid	A549	-0.3442007573317637
clonidine	MCF7	-0.34397244053597387
talniflumate	MCF7	-0.3438629573706255
clopidogrel	PC3	-0.343834431851487
physostigmine	ASC	-0.34375609170246935
vemurafenib	HA1E	-0.34371862253739727
ropivacaine	MCF7	-0.3436448428760097
doconexent	HCC515	-0.3435646117095067
ubenimex	HCC515	-0.34339134125461446
risperidone	HCC515	-0.3431945683446893
timolol	A549	-0.3430600395974036
etacrynic-acid	A549	-0.3430379750562937
oxprenolol	A549	-0.34257955916318983
noscapine	PC3	-0.3425375811173549
verapamil	A549	-0.3424900235673223
ketanserin	MCF7	-0.3424777197080794
cyclopentolate	MCF7	-0.3424499844119128
levomepromazine	PC3	-0.3419821759412504
diclofenac	FIBRNPC	-0.3419325130288957
noscapine	MCF7	-0.34160212381247207
methantheline	A549	-0.3413904829316242
cefotaxime	MCF7	-0.34128816571463283
oxybenzone	PC3	-0.34124247652787204
pirenzepine	MCF7	-0.3411395956526022
abiraterone	VCAP	-0.3410152533848126
