pert	cell	spearman
fostamatinib	SKBR3	-0.4159551833228411
stiripentol	MCF7	-0.3593079871542526
dasatinib	SKBR3	-0.3262963287618835
thalidomide	MCF7	-0.3178987799727466
valproic-acid	HT29	-0.305387723226737
verapamil	MCF7	-0.3012710277394832
forskolin	HA1E	-0.29281450963829503
chloroquine	A375	-0.2923666616197436
resveratrol	A375	-0.2915665914940752
atorvastatin	HEPG2	-0.2906756767525441
treprostinil	MCF7	-0.28834081074835244
dantrolene	PC3	-0.28610635195116707
nitrendipine	A549	-0.2858465682251034
nimodipine	HT29	-0.2840998015762338
dopamine	MCF7	-0.2835356086987704
vecuronium	PC3	-0.28221608356753974
temozolomide	A549	-0.2813250563794436
fluconazole	SKB	-0.27321916662018186
thalidomide	HT29	-0.27280956896620423
fenoldopam	VCAP	-0.27247009698061186
chlorphenamine	PC3	-0.27074245551402915
maraviroc	MCF7	-0.26728079752010137
temozolomide	MCF7	-0.2666432914438716
diethylcarbamazine	HCC515	-0.26606634844488364
chloroquine	MCF7	-0.26513877710396927
flavoxate	NPC	-0.26387492130784374
diltiazem	A549	-0.26210584194630604
quercetin	VCAP	-0.26070651610898166
bucladesine	HEPG2	-0.2603925443664385
temozolomide	HT29	-0.25916056387412445
biotin	PC3	-0.2583780251655524
itraconazole	HA1E	-0.25630134912223385
curcumin	A549	-0.2556048737339528
iloperidone	PC3	-0.2549721489532948
curcumin	MCF7	-0.25234881144960913
trapidil	A549	-0.25203165217668483
hydrocortisone	MCF7	-0.2492138753197492
temozolomide	A375	-0.2490242172620708
minoxidil	MCF7	-0.24841858648965248
gemfibrozil	A549	-0.2477683302918981
forskolin	A549	-0.2473507638119676
alprenolol	PC3	-0.24693638486241823
nimodipine	MCF7	-0.24552430890356924
flavoxate	VCAP	-0.2447608953772841
salmeterol	HA1E	-0.2428420020878324
tubocurarine	NPC	-0.24235430993951665
flunarizine	VCAP	-0.23915562320203365
tianeptine	PC3	-0.23828223987759883
toremifene	HA1E	-0.2381101132370168
tolazamide	A375	-0.2379794244913897
urapidil	PC3	-0.23749013857788331
fluvastatin	HA1E	-0.2367411632657884
gliquidone	MCF7	-0.236562567236969
nimodipine	A375	-0.23552980739347676
resveratrol	HT29	-0.2341097626086749
benzbromarone	MCF7	-0.23368741483317265
atorvastatin	HA1E	-0.23365075823378945
gliquidone	PC3	-0.23289850106383828
oxybuprocaine	HCC515	-0.2317924280215796
ibudilast	VCAP	-0.23137804907203025
sirolimus	A375	-0.2313111109340261
pinacidil	HA1E	-0.2308122624293763
fostamatinib	HCC515	-0.23040585230577976
bezafibrate	PC3	-0.22959940711934912
betahistine	MCF7	-0.22921052841284892
methazolamide	MCF7	-0.22823036282064563
carbetocin	PC3	-0.2275769190925101
ephedrine	VCAP	-0.2272342595765366
norepinephrine	NPC	-0.2269441943118521
spiperone	HCC515	-0.22686609981751388
letrozole	PC3	-0.22572018264549085
fenoldopam	A549	-0.22546518021499887
carbinoxamine	MCF7	-0.22502211349201923
