pert	cell	Tau
tofacitinib	ASC	-99.48827292110876
topotecan	PHH	-98.70641169853768
NECA	VCAP	-98.49820437479596
alprenolol	A549	-98.45528455284553
mometasone	PC3	-98.12611540749556
clarithromycin	MCF7	-97.91365751885732
equol	PC3	-97.69482450922072
felbamate	VCAP	-97.5677440417891
reboxetine	MCF7	-97.44824265767934
dexamethasone	A549	-97.35772357723576
temsirolimus	MCF7	-97.35194992778044
naftopidil	VCAP	-97.12699967352268
tolbutamide	PC3	-97.11481261154076
albendazole	VCAP	-96.91478942213516
lofexidine	MCF7	-96.85443748996953
dopamine	MCF7	-96.75814476007062
atorvastatin	PHH	-96.7379077615298
panobinostat	SKB	-96.7065868263473
levomepromazine	MCF7	-96.64580324185523
temsirolimus	HCC515	-96.64179104477611
fluvastatin	HA1E	-96.5640339134315
diethylcarbamazine	MCF7	-96.53346172363986
ramipril	MCF7	-96.53346172363986
disopyramide	PHH	-96.51293588301462
mifepristone	PC3	-96.46044021415824
ethinyl-estradiol	A549	-96.40243902439023
amantadine	PC3	-96.2968471148126
mepacrine	A549	-96.21951219512196
valsartan	HCC515	-96.20646766169156
nitrendipine	A549	-96.17886178861788
azathioprine	A549	-96.07723577235772
vidarabine	MCF7	-96.0519980741454
ozagrel	MCF7	-96.03594928582892
estradiol	A549	-95.9959349593496
rosuvastatin	HA1E	-95.98393574297188
belinostat	SKB	-95.85115483319076
flutamide	VCAP	-95.80476656872348
diltiazem	A549	-95.65040650406505
fulvestrant	NPC	-95.61298076923076
oxybenzone	PC3	-95.59785841760856
dopamine	A549	-95.5691056910569
pindolol	PHH	-95.44431946006748
naltrexone	PC3	-95.3896490184414
amcinonide	MCF7	-95.37794896485316
benzonatate	HA1E	-95.31459170013386
mitoxantrone	PHH	-95.05061867266592
alfuzosin	HCC515	-94.96268656716418
stiripentol	MCF7	-94.94463168030812
icosapent	A549	-94.9390243902439
zolmitriptan	VCAP	-94.92327783219066
atorvastatin	HA1E	-94.91298527443104
lisuride	MCF7	-94.91253410367516
fostamatinib	HCC515	-94.9004975124378
vorinostat	SKB	-94.86740804106074
diphenidol	MCF7	-94.84833895040924
fenbendazole	VCAP	-94.80901077375124
olaparib	VCAP	-94.71106758080312
nelfinavir	NPC	-94.6814903846154
quinidine	MCF7	-94.54341197239609
clonidine	MCF7	-94.46316803081368
dantrolene	PC3	-94.45270672218918
molsidomine	ASC	-94.4136460554371
etacrynic-acid	A549	-94.34959349593495
naltrexone	MCF7	-94.30268014764886
verapamil	A549	-94.28861788617886
methylergometrine	HCC515	-94.27860696517412
lapatinib	SKB	-94.26860564585115
isradipine	VCAP	-94.23767548155404
benidipine	MCF7	-94.02985074626866
cabergoline	HCC515	-94.02985074626866
fenoldopam	VCAP	-94.00914136467516
bepridil	NEU	-93.979797979798
vorinostat	PHH	-93.8695163104612
ethisterone	HA1E	-93.84203480589022
phenoxybenzamine	HA1E	-93.79741186970102
metolazone	PC3	-93.61986912552052
moexipril	MCF7	-93.53233830845772
pirlindole	VCAP	-93.45412993796933
haloperidol	HA1E	-93.4404283801874
xylazine	A549	-93.4349593495935
dydrogesterone	VCAP	-93.38883447600392
labetalol	MCF7	-93.17926496549512
hesperidin	MCF7	-93.13111860054566
nabumetone	A549	-93.130081300813
quercetin	VCAP	-93.09500489715964
fexofenadine	NPC	-93.05889423076924
fostamatinib	MCF7	-93.03482587064676
indapamide	A549	-92.9471544715447
clonidine	PC3	-92.89113622843546
ephedrine	NEU	-92.8888888888889
vemurafenib	A549	-92.80487804878048
levonorgestrel	PC3	-92.8019036287924
ticlopidine	PHH	-92.74465691788528
quinethazone	MCF7	-92.56941100946878
rifabutin	A549	-92.54065040650406
metyrapone	MCF7	-92.48916706788636
dasatinib	SKB	-92.47219846022242
acetyl-farnesyl-cysteine	NEU	-92.40404040404042
gemfibrozil	A375	-92.22560975609755
rimexolone	VCAP	-92.19719229513548
hydrocortisone	MCF7	-92.13609372492375
resveratrol	A549	-92.11382113821138
belinostat	ASC	-92.0682302771855
ipratropium	A549	-92.01219512195122
forskolin	A549	-91.99186991869918
azaperone	PHH	-91.84476940382451
lidoflazine	NEU	-91.83838383838383
tofacitinib	NEU	-91.7979797979798
disopyramide	HCC515	-91.7910447761194
parecoxib	PC3	-91.76085663295656
hexylresorcinol	A549	-91.64634146341464
loxapine	A549	-91.64634146341464
piperidolate	PC3	-91.61213563355146
lonidamine	ASC	-91.59914712153518
vemurafenib	HA1E	-91.56626506024097
dilazep	PC3	-91.5377751338489
triclosan	HA1E	-91.47701918786257
lovastatin	HA1E	-91.38777331548415
tianeptine	PC3	-91.37418203450328
itraconazole	HA1E	-91.34315037929495
medetomidine	A375	-91.3109756097561
fostamatinib	VCAP	-91.25040809663729
norepinephrine	NPC	-91.22596153846156
thiethylperazine	SKB	-91.10350727117194
benzthiazide	MCF7	-91.04477611940298
oxprenolol	VCAP	-90.94025465230166
atovaquone	MCF7	-90.8521906596052
itraconazole	A375	-90.80284552845528
bezafibrate	PC3	-90.79417013682333
isradipine	PC3	-90.7644259369423
methoxsalen	PC3	-90.7644259369423
liothyronine	HA1E	-90.76305220883532
mexiletine	HCC515	-90.73383084577117
deoxycholic-acid	MCF7	-90.69170277644038
montelukast	A549	-90.6910569105691
chlorphenamine	PC3	-90.6454491374182
nicorandil	A549	-90.5691056910569
protriptyline	PC3	-90.55621653777514
bumetanide	PHH	-90.4949381327334
dopamine	ASC	-90.4051172707889
indapamide	PC3	-90.39262343842952
pancuronium	MCF7	-90.35467822179426
medrysone	A549	-90.24390243902438
trapidil	A549	-90.24390243902438
iloperidone	PC3	-90.1397977394408
febuxostat	HCC515	-90.11194029850746
tolazamide	A549	-90.08130081300811
trifluoperazine	HCC515	-89.98756218905473
formestane	MCF7	-89.9534585138822
econazole	ASC	-89.89339019189765
tolazamide	PHH	-89.87626546681665
yohimbine	NPC	-89.78365384615385
terazosin	PC3	-89.738251041047
axitinib	NEU	-89.73737373737374
enalaprilat	A549	-89.71544715447155
brompheniramine	PC3	-89.69363474122547
mosapride	PC3	-89.69363474122547
treprostinil	A549	-89.67479674796748
ziprasidone	VCAP	-89.65066927848514
toremifene	HA1E	-89.6028558679161
forskolin	MCF7	-89.56828759428663
methantheline	ASC	-89.55223880597015
buphenine	MCF7	-89.5040924410207
triamcinolone	A375	-89.43089430894308
norgestrel	MCF7	-89.4238484994383
clopidogrel	PC3	-89.366448542534215
fluspirilene	HA1E	-89.2904953145917
loteprednol	MCF7	-89.27940940458996
milnacipran	MCF7	-89.16706788637458
gemfibrozil	A549	-89.1260162601626
docetaxel	SKB	-89.09324208725407
levocabastine	SKB	-89.09324208725407
celecoxib	NEU	-89.0909090909091
chlorprothixene	HA1E	-89.06738063364568
probenecid	VCAP	-89.0630101207966
isradipine	MCF7	-89.05472636815921
warfarin	MCF7	-88.91028727331087
urapidil	PC3	-88.89054134443784
tamoxifen	HA1E	-88.88888888888889
norepinephrine	VCAP	-88.88344760039178
procaterol	MCF7	-88.84609212004494
meloxicam	MCF7	-88.78189696677902
estradiol	HT29	-88.73677660236466
tofacitinib	MCF7	-88.62140908361418
escitalopram	PHH	-88.58267716535433
felodipine	VCAP	-88.57329415605615
