pert	cell	spearman
fostamatinib	SKBR3	-0.3919992987433162
chloroquine	MCF7	-0.3854600801663891
thalidomide	MCF7	-0.3848656057503049
temozolomide	MCF7	-0.36630461634087447
verapamil	MCF7	-0.3587374192160269
benzbromarone	MCF7	-0.3506713735865295
nimodipine	A375	-0.3479890667707927
stiripentol	MCF7	-0.3471619026368845
resveratrol	A375	-0.3455203244905928
valproic-acid	HT29	-0.3330156428053455
quinine	A549	-0.3307540899999203
dexamethasone	MCF7	-0.32796340715122446
oxybuprocaine	HCC515	-0.3195435456494195
ibudilast	VCAP	-0.3161791073321168
hydrocortisone	VCAP	-0.31465546780992754
bucladesine	HEPG2	-0.31366414586139024
bezafibrate	MCF7	-0.3122138195379675
temozolomide	A549	-0.31169425208584023
atorvastatin	HEPG2	-0.3106822111898254
rilmenidine	A375	-0.3102821761269912
temozolomide	HT29	-0.3099586417933046
minoxidil	MCF7	-0.3093259170126465
pancuronium	MCF7	-0.3090852584688698
rilmenidine	HT29	-0.3084652838097363
forskolin	HA1E	-0.3072428659085657
nifedipine	VCAP	-0.3067503924646782
curcumin	A375	-0.3039166779558368
procaterol	VCAP	-0.30263050944704323
forskolin	A549	-0.30130290304329466
temozolomide	HCC515	-0.3005012391524357
tolazamide	A375	-0.2986508777661787
NECA	VCAP	-0.2971272382439895
nicergoline	VCAP	-0.2962251671461244
chloroquine	A549	-0.2948497477866586
rilmenidine	A549	-0.29415008486799643
gefitinib	PC3	-0.29341854664552275
temozolomide	A375	-0.29181043756823305
resveratrol	HT29	-0.2914518404003538
ephedrine	VCAP	-0.2912988389420587
curcumin	A549	-0.2893831331829882
quinine	A375	-0.2891456621695926
chloroquine	A375	-0.2887998151232379
olaparib	VCAP	-0.28873447075042435
norepinephrine	NPC	-0.2883248730964467
verapamil	HT29	-0.2852903441735929
quercetin	VCAP	-0.2828821649706349
tubocurarine	NPC	-0.2826717879654791
sirolimus	A375	-0.2784738104535059
imiquimod	A375	-0.27685135748950107
nevirapine	VCAP	-0.2762250077696053
nimodipine	MCF7	-0.2761357569189332
benzthiazide	HCC515	-0.2753882810445537
itraconazole	HA1E	-0.27497549586019493
clofibric-acid	MCF7	-0.2728637569826838
triamterene	HA1E	-0.27108989632557434
valproic-acid	A375	-0.27087314425965625
olanzapine	MCF7	-0.26888502931933594
carbetocin	PC3	-0.2688267497549586
valsartan	HCC515	-0.2653634979958403
clonidine	A549	-0.2632963845436652
fluconazole	MCF7	-0.2631704770936098
temozolomide	PC3	-0.26306847612141304
cefdinir	MCF7	-0.2627800046219191
palmitoylethanolamide	HCC515	-0.26183330809871785
isoxsuprine	HCC515	-0.2612244897959184
nifedipine	A549	-0.2601566671182335
resorcinol	VCAP	-0.2591063758576449
resveratrol	MCF7	-0.25877806022838656
flavoxate	VCAP	-0.25860274605742334
urapidil	PC3	-0.25742495358158884
cholic-acid	NPC	-0.2571667636207158
tofacitinib	ASC	-0.25680657268764595
clonidine	A375	-0.2565659141438692
cholic-acid	MCF7	-0.25638263114695314
cilostazol	VCAP	-0.25559531114280937
nitrendipine	A549	-0.2545370510562679
vecuronium	PC3	-0.25442229996254656
gabexate	VCAP	-0.2532875391468575
benzonatate	NPC	-0.2530787559068922
forskolin	VCAP	-0.2516969614866641
anastrozole	MCF7	-0.2512650511200185
balsalazide	MCF7	-0.25046657475954065
ranitidine	NPC	-0.25046179346396896
ubenimex	MCF7	-0.24992469459474537
dopamine	VCAP	-0.2491804062507471
proxymetacaine	HCC515	-0.24815561523320773
letrozole	PC3	-0.24812214616420564
fenoldopam	VCAP	-0.2477364549880866
treprostinil	MCF7	-0.24702085441751867
mianserin	HA1E	-0.24689494696746328
fluphenazine	HCC515	-0.24608690801584204
alprenolol	PC3	-0.24570440437010416
pinacidil	NPC	-0.2455019961909012
ketorolac	MCF7	-0.2452024660338814
valproic-acid	A549	-0.24423176533401336
rosmarinic-acid	HCC515	-0.24355282136282863
diclofenac	HCC515	-0.2424499358509511
nafcillin	MCF7	-0.24156539617018224
nafcillin	HCC515	-0.24146658272836663
imiquimod	A549	-0.2413311126871678
etomidate	VCAP	-0.24099164070157544
nimodipine	HT29	-0.24099004693638484
deoxycholic-acid	MCF7	-0.24096614045852627
estradiol	NKDBA	-0.24094701527623935
thalidomide	HT29	-0.24072388814955892
levetiracetam	MCF7	-0.23980587939978804
methylergometrine	NPC	-0.23957478344715477
midodrine	VCAP	-0.23930703089513825
diethylcarbamazine	HCC515	-0.23871893153981624
mometasone	PC3	-0.2378949549362893
maraviroc	MCF7	-0.2374534819785001
propafenone	NPC	-0.23621034512985203
dasatinib	SKBR3	-0.23465961159942303
cabergoline	NPC	-0.23460382981775296
tetracycline	PC3	-0.23439185904740656
mirtazapine	VCAP	-0.23367625847683865
rosmarinic-acid	VCAP	-0.23358700762616644
letrozole	MCF7	-0.23352325701854343
mirtazapine	HCC515	-0.2332284104582872
erlotinib	VCAP	-0.2328108439783567
oxibendazole	VCAP	-0.23246659069719255
curcumin	MCF7	-0.23195021077544645
rilmenidine	MCF7	-0.23193108559315961
nabumetone	HT29	-0.2317844591956267
mephentermine	HCC515	-0.23170158340571684
ketotifen	HCC515	-0.23138920542836425
chenodeoxycholic-acid	A549	-0.2310337957908661
calcitriol	FIBRNPC	-0.2305508849381221
atovaquone	VCAP	-0.23020185036138627
olmesartan	VCAP	-0.22991497262708285
itraconazole	A375	-0.22944799942624453
nimesulide	VCAP	-0.22916430922232228
iloperidone	PC3	-0.22899058881654968
thiethylperazine	HA1E	-0.22778092103690364
lamotrigine	NPC	-0.2275450437886986
ephedrine	NPC	-0.227498824598172
amiloride	A375	-0.22665572281235807
ramipril	VCAP	-0.2262461251583804
