pert	cell	scaled_score
ethinyl-estradiol	A549	-1
fostamatinib	SKBR3	-0.9366728839150902
fostamatinib	HCC515	-0.9326849631405988
rosuvastatin	HA1E	-0.8915415815495752
dasatinib	SKBR3	-0.8823430144773071
fluvastatin	HA1E	-0.8379311365722237
ketotifen	PC3	-0.8003967196613079
panobinostat	SKB	-0.7962193208396245
fostamatinib	HA1E	-0.7915859904668858
trifluoperazine	HCC515	-0.7749740947982354
norepinephrine	NPC	-0.7709240015395091
celecoxib	PC3	-0.7703259614530598
metformin	HEK293T	-0.7613464783728574
promazine	A549	-0.7610148917902715
atorvastatin	HEPG2	-0.7607987683926932
pioglitazone	PC3	-0.7587293128460194
itraconazole	HA1E	-0.7580957456257216
diclofenac	PC3	-0.7563193889332978
icosapent	A549	-0.7545015839180507
nabumetone	A549	-0.7477691920537644
palmitoylethanolamide	ASC	-0.7455783521331082
forskolin	HA1E	-0.7438316013855584
thiocolchicoside	SKB	-0.7424134766261066
thiothixene	HA1E	-0.7409035734375464
verapamil	MCF7	-0.7320395535423514
prednicarbate	PC3	-0.7307842614797051
thalidomide	HT29	-0.7305355715427657
naltrexone	PC3	-0.7292832400746071
mepacrine	A549	-0.7287977025786778
thalidomide	MCF7	-0.7272552328507564
iloperidone	PC3	-0.7271604938271605
nalbuphine	A549	-0.7249548509340675
deferiprone	PC3	-0.7244604316546762
perphenazine	HA1E	-0.7159013529916806
carteolol	PC3	-0.7151404802084259
lovastatin	HA1E	-0.7143677650472217
vorinostat	HA1E	-0.7106788643159548
rilmenidine	MCF7	-0.7095212718713917
fasudil	VCAP	-0.7082926251591319
quercetin	VCAP	-0.706936672883915
nizatidine	VCAP	-0.7061225093998875
chlorprothixene	HA1E	-0.7054060455339433
curcumin	PC3	-0.7044734582704207
oxybenzone	PC3	-0.7042869408177161
brompheniramine	PC3	-0.7038073245107617
mometasone	PC3	-0.7025964413654262
itraconazole	A375	-0.7001657932912929
halcinonide	PC3	-0.6994493294253485
panobinostat	PHH	-0.6988335257719751
naltrexone	A549	-0.6982266039020635
lapatinib	SKB	-0.6960061580365335
phenazopyridine	HA1E	-0.694129141131539
clonidine	PC3	-0.6935666281789384
methoxsalen	PC3	-0.6917665867306154
trapidil	A549	-0.688104331349735
temsirolimus	MCF7	-0.6853865056103264
dydrogesterone	VCAP	-0.6846878053113066
tofacitinib	ASC	-0.6833969861148119
flutamide	PC3	-0.6816324718003376
dilazep	PC3	-0.6814962844539182
maraviroc	MCF7	-0.6811646978713326
dantrolene	PC3	-0.6810137075524764
sertraline	HA1E	-0.6808153477218226
ipratropium	A549	-0.6785919412618054
toremifene	PC3	-0.6763537318293512
resveratrol	A549	-0.6763507712348641
mitotane	HA1E	-0.6751191639281168
oxyphenonium	PC3	-0.673191816916837
benzonatate	HEK293T	-0.672786215472067
dactinomycin	A549	-0.6721881753856174
thiotepa	PC3	-0.6720135003108624
rifabutin	A549	-0.6712230215827338
piretanide	HCC515	-0.6707019569529562
ibuprofen	MCF7	-0.6694259407288984
tamoxifen	HA1E	-0.666773248068212
estradiol	HT29	-0.6665304793202474
granisetron	PC3	-0.6623738046599756
carbinoxamine	PC3	-0.6622020901797081
chlorphenamine	PC3	-0.659860259940196
temsirolimus	HCC515	-0.6587529976019184
gemfibrozil	A549	-0.6566835420552445
estradiol	HCC515	-0.6559078662995529
dexamethasone	A375	-0.6553749592918258
fostamatinib	VCAP	-0.6548094857447376
atorvastatin	HA1E	-0.6547739586108892
simvastatin	HEPG2	-0.6538976226426267
methylprednisolone	PC3	-0.6518962607691624
coumarin	PC3	-0.6491073807620571
hesperidin	MCF7	-0.6484234834354737
salmeterol	HA1E	-0.6482073600378954
tianeptine	HA1E	-0.6473399058530952
mycophenolic-acid	PC3	-0.646830683601267
bendroflumethiazide	PC3	-0.645385913491429
chloroquine	A375	-0.6451549871214138
NECA	VCAP	-0.6438745300056252
forskolin	FIBRNPC	-0.6431358616810257
vemurafenib	HA1E	-0.6431092163306392
varenicline	A549	-0.6408739674926726
chloroquine	MCF7	-0.6400035527133847
dienestrol	HEPG2	-0.6396660449418244
tolazamide	A375	-0.6393818278710365
scopolamine	NEU	-0.6381739053201884
piroxicam	HCC515	-0.637013352281138
fulvestrant	NPC	-0.6366077508363681
simvastatin	HA1E	-0.6363531397104539
levocabastine	SKB	-0.6357314148681056
naltrexone	NKDBA	-0.6347721822541965
vemurafenib	SKBR3	-0.6346211919353406
tianeptine	PC3	-0.6336323533765582
tacrolimus	MCF7	-0.632116528999023
