pert	cell	WTCS
rosuvastatin	HA1E	-0.4849686940558792
atorvastatin	HA1E	-0.48488569096359424
tofacitinib	ASC	-0.48113554145736215
fluvastatin	HA1E	-0.47312355978719256
ethinyl-estradiol	A549	-0.46246498649357737
clonidine	PC3	-0.45519693350269175
lovastatin	HA1E	-0.4469198953421113
mometasone	PC3	-0.4463763527911482
fostamatinib	HCC515	-0.4403902816748371
albendazole	VCAP	-0.43888185981399175
panobinostat	SKB	-0.4383491711731336
lapatinib	SKB	-0.43634353980103047
nabumetone	A549	-0.42973251112600985
temsirolimus	HCC515	-0.42927680764913473
ketotifen	PC3	-0.4284026345112618
icosapent	A549	-0.4259436116519818
chlorprothixene	HA1E	-0.4250213637365096
mepacrine	A549	-0.424796601842321
iloperidone	PC3	-0.42164721498943913
pioglitazone	PC3	-0.4182695110109549
fostamatinib	MCF7	-0.4165410587703541
clarithromycin	MCF7	-0.4159448938320541
tamoxifen	HA1E	-0.41508916590062656
methylergometrine	HCC515	-0.4150827847838476
alprenolol	A549	-0.41479634583488656
oxybenzone	PC3	-0.4144543248258408
methoxsalen	PC3	-0.4143969631291161
vemurafenib	HA1E	-0.41344119841691024
NECA	VCAP	-0.4124965462616188
temsirolimus	MCF7	-0.412085037648872
naftopidil	VCAP	-0.41084175264399314
bumetanide	PHH	-0.4106099870572175
labetalol	MCF7	-0.4098596816341808
carbamazepine	PC3	-0.4093588069194857
naltrexone	PC3	-0.4092739022957058
dasatinib	SKB	-0.4084667543298015
zolmitriptan	VCAP	-0.4080363576805592
dexamethasone	A549	-0.4074468038391192
lofexidine	MCF7	-0.4054337416653983
topotecan	PHH	-0.40470478455426456
metolazone	PC3	-0.4043066013740724
benzonatate	PC3	-0.40384345997173376
chlorphenamine	PC3	-0.4034839529461716
clonidine	MCF7	-0.4033192611079538
itraconazole	HA1E	-0.4032753787516308
nitrendipine	PC3	-0.4028873792667989
piperidolate	PC3	-0.40264044871226257
fenbendazole	VCAP	-0.40082089657599096
quercetin	VCAP	-0.4000546631420173
belinostat	SKB	-0.3999481577765217
