from	to	type
rosuvastatin	fertilization	drug-pathway
rosuvastatin	regulation of skeletal muscle tissue development	drug-pathway
rosuvastatin	protein-lipid complex remodeling	drug-pathway
rosuvastatin	humoral immune response mediated by circulating immunoglobulin	drug-pathway
rosuvastatin	protein-containing complex remodeling	drug-pathway
rosuvastatin	regulation of superoxide metabolic process	drug-pathway
rosuvastatin	lipoprotein biosynthetic process	drug-pathway
rosuvastatin	plasma lipoprotein particle assembly	drug-pathway
rosuvastatin	coenzyme A metabolic process	drug-pathway
rosuvastatin	low-density lipoprotein particle clearance	drug-pathway
rosuvastatin	triglyceride catabolic process	drug-pathway
rosuvastatin	cholesterol efflux	drug-pathway
rosuvastatin	regulation of cholesterol storage	drug-pathway
rosuvastatin	neutral lipid catabolic process	drug-pathway
rosuvastatin	acylglycerol catabolic process	drug-pathway
rosuvastatin	lipoprotein metabolic process	drug-pathway
rosuvastatin	artery development	drug-pathway
rosuvastatin	positive regulation of macrophage derived foam cell differentiation	drug-pathway
rosuvastatin	negative regulation of insulin secretion	drug-pathway
rosuvastatin	very-low-density lipoprotein particle assembly	drug-pathway
rosuvastatin	triglyceride-rich lipoprotein particle clearance	drug-pathway
rosuvastatin	regulation of superoxide anion generation	drug-pathway
rosuvastatin	negative regulation of insulin secretion involved in cellular response to glucose stimulus	drug-pathway
rosuvastatin	flagellated sperm motility	drug-pathway
rosuvastatin	sperm motility	drug-pathway
rosuvastatin	acute-phase response	drug-pathway
rosuvastatin	positive regulation of skeletal muscle tissue development	drug-pathway
rosuvastatin	bile acid and bile salt transport	drug-pathway
rosuvastatin	sodium-independent organic anion transport	drug-pathway
rosuvastatin	regulation of striated muscle cell apoptotic process	drug-pathway
rosuvastatin	lipoprotein catabolic process	drug-pathway
rosuvastatin	regulation of cardiac muscle cell apoptotic process	drug-pathway
lovastatin	cellular response to unfolded protein	drug-pathway
lovastatin	protein-containing complex remodeling	drug-pathway
lovastatin	plasma lipoprotein particle remodeling	drug-pathway
lovastatin	regulation of amyloid-beta clearance	drug-pathway
lovastatin	positive regulation of lipid storage	drug-pathway
lovastatin	regulation of tumor necrosis factor-mediated signaling pathway	drug-pathway
lovastatin	cellular response to topologically incorrect protein	drug-pathway
lovastatin	maintenance of chromatin silencing	drug-pathway
lovastatin	regulation of embryonic development	drug-pathway
lovastatin	protein-lipid complex remodeling	drug-pathway
lovastatin	regulation of astrocyte differentiation	drug-pathway
lovastatin	protein oxidation	drug-pathway
lovastatin	cytokine secretion involved in immune response	drug-pathway
lovastatin	epithelial to mesenchymal transition	drug-pathway
lovastatin	actin polymerization or depolymerization	drug-pathway
lovastatin	negative regulation of gene expression, epigenetic	drug-pathway
lovastatin	regulation of alpha-beta T cell differentiation	drug-pathway
lovastatin	mitotic spindle assembly	drug-pathway
lovastatin	epiboly involved in wound healing	drug-pathway
lovastatin	peptidyl-lysine acetylation	drug-pathway
lovastatin	cytoskeleton-dependent cytokinesis	drug-pathway
lovastatin	morphogenesis of a polarized epithelium	drug-pathway
lovastatin	lysosomal transport	drug-pathway
lovastatin	lymphocyte migration	drug-pathway
lovastatin	renal system process involved in regulation of systemic arterial blood pressure	drug-pathway
lovastatin	plasma membrane invagination	drug-pathway
lovastatin	negative regulation of very-low-density lipoprotein particle remodeling	drug-pathway
lovastatin	T cell lineage commitment	drug-pathway
lovastatin	glycerolipid catabolic process	drug-pathway
lovastatin	lipid digestion	drug-pathway
lovastatin	somatic stem cell population maintenance	drug-pathway
lovastatin	eyelid development in camera-type eye	drug-pathway
lovastatin	negative chemotaxis	drug-pathway
lovastatin	positive regulation of skeletal muscle tissue development	drug-pathway
lovastatin	morphogenesis of an epithelial sheet	drug-pathway
lovastatin	negative regulation of insulin secretion	drug-pathway
lovastatin	long-chain fatty acid biosynthetic process	drug-pathway
lovastatin	oxidative phosphorylation	drug-pathway
lovastatin	regulation of lymphocyte migration	drug-pathway
lovastatin	cytokinetic process	drug-pathway
lovastatin	negative regulation of muscle adaptation	drug-pathway
lovastatin	skeletal muscle satellite cell migration	drug-pathway
lovastatin	negative regulation of gliogenesis	drug-pathway
lovastatin	acylglycerol homeostasis	drug-pathway
lovastatin	low-density lipoprotein particle clearance	drug-pathway
lovastatin	negative regulation of glial cell differentiation	drug-pathway
lovastatin	regulation of histone H3-K9 methylation	drug-pathway
lovastatin	regulation of modification of synaptic structure	drug-pathway
lovastatin	monoterpenoid metabolic process	drug-pathway
lovastatin	histone H3-K9 trimethylation	drug-pathway
lovastatin	chromatin silencing	drug-pathway
lovastatin	insulin secretion involved in cellular response to glucose stimulus	drug-pathway
lovastatin	receptor-mediated endocytosis involved in cholesterol transport	drug-pathway
lovastatin	myoblast differentiation	drug-pathway
lovastatin	xenobiotic transport	drug-pathway
lovastatin	positive regulation of lipoprotein particle clearance	drug-pathway
lovastatin	positive regulation of neuron apoptotic process	drug-pathway
lovastatin	death-inducing signaling complex assembly	drug-pathway
lovastatin	triglyceride-rich lipoprotein particle clearance	drug-pathway
lovastatin	cellular response to lipoprotein particle stimulus	drug-pathway
lovastatin	drug export	drug-pathway
lovastatin	lipoprotein transport	drug-pathway
lovastatin	regulation of epithelial to mesenchymal transition	drug-pathway
lovastatin	face development	drug-pathway
lovastatin	alkaloid metabolic process	drug-pathway
lovastatin	negative regulation of blood vessel endothelial cell migration	drug-pathway
lovastatin	alkaloid catabolic process	drug-pathway
lovastatin	peptidyl-lysine trimethylation	drug-pathway
lovastatin	negative regulation of tumor necrosis factor-mediated signaling pathway	drug-pathway
lovastatin	negative regulation of epithelial cell migration	drug-pathway
lovastatin	negative regulation of protein acetylation	drug-pathway
lovastatin	negative regulation of cardiac muscle hypertrophy	drug-pathway
lovastatin	positive regulation of axonogenesis	drug-pathway
lovastatin	regulation of histone H3-K9 trimethylation	drug-pathway
lovastatin	exogenous drug catabolic process	drug-pathway
lovastatin	acylglycerol biosynthetic process	drug-pathway
lovastatin	establishment of apical/basal cell polarity	drug-pathway
lovastatin	regulation of neuroinflammatory response	drug-pathway
lovastatin	negative regulation of ATP metabolic process	drug-pathway
lovastatin	establishment of monopolar cell polarity	drug-pathway
lovastatin	establishment or maintenance of monopolar cell polarity	drug-pathway
lovastatin	positive regulation of glial cell differentiation	drug-pathway
lovastatin	regulation of actin filament polymerization	drug-pathway
lovastatin	phospholipid catabolic process	drug-pathway
lovastatin	regulation of actin polymerization or depolymerization	drug-pathway
lovastatin	regulation of actin filament length	drug-pathway
lovastatin	Cdc42 protein signal transduction	drug-pathway
lovastatin	negative regulation of cytokine secretion involved in immune response	drug-pathway
lovastatin	triglyceride-rich lipoprotein particle remodeling	drug-pathway
lovastatin	regulation of gastrulation	drug-pathway
lovastatin	nitric oxide mediated signal transduction	drug-pathway
lovastatin	alpha-beta T cell lineage commitment	drug-pathway
lovastatin	histone lysine methylation	drug-pathway
lovastatin	peptidyl-lysine methylation	drug-pathway
lovastatin	negative regulation of cell morphogenesis involved in differentiation	drug-pathway
lovastatin	regulation of microglial cell activation	drug-pathway
lovastatin	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	drug-pathway
lovastatin	positive regulation of triglyceride biosynthetic process	drug-pathway
lovastatin	ossification involved in bone maturation	drug-pathway
lovastatin	isoprenoid biosynthetic process	drug-pathway
lovastatin	T cell selection	drug-pathway
lovastatin	endoplasmic reticulum unfolded protein response	drug-pathway
lovastatin	oxidative demethylation	drug-pathway
lovastatin	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	drug-pathway
lovastatin	reverse cholesterol transport	drug-pathway
lovastatin	regulation of tyrosine phosphorylation of STAT protein	drug-pathway
lovastatin	astrocyte activation	drug-pathway
lovastatin	demethylation	drug-pathway
lovastatin	negative regulation of peptidyl-lysine acetylation	drug-pathway
lovastatin	receptor clustering	drug-pathway
lovastatin	acylglycerol catabolic process	drug-pathway
lovastatin	forebrain generation of neurons	drug-pathway
lovastatin	peptidyl-methionine modification	drug-pathway
lovastatin	response to increased oxygen levels	drug-pathway
lovastatin	negative regulation of immune effector process	drug-pathway
lovastatin	positive regulation of macrophage derived foam cell differentiation	drug-pathway
lovastatin	regulation of digestive system process	drug-pathway
lovastatin	regulation of striated muscle cell apoptotic process	drug-pathway
lovastatin	endothelial tube morphogenesis	drug-pathway
lovastatin	positive regulation of protein polymerization	drug-pathway
lovastatin	telencephalon cell migration	drug-pathway
lovastatin	morphogenesis of an endothelium	drug-pathway
lovastatin	protein catabolic process in the vacuole	drug-pathway
lovastatin	radial glial cell differentiation	drug-pathway
lovastatin	intracellular lipid transport	drug-pathway
lovastatin	regulation of cardiac muscle cell apoptotic process	drug-pathway
lovastatin	establishment or maintenance of cytoskeleton polarity	drug-pathway
lovastatin	intestinal cholesterol absorption	drug-pathway
lovastatin	vitamin transport	drug-pathway
lovastatin	regulation of interleukin-1 beta secretion	drug-pathway
lovastatin	urea metabolic process	drug-pathway
lovastatin	lipoprotein catabolic process	drug-pathway
lovastatin	negative regulation of interleukin-1 secretion	drug-pathway
lovastatin	positive regulation of Rho protein signal transduction	drug-pathway
lovastatin	trabecula morphogenesis	drug-pathway
lovastatin	negative regulation of DNA binding	drug-pathway
lovastatin	negative regulation of MHC class II biosynthetic process	drug-pathway
lovastatin	hair follicle placode formation	drug-pathway
lovastatin	fungiform papilla morphogenesis	drug-pathway
lovastatin	regulation of substrate adhesion-dependent cell spreading	drug-pathway
lovastatin	regulation of sterol transport	drug-pathway
lovastatin	regulation of cholesterol transport	drug-pathway
lovastatin	actin filament polymerization	drug-pathway
lovastatin	positive regulation of podosome assembly	drug-pathway
lovastatin	intestinal lipid absorption	drug-pathway
lovastatin	histone H3 deacetylation	drug-pathway
lovastatin	forebrain radial glial cell differentiation	drug-pathway
lovastatin	lipoprotein metabolic process	drug-pathway
lovastatin	plasma lipoprotein particle clearance	drug-pathway
lovastatin	androgen receptor signaling pathway	drug-pathway
lovastatin	positive regulation of amyloid-beta clearance	drug-pathway
lovastatin	animal organ maturation	drug-pathway
lovastatin	positive regulation of histone H3-K9 methylation	drug-pathway
lovastatin	positive regulation of blood pressure	drug-pathway
lovastatin	regulation of lysosomal protein catabolic process	drug-pathway
lovastatin	T cell migration	drug-pathway
lovastatin	regulation of protein catabolic process in the vacuole	drug-pathway
lovastatin	phospholipid transport	drug-pathway
lovastatin	regulation of extrinsic apoptotic signaling pathway via death domain receptors	drug-pathway
lovastatin	regulation of macrophage activation	drug-pathway
lovastatin	bone maturation	drug-pathway
lovastatin	chylomicron remodeling	drug-pathway
lovastatin	negative regulation of cell adhesion molecule production	drug-pathway
lovastatin	negative regulation of amyloid fibril formation	drug-pathway
lovastatin	substantia nigra development	drug-pathway
lovastatin	regulation of systemic arterial blood pressure by endothelin	drug-pathway
lovastatin	regulation of cholesterol storage	drug-pathway
lovastatin	membrane invagination	drug-pathway
lovastatin	positive regulation of substrate adhesion-dependent cell spreading	drug-pathway
lovastatin	negative regulation of interleukin-1 beta secretion	drug-pathway
lovastatin	regulation of Cdc42 protein signal transduction	drug-pathway
lovastatin	negative regulation of response to cytokine stimulus	drug-pathway
lovastatin	positive regulation of muscle cell apoptotic process	drug-pathway
lovastatin	organophosphate ester transport	drug-pathway
lovastatin	cholesterol storage	drug-pathway
lovastatin	negative regulation of heterotypic cell-cell adhesion	drug-pathway
lovastatin	cell-cell adhesion involved in gastrulation	drug-pathway
lovastatin	regulation of cell-cell adhesion involved in gastrulation	drug-pathway
lovastatin	regulation of intestinal cholesterol absorption	drug-pathway
lovastatin	regulation of intestinal absorption	drug-pathway
lovastatin	regulation of intestinal lipid absorption	drug-pathway
lovastatin	modification of postsynaptic structure	drug-pathway
lovastatin	positive regulation of collagen metabolic process	drug-pathway
lovastatin	positive regulation of collagen biosynthetic process	drug-pathway
lovastatin	positive regulation of alpha-beta T cell differentiation	drug-pathway
lovastatin	triglyceride biosynthetic process	drug-pathway
lovastatin	negative regulation of macrophage activation	drug-pathway
lovastatin	regulation of blood vessel diameter by renin-angiotensin	drug-pathway
lovastatin	renal control of peripheral vascular resistance involved in regulation of systemic arterial blood pressure	drug-pathway
lovastatin	negative regulation of interleukin-1 beta production	drug-pathway
lovastatin	fertilization	drug-pathway
lovastatin	lysosomal protein catabolic process	drug-pathway
lovastatin	positive regulation of actin filament polymerization	drug-pathway
lovastatin	negative regulation of sprouting angiogenesis	drug-pathway
lovastatin	positive regulation of striated muscle cell apoptotic process	drug-pathway
lovastatin	positive regulation of cardiac muscle cell apoptotic process	drug-pathway
lovastatin	negative regulation of reactive oxygen species biosynthetic process	drug-pathway
lovastatin	protein methylation	drug-pathway
lovastatin	protein alkylation	drug-pathway
lovastatin	positive regulation of alpha-beta T cell activation	drug-pathway
lovastatin	regulation of vascular smooth muscle contraction	drug-pathway
lovastatin	sterol esterification	drug-pathway
lovastatin	lipoprotein localization	drug-pathway
lovastatin	heterotypic cell-cell adhesion	drug-pathway
lovastatin	response to lipoprotein particle	drug-pathway
lovastatin	very-low-density lipoprotein particle clearance	drug-pathway
lovastatin	positive regulation of Ras protein signal transduction	drug-pathway
lovastatin	phosphatidylcholine biosynthetic process	drug-pathway
lovastatin	lipid hydroxylation	drug-pathway
lovastatin	positive regulation of cholesterol storage	drug-pathway
lovastatin	epoxygenase P450 pathway	drug-pathway
lovastatin	negative regulation of cytokine production involved in immune response	drug-pathway
lovastatin	regulation of phosphatidylcholine catabolic process	drug-pathway
lovastatin	negative regulation of striated muscle cell apoptotic process	drug-pathway
lovastatin	negative regulation of endothelial cell migration	drug-pathway
lovastatin	high-density lipoprotein particle remodeling	drug-pathway
lovastatin	collagen biosynthetic process	drug-pathway
lovastatin	lipoprotein biosynthetic process	drug-pathway
lovastatin	regulation of systemic arterial blood pressure by renin-angiotensin	drug-pathway
lovastatin	cellular response to dopamine	drug-pathway
lovastatin	response to dopamine	drug-pathway
lovastatin	histone H3-K9 methylation	drug-pathway
lovastatin	negative regulation of insulin secretion involved in cellular response to glucose stimulus	drug-pathway
lovastatin	flagellated sperm motility	drug-pathway
lovastatin	amyloid-beta clearance	drug-pathway
lovastatin	positive regulation of small GTPase mediated signal transduction	drug-pathway
lovastatin	interleukin-1 beta secretion	drug-pathway
lovastatin	histone methylation	drug-pathway
lovastatin	sperm motility	drug-pathway
lovastatin	positive regulation of translation	drug-pathway
lovastatin	vascular smooth muscle contraction	drug-pathway
lovastatin	cardiac muscle cell apoptotic process	drug-pathway
lovastatin	negative regulation of oxidative phosphorylation	drug-pathway
lovastatin	negative regulation of nucleotide metabolic process	drug-pathway
lovastatin	striated muscle cell apoptotic process	drug-pathway
lovastatin	intracellular cholesterol transport	drug-pathway
lovastatin	negative regulation of intracellular steroid hormone receptor signaling pathway	drug-pathway
lovastatin	neuron projection regeneration	drug-pathway
lovastatin	phospholipid homeostasis	drug-pathway
lovastatin	regulation of actomyosin structure organization	drug-pathway
lovastatin	artery development	drug-pathway
lovastatin	response to selenium ion	drug-pathway
lovastatin	apolipoprotein A-I-mediated signaling pathway	drug-pathway
lovastatin	tongue development	drug-pathway
lovastatin	establishment of planar polarity	drug-pathway
lovastatin	glycerophospholipid catabolic process	drug-pathway
lovastatin	ubiquinone metabolic process	drug-pathway
lovastatin	positive regulation of lysosomal protein catabolic process	drug-pathway
lovastatin	release of cytochrome c from mitochondria	drug-pathway
lovastatin	establishment of tissue polarity	drug-pathway
lovastatin	negative regulation of purine nucleotide metabolic process	drug-pathway
lovastatin	phosphatidylcholine catabolic process	drug-pathway
lovastatin	phospholipid efflux	drug-pathway
lovastatin	cell adhesion molecule production	drug-pathway
lovastatin	negative regulation of lipase activity	drug-pathway
lovastatin	regulation of very-low-density lipoprotein particle remodeling	drug-pathway
lovastatin	maintenance of cell number	drug-pathway
lovastatin	chromatin remodeling	drug-pathway
lovastatin	cholesterol esterification	drug-pathway
lovastatin	tyrosine phosphorylation of STAT protein	drug-pathway
lovastatin	artery morphogenesis	drug-pathway
lovastatin	negative regulation of interleukin-1 production	drug-pathway
lovastatin	chylomicron assembly	drug-pathway
lovastatin	high-density lipoprotein particle clearance	drug-pathway
lovastatin	regulation of sprouting angiogenesis	drug-pathway
lovastatin	intestinal absorption	drug-pathway
lovastatin	positive regulation of organelle assembly	drug-pathway
lovastatin	positive regulation of protein catabolic process in the vacuole	drug-pathway
lovastatin	integrin-mediated signaling pathway	drug-pathway
lovastatin	steroid esterification	drug-pathway
lovastatin	negative regulation of I-kappaB kinase/NF-kappaB signaling	drug-pathway
lovastatin	regulation of oligodendrocyte differentiation	drug-pathway
lovastatin	T cell activation involved in immune response	drug-pathway
lovastatin	omega-hydroxylase P450 pathway	drug-pathway
lovastatin	regulation of Rho protein signal transduction	drug-pathway
lovastatin	chylomicron remnant clearance	drug-pathway
lovastatin	T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	drug-pathway
lovastatin	coenzyme A metabolic process	drug-pathway
lovastatin	negative regulation of dendritic spine development	drug-pathway
lovastatin	positive regulation of cell aging	drug-pathway
lovastatin	cholesterol efflux	drug-pathway
lovastatin	interleukin-1 secretion	drug-pathway
lovastatin	establishment of epithelial cell apical/basal polarity	drug-pathway
lovastatin	regulation of T cell migration	drug-pathway
lovastatin	establishment or maintenance of actin cytoskeleton polarity	drug-pathway
lovastatin	regulation of histone methylation	drug-pathway
lovastatin	osteoblast proliferation	drug-pathway
lovastatin	regulation of osteoblast proliferation	drug-pathway
lovastatin	cell migration involved in sprouting angiogenesis	drug-pathway
lovastatin	regulation of phospholipid catabolic process	drug-pathway
lovastatin	substrate adhesion-dependent cell spreading	drug-pathway
lovastatin	negative regulation of neuroinflammatory response	drug-pathway
lovastatin	positive regulation of cytokinesis	drug-pathway
lovastatin	regulation of triglyceride metabolic process	drug-pathway
lovastatin	negative regulation of MAP kinase activity	drug-pathway
lovastatin	negative regulation of production of molecular mediator of immune response	drug-pathway
lovastatin	negative regulation of supramolecular fiber organization	drug-pathway
lovastatin	beta selection	drug-pathway
lovastatin	regulation of modification of postsynaptic actin cytoskeleton	drug-pathway
lovastatin	ATP-dependent chromatin remodeling	drug-pathway
lovastatin	intermediate filament-based process	drug-pathway
lovastatin	intermediate filament cytoskeleton organization	drug-pathway
lovastatin	cellular response to ionizing radiation	drug-pathway
lovastatin	striated muscle adaptation	drug-pathway
lovastatin	positive regulation of epithelial to mesenchymal transition	drug-pathway
lovastatin	mitotic cytokinesis	drug-pathway
lovastatin	endosome to lysosome transport	drug-pathway
lovastatin	regulation of MHC class II biosynthetic process	drug-pathway
lovastatin	neutral lipid biosynthetic process	drug-pathway
lovastatin	positive regulation of tyrosine phosphorylation of STAT protein	drug-pathway
lovastatin	regulation of cytokine secretion involved in immune response	drug-pathway
lovastatin	positive regulation of actin filament bundle assembly	drug-pathway
lovastatin	negative regulation of muscle cell apoptotic process	drug-pathway
lovastatin	regulation of interleukin-1 beta production	drug-pathway
lovastatin	regulation of insulin secretion involved in cellular response to glucose stimulus	drug-pathway
lovastatin	podosome assembly	drug-pathway
lovastatin	negative regulation of peptide hormone secretion	drug-pathway
lovastatin	regulation of collagen metabolic process	drug-pathway
lovastatin	negative regulation of cytokine-mediated signaling pathway	drug-pathway
lovastatin	negative regulation of microglial cell activation	drug-pathway
lovastatin	peripheral nervous system axon regeneration	drug-pathway
lovastatin	glucocorticoid metabolic process	drug-pathway
lovastatin	triglyceride mobilization	drug-pathway
lovastatin	regulation of amyloid fibril formation	drug-pathway
lovastatin	positive regulation of cholesterol esterification	drug-pathway
lovastatin	very-low-density lipoprotein particle assembly	drug-pathway
lovastatin	sterol import	drug-pathway
lovastatin	cholesterol import	drug-pathway
lovastatin	regulation of cholesterol esterification	drug-pathway
lovastatin	triglyceride catabolic process	drug-pathway
lovastatin	regulation of cell adhesion molecule production	drug-pathway
lovastatin	neutral lipid catabolic process	drug-pathway
lovastatin	forebrain cell migration	drug-pathway
lovastatin	positive regulation of triglyceride metabolic process	drug-pathway
lovastatin	negative regulation of cell-substrate adhesion	drug-pathway
lovastatin	modification of postsynaptic actin cytoskeleton	drug-pathway
lovastatin	positive regulation of interleukin-1 production	drug-pathway
lovastatin	response to muscle stretch	drug-pathway
lovastatin	embryonic limb morphogenesis	drug-pathway
lovastatin	embryonic appendage morphogenesis	drug-pathway
lovastatin	negative regulation of dendrite development	drug-pathway
lovastatin	cleavage furrow formation	drug-pathway
lovastatin	establishment of epithelial cell polarity	drug-pathway
lovastatin	positive regulation of lymphocyte migration	drug-pathway
lovastatin	mitotic cytokinetic process	drug-pathway
lovastatin	negative regulation of cytokine secretion	drug-pathway
lovastatin	histone H4 deacetylation	drug-pathway
lovastatin	regulation of peptidyl-lysine acetylation	drug-pathway
lovastatin	regulation of modification of postsynaptic structure	drug-pathway
lovastatin	modification of synaptic structure	drug-pathway
lovastatin	positive regulation of T cell migration	drug-pathway
lovastatin	polarized epithelial cell differentiation	drug-pathway
lovastatin	fungiform papilla formation	drug-pathway
lovastatin	ectodermal placode formation	drug-pathway
lovastatin	ectodermal placode morphogenesis	drug-pathway
lovastatin	positive regulation of smooth muscle contraction	drug-pathway
lovastatin	positive regulation of systemic arterial blood pressure	drug-pathway
lovastatin	response to hyperoxia	drug-pathway
lovastatin	gastrulation	drug-pathway
lovastatin	long-term memory	drug-pathway
lovastatin	regulation of triglyceride biosynthetic process	drug-pathway
lovastatin	establishment or maintenance of apical/basal cell polarity	drug-pathway
lovastatin	establishment or maintenance of bipolar cell polarity	drug-pathway
lovastatin	regulation of collagen biosynthetic process	drug-pathway
lovastatin	response to caloric restriction	drug-pathway
lovastatin	nitrogen cycle metabolic process	drug-pathway
lovastatin	plasma lipoprotein particle assembly	drug-pathway
lovastatin	protein-lipid complex assembly	drug-pathway
lovastatin	negative regulation of astrocyte differentiation	drug-pathway
lovastatin	negative regulation of axonogenesis	drug-pathway
lovastatin	stem cell population maintenance	drug-pathway
lovastatin	non-canonical Wnt signaling pathway	drug-pathway
lovastatin	phosphatidylcholine metabolic process	drug-pathway
lovastatin	regulation of heterotypic cell-cell adhesion	drug-pathway
lovastatin	positive regulation of stress fiber assembly	drug-pathway
lovastatin	axon regeneration	drug-pathway
lovastatin	negative regulation of cell migration involved in sprouting angiogenesis	drug-pathway
lovastatin	response to caffeine	drug-pathway
lovastatin	response to diuretic	drug-pathway
lovastatin	amyloid fibril formation	drug-pathway
lovastatin	regulation of dendritic spine development	drug-pathway
lovastatin	regulation of stress fiber assembly	drug-pathway
lovastatin	negative regulation of astrocyte activation	drug-pathway
lovastatin	wound healing, spreading of cells	drug-pathway
lovastatin	epiboly	drug-pathway
lovastatin	negative regulation of cell size	drug-pathway
lovastatin	dendritic spine development	drug-pathway
lovastatin	Roundabout signaling pathway	drug-pathway
lovastatin	regulation of release of cytochrome c from mitochondria	drug-pathway
lovastatin	cellular response to low-density lipoprotein particle stimulus	drug-pathway
lovastatin	positive regulation of histone methylation	drug-pathway
lovastatin	vacuolar transport	drug-pathway
lovastatin	regulation of oxidative phosphorylation	drug-pathway
lovastatin	neural nucleus development	drug-pathway
lovastatin	regulation of cell aging	drug-pathway
lovastatin	adrenal gland development	drug-pathway
lovastatin	MHC class II biosynthetic process	drug-pathway
lovastatin	behavioral response to ethanol	drug-pathway
lovastatin	regulation of alpha-beta T cell activation	drug-pathway
lovastatin	regulation of interleukin-1 secretion	drug-pathway
lovastatin	regulation of astrocyte activation	drug-pathway
lovastatin	positive regulation of oligodendrocyte differentiation	drug-pathway
lovastatin	cerebral cortex cell migration	drug-pathway
lovastatin	triglyceride homeostasis	drug-pathway
lovastatin	apical junction assembly	drug-pathway
lovastatin	histone H3-K9 modification	drug-pathway
lovastatin	very-low-density lipoprotein particle remodeling	drug-pathway
lovastatin	negative regulation of muscle hypertrophy	drug-pathway
lovastatin	regulation of cytokinesis	drug-pathway
lovastatin	high-density lipoprotein particle assembly	drug-pathway
lovastatin	activation of adenylate cyclase activity	drug-pathway
