Description	GSE139871_GPL10558_s5_d4	GSE16250_GPL570_s3_d2	GSE34151_GPL10558_s4_d3	GSE63548_GPL10558_s6_d5	GSE83456_GPL10558_s1_d1	GSE83456_GPL10558_s2_d1	GSE132283_s20_d17	GSE132283_s21_d17	GSE141656_s8_d7	GSE143627_s17_d14	GSE143731_s23_d19	GSE148171_s14_d11	GSE148731_s11_d10	GSE148731_s12_d10	GSE148731_s13_d10	GSE164287_s24_d20	GSE165708_s28_d23	GSE174566_s15_d12	GSE183912_s22_d18	GSE193777_s9_d8	GSE198557_s16_d13	GSE211974_s7_d6	GSE236156_s25_d21	GSE256184_s26_d22	GSE256184_s27_d22	GSE64179_s18_d15	GSE64182_s19_d16	GSE84076_s10_d9	aggregated_microarray	aggregated_RNAseq
'de novo' AMP biosynthetic process	0	1.9354774173999143	0	1.701969861163823	0	0	0	0.6452649367038087	1.6872604294488918	0	0	0.9673418336718144	0	0.820024852815863	0.7778213554131798	0	0	2.170992545952	0	0	1.149873603499776	0	0	0.9531582669282372	1.0371684544653412	1.2953420477430293	0.8468695676608411	0	1.5372986417938648	0.894859272412392
'de novo' GDP-L-fucose biosynthetic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.537298641793865	0.894859272412392
'de novo' IMP biosynthetic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.537298641793865	0.894859272412392
'de novo' L-methionine biosynthetic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.537298641793865	0.894859272412392
'de novo' NAD biosynthetic process from tryptophan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.894859272412392
'de novo' UMP biosynthetic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.537298641793865	0
'de novo' XMP biosynthetic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.537298641793865	0.894859272412392
'de novo' cotranslational protein folding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.894859272412392
'de novo' post-translational protein folding	0	1.3905992658357291	0.7306589009411193	0	0	0	0.5399426313083537	1.5715859159074903	1.4133541824031248	0.6246082714426909	0	1.3866275008930256	0	1.662664490470373	1.4017795743917043	0	0	0.733601917838945	0	0.6712440265259036	2.0815306922782555	0.6904224792763219	1.417843759665484	0.5803114577925186	1.1206693419275562	0.8371789798479791	0.921483693963408	0.882139694109754	1.0366219774938936	0.894859272412392
'de novo' protein folding	0	1.686913365643106	0.527289748306543	0	1.0305485261181226	0	0.3828171792021754	1.4986498932626002	1.2870279254478951	0.4461434845188095	0	1.316643847089467	0	1.330722876580301	1.2758462335345158	0	0	0.5295719824402833	0	0.8819379663020781	1.9029361171300283	0.49625392380934447	1.347292507264911	0.4128570319660037	1.151353509652061	0.6109728938125927	0.6788026108895587	0.6469701590960805	1.012504600170581	0.894859272412392
'de novo' pyrimidine nucleobase biosynthetic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.537298641793865	0
(R)-carnitine transmembrane transport	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.537298641793865	0.894859272412392
(R)-carnitine transport	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.537298641793865	0.894859272412392
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1830662800049896	0.894859272412392
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate metabolic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1830662800049896	0.894859272412392
10-formyltetrahydrofolate biosynthetic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9565624786645076	0.894859272412392
10-formyltetrahydrofolate catabolic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.894859272412392
10-formyltetrahydrofolate metabolic process	0	0	0	0	0	0	0	1.1274565710344346	0.7863544328990428	0	0	0	0	1.364982915602703	0.7778213554131798	0	0	1.7812115838753515	0	1.0790836616671051	0	0	0	0	0.5830837476425865	0.7671252701894995	0	0	0.4303019696135515	0.894859272412392
2'-deoxyribonucleotide biosynthetic process	0	0	0.7306589009411193	0.6822693318392834	0	1.1275203655100965	0	0	0	0	0	0.5903438101382124	0	0.4886865018586582	0.4605758004052266	0	0	2.273903879230335	0	0.6712440265259036	1.2374785877714891	0	0.6092632167332077	1.6299128218369685	1.1206693419275562	0.8371789798479791	0.921483693963408	0.882139694109754	1.3136867207734737	0.894859272412392
