Description	GSE139871_GPL10558_s5_d4	GSE16250_GPL570_s3_d2	GSE34151_GPL10558_s4_d3	GSE63548_GPL10558_s6_d5	GSE83456_GPL10558_s1_d1	GSE83456_GPL10558_s2_d1	GSE132283_s20_d17	GSE132283_s21_d17	GSE141656_s8_d7	GSE143627_s17_d14	GSE143731_s23_d19	GSE148171_s14_d11	GSE148731_s11_d10	GSE148731_s12_d10	GSE148731_s13_d10	GSE164287_s24_d20	GSE165708_s28_d23	GSE174566_s15_d12	GSE183912_s22_d18	GSE193777_s9_d8	GSE198557_s16_d13	GSE211974_s7_d6	GSE236156_s25_d21	GSE256184_s26_d22	GSE256184_s27_d22	GSE64179_s18_d15	GSE64182_s19_d16	GSE84076_s10_d9	aggregated_microarray	aggregated_RNAseq
ISG15-protein conjugation	0	0	1.014156856051737	0.9541182457914004	0	1.4766333263852092	0.7716727237196409	1.9540827226499484	1.167349044344664	2.312326702571814	1.2801929129395295	0.8373246441046674	0	2.0491024977496672	1.7747514091374383	1.3302983107456507	2.731971984882726	0	2.33366426345826	1.517280227526992	1.0062125939972393	2.2057424749855867	1.4186034154990974	0	1.8453232556841737	1.143136532079481	0.727847634758632	0	1.3826992733989505	0.9020234857950488
cellular response to misfolded protein	0	0	0.2949940886309147	0.5279386589645817	0	0	0.7716727237196409	1.3153999466951267	1.6617975338843245	1.4435336459526038	0	1.90500056476532	0	0.9801577217468848	1.5081334771776167	0.4266586522507142	0.8500093469264292	1.3524939997747016	0	1.8962514634624257	2.2599736833953683	0.9643013264118544	1.621223247337238	0	0.7102754742234991	1.3313959441296053	1.4367224443322657	0	0.8336969620192526	0.9020234857950488
establishment of endothelial intestinal barrier	0	0	0.667593182197922	0.6223988550073362	0	0	1.4619856571553664	1.3153999466951267	1.8333254684140945	1.0158856743564564	0.8784041529462333	1.7585855320718906	1.313698034938307	1.3657326635445066	1.6758814722473745	0.5058191285716037	0	1.7820187729769312	0.8967559968282197	1.6852854570634055	1.7677745711135902	0.6300017395402459	2.1148295527658356	0	1.3752532453857638	1.805292596841083	1.400420477278559	0	0.9640157279209456	0.9020234857950488
negative regulation of ferroptosis	0	2.2368974653528553	0.8668023001438809	0	1.164701778209143	0.9715412000789492	1.7477284070160983	1.9540827226499484	1.9825824483892716	2.179220010336755	0	0.8982342657332819	1.5912123247194772	1.918042623465943	1.7309444606376907	0	0.9114890922894828	0.616318529877084	1.3782429024445646	1.5968827895904243	0	1.6267965464503007	1.4966596855507035	2.213887904579018	1.427361142881688	1.841570950184852	1.8282072285019093	0.7480305624464468	1.3665568559042611	0.9020234857950488
negative regulation of viral genome replication	0	0.3938345362274244	0.4154999242782895	0.5958840114958732	0	0.29223519367041084	0.6763118873418741	1.7249057147002118	0.587526123321453	1.945800853704217	1.501948781192863	1.1808321476839525	0.40008380140672367	1.868425954786255	1.7747514091374383	1.3302983107456507	2.493414802300958	1.0177779349826166	2.33366426345826	1.379314768300071	1.2970554737926026	2.01476353301261	1.131591534427698	1.0879436761547157	1.5614008432825386	1.6531087464686274	0.973059455483284	0.606274061105753	1.0989147687862353	0.8848402997888862
peptide antigen assembly with MHC class I protein complex	0	0	1.014156856051737	0	1.7022040031009449	1.4766333263852092	0.7716727237196409	1.9540827226499484	1.167349044344664	1.8183384524126491	0	0	0	1.8350225656632224	1.156626452180761	0	0	0	0	0.9403036269881015	1.0062125939972393	2.2057424749855867	0	0	1.6735494004827625	1.143136532079481	1.2424312012583387	1.1963757390953191	1.3826992733989505	0.9020234857950488
phagosome-lysosome fusion	0	0	0	0	0	0	1.6662678944047506	1.5723695874856627	1.519977952857555	0.8812930853225462	0	2.250439689532491	0	1.8350225656632224	1.7747514091374383	0	0	0	0	1.8962514634624257	2.479216620147569	1.54678382322444	1.791858201680509	1.370599981365715	1.469010584550473	1.143136532079481	1.2424312012583387	0	0.3652958834976848	0.9020234857950488
positive regulation of TORC2 signaling	0	0	0.5676089627134441	0	1.7022040031009449	1.4766333263852092	0.7716727237196409	1.5723695874856627	1.167349044344664	1.8183384524126491	0	1.7585855320718906	1.1598439604959625	1.8350225656632224	1.7747514091374383	0	0	1.611605852975117	0	2.3926664917401848	1.9805674059582152	0.9643013264118544	1.4186034154990974	0	1.469010584550473	1.7591900084565812	0.727847634758632	0	0.9640157279209456	0.9020234857950488
positive regulation of natural killer cell chemotaxis	0	1.9362968552577284	0.667593182197922	0	0	0	1.8378900310571649	1.7418331974107792	1.960964120751978	1.992726069034754	0	0	2.3465010251132257	2.0096669437287313	1.9484276521850992	1.869671582052442	1.5681669764073012	2.453849755723783	2.513129003799667	0	0	1.7155890485408272	1.58358494198078	0	0.5835323044288689	1.9325973666093663	2.047674637044607	0	1.3468791498785115	0.9020234857950488
protein localization to endosome	2.205244386178	0	0	0	0	0	1.6662678944047506	1.617298471705058	1.3216046631569451	0.5687663259285666	0	1.9319822812231735	0	1.566133738660649	1.071781546961685	0.5058191285716037	0.981829207224903	1.1629431757851254	0	2.2217510277760315	2.1571305454216865	1.7155890485408272	0.9945367420159104	0.9537915945560717	1.5130917690089924	0.7676766404315911	1.400420477278559	0	0.6297881587257949	0.9020234857950488
