,pert_iname,clinical_phase,moa,target,disease_area,indication
282,amezinium,Launched,adrenergic receptor agonist,ADRB2,cardiology,hypotension
283,amfenac,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,neurology/psychiatry,pain relief
304,amidopyrine,Launched,analgesic agent,,dermatology,dermatitis herpetiformis (DH)
305,amifampridine,Launched,potassium channel blocker,,neurology/psychiatry,Lambert-Eaton myasthenic syndrome (LEMS)
307,amifostine,Launched,reducing agent,ALPPL2|ENPP1,nephrology,renal toxicity
308,amikacin,Launched,bacterial 30S ribosomal subunit inhibitor,,infectious disease,gram-negative bacterial infections
309,amiloride,Launched,sodium channel blocker,AOC1|ASIC1|ASIC2|ASIC3|PKD2|PKD2L1|PLAU|SCNN1A|SCNN1B|SCNN1D|SCNN1G|SLC9A1|TRPC7|TRPV2,cardiology,hypertension|congestive heart failure
311,aminocaproic-acid,Launched,plasminogen activator inhibitor,LPA|PLAT|PLG,hematology,fibrinolytic bleeding
312,aminoglutethimide,Launched,glucocorticoid receptor antagonist,CYP11A1|CYP19A1,endocrinology|oncology,Cushing's syndrome|breast cancer
314,aminohydroxybutyric-acid,Launched,,,neurology/psychiatry,epilepsy
317,aminopentamide,Launched,acetylcholine receptor antagonist,CHRM1,gastroenterology,acute abdominal visceral spasm|hypertrophic gastritis (GHG)|nausea
318,aminophylline,Launched,adenosine receptor antagonist,ADORA1|ADORA2A|ADORA2B|ADORA3|HDAC2|PDE3A|PDE3B|PDE4A|PDE4B|PDE4C|PDE4D|PDE5A,pulmonary,asthma|bronchitis|emphysema
321,aminosalicylate,Launched,cyclooxygenase inhibitor,ALOX5|CHUK|PLA2G2E|PTGS1|PTGS2,gastroenterology,inflammatory bowel disease|ulcerative colitis
324,amiodarone,Launched,potassium channel blocker,ADRB1|CACNA1H|CACNA2D2|KCNA7|KCNH2,cardiology,ventricular arrhythmias
327,amisulpride,Launched,dopamine receptor antagonist,DRD2,neurology/psychiatry,psychosis|bipolar disorder|schizophrenia
329,amitraz,Launched,adrenergic receptor agonist,ADRA1A|ADRA2A,infectious disease,generalized demodicosis
330,amitriptyline,Launched,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|HRH2|HRH4|HTR1A|HTR1B|HTR1D|HTR2A|HTR2C|HTR6|HTR7|KCNA1|KCND2|KCND3|KCNQ2|KCNQ3|NTRK1|NTRK2|OPRD1|OPRK1|OPRM1|SIGMAR1|SLC6A2|SLC6A4,neurology/psychiatry,depression
331,amlexanox,Launched,histamine receptor modulator,FGF1|IL3|PDE4A|PDE4B|PDE4C|PDE4D|S100A12|S100A13,dental|pulmonary|ophthalmology|allergy,aphthous ulcers|asthma|conjunctivitis|allergic rhinitis
332,amlodipine,Launched,calcium channel blocker,CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1,cardiology,hypertension|chronic stable angina|vasospastic angina|coronary artery disease (CAD)
333,ammonium-glycyrrhizinate,Launched,thrombin inhibitor,HSD11B1|HSD11B2|SLCO1B1|SLCO1B3,dermatology,cosmetic
334,ammonium-lactate,Launched,,HCAR1,dermatology,xerosis cutis|ichthyosis vulgaris
337,amodiaquine,Launched,histamine receptor agonist,HNMT,infectious disease,malaria
339,amorolfine,Launched,membrane integrity inhibitor,,infectious disease,onychomycosis
340,amoxapine,Launched,norepinephrine reputake inhibitor,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|HRH1|HRH4|HTR1A|HTR1B|HTR2A|HTR2B|HTR2C|HTR3A|HTR6|HTR7|SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry,depression
341,amoxicillin,Launched,penicillin binding protein inhibitor,CYP2C19|SLC15A1|SLC15A2|SLC22A6,infectious disease|gastroenterology,skin infections|duodenal ulcer disease|gonorrhea|ear infections|throat infections|genitourinary tract infections|respiratory tract infections
345,amperozide,Launched,dopamine receptor antagonist,FAAH|HTR2A,neurology/psychiatry,psychosis
346,amphotericin-b,Launched,membrane permeability enhancer,,infectious disease,fungal infection
347,ampicillin,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,respiratory tract infections|meningitis|bacterial septicemia|endocarditis|urinary tract infections|gastrointestinal infections
348,ampiroxicam,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,neurology/psychiatry,pain relief
349,amprenavir,Launched,HIV protease inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)
350,amprolium,Launched,thiamine uptake blocker,,infectious disease,coccidiosis
352,amrinone,Launched,phosphodiesterase inhibitor,PDE3A|PDE3B|PDE4B|TNF,cardiology,congestive heart failure
353,amrubicin,Launched,topoisomerase inhibitor,TOP2A|TOP2B,oncology,small cell lung cancer
354,amsacrine,Launched,topoisomerase inhibitor,KCNH2|TOP2A,hematologic malignancy,acute lymphoblastic leukemia (ALL)
356,amtolmetin-guacil,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,rheumatology,rheumatoid arthritis|osteoarthritis
369,anagliptin,Launched,dipeptidyl peptidase inhibitor,DPP4,endocrinology,diabetes mellitus
370,anagrelide,Launched,phosphodiesterase inhibitor,PDE3A,hematology|hematologic malignancy,thrombocythemia|myeloproliferative neoplasms
373,anastrozole,Launched,aromatase inhibitor,CYP19A1,oncology,breast cancer
378,anecortave-acetate,Launched,angiogenesis inhibitor,,ophthalmology,macular degeneration
379,anethole,Launched,glutathione transferase stimulant,,,
380,anethole-trithione,Launched,glutathione transferase stimulant,,dental,xerostomia
382,anidulafungin,Launched,"fungal 1,3-beta-D-glucan synthase inhibitor",,infectious disease,candidemia|fungal infection|esophageal candidiasis
383,aniracetam,Launched,glutamate receptor agonist,DRD2|GRIA1|GRIA2|GRIA3|GRIA4|HTR2A,,
384,anisindione,Launched,vitamin K antagonist,GGCX,hematology,deep vein thrombosis (DVT)
387,anisotropine,Launched,acetylcholine receptor antagonist,,gastroenterology,peptic ulcer disease (PUD)
388,anlotinib,Launched,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,KDR|PDGFRB,,
394,antazoline,Launched,antihistamine,HRH1,ophthalmology|otolaryngology,conjunctivitis|nasal congestion
395,anthralin,Launched,DNA synthesis inhibitor,,dermatology,psoriasis
400,antioxine,Launched,,,,
405,apalutamide,Launched,androgen receptor antagonist,,oncology,prostate cancer
416,apixaban,Launched,coagulation factor inhibitor,F10,neurology/psychiatry|hematology|cardiology,stroke|systemic embolism|pulmonary embolism (PE)|atrial fibrillation (AF)|deep vein thrombosis (DVT)
420,apraclonidine,Launched,adrenergic receptor agonist,ADRA1A|ADRA2A|ADRA2B|ADRA2C,ophthalmology,glaucoma|intraocular pressure
421,apramycin,Launched,bacterial 30S ribosomal subunit inhibitor,,infectious disease,gram-negative bacterial infections
423,apremilast,Launched,phosphodiesterase inhibitor,PDE4A|PDE4B|PDE4C|PDE4D,dermatology|rheumatology,psoriasis|psoriatic arthritis
424,aprepitant,Launched,tachykinin antagonist,TACR1,gastroenterology,nausea|vomiting
426,aprindine,Launched,voltage-gated sodium channel blocker,CALM1|SCN5A,cardiology,cardiac arrythmia
444,arbidol,Launched,cytochrome P450 inhibitor,CYP3A4,infectious disease,influenza A virus infection
453,argatroban,Launched,thrombin inhibitor,F2,hematology,heparin-induced thrombocytopenia (HIT)
455,arglabin,Launched,farnesyltransferase inhibitor,FNTA|NFKB1,,
456,aripiprazole,Launched,serotonin receptor agonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2C|HTR3A|HTR6|HTR7,neurology/psychiatry,depression|schizophrenia|bipolar disorder
457,aripiprazole-lauroxil,Launched,serotonin receptor agonist,,neurology/psychiatry,schizophrenia
459,arotinolol,Launched,adrenergic receptor antagonist,ADRB3,cardiology|neurology/psychiatry,hypertension|tremors
464,arsenic-trioxide,Launched,apoptosis stimulant,AKT1|CCND1|IKBKB|JUN|MAPK1|MAPK3|TXNRD1,gastroenterology,diarrhea
465,artemether,Launched,antimalarial agent,ATP1A1,infectious disease,malaria
466,artemisinin,Launched,DNA synthesis inhibitor,CYP2B6,infectious disease,malaria
467,artemotil,Launched,,,infectious disease,malaria
468,artesunate,Launched,DNA synthesis inhibitor,,infectious disease,malaria
469,articaine,Launched,local anesthetic,,neurology/psychiatry,local anesthetic
487,ascorbic-acid,Launched,antioxidant,SLC23A1|SLC23A2,endocrinology,scurvy
488,asenapine,Launched,dopamine receptor antagonist|serotonin receptor antagonist,DRD2|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A,neurology/psychiatry,schizophrenia|bipolar disorder
495,aspartame,Launched,,TAS1R2|TRPV1,,
496,aspirin,Launched,cyclooxygenase inhibitor,AKR1C1|ASIC3|EDNRA|HSPA5|IKBKB|NFKB1|NFKB2|NFKBIA|PRKAA1|PRKAA2|PRKAB1|PRKAB2|PRKAG1|PRKAG2|PRKAG3|PTGS1|PTGS2|RPS6KA3|TP53,neurology/psychiatry|endocrinology|dental,headache|fever|toothache|muscle pain
499,astaxanthin,Launched,antioxidant,,,
510,ataluren,Launched,CFTR channel agonist|dystrophin stimulant,DMD,genetics|pulmonary,duchenne muscular dystrophy (DMD)|cystic fibrosis
511,atazanavir,Launched,HIV protease inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)
514,atenolol-(+/-),Launched,adrenergic receptor antagonist,ADRB1|ADRB2|LTF|PLA2G2E,cardiology,hypertension|angina pectoris
515,atenolol-(-),Launched,adrenergic receptor antagonist,,cardiology,hypertension
518,atipamezole,Launched,adrenergic receptor antagonist,,neurology/psychiatry,reverse sedative
522,atomoxetine,Launched,norepinephrine transporter inhibitor,GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry,attention-deficit/hyperactivity disorder (ADHD)
523,atorvastatin,Launched,HMGCR inhibitor,AHR|DPP4|HMGCR,neurology/psychiatry|cardiology,stroke|heart attack
524,atosiban,Launched,oxytocin receptor antagonist,AVPR1A|AVPR1B|AVPR2|OXTR,neurology/psychiatry|cardiology|endocrinology,stroke|angina pectoris|myocardial infarction|hyperlipidemia
525,atovaquone,Launched,mitochondrial electron transport inhibitor,,infectious disease,pneumonia
528,atracurium,Launched,acetylcholine receptor antagonist,,critical care|neurology/psychiatry,endotracheal intubation|muscle relaxant
530,atropine,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,ophthalmology,cycloplegia|mydriasis|amblyopia
536,auranofin,Launched,NFkB pathway inhibitor,IKBKB|PRDX5|TRPA1,rheumatology,rheumatoid arthritis
538,aurothioglucose,Launched,PKC inhibitor,PRKCI,rheumatology,rheumatoid arthritis
546,avanafil,Launched,phosphodiesterase inhibitor,PDE5A,urology,erectile dysfunction
547,avapritinib,Launched,KIT inhibitor,,,
549,avatrombopag,Launched,thrombopoietin receptor agonist,MPL,hematology,thrombocytopenia
553,avibactam,Launched,beta lactamase inhibitor,,infectious disease,intra-abdominal infections|urinary tract infections|pyelonephritis
558,avobenzone,Launched,topical sunscreen agent,,dermatology,cosmetic|sunscreen lotion
562,axitinib,Launched,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,CSF1|FLT1|FLT4|KDR|PLK4,oncology,renal cell carcinoma (RCC)
569,azacitidine,Launched,DNA methyltransferase inhibitor,DNMT1|DNMT3A,hematologic malignancy|hematology,myelodysplastic diseases (MDS)|anemia|chronic myelomonocytic leukemia (CMMoL)
573,azaperone,Launched,dopamine receptor antagonist,DRD2|DRD3,neurology/psychiatry,sedative
576,azasetron,Launched,serotonin receptor antagonist,HTR3A|HTR3B,infectious disease,genitial herpes
577,azatadine,Launched,histamine receptor antagonist,HRH1,allergy,allergic rhinitis
578,azathioprine,Launched,dehydrogenase inhibitor,HPRT1|IMPDH1|PPAT,transplant|rheumatology,renal homotransplantation|rheumatoid arthritis
625,azelaic-acid,Launched,tyrosinase inhibitor,AKR1D1|SRD5A2|TYR,dermatology,rosacea
626,azelastine,Launched,histamine receptor antagonist,HRH1,ophthalmology,conjunctivitis
628,azelnidipine,Launched,calcium channel blocker,CACNA1C,cardiology,hypertension
629,azilsartan,Launched,angiotensin receptor antagonist,AGTR1|AGTR2,cardiology,hypertension
630,azilsartan-medoxomil,Launched,angiotensin receptor antagonist,AGTR1|AGTR2,cardiology,hypertension
632,azithromycin,Launched,bacterial 50S ribosomal subunit inhibitor,MLNR,infectious disease,pelvic inflammatory disease|pneumonia
633,azlocillin,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,gram-positive bacterial infections|gram-negative bacterial infections
637,azosemide,Launched,electrolyte reabsorption inhibitor,SLC12A1|SLC12A2,cardiology,edema
638,aztreonam,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,urinary tract infections|respiratory tract infections|bacterial septicemia|skin infections|intra-abdominal infections|gynecologic infections
654,bacampicillin,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,gram-positive bacterial infections|gram-negative bacterial infections
655,bacitracin,Launched,bacterial cell wall synthesis inhibitor,IDE,infectious disease,first-aid antibiotic
656,bacitracin-zinc,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,first-aid antibiotic
657,baclofen,Launched,benzodiazepine receptor agonist,GABBR1|GABBR2|KCTD12|KCTD16|KCTD8,neurology/psychiatry,multiple sclerosis|spasms
663,baicalin,Launched,beta glucuronidase inhibitor,PREP,neurology/psychiatry,anxiety
668,balofloxacin,Launched,bacterial DNA gyrase inhibitor,,infectious disease,gram-negative bacterial infections
670,baloxavir-marboxil,Launched,endonuclease inhibitor,,infectious disease,influenza A virus infection
671,balsalazide,Launched,cyclooxygenase inhibitor,ALOX5|PPARG|PTGS1|PTGS2,gastroenterology,ulcerative colitis
673,bambuterol,Launched,adrenergic receptor agonist,ADRB2|BCHE,pulmonary,asthma
681,baricitinib,Launched,JAK inhibitor,JAK1|JAK2,rheumatology,rheumatoid arthritis
683,barnidipine,Launched,calcium channel blocker,,cardiology,hypertension
709,bazedoxifene,Launched,selective estrogen receptor modulator (SERM),ESR1|ESR2,orthopedics|endocrinology,osteoporosis|menopause
721,beclamide,Launched,anticonvulsant,,neurology/psychiatry,sedative|seizures
722,beclomethasone,Launched,glucocorticoid receptor agonist,NR3C1|SERPINA6,allergy,allergic rhinitis
723,beclomethasone-dipropionate,Launched,glucocorticoid receptor agonist,GPR97|NR3C1,allergy,allergic rhinitis
724,bedaquiline,Launched,ATPase inhibitor,,infectious disease,tuberculosis
727,bekanamycin,Launched,bacterial 30S ribosomal subunit inhibitor,,infectious disease,gram-negative bacterial infections
728,belinostat,Launched,HDAC inhibitor,HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,hematologic malignancy,peripheral T-cell lymphoma (PTCL)
731,bemegride,Launched,chemoreceptor agonist,GABRA1,critical care,poison antidote
733,bemotrizinol,Launched,,,dermatology,sunscreen lotion
734,bempedoic-acid,Launched,AMPK inhibitor,ACLY,,
737,benazepril,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension
738,bendamustine,Launched,DNA inhibitor,,hematologic malignancy,chronic lymphocytic leukemia (CLL)|non-Hodgkin lymphoma (NHL)
739,bendazac,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,neurology/psychiatry|rheumatology,muscle pain|joint pain
740,bendazol,Launched,nitric oxide synthase stimulant,,,
741,bendroflumethiazide,Launched,sodium/potassium/chloride transporter inhibitor,SLC12A1|SLC12A3,cardiology,hypertension
745,benfotiamine,Launched,antioxidant,AGER,rheumatology,lumbago
746,benidipine,Launched,calcium channel blocker,CACNA1C|CACNA1G,cardiology,hypertension
747,benperidol,Launched,dopamine receptor antagonist,DRD2,neurology/psychiatry,schizophrenia
748,benproperine,Launched,antitussive,SCN5A,pulmonary,cough suppressant
