,pert_iname,clinical_phase,moa,target,disease_area,indication
0,(R)-(-)-apomorphine,Launched,dopamine receptor agonist,ADRA2A|ADRA2B|ADRA2C|CALY|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A,neurology/psychiatry,Parkinson's Disease
32,abacavir,Launched,nucleoside reverse transcriptase inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)
34,abamectin,Launched,benzodiazepine receptor agonist,GABBR1|GABBR2,infectious disease,gastrointestinal parasites
39,abemaciclib,Launched,CDK inhibitor,CDK4|CDK6,oncology,breast cancer
40,abiraterone,Launched,androgen biosynthesis inhibitor,CYP11B1|CYP17A1,oncology,prostate cancer
41,abiraterone-acetate,Launched,androgen biosynthesis inhibitor,CYP17A1,oncology,prostate cancer
61,acalabrutinib,Launched,Bruton's tyrosine kinase (BTK) inhibitor,BTK,hematologic malignancy,mantle cell lymphoma (MCL)
63,acamprosate,Launched,glutamate receptor antagonist,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|GRM5,neurology/psychiatry,abstinence from alcohol
64,acarbose,Launched,glucosidase inhibitor,AMY2A|MGAM,endocrinology,diabetes mellitus
67,acebutolol,Launched,adrenergic receptor antagonist,ADRB1,cardiology,hypertension|ventricular arrhythmias
69,aceclidine,Launched,acetylcholine receptor agonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,ophthalmology,glaucoma
70,aceclofenac,Launched,prostanoid receptor antagonist,PTGS2,rheumatology,rheumatoid arthritis|ankylosing spondylitis|osteoarthritis|periarthritis|lumbago|ischiadynia
71,acedapsone,Launched,,,infectious disease,leprosy
73,acefylline,Launched,adenosine receptor agonist,ADORA1,pulmonary,asthma
74,aceglutamide,Launched,,,gastroenterology,peptic ulcer disease (PUD)
76,acemetacin,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,rheumatology,osteoarthritis
78,acenocoumarol,Launched,vitamin K antagonist,VKORC1,hematology,deep vein thrombosis (DVT)
79,acepromazine,Launched,dopamine receptor antagonist,ADRA1A|ADRA1B|DRD1|DRD2|HTR1A|HTR2A,neurology/psychiatry,sedative
82,acetarsol,Launched,,,gastroenterology,diarrhea
83,acetazolamide,Launched,carbonic anhydrase inhibitor,AQP1|CA1|CA12|CA14|CA2|CA3|CA4|CA7,ophthalmology,glaucoma
84,acetohexamide,Launched,ATP channel blocker,ABCC8|KCNJ1|KCNJ10|KCNJ11,endocrinology,diabetes mellitus
85,acetohydroxamic-acid,Launched,urease inhibitor,MMP12,infectious disease,urinary tract infections
86,acetophenazine,Launched,dopamine receptor antagonist,DRD1|DRD2,neurology/psychiatry,psychosis
88,acetyl-farnesyl-cysteine,Launched,methyltransferase inhibitor,PPARG,dermatology,acne vulgaris (AV)
89,acetyl-l-leucine,Launched,,,neurology/psychiatry,vertigo
91,acetylcholine,Launched,acetylcholine receptor agonist,ACHE|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CHRNA2,neurology/psychiatry|gastroenterology|pulmonary,drowsiness|fatigue|headache|indigestion|chest congestion
92,acetylcysteine,Launched,mucolytic agent,ACY1|CHUK|GRIN1|GRIN2A|GRIN2B|GRIN2D|GRIN3A|GSS|IKBKB|RELA|SLC7A11,gastroenterology,acetaminophen overdose|hepatic injury
95,acexamic-acid,Launched,5 alpha reductase inhibitor,GAST,dermatology,wound healing
97,acipimox,Launched,cholesterol inhibitor,HCAR2,endocrinology,hyperlipidemia
98,acitazanolast,Launched,mediator release inhibitor,,allergy,allergic rhinitis
99,acitretin,Launched,retinoid receptor agonist,RARA|RARB|RARG|RBP1|RXRA|RXRB|RXRG|STAT3,dermatology,psoriasis
101,aclarubicin,Launched,topoisomerase inhibitor,TOP1|TOP2A,hematologic malignancy,acute myeloid leukemia (AML)
102,aclidinium,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,pulmonary,bronchitis|emphysema|chronic obstructive pulmonary disease (COPD)
106,acriflavine,Launched,hypoxia inducible factor inhibitor,HIF1A,infectious disease,fungal infection
107,acriflavinium,Launched,hypoxia inducible factor inhibitor,HIF1A,infectious disease,fungal infection
108,acrisorcin,Launched,other antifungal,,infectious disease,fungal infection
109,acrivastine,Launched,histamine receptor antagonist,HRH1,allergy,allergic rhinitis
111,ACT-132577,Launched,endothelin receptor antagonist,EDNRA|EDNRB,pulmonary,pulmonary arterial hypertension (PAH)
113,actarit,Launched,interleukin receptor agonist,,rheumatology,rheumatoid arthritis
115,actinomycin-d,Launched,RNA polymerase inhibitor,,oncology,Wilm's tumor|Ewing's sarcoma|rhabdomyosarcoma|testicular carcinoma
119,acyclovir,Launched,DNA polymerase inhibitor,PNP,infectious disease,genitial herpes|shingles|chicken pox
123,adapalene,Launched,retinoid receptor agonist,RARA|RARB|RARG|RXRA|RXRB|RXRG,dermatology,acne vulgaris (AV)
130,adefovir,Launched,DNA polymerase inhibitor,,infectious disease,hepatitis B
131,adefovir-dipivoxil,Launched,DNA polymerase inhibitor,,infectious disease,hepatitis B
132,adelmidrol,Launched,anti-inflammatory agent,,dermatology,dermatitis
133,ademetionine,Launched,methyltransferase stimulant|phosphodiesterase inhibitor,,neurology/psychiatry,depression|attention-deficit/hyperactivity disorder (ADHD)
135,adenosine,Launched,adenosine receptor agonist,ADORA1|ADORA2A|ADORA2B|ADORA3|PI4K2A|PI4K2B|TRPM4,cardiology,Wolff-Parkinson-White Syndrome (WPW)
136,adenosine-phosphate,Launched,adenosine receptor agonist,ACSL1|ACSS1|ACSS2|ADCY1|ADK|CREB1|FBP1|HINT1|PDE4B|PDE4D|PIM1|PRKAA1|PRKAB1|PRKAB2|PYGL|TRPM4,,
138,adiphenine,Launched,acetylcholine receptor antagonist,CHRNA1,neurology/psychiatry,spasms
144,adrafinil,Launched,adrenergic receptor agonist,,neurology/psychiatry,fatigue
145,adrenalone,Launched,adrenergic receptor agonist,ADRA1A,hematology,hemorrhage
152,afamelanotide,Launched,melanocyte-stimulating hormone mimetic,,,
153,afatinib,Launched,EGFR inhibitor,EGFR|ERBB2|ERBB4,oncology,non-small cell lung cancer (NSCLC)
155,afloqualone,Launched,acetylcholine receptor antagonist,,neurology/psychiatry,sedative
157,afobazole,Launched,anxiolytic,,neurology/psychiatry,anxiety
171,agomelatine,Launched,melatonin receptor agonist|serotonin receptor antagonist,HTR2A|HTR2B|HTR2C|MTNR1A|MTNR1B,neurology/psychiatry,depression
172,AGP-103,Launched,membrane permeability inhibitor,,,
178,ajmaline,Launched,sodium channel blocker,,cardiology,Wolff-Parkinson-White Syndrome (WPW)
182,aklomide,Launched,,,infectious disease,coccidiosis
184,alacepril,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension
187,alanine,Launched,,,,
191,alarelin,Launched,gonadotropin releasing factor hormone receptor antagonist,GNRH1,,
192,albendazole,Launched,tubulin polymerization inhibitor,TUBA1A|TUBB|TUBB4B,infectious disease,cystic hydatid disease|parenchymal neurocysticercosis
193,albendazole-oxide,Launched,anthelmintic agent,,infectious disease,cystic hydatid disease|parenchymal neurocysticercosis
194,albuterol,Launched,adrenergic receptor agonist,ADRB2,pulmonary,asthma
195,alcaftadine,Launched,histamine receptor antagonist,HRH1,allergy,allergic conjunctivitis
196,alclofenac,Launched,cyclooxygenase inhibitor,PTGS1,rheumatology,rheumatoid arthritis
197,alclometasone-dipropionate,Launched,glucocorticoid receptor agonist,CYP3A4|NR3C1|SERPINA6,dermatology,corticosteroid-responsive dermatoses
198,alcuronium,Launched,muscle relaxant,CHRM1|CHRM2|CHRM3|CHRM4|CHRNA7,neurology/psychiatry,muscle relaxant
201,alectinib,Launched,ALK tyrosine kinase receptor inhibitor,ALK|MET,oncology,non-small cell lung cancer (NSCLC)
202,alendronate,Launched,bone resorption inhibitor,ATP6V1A|FDPS|PTPN4|PTPRE|PTPRS,orthopedics,osteoporosis
204,alfacalcidol,Launched,vitamin D receptor agonist,CYP27B1|VDR,endocrinology,vitamin D deficiency
206,alfuzosin,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,urology,benign prostatic hyperplasia (BPH)
207,algestone-acetophenide,Launched,,,endocrinology,contraceptive
208,alibendol,Launched,antispasmodic,,gastroenterology,bile stimulation
209,alimemazine,Launched,histamine receptor agonist|histamine receptor antagonist,HRH1,neurology/psychiatry|allergy|pulmonary,sedative|urticaria|itching|cough suppressant
212,aliskiren-hemifumarate,Launched,renin inhibitor,REN,cardiology,hypertension
214,alizapride,Launched,dopamine receptor antagonist,,gastroenterology,nausea
216,allantoin,Launched,cosmetic,,dermatology,skin protectant
218,allopurinol,Launched,xanthine oxidase inhibitor,XDH,rheumatology|urology,gout|kidney stones
220,allylestrenol,Launched,steroidal progestin,ESR1|PGR|SLC6A9,obstetrics/gynecology,premature labor
223,almitrine,Launched,neurotransmitter agonist,ATP1A1,pulmonary,chronic obstructive pulmonary disease (COPD)
225,almotriptan,Launched,serotonin receptor agonist,HTR1B|HTR1D,neurology/psychiatry,migraine headache
227,alogliptin,Launched,dipeptidyl peptidase inhibitor,DPP4,endocrinology,diabetes mellitus
233,alpelisib,Launched,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,oncology,breast cancer
241,alpha-tochopherol,Launched,antioxidant,,endocrinology,vitamin E deficiency
242,alpha-tochopheryl-acetate,Launched,antioxidant,,endocrinology,vitamin E deficiency
244,alprenolol,Launched,adrenergic receptor antagonist,ADRB1|ADRB2,cardiology,angina pectoris
245,alprostadil,Launched,prostanoid receptor agonist,CATSPER1|CATSPER2|CATSPER3|CATSPER4|PTGDR|PTGER1|PTGER2|PTGER4|PTGIR,cardiology,congenital heart defects
250,althiazide,Launched,diuretic,,cardiology,hypertension
253,altrenogest,Launched,progestogen hormone,PGR,endocrinology,estrus
254,altretamine,Launched,DNA synthesis inhibitor,,oncology,ovarian cancer
255,alverine,Launched,muscle relaxant,HTR1A,gastroenterology,irritable bowel syndrome|diverticular disease
257,alvimopan,Launched,opioid receptor antagonist,OPRD1|OPRK1|OPRM1,gastroenterology,postoperative ileus
269,amantadine,Launched,glutamate receptor antagonist,DRD2|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A,infectious disease|neurology/psychiatry,influenza A virus infection|Parkinson's Disease
271,ambenonium,Launched,cholinesterase inhibitor,ACHE,neurology/psychiatry,myasthenia gravis
272,ambrisentan,Launched,endothelin receptor antagonist,EDNRA|EDNRB,pulmonary,pulmonary arterial hypertension (PAH)
273,ambroxol,Launched,sodium channel blocker,CYP3A4,pulmonary,bronchitis
275,amcinonide,Launched,glucocorticoid receptor agonist,NR3C1,dermatology,corticosteroid-responsive dermatoses
277,amdinocillin,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,urinary tract infections|gram-negative bacterial infections
