metric,drug_name,median_min_score
NCS_indivSig_TB_RNAseq,vemurafenib,-1.2605286026307887
NCS_indivSig_TB_RNAseq,perphenazine,-1.2477525257467685
NCS_indivSig_TB_RNAseq,itraconazole,-1.2412563925790394
NCS_indivSig_TB_RNAseq,resveratrol,-1.240331352411046
NCS_indivSig_TB_RNAseq,tivozanib,-1.236158467077702
NCS_indivSig_TB_RNAseq,forskolin,-1.2337904746223622
NCS_indivSig_TB_RNAseq,thiotepa,-1.2264120490652537
NCS_indivSig_TB_RNAseq,topotecan,-1.218861228884954
NCS_indivSig_TB_RNAseq,tamoxifen,-1.2183936533656756
NCS_indivSig_TB_RNAseq,naltrexone,-1.2129860156966434
NCS_indivSig_TB_RNAseq,chlorphenamine,-1.2107956556440689
NCS_indivSig_TB_RNAseq,phenazopyridine,-1.2091154465440643
NCS_indivSig_TB_RNAseq,papaverine,-1.2076512587101862
NCS_indivSig_TB_RNAseq,brompheniramine,-1.2067820517017438
Tau_indivSig_TB_RNAseq,temsirolimus,-94.89548226608892
Tau_indivSig_TB_RNAseq,vemurafenib,-94.40949112228503
Tau_indivSig_TB_RNAseq,topotecan,-93.16647919010124
Tau_indivSig_TB_RNAseq,tivozanib,-91.95419393218324
Tau_indivSig_TB_RNAseq,forskolin,-91.7825445636141
Tau_indivSig_TB_RNAseq,dilazep,-91.55207929667164
Tau_indivSig_TB_RNAseq,azaperone,-91.42294713160854
Tau_indivSig_TB_RNAseq,panobinostat,-91.16167231382065
Tau_indivSig_TB_RNAseq,fostamatinib,-90.79542051739728
Tau_indivSig_TB_RNAseq,phenazopyridine,-90.26842941229422
Tau_indivSig_TB_RNAseq,resveratrol,-90.23924968165343
Tau_indivSig_TB_RNAseq,disopyramide,-90.22359608862263
Tau_indivSig_TB_RNAseq,equol,-89.98298334299054
Tau_indivSig_TB_RNAseq,vorinostat,-89.56372968349017
Tau_indivSig_TB_RNAseq,ephedrine,-88.614416022209
Tau_indivSig_TB_RNAseq,dopamine,-88.46180192663746
Tau_indivSig_TB_RNAseq,treprostinil,-88.44349680170575
Tau_indivSig_TB_RNAseq,tianeptine,-88.42950624628199
Tau_indivSig_TB_RNAseq,itraconazole,-88.39647901422825
Tau_indivSig_TB_RNAseq,sertraline,-88.30879071842926
WCS_indivSig_TB_RNAseq,lovastatin,-0.42833856074376175
WCS_indivSig_TB_RNAseq,temsirolimus,-0.4283029589997759
WCS_indivSig_TB_RNAseq,tamoxifen,-0.41142516646979865
WCS_indivSig_TB_RNAseq,panobinostat,-0.40932077894228935
WCS_indivSig_TB_RNAseq,fluvastatin,-0.4031715814627576
WCS_indivSig_TB_RNAseq,rosuvastatin,-0.40201145290301554
WCS_indivSig_TB_RNAseq,vemurafenib,-0.40152985834796273
WCS_indivSig_TB_RNAseq,sertraline,-0.39990134770369495
WCS_indivSig_TB_RNAseq,atorvastatin,-0.39885362901862603
WCS_indivSig_TB_RNAseq,dasatinib,-0.39716510237790004
WCS_indivSig_TB_RNAseq,naltrexone,-0.394909078582554
WCS_indivSig_TB_RNAseq,nitrendipine,-0.3945486071139984
WCS_indivSig_TB_RNAseq,fostamatinib,-0.39361677423687325
WCS_indivSig_TB_RNAseq,nabumetone,-0.3935499152071851
WCS_indivSig_TB_RNAseq,perphenazine,-0.3932421890345603
WCS_indivSig_TB_RNAseq,resveratrol,-0.39240475196121527
WCS_indivSig_TB_RNAseq,papaverine,-0.3906594134864642
WCS_indivSig_TB_RNAseq,simvastatin,-0.39041490161440184
WCS_indivSig_TB_RNAseq,tivozanib,-0.38885322101588626
WCS_indivSig_TB_RNAseq,thiotepa,-0.3887687913265574
CMAP_indivSig_TB_microarray,crizotinib,-0.6657682256111105
CMAP_indivSig_TB_microarray,etoposide,-0.6603107217545692
CMAP_indivSig_TB_microarray,ingenol,-0.6417356098903354
CMAP_indivSig_TB_microarray,mycophenolic-acid,-0.6401229834514381
CMAP_indivSig_TB_microarray,fluspirilene,-0.6293558194181872
CMAP_indivSig_TB_microarray,podophyllotoxin,-0.6262747275902316
CMAP_indivSig_TB_microarray,tivozanib,-0.6247080584181697
CMAP_indivSig_TB_microarray,everolimus,-0.6103155766543473
CMAP_indivSig_TB_microarray,triflupromazine,-0.6029481852124308
CMAP_indivSig_TB_microarray,chlorprothixene,-0.6006533493861104
CMAP_indivSig_TB_microarray,trifluoperazine,-0.5986546341393446
CMAP_indivSig_TB_microarray,doxorubicin,-0.5958669627837707
CMAP_indivSig_TB_microarray,homatropine,-0.5940752554231206
CMAP_indivSig_TB_microarray,sirolimus,-0.592465779711314
CMAP_indivSig_TB_microarray,vorinostat,-0.5913182483065036
CMAP_indivSig_TB_microarray,citalopram,-0.5899557833735001
CMAP_indivSig_TB_microarray,bumetanide,-0.5894162296707446
CMAP_indivSig_TB_microarray,panobinostat,-0.5882819859833097
CMAP_indivSig_TB_microarray,meclofenamic-acid,-0.5853127608321056
CMAP_indivSig_TB_microarray,dasatinib,-0.5829072774289448
Cor_pearson_indivSig_TB_microarray,valsartan,-0.2532913582274783
Cor_pearson_indivSig_TB_microarray,flunarizine,-0.25128919822489426
Cor_pearson_indivSig_TB_microarray,clofibric-acid,-0.24905425411873902
