pert	cell	spearman
nicergoline	HA1E	-0.3225811021391133
ranitidine	A549	-0.26360674316475424
chloroquine	A375	-0.25538421063282946
phenoxybenzamine	HCC515	-0.25042802501366046
itraconazole	MCF7	-0.24715155930625549
moxonidine	A549	-0.24653633659158525
coumarin	MCF7	-0.2462590816181977
procarbazine	NPC	-0.2427600024285108
dosulepin	HA1E	-0.23930949345313995
nifedipine	MCF7	-0.23816809341671227
erythromycin	HCC515	-0.2308562524032138
bepridil	NEU	-0.22971687612571595
probenecid	MCF7	-0.2293505757594156
cilnidipine	NPC	-0.2245299819885456
meptazinol	VCAP	-0.2243174873009128
methantheline	A549	-0.2235160787646976
perindopril	HA1E	-0.22249408050513023
temozolomide	HCC515	-0.22190111913868824
resveratrol	A375	-0.22030437334304745
methocarbamol	MCF7	-0.21977617226236013
tolazamide	NEU	-0.2195151073604113
reboxetine	HCC515	-0.219320826503147
nitrendipine	A375	-0.21845263392224723
itraconazole	HCC515	-0.21692874344808047
dilazep	NKDBA	-0.2157752008580738
phenoxybenzamine	VCAP	-0.21518426325056164
quinine	A375	-0.21483010543784029
nemonapride	NEU	-0.2146996816119928
felodipine	HCC515	-0.2143788071964868
perindopril	MCF7	-0.21174994434662947
piribedil	VCAP	-0.2107643737477992
pyrimethamine	NPC	-0.20993058506870668
estriol	PC3	-0.2094894056220024
pirarubicin	ASC	-0.2088964442555603
metyrapone	HT29	-0.20872857786849144
clonidine	NEU	-0.2066622143970211
methysergide	A549	-0.2054742679052072
ciprofibrate	MCF7	-0.20524963066399532
ibuprofen	MCF7	-0.2042134660919192
nalbuphine	HCC515	-0.2041689433954628
rilmenidine	MCF7	-0.2033817011717565
fexofenadine	MCF7	-0.2033756298949669
curcumin	HCC515	-0.20309027988586004
losartan	VCAP	-0.2026248153319977
lidocaine	VCAP	-0.20099568939347948
escitalopram	A549	-0.20074879080403943
quinine	HCC515	-0.2004492744824237
methysergide	VCAP	-0.1993281120352944
nimodipine	MCF7	-0.1991500212494688
lansoprazole	VCAP	-0.1991257361423108
safinamide	VCAP	-0.1988201485439055
metoclopramide	MCF7	-0.1975937506324247
forskolin	NKDBA	-0.1969295436317645
citalopram	HT29	-0.19638961406917213
proxymetacaine	HCC515	-0.1960921215064862
telmisartan	A549	-0.19594438710460813
thalidomide	NPC	-0.195735939934835
danazol	HA1E	-0.1942971456383921
dopamine	NEU	-0.1939145568979824
gemfibrozil	NEU	-0.19371825228178824
levonorgestrel	HA1E	-0.19341064092445312
pravastatin	NEU	-0.19270434905794023
amisulpride	A549	-0.1926881589865016
procyclidine	PC3	-0.1923947139416753
ibudilast	VCAP	-0.19145568979823127
quercetin	HCC515	-0.19125533766417752
bucladesine	VCAP	-0.19110153198550997
amantadine	MCF7	-0.19101653411045685
forskolin	HA1E	-0.19085463339606992
ranitidine	HA1E	-0.190581425940542
losartan	HCC515	-0.1898953716633275
zolmitriptan	SKB	-0.1893631230647806
aniracetam	HA1E	-0.1889968226984802
thiotepa	SKB	-0.18879242304656677
naftifine	HA1E	-0.18869942560635528
exemestane	A549	-0.18824600813551093
cimetidine	HA1E	-0.18815089146580863
ciprofibrate	HCC515	-0.1880436322425273
orphenadrine	PC3	-0.1880031570639306
molsidomine	VCAP	-0.1878533989031227
atomoxetine	HCC515	-0.1865500981523081
probucol	HA1E	-0.1856819055714084
cortisone	VCAP	-0.18510108675854536
timolol	ASC	-0.18495739987452697
chloroquine	MCF7	-0.1849128771780706
ondansetron	MCF7	-0.18422479914192624
flunisolide	HA1E	-0.18403456580252164
maraviroc	HCC515	-0.18343350940036027
losartan	A549	-0.1834274381235708
raltitrexed	NEU	-0.1831837605325048
metoprolol	NPC	-0.1829943537125858
chloroquine	PC3	-0.18257341185517983
palonosetron	MCF7	-0.1821059235423877
clopidogrel	FIBRNPC	-0.1808259875063411
ozagrel	MCF7	-0.1807965515147836
warfarin	A549	-0.1805577479610629
dosulepin	HCC515	-0.1805395341306944
tolazoline	A549	-0.18052536781818557
dextromethorphan	NEU	-0.1804606075324308
ketorolac	HA1E	-0.1803229919252019
meptazinol	HCC515	-0.18016311496974485
probucol	HCC515	-0.1801590674518852
rivaroxaban	NEU	-0.1799830004249894
ubenimex	VCAP	-0.1799647865946209
etodolac	NEU	-0.17921921277730904
milrinone	HCC515	-0.17900350110294866
mexiletine	MCF7	-0.17863922449557812
triamcinolone	HCC515	-0.17788031489688952
formestane	HA1E	-0.17763552993927456
probenecid	A549	-0.17739056523586913
milrinone	A549	-0.17716795175358716
zileuton	A549	-0.1770647400481655
carbinoxamine	HA1E	-0.17653653896747823
aminoglutethimide	ASC	-0.17632404427984544
pindolol	VCAP	-0.17621273753870442
panobinostat	ASC	-0.17609131200291425
zafirlukast	A549	-0.17567846518122765
spironolactone	HCC515	-0.17495193572541642
telmisartan	ASC	-0.17383886831400647
nimesulide	MCF7	-0.17368708639426875
triamcinolone	HA1E	-0.173634468662093
nimesulide	NEU	-0.1735737558941979
molindone	VCAP	-0.17292008175986082
isocarboxazid	HCC515	-0.17275008600975456
pregnenolone	HCC515	-0.17241616578633157
acitretin	NEU	-0.17240714609879473
nalbuphine	VCAP	-0.17225831258980434
clonidine	HT29	-0.17206200797361024
nabumetone	HA1E	-0.17169368384838002
thalidomide	HT29	-0.17161880476797606
pravastatin	FIBRNPC	-0.17157428207151967
irbesartan	ASC	-0.17131119341064097
warfarin	VCAP	-0.17108655616942914
