pert	cell	pearson
nicergoline	HA1E	-0.3234466550813817
methysergide	A549	-0.29379209537344786
procyclidine	PC3	-0.2847399834092342
procarbazine	NPC	-0.2815158222065459
dosulepin	HA1E	-0.26818030115418723
gemfibrozil	NEU	-0.2646063381849649
timolol	ASC	-0.2642967974854324
tolazamide	NEU	-0.2619613515099586
loperamide	NEU	-0.2608377568954306
chloroquine	A375	-0.2580109888478527
yohimbine	ASC	-0.2574793823508226
estrone	FIBRNPC	-0.2558472296261877
dilazep	NKDBA	-0.2547073844334725
levonorgestrel	HA1E	-0.2544722197970473
bezafibrate	NEU	-0.2534940492274032
chenodeoxycholic-acid	VCAP	-0.25239379695252645
amcinonide	SKB	-0.2520416452846349
ranitidine	A549	-0.2501640915986791
carbinoxamine	HA1E	-0.24475092149505745
nifedipine	SKB	-0.24340241424073383
perphenazine	SKB	-0.242039897278929
irsogladine	HA1E	-0.24004568304398127
erythromycin	HCC515	-0.23917285088264167
orphenadrine	PC3	-0.2389336051818869
pravastatin	HCC515	-0.2384950180059975
betamethasone	NPC	-0.237587172354451
xylazine	ASC	-0.2368562414767056
ketoprofen	ASC	-0.23640098372002424
acitretin	MCF7	-0.23354359124844704
cetirizine	HA1E	-0.2323625753576754
atomoxetine	HCC515	-0.23206379276570197
scopolamine	SKB	-0.23164996177307265
perindopril	SKB	-0.2312566332622524
medrysone	PC3	-0.22971675520375204
imatinib	HS578T	-0.2287961873104181
cortisone	VCAP	-0.22878524840817488
moxonidine	A549	-0.228260288798719
quinine	A375	-0.22744458122009437
clofibric-acid	FIBRNPC	-0.22658016724989333
ambroxol	SKB	-0.2253071658003618
benzthiazide	HA1E	-0.2234928187205998
danazol	HA1E	-0.2230703835893432
probenecid	PHH	-0.22297302020354992
nilutamide	PHH	-0.22259837673610583
letrozole	HA1E	-0.2223676945872846
cilnidipine	NPC	-0.2223408414423905
amisulpride	A549	-0.221598341912173
probenecid	A549	-0.22143025395901392
nimesulide	VCAP	-0.2213592498609937
pioglitazone	MCF7	-0.2209714237325408
chloroquine	MCF7	-0.2207525921564805
pantoprazole	NPC	-0.22028240968769988
nitrendipine	A375	-0.2190456396468433
resveratrol	A375	-0.21773019870687563
dosulepin	HCC515	-0.21770370657591
bucladesine	ASC	-0.21600302892234305
xylazine	NPC	-0.2159590678023885
acetyl-farnesyl-cysteine	A549	-0.2157130931292966
metolazone	HCC515	-0.21541172418957613
bicalutamide	NPC	-0.21533096537630295
metoprolol	NPC	-0.2151510344135381
perindopril	HA1E	-0.2146661234962404
probenecid	MCF7	-0.21437460384480017
methantheline	A549	-0.21418028126219155
estrone	SKB	-0.21321340140951245
irbesartan	SKB	-0.21292707820892917
raltitrexed	NEU	-0.2125530168287605
reboxetine	HCC515	-0.2123730755535415
methocarbamol	MCF7	-0.21169448986311065
losartan	VCAP	-0.21135936719638823
warfarin	A549	-0.2108374469049101
resveratrol	VCAP	-0.2103773958344984
zileuton	A549	-0.2102114704230597
itraconazole	MCF7	-0.20991484600876573
brompheniramine	ASC	-0.2091622427201849
ciprofibrate	MCF7	-0.20902444822058375
fenoldopam	VCAP	-0.20871578143061828
acetyl-farnesyl-cysteine	PHH	-0.2079962672462652
ranolazine	PHH	-0.2077967377799698
coumarin	MCF7	-0.2075006643144983
methysergide	NPC	-0.2070377893550877
forskolin	A549	-0.20662853863642255
mianserin	HA1E	-0.2057302703528812
metformin	NEU	-0.20466388510503167
irbesartan	ASC	-0.2046540610783924
clofibric-acid	NEU	-0.20428493633307565
flucytosine	PC3	-0.20290179363960836
rosmarinic-acid	HCC515	-0.2023287078183131
dobutamine	A549	-0.20226993871238524
cortisone	NEU	-0.202224493367442
dienestrol	VCAP	-0.20214803084502847
phenoxybenzamine	HCC515	-0.2020962909177917
milrinone	HCC515	-0.2013814897629569
rizatriptan	SKB	-0.20088883971329813
febuxostat	VCAP	-0.20061451427753735
ciprofibrate	HCC515	-0.20046503964081985
ketanserin	ASC	-0.1992131159415108
propylthiouracil	PC3	-0.19843256422248903
terazosin	A549	-0.19761200954858124
probucol	HA1E	-0.1975971693456292
ethotoin	MCF7	-0.19744534641574163
triamterene	NPC	-0.1973468510420598
trazodone	HA1E	-0.1968368617190925
probucol	HCC515	-0.19675110933248452
trazodone	NPC	-0.1958524242443599
aminoglutethimide	NPC	-0.19583927720570865
levetiracetam	A549	-0.19557999354465555
nimodipine	MCF7	-0.1954654986359561
aniracetam	HCC515	-0.1954250269688622
perindopril	MCF7	-0.19389769965410036
loxapine	HA1E	-0.19254669968870256
thiotepa	SKB	-0.1921531563796044
ramipril	HA1E	-0.1916393574338956
ambroxol	HCC515	-0.19163680873318825
imatinib	SKB	-0.191100337310593
sumatriptan	VCAP	-0.19071818436087692
piperidolate	NPC	-0.1907083287330208
bezafibrate	A549	-0.19044747950156948
bupropion	HA1E	-0.19022063594727565
nabumetone	HA1E	-0.19018513832327655
alfuzosin	ASC	-0.19006326249061037
proguanil	ASC	-0.1897400748391198
lamotrigine	NPC	-0.18940447368289468
temozolomide	HA1E	-0.18920129057870907
mephenytoin	HT29	-0.1891314358648366
aniracetam	HA1E	-0.1885486118019635
gefitinib	A549	-0.18844860917232167
diclofenac	HCC515	-0.1884378020050932
betamethasone	PC3	-0.1882192383283896
zafirlukast	A549	-0.18779716071593971
rilmenidine	MCF7	-0.1875008944727041
azathioprine	VCAP	-0.18695262038370883
thalidomide	NPC	-0.1863796442148812
betaxolol	SKB	-0.1862168778112853
ibuprofen	MCF7	-0.18610544279621988
methocarbamol	NPC	-0.1859610606877289
rilmenidine	A375	-0.18584260469821573
bicalutamide	SKB	-0.1857628407799913
desoximetasone	ASC	-0.18549300134216
oxymetazoline	NPC	-0.18545368153033812
naftifine	HA1E	-0.18504672104270808
nicotine	PC3	-0.18447723339948027
ranitidine	PHH	-0.18446727779666552
fluconazole	HA1E	-0.18400679454382016
lapatinib	ASC	-0.1834607082845109
propantheline	PC3	-0.18332177365421143
metyrapone	A375	-0.1831908771291339
phenylbutyrate	NEU	-0.1830754445494127
clomipramine	NPC	-0.18296973968348332
dihydroergocristine	HCC515	-0.18283224832314343
thiethylperazine	HA1E	-0.18280211816361197
dihydroergotamine	ASC	-0.1826398486718648
rosmarinic-acid	HA1E	-0.18241209096118652
nabumetone	VCAP	-0.18205527986191275
metyrapone	PC3	-0.18176629987260856
budesonide	NEU	-0.18171636557806223
fexofenadine	HA1E	-0.18154192106690104
mitotane	A549	-0.18134294933178208
sulfasalazine	A549	-0.1813040663250005
raloxifene	SKB	-0.18014515423928557
ozagrel	MCF7	-0.17994437290925452
diclofenac	VCAP	-0.1796506201454798
diphenidol	SKB	-0.1793625177396007
nilutamide	ASC	-0.1791311279014178
spironolactone	HCC515	-0.17883987274903812
flumazenil	PHH	-0.17819704115587506
proxymetacaine	HCC515	-0.17814679459159438
eplerenone	A549	-0.17805577684580803
piroxicam	NPC	-0.177537707715186
benazepril	SKB	-0.17735215290009207
felodipine	A549	-0.17713370534976386
forskolin	HA1E	-0.17690993383085207
pyrimethamine	NPC	-0.17672496461613693
lovastatin	VCAP	-0.176112689855243
flavoxate	NPC	-0.17598021049605653
clonidine	NEU	-0.17573188970396017
palmitoylethanolamide	NPC	-0.1754815433863479
lypressin	SKB	-0.17544224325291885
primidone	ASC	-0.17534194538089884
nifedipine	VCAP	-0.17529177046757372
repaglinide	A549	-0.17512737789273417
doxepin	HCC515	-0.17480012851472862
pirfenidone	NEU	-0.17468209679367191
dilazep	A549	-0.17465033806564195
tadalafil	VCAP	-0.17452745562278793
azasetron	ASC	-0.17437170634368782
amantadine	MCF7	-0.17425322150562883
propafenone	HA1E	-0.17422395674102778
propafenone	NPC	-0.17398651596488862
carbenoxolone	A549	-0.17394214284252274
lidocaine	VCAP	-0.17316257615593014
ketotifen	HA1E	-0.17295296284205972
tolbutamide	A549	-0.17290732481605992
mepivacaine	VCAP	-0.1723292608297282
amantadine	A549	-0.1722091672797486
lypressin	NEU	-0.1721802062232403
nicergoline	NEU	-0.17210593582022474
eugenol	HT29	-0.17208471325160682
nimesulide	NEU	-0.1712102509845886
valsartan	NPC	-0.1711819958903619
ubenimex	VCAP	-0.17092251144814866
propofol	PHH	-0.1706300260243504
mexiletine	HA1E	-0.17060497787432785
pantoprazole	HA1E	-0.1702187314195637
azathioprine	PC3	-0.17021760542761816
flunisolide	SKB	-0.16987082955939714
ketotifen	SKB	-0.16966139239022415
trapidil	A549	-0.16943557077931776
levetiracetam	VCAP	-0.1690520451168092
procarbazine	ASC	-0.16903303916716733
hyoscyamine	HA1E	-0.16881915698756525
aminoglutethimide	ASC	-0.16860445212757127
esomeprazole	PC3	-0.168458646098617
olaparib	HS578T	-0.16844693978563194
mestranol	HA1E	-0.16832787655030276
bifemelane	ASC	-0.16829880473272876
safinamide	VCAP	-0.1680868495752612
domperidone	PHH	-0.16805590849187158
minoxidil	HCC515	-0.16785545392983417
pirarubicin	ASC	-0.16784147431637447
mitotane	PHH	-0.1675539582156932
picotamide	ASC	-0.16734897631085507
betamethasone	VCAP	-0.1671745609188426
losartan	A549	-0.16713913284016876
fexofenadine	MCF7	-0.1671243835912814
bezafibrate	ASC	-0.16704366549447008
zolmitriptan	PC3	-0.1668079743016672
retinol	PC3	-0.16668472264949016
cimetidine	VCAP	-0.16621672721764805
iloprost	VCAP	-0.16618789961589994
triamterene	PHH	-0.16581848573102695
risperidone	NPC	-0.165554463830891
moexipril	HA1E	-0.16467314842713718
ibudilast	VCAP	-0.16426431610386533
enalapril	ASC	-0.1639384109682656
estriol	HCC515	-0.16369650828176788
esomeprazole	VCAP	-0.1632215489860244
phentolamine	A549	-0.16318910033627565
clonidine	HT29	-0.16286751171272582
molsidomine	VCAP	-0.1623488494444522
meptazinol	VCAP	-0.16232905995929828
trifluoperazine	FIBRNPC	-0.16209576421982894
finasteride	ASC	-0.16193056290579042
resveratrol	FIBRNPC	-0.1618208899153823
brimonidine	NEU	-0.16168365504235327
carbidopa	FIBRNPC	-0.16156893981569348
repaglinide	HA1E	-0.16150648933384687
rilmenidine	HT29	-0.1613841028988365
felodipine	HCC515	-0.16132588773530476
lonidamine	HCC515	-0.16103482332207208
tripelennamine	NPC	-0.16092478980555391
levocabastine	HA1E	-0.16087332843490318
dobutamine	HCC515	-0.16083005042262255
alprenolol	VCAP	-0.16074870014577153
lonidamine	MCF7	-0.16023457506172373
mirtazapine	SKB	-0.15982444517917943
terguride	ASC	-0.15939461231488555
lamotrigine	ASC	-0.1593724533212392
maraviroc	HCC515	-0.1592131104290123
procarbazine	A549	-0.15920870374865817
thiotepa	A549	-0.15918189402928654
metyrapone	HT29	-0.15909348794650732
tetrabenazine	A549	-0.15896353474845565
ezetimibe	PHH	-0.15888977428296902
mefenamic-acid	VCAP	-0.15888956351503697
mefenamic-acid	HCC515	-0.15870132660197792
naftifine	ASC	-0.15868277789916227
nimesulide	MCF7	-0.15845930133883537
sildenafil	PC3	-0.15832898132410164
formestane	SKB	-0.15828037663860345
hexylcaine	MCF7	-0.15793295323160797
piperidolate	HA1E	-0.15770790898559425
terguride	MCF7	-0.15766569120585305
nifedipine	MCF7	-0.15762583623306375
quercetin	NEU	-0.15758041446048215
metolazone	HA1E	-0.15732714754176283
quercetin	HCC515	-0.15726122396101058
cholic-acid	A549	-0.15710943901744034
yohimbine	HT29	-0.15699573821513155
curcumin	HCC515	-0.1569647941936777
cholic-acid	NEU	-0.15693527754874495
dydrogesterone	VCAP	-0.15692371080573222
verapamil	HA1E	-0.1568976636610205
bepridil	VCAP	-0.15679160807063358
erlotinib	PHH	-0.1566474112461078
levomepromazine	PC3	-0.1565789029564828
meptazinol	ASC	-0.15647072349094973
prazosin	ASC	-0.1563935669487712
metoclopramide	MCF7	-0.15638162071373524
celecoxib	NPC	-0.1562859105778485
etodolac	NEU	-0.15621864313716757
amiodarone	HCC515	-0.15613217087964973
clonidine	A375	-0.15604876276268947
flecainide	SKB	-0.1557435469075456
itraconazole	HCC515	-0.1555713675895521
palbociclib	SKB	-0.15539274501689085
icosapent	A375	-0.15531278130884954
palmitoylethanolamide	HCC515	-0.15516069745601288
naloxone	PHH	-0.15507423463036452
mexiletine	SKB	-0.1550226084113066
pindolol	VCAP	-0.15496658457433438
sulfasalazine	VCAP	-0.15449616255077053
diclofenac	HA1E	-0.15446219084414595
propentofylline	VCAP	-0.15440275027592026
vinpocetine	PHH	-0.15421812528938367
pimozide	NEU	-0.15416794828971322
lansoprazole	VCAP	-0.15415084564931622
olaparib	BT20	-0.15414704213773112
chloroquine	A549	-0.15388619223328137
methysergide	VCAP	-0.15384412439854395
propofol	SKB	-0.15383869471065326
pindolol	HCC515	-0.1537674862888707
brimonidine	VCAP	-0.1537589072916344
doxycycline	MCF7	-0.15362616201495172
axitinib	PC3	-0.1536007751051467
bezafibrate	VCAP	-0.15339922375165718
sildenafil	HA1E	-0.15313549779134952
droperidol	NPC	-0.15289191215571418
tranilast	SKB	-0.15275876891613982
piperidolate	VCAP	-0.15248939095332287
rutin	HA1E	-0.15247081220445283
gabexate	HA1E	-0.1520804946094254
