pert	cell	NCS
dipyridamole	HA1E	-1.442424011654523
tacrolimus	MCF7	-1.4056500681606372
vorinostat	SKB	-1.38705116793016
tamoxifen	MCF7	-1.355535456902642
naphazoline	A549	-1.3454576667247289
nicardipine	PC3	-1.3351744514701602
picotamide	PC3	-1.3269995209677958
chloroxine	HA1E	-1.324735003353512
panobinostat	ASC	-1.3246998459657806
thiotepa	PC3	-1.3237027893412805
resveratrol	HA1E	-1.3183024875250768
ingenol	VCAP	-1.3139564820428309
oxiconazole	A549	-1.3091834281089791
reserpine	MCF7	-1.3089623532575982
azasetron	A549	-1.300997340390568
bifonazole	VCAP	-1.300320099297182
mycophenolic-acid	PC3	-1.299160512362024
pyrvinium-pamoate	MCF7	-1.2937625233927337
diclofenamide	A549	-1.291445193161647
triamterene	PC3	-1.2899926995537234
gabexate	A549	-1.2837289069311149
clomifene	VCAP	-1.281762385693873
papaverine	PC3	-1.2795802159962826
spironolactone	A549	-1.2786551727502304
dilazep	VCAP	-1.2785083325867437
everolimus	ASC	-1.27704127297834
mosapride	SKB	-1.2742079093473406
hexylcaine	A549	-1.2736316714043592
perhexiline	A549	-1.2724424172585946
triclosan	ASC	-1.2707517465515996
aminoglutethimide	PC3	-1.2703815350211611
tacrolimus	A549	-1.2695324668917631
pipamperone	SKB	-1.267829531544031
pyrimethamine	PC3	-1.2677538198831084
tranylcypromine	FIBRNPC	-1.2672189382456172
nelfinavir	A549	-1.2648348716165396
digoxin	A549	-1.2614224535937155
pirarubicin	ASC	-1.2593264870333845
naltrexone	HCC515	-1.256868700953726
metyrapone	VCAP	-1.2562581957308336
hyoscyamine	ASC	-1.255437737580836
ingenol	HCC515	-1.2546256302287466
itraconazole	VCAP	-1.254470743479322
panobinostat	SKB	-1.253631514339591
raloxifene	MCF7	-1.2521681704868413
penfluridol	HCC515	-1.2516888018134134
nicorandil	MCF7	-1.2516377173175646
amiodarone	PC3	-1.2478431738028497
imipramine	PC3	-1.2439049567583915
donepezil	HCC515	-1.2421070339210696
prednisone	VCAP	-1.2400557967844144
nevirapine	A549	-1.2392158745895805
oxybenzone	HA1E	-1.2373823950874594
ketorolac	PC3	-1.2366578400925146
levomepromazine	MCF7	-1.2336959613007177
itraconazole	PC3	-1.2326450837182494
rabeprazole	MCF7	-1.2275398967713664
homoharringtonine	MCF7	-1.2252979675733726
parachlorophenol	HA1E	-1.2247665361378708
mifepristone	MCF7	-1.2235579301643025
loxapine	PC3	-1.223408985472246
treprostinil	ASC	-1.221634112003121
homoharringtonine	A549	-1.2213914450864478
dydrogesterone	NPC	-1.2183595206618798
prazosin	PC3	-1.2177846020691967
mometasone	MCF7	-1.2170899859468365
probucol	MCF7	-1.216969149143507
toremifene	PC3	-1.2168113140711454
everolimus	PHH	-1.2154625925308258
olmesartan	A549	-1.2119469714955258
mephentermine	NPC	-1.2110014520274863
sunitinib	PHH	-1.208734150600373
panobinostat	NEU	-1.2074420827252392
amcinonide	ASC	-1.207423906605517
thiethylperazine	SKB	-1.2031340528867462
tolbutamide	HCC515	-1.20208829794399
cholic-acid	PHH	-1.2016430886488672
ubenimex	ASC	-1.2015706728041895
captopril	VCAP	-1.2012408118187796
lansoprazole	MCF7	-1.2003590084501834
fluorometholone	PC3	-1.2000163251155944
ambroxol	SKB	-1.1998038311710872
loperamide	MCF7	-1.1978024083892185
mestinon	PC3	-1.1972956083605464
fluconazole	MCF7	-1.1969151198644432
isradipine	VCAP	-1.196382476784407
crizotinib	MCF7	-1.1959432178060931
ketotifen	PC3	-1.1950375504482895
argatroban	PC3	-1.1948670680171112
amlodipine	HA1E	-1.1929406037821142
hydroflumethiazide	PC3	-1.192380121381018
pilocarpine	A549	-1.191932877451532
etilefrine	HT29	-1.1915352719319394
lamivudine	MCF7	-1.1911531446067167
thiostrepton	A549	-1.1909623104800502
azasetron	NPC	-1.1908894455609214
digoxin	MCF7	-1.1908285750461325
chloroquine	NPC	-1.1903311033026969
methylene-blue	MCF7	-1.18941414593346
vinburnine	MCF7	-1.1885922180356585
betaxolol	SKB	-1.185994605371421
bromocriptine	A549	-1.185973624259675
mercaptopurine	MCF7	-1.185879179494487
clozapine	MCF7	-1.1857003345172974
carbinoxamine	PC3	-1.183238091653952
tamibarotene	ASC	-1.1822138198405243
lidocaine	A549	-1.18093010731551
panobinostat	PHH	-1.180615103473525
pimozide	A549	-1.180450712675983
febuxostat	A549	-1.180271383682402
ouabain	PC3	-1.1799475856618713
fludroxycortide	MCF7	-1.1798283320009957
floxuridine	PC3	-1.1795642321274649
vincristine	MCF7	-1.1790125735345922
floxuridine	VCAP	-1.1775822729641428
imipramine	VCAP	-1.1764925450567465
alfuzosin	HCC515	-1.1761038712234089
digitoxin	PHH	-1.1757608647529485
xylazine	VCAP	-1.1756080785301737
ingenol	HA1E	-1.1755795959208164
reserpine	PHH	-1.1733719666357598
palmitoylethanolamide	PC3	-1.172874544202881
riboflavin	MCF7	-1.1722537529510009
everolimus	A549	-1.171053617095232
calcipotriol	PC3	-1.1709998645952588
dexamethasone	PC3	-1.170870294609173
calcipotriol	A549	-1.1708647087370878
thiocolchicoside	MCF7	-1.1703972171057837
sunitinib	SKB	-1.1697071239697825
iloprost	MCF7	-1.1695862845128908
rilmenidine	FIBRNPC	-1.1678344425677312
lamotrigine	VCAP	-1.1671379004766025
triflupromazine	A375	-1.1664874284971896
terconazole	A549	-1.165721762327834
quercetin	NEU	-1.1655231181613552
memantine	A549	-1.16551678062061
loperamide	ASC	-1.1646606588147597
mifepristone	ASC	-1.1637778439597326
propentofylline	VCAP	-1.1629221753850048
dihydroergocristine	HT29	-1.162916539180602
citalopram	VCAP	-1.1628651804765748
doxylamine	MCF7	-1.1618505228843825
toremifene	MCF7	-1.1611747840936146
pefloxacin	PC3	-1.1611002241762507
iloprost	PC3	-1.1599583805121485
flecainide	ASC	-1.1579625954116306
dobutamine	PC3	-1.1576770803575795
mestranol	A549	-1.1576548649235627
vincristine	NEU	-1.1565705661261894
desipramine	PC3	-1.1550063549072311
dihydroergocristine	MCF7	-1.1544525865001805
dasatinib	NPC	-1.1543721243492495
menadione	A375	-1.1539575227047252
orphenadrine	A549	-1.1535026892800402
equol	A549	-1.1533053389902674
thiostrepton	PHH	-1.1528898822419396
sorafenib	A549	-1.1517354570966627
acetyl-farnesyl-cysteine	NPC	-1.151588486867818
irinotecan	VCAP	-1.149600115347338
betaxolol	MCF7	-1.1495737997258175
quetiapine	HA1E	-1.1487086751702098
cyclopentolate	MCF7	-1.1474343087766723
milrinone	A549	-1.147082289252119
leflunomide	A549	-1.1454481803404215
quinethazone	A375	-1.1454146006193402
