pert	cell	WTCS
dipyridamole	HA1E	-0.4189740240077709
tacrolimus	MCF7	-0.4131040410923859
vorinostat	SKB	-0.40361444437845706
tranylcypromine	FIBRNPC	-0.4002083956036375
nicardipine	PC3	-0.39945377783170455
tamoxifen	MCF7	-0.3983759456030569
picotamide	PC3	-0.3970080248672994
thiotepa	PC3	-0.3960217178710424
panobinostat	ASC	-0.3935550767926281
naltrexone	HCC515	-0.3919773348513286
ingenol	HCC515	-0.3912777925013653
penfluridol	HCC515	-0.3903618892138664
mycophenolic-acid	PC3	-0.3886792277229112
donepezil	HCC515	-0.38737364084810233
triamterene	PC3	-0.3859364269924919
naphazoline	A549	-0.385642031569439
chloroxine	HA1E	-0.3847894590040316
reserpine	MCF7	-0.3846886575946281
resveratrol	HA1E	-0.3829210368068429
papaverine	PC3	-0.3828212491301156
pyrvinium-pamoate	MCF7	-0.3802216061688712
aminoglutethimide	PC3	-0.3800692133474245
everolimus	ASC	-0.3793961913598116
pyrimethamine	PC3	-0.3792830608429297
ingenol	VCAP	-0.3779784422615639
triclosan	ASC	-0.37752763595580574
oxiconazole	A549	-0.37524492178339447
tolbutamide	HCC515	-0.3748930711111747
pirarubicin	ASC	-0.3741333056093802
bifonazole	VCAP	-0.3740557410315586
amiodarone	PC3	-0.3733262491416033
hyoscyamine	ASC	-0.3729779970358299
azasetron	A549	-0.37289858300484446
imipramine	PC3	-0.3721480243226684
mosapride	SKB	-0.37077847540499487
diclofenamide	A549	-0.3701606971877612
ketorolac	PC3	-0.36997985212061335
pipamperone	SKB	-0.3689224476876034
rilmenidine	FIBRNPC	-0.3688211519611233
itraconazole	PC3	-0.368779326832361
clomifene	VCAP	-0.368717348340798
raloxifene	MCF7	-0.3679975145110296
gabexate	A549	-0.3679490153402323
nicorandil	MCF7	-0.36784162055648
dilazep	VCAP	-0.3677812732566697
alfuzosin	HCC515	-0.3667893556428491
spironolactone	A549	-0.36649475542143256
loxapine	PC3	-0.3660160966546652
hexylcaine	A549	-0.3650548934974751
panobinostat	SKB	-0.3647910032551696
perhexiline	A549	-0.3647140233265529
prazosin	PC3	-0.3643334092756128
toremifene	PC3	-0.3640422236801187
tacrolimus	A549	-0.36387995830987874
treprostinil	ASC	-0.3629352779243109
levomepromazine	MCF7	-0.362568749247512
nelfinavir	A549	-0.3625335092686107
triflupromazine	A375	-0.3616774798349432
digoxin	A549	-0.36155542437494814
metyrapone	VCAP	-0.3613807020171808
itraconazole	VCAP	-0.3608665157203919
rabeprazole	MCF7	-0.3607595542053717
homoharringtonine	MCF7	-0.3601006775528445
mifepristone	MCF7	-0.3595893010007276
oxybenzone	HA1E	-0.35941656344967754
fluorometholone	PC3	-0.35901754560936205
amcinonide	ASC	-0.358713568007514
mestinon	PC3	-0.3582035691398323
menadione	A375	-0.35779249604611124
mometasone	MCF7	-0.3576884481822934
probucol	MCF7	-0.3576529356654169
ketotifen	PC3	-0.35752800965573606
argatroban	PC3	-0.35747700519627146
ubenimex	ASC	-0.35697463077944536
hydroflumethiazide	PC3	-0.35673296742056404
prednisone	VCAP	-0.35671984939507057
parachlorophenol	HA1E	-0.3557520950633252
nevirapine	A549	-0.3551904599073489
quinethazone	A375	-0.35514370407906115
reserpine	HCC515	-0.35474750927296084
thiothixene	HCC515	-0.35421020521487795
carbinoxamine	PC3	-0.35399788040065794
ouabain	PC3	-0.3530134359723908
floxuridine	PC3	-0.3528987453284864
lansoprazole	MCF7	-0.3527714104558717
hyoscyamine	HCC515	-0.35274035592478614
loperamide	MCF7	-0.3520200557335519
fluconazole	MCF7	-0.3517592920602152
etilefrine	HT29	-0.35168561178471974
crizotinib	MCF7	-0.35147366146342246
tamibarotene	ASC	-0.35122390333897763
palmitoylethanolamide	PC3	-0.3508973431064413
calcipotriol	PC3	-0.3503364816769373
dexamethasone	PC3	-0.350297717288974
thiethylperazine	SKB	-0.35009687709886705
homoharringtonine	A549	-0.3500815297825628
lamivudine	MCF7	-0.3500659152251428
digoxin	MCF7	-0.3499705280444141
profenamine	A375	-0.3498899804880883
lansoprazole	FIBRNPC	-0.34984326513944813
trapidil	HCC515	-0.3496875161988804
methylene-blue	MCF7	-0.34955484394527814
vinburnine	MCF7	-0.34931328899233544
ambroxol	SKB	-0.34912782446512136
amitriptyline	A375	-0.3485997162955081
mercaptopurine	MCF7	-0.3485159588385627
clozapine	MCF7	-0.34846339840088364
bendroflumethiazide	HCC515	-0.34821550030815107
mephentermine	HCC515	-0.347850962456449
pefloxacin	PC3	-0.3473747347979479
olmesartan	A549	-0.3473745059402049
isocarboxazid	HCC515	-0.3470655577313051
iloprost	PC3	-0.34703312118721963
mometasone	HCC515	-0.34686230795925177
fludroxycortide	MCF7	-0.34673768584714454
amlodipine	HA1E	-0.346507768264026
vincristine	MCF7	-0.3464979440176098
dobutamine	PC3	-0.3463506081537301
loperamide	ASC	-0.3460090347357343
dydrogesterone	NPC	-0.3459875923957817
mifepristone	ASC	-0.34574675927075105
pregnenolone	HCC515	-0.3456466620231893
captopril	VCAP	-0.3455541618291422
desipramine	PC3	-0.3455515879436607
gemfibrozil	A375	-0.34526906228349086
betaxolol	SKB	-0.345109513441494
riboflavin	MCF7	-0.34451160605246206
isradipine	VCAP	-0.3441565920211817
flecainide	ASC	-0.3440191070815505
thiocolchicoside	MCF7	-0.34396599197861527
mephentermine	NPC	-0.3438980610150004
iloprost	MCF7	-0.3437276684166096
acitretin	FIBRNPC	-0.3436904225760025
bromocriptine	HCC515	-0.3436016755269672
dihydroergocristine	HT29	-0.34323869730954976
clebopride	A375	-0.34179597782411714
pilocarpine	A549	-0.3416379628455891
ingenol	HA1E	-0.3414649991020408
doxylamine	MCF7	-0.3414542189557164
thiostrepton	A549	-0.34135977392302896
toremifene	MCF7	-0.34125562726386366
chlorpromazine	FIBRNPC	-0.34081150066587285
digoxin	PC3	-0.34052394737239355
sunitinib	SKB	-0.3403700612076902
bromocriptine	A549	-0.33992989089031256
propafenone	ASC	-0.33966809978701407
amlexanox	PC3	-0.3393155538664243
dihydroergocristine	MCF7	-0.3392800523652668
floxuridine	VCAP	-0.33874844353887024
etomidate	PC3	-0.3385581786962571
lidocaine	A549	-0.3384842919921046
imipramine	VCAP	-0.33843496766462644
carmofur	PC3	-0.3383668266594394
pimozide	A549	-0.33834688542236774
febuxostat	A549	-0.33829548521921454
orphenadrine	HCC515	-0.3381992080074325
azasetron	NPC	-0.3381866888152453
xylazine	VCAP	-0.338180538172847
salmeterol	HCC515	-0.33814135450086374
chloroquine	NPC	-0.33802813176342283
nafcillin	ASC	-0.33786488618383415
betaxolol	MCF7	-0.33784623424952853
cyclopentolate	MCF7	-0.337217462994867
tacrolimus	PC3	-0.33625219811850326
sotalol	MCF7	-0.3362086458960272
hydroflumethiazide	A375	-0.33616303961472827
menadione	HT29	-0.3360989430754504
belinostat	PC3	-0.3358265265295699
everolimus	PHH	-0.3357759126316098
phenazopyridine	HCC515	-0.3357541441636898
lamotrigine	VCAP	-0.3357439698769249
phenelzine	PC3	-0.3356997920118371
everolimus	A549	-0.3356534413101984
calcipotriol	A549	-0.33559929542005484
lisuride	HCC515	-0.3353444905509604
primaquine	HCC515	-0.33521634371713904
propentofylline	VCAP	-0.3345312560428657
citalopram	VCAP	-0.3345148606393652
terconazole	A549	-0.33412519753457814
memantine	A549	-0.3340664446180327
sunitinib	PHH	-0.333917156349294
felodipine	HCC515	-0.3338863615926052
quetiapine	HA1E	-0.3336599308941413
imiquimod	HT29	-0.33347411009084416
resveratrol	HT29	-0.33272531912385395
nifedipine	A375	-0.3327143401698298
sorafenib	PC3	-0.33203208617393654
cholic-acid	PHH	-0.33195822498198924
niclosamide	HT29	-0.33183555718975666
mestranol	A549	-0.33181302170000254
ruxolitinib	SKB	-0.3317851726363585
estradiol-cypionate	PC3	-0.3317200731229909
clebopride	HT29	-0.33164218102695187
escitalopram	MCF7	-0.33155161728400134
cilostazol	HCC515	-0.33122142670802607
atovaquone	HT29	-0.331199298799863
nisoldipine	MCF7	-0.3310396774946106
edaravone	MCF7	-0.33098934079847736
imipramine	A375	-0.3307263646124911
irinotecan	VCAP	-0.3306989742515208
orphenadrine	A549	-0.33062290365303404
bicalutamide	HCC515	-0.33056880761105084
equol	A549	-0.33056633809280794
sorafenib	A549	-0.3301163704292043
indapamide	HA1E	-0.32991045834982635
niclosamide	ASC	-0.32969195657774253
meloxicam	MCF7	-0.32913982900501526
hyoscyamine	MCF7	-0.32910841219380804
alfacalcidol	PC3	-0.32910548167091025
rilmenidine	VCAP	-0.3290794647385229
maprotiline	A375	-0.3290421340881673
ramipril	HT29	-0.3288773605032814
milrinone	A549	-0.3287826554077784
leflunomide	A549	-0.32831427866423746
dasatinib	NPC	-0.3278165642071116
amperozide	MCF7	-0.32773328226753967
panobinostat	NEU	-0.32767174858142323
thiostrepton	SKB	-0.3273040711801293
rosmarinic-acid	PC3	-0.3271946416922126
moxifloxacin	ASC	-0.3271944322413433
acetyl-farnesyl-cysteine	NPC	-0.3270260717342658
exemestane	PC3	-0.3267513218656684
norethindrone	A375	-0.3266006549258524
dexamethasone	HCC515	-0.3263805807796375
methylprednisolone	PC3	-0.3262282648366716
panobinostat	PHH	-0.3261491684495683
methimazole	PC3	-0.3261366153015368
ingenol	A375	-0.32603782592872343
