significant_drug	CMAP	LINCS	Cor	occurrence	clinical_phase	moa	target	disease_area	indication
felodipine	1	3	2	6	Launched	calcium channel blocker	CFTR	cardiology	hypertension
raltitrexed	1	3	2	6	Launched	thymidylate synthase inhibitor	FPGS|TYMS	oncology	mesothelioma
amiodarone	0	3	2	5	Launched	potassium channel blocker	ADRB1|CACNA1H|CACNA2D2|KCNA7|KCNH2	cardiology	ventricular arrhythmias
aniracetam	0	3	2	5	Launched	glutamate receptor agonist	DRD2|GRIA1|GRIA2|GRIA3|GRIA4|HTR2A		
bepridil	0	3	2	5	Launched	calcium channel blocker	KCNQ4	cardiology	angina pectoris
chenodeoxycholic-acid	0	3	2	5	Launched	11-beta hydroxysteroid dehydrogenase inhibitor|FXR agonist	HSD11B1|NR1H4	cardiology|gastroenterology	cerebral cholesterosis|gallstones
ciprofibrate	0	3	2	5	Launched	PPAR receptor agonist	PPARA	endocrinology	hyperlipidemia
cortisone	1	2	2	5	Launched	glucocorticoid receptor agonist	NR3C1	gastroenterology|rheumatology|dermatology	ulcerative colitis|rheumatoid arthritis|psoriasis|joint inflammation|eczema
danazol	0	3	2	5	Launched	estrogen receptor antagonist|progesterone receptor agonist	AR|CCL2|ESR1|GNRHR|GNRHR2|PGR	obstetrics/gynecology|cardiology	endometriosis|angioedema
forskolin	0	3	2	5	Launched	adenylyl cyclase activator	ADCY2|ADCY5|GNAS		
hexylcaine	0	3	2	5	Launched	sodium channel blocker	SCN5A	neurology/psychiatry	local anesthetic
itraconazole	0	3	2	5	Launched	cytochrome P450 inhibitor		infectious disease	onychomycosis|histoplasmosis|blastomycosis|aspergillosis
metoprolol	0	3	2	5	Launched	adrenergic receptor antagonist	ADRB1|ADRB2	cardiology	hypertension|angina pectoris|myocardial infarction
nicergoline	0	3	2	5	Launched	adrenergic receptor antagonist	ADRA1A	rheumatology|neurology/psychiatry|cardiology|hematology	Raynaud's disease|migraine headache|atherosclerosis|thrombosis
palonosetron	1	3	1	5	Launched	serotonin receptor antagonist	HTR3A	gastroenterology	nausea|vomiting
panobinostat	1	3	1	5	Launched	HDAC inhibitor	HDAC1|HDAC2|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8|HDAC9	hematologic malignancy	multiple myeloma
probucol	0	3	2	5	Launched	atherogenesis inhibitor	ABCA1|ABCB11|CES1	cardiology	coronary artery disease (CAD)
proguanil	0	3	2	5	Launched	dihydrofolate reductase inhibitor	DHFR	infectious disease	malaria
quinine	0	3	2	5	Launched	hemozoin biocrystallization inhibitor	GP9|KCNB2|KCNN4|SLC29A4	infectious disease	malaria
valsartan	0	3	2	5	Launched	angiotensin receptor antagonist	AGTR1	cardiology	hypertension|congestive heart failure|congestive heart failure
acetyl-farnesyl-cysteine	0	2	2	4	Launched	methyltransferase inhibitor	PPARG	dermatology	acne vulgaris (AV)
axitinib	0	3	1	4	Launched	PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	CSF1|FLT1|FLT4|KDR|PLK4	oncology	renal cell carcinoma (RCC)
azaperone	0	3	1	4	Launched	dopamine receptor antagonist	DRD2|DRD3	neurology/psychiatry	sedative
chloroxine	1	3	0	4	Launched	opioid receptor antagonist	OPRK1	gastroenterology|infectious disease|dermatology	diarrhea|inflammatory bowel disease|giardiasis|dandruff
clomifene	0	3	1	4	Launched	estrogen receptor antagonist	ESR1	obstetrics/gynecology	infertility
dydrogesterone	0	2	2	4	Launched	progesterone receptor agonist	PGR	obstetrics/gynecology	infertility
ezetimibe	0	3	1	4	Launched	cholesterol inhibitor|Niemann-Pick C1-like 1 protein antagonist	ANPEP|NPC1L1|SOAT1	endocrinology|metabolism	hyperlipidemia|hypercholesterolemia|sitosterolemia
ibuprofen	0	2	2	4	Launched	cyclooxygenase inhibitor		neurology/psychiatry|rheumatology|otolaryngology|obstetrics/gynecology|endocrinology|dental	headache|muscle pain|rheumatoid arthritis|backache|common cold|menstrual pain|fever|toothache
ingenol	1	3	0	4	Launched	PKC activator	PRKCD|PRKCE	dermatology	keratosis
irinotecan	1	3	0	4	Launched	topoisomerase inhibitor	TOP1|TOP1MT	oncology	colorectal cancer
isocarboxazid	0	3	1	4	Launched	monoamine oxidase inhibitor	MAOA|MAOB	neurology/psychiatry	depression
mycophenolic-acid	1	3	0	4	Launched	dehydrogenase inhibitor|inositol monophosphatase inhibitor	IMPDH1|IMPDH2	transplant	organ rejection
naftopidil	1	3	0	4	Launched	adrenergic receptor antagonist	ADRA1A	urology	benign prostatic hyperplasia (BPH)
ondansetron	0	3	1	4	Launched	serotonin receptor antagonist	HTR3A|HTR3B	gastroenterology	nausea|vomiting
ozagrel	0	2	2	4	Launched	thromboxane synthase inhibitor	TBXAS1	neurology/psychiatry	stroke
papaverine	1	2	1	4	Launched	phosphodiesterase inhibitor	PDE10A|PDE4B|PDE5A	cardiology|hematology|gastroenterology	myocardial infarction|angina pectoris|pulmonary embolism (PE)|colitis|vascular spasm
perphenazine	1	2	1	4	Launched	dopamine receptor antagonist	CALM1|DRD1|DRD2|HRH1|HTR2A|HTR2C|HTR6|HTR7	neurology/psychiatry|gastroenterology	schizophrenia|nausea|vomiting
raloxifene	0	3	1	4	Launched	estrogen receptor antagonist|selective estrogen receptor modulator (SERM)	ESR1|ESR2	orthopedics|oncology	osteoporosis|breast cancer
ranitidine	0	2	2	4	Launched	histamine receptor antagonist	HRH2	gastroenterology	heartburn
resveratrol	0	2	2	4	Launched	cytochrome P450 inhibitor|SIRT activator	CSNK2A1|NQO2|PTGS1|PTGS2		
rilmenidine	0	2	2	4	Launched	adrenergic receptor agonist|imidazoline receptor agonist	ADRA2A	cardiology	hypertension
talniflumate	0	3	1	4	Launched	cyclooxygenase inhibitor	CLCA1	neurology/psychiatry	pain relief
timolol	0	2	2	4	Launched	adrenergic receptor antagonist	ADRB1|ADRB2	ophthalmology	ocular hypertension|glaucoma
tolazoline	0	3	1	4	Launched	adrenergic receptor antagonist	ADRA1A|ADRA2A|ADRA2B|ADRA2C|HRH1|HRH2	neurology/psychiatry	reverse sedative
trapidil	0	3	1	4	Launched	PDGFR tyrosine kinase receptor inhibitor	PDGFRA	cardiology	coronary artery disease (CAD)
ubenimex	0	2	2	4	Launched	leukotriene synthesis inhibitor	LTA4H|RNPEP	hematologic malignancy	acute myeloid leukemia (AML)
acitretin	0	1	2	3	Launched	retinoid receptor agonist	RARA|RARB|RARG|RBP1|RXRA|RXRB|RXRG|STAT3	dermatology	psoriasis
amisulpride	0	1	2	3	Launched	dopamine receptor antagonist	DRD2	neurology/psychiatry	psychosis|bipolar disorder|schizophrenia
amsacrine	1	2	0	3	Launched	topoisomerase inhibitor	KCNH2|TOP2A	hematologic malignancy	acute lymphoblastic leukemia (ALL)
betaxolol	1	0	2	3	Launched	adrenergic receptor antagonist	ADRB1|ADRB2	ophthalmology	intraocular pressure|glaucoma|ocular hypertension
chlorpromazine	0	2	1	3	Launched	dopamine receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CALM1|CHRM1|CHRM3|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HRH4|HTR1A|HTR2A|HTR2B|HTR2C|HTR6|HTR7|KCNH2|ORM1|ORM2|SMPD1|TRPC5	neurology/psychiatry|gastroenterology|hematology|infectious disease	schizophrenia|nausea|vomiting|acute intermittent porphyria (AIP)|tetanus
cimetidine	1	0	2	3	Launched	histamine receptor antagonist	HRH2|SLC29A4|SLC47A1|SLC47A2	gastroenterology|hematologic malignancy|endocrinology	duodenal ulcer disease|peptic ulcer disease (PUD)|gastroesophageal reflux disease (GERD)|aggressive systemic mastocytosis (ASM)|Zollinger-Ellison syndrome|endocrine adenoma
coumarin	0	1	2	3	Launched	vitamin K antagonist	CA1|CA12|CA14|CA2|CA4|CA6|CA9|CYP2A6	gastroenterology|pulmonary	ulcerative colitis|asthma|celiac disease
dopamine	0	2	1	3	Launched	dopamine receptor agonist	DBH|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR7|SLC6A2|SLC6A3|SLC6A4	cardiology|neurology/psychiatry	ventricular arrhythmias|depression|headache|tremors
flunisolide	1	0	2	3	Launched	cytochrome P450 inhibitor	NR3C1	allergy	allergic rhinitis
fluorometholone	1	1	1	3	Launched	glucocorticoid receptor agonist	NR3C1	ophthalmology	eye inflammation
