pert	cell	scaled_score
chloroxine	HA1E	-0.8197701059774396
tacrolimus	A549	-0.8124482055981828
diclofenamide	A549	-0.7692577679415806
panobinostat	HT29	-0.7653059566405706
prednisone	VCAP	-0.7647989808486645
vorinostat	SKB	-0.7640385171608054
papaverine	PC3	-0.7633722989727243
fasudil	VCAP	-0.7605124355312035
mycophenolate-mofetil	MCF7	-0.74909898052368
thiocolchicoside	NPC	-0.7448384339647781
panobinostat	ASC	-0.7430185208656288
thiotepa	PC3	-0.7377245236539954
imipramine	A375	-0.7282349767798587
crizotinib	MCF7	-0.7195416418866
mycophenolic-acid	PC3	-0.7026034506852299
digoxin	A549	-0.7001010701738992
belinostat	PC3	-0.6942253507395024
brompheniramine	ASC	-0.690046050301098
reserpine	MCF7	-0.6891003454585043
ketotifen	PC3	-0.6871536884113785
idebenone	PC3	-0.6793378116194954
capecitabine	PC3	-0.6775861452615638
pipamperone	SKB	-0.6746677846132847
digoxin	MCF7	-0.6655357206693381
orphenadrine	A549	-0.663486693510385
rizatriptan	MCF7	-0.6585550539961719
bendroflumethiazide	NPC	-0.6538980263692409
niclosamide	ASC	-0.6527475813029929
iloprost	PC3	-0.6508139236351466
estrone	VCAP	-0.6473479641347126
triamterene	PC3	-0.6470018556613922
sirolimus	SKB	-0.6465468773866049
picotamide	PC3	-0.6465208786280454
everolimus	ASC	-0.6443922302710047
thiostrepton	A549	-0.6412853786231708
belinostat	ASC	-0.6384060161127306
pindolol	MCF7	-0.6382662727854745
panobinostat	SKB	-0.6368298413750746
vorinostat	MCF7	-0.6367355958752969
bumetanide	PHH	-0.6349514310691665
metyrapone	VCAP	-0.6343534596223029
hydroflumethiazide	PC3	-0.6333330083488513
estradiol	NEU	-0.6315163450945217
vorinostat	FIBRNPC	-0.6309947450009262
hyoscyamine	ASC	-0.6301124121323206
levomepromazine	MCF7	-0.6298264257881685
irinotecan	VCAP	-0.6292902013928834
belinostat	SKB	-0.6288937203248546
calcipotriol	PC3	-0.6286857302563803
chlorpromazine	HA1E	-0.6279220167237014
amiodarone	PC3	-0.6194561709678363
exemestane	PC3	-0.6192221821408028
panobinostat	MCF7	-0.612430006467191
mosapride	SKB	-0.6104865992648851
vorinostat	HCC515	-0.6081402113049101
methylene-blue	NKDBA	-0.6069410185663634
fluorometholone	PC3	-0.6066745312911309
aminoglutethimide	PC3	-0.6056768289314185
talniflumate	A549	-0.6039349121079469
cytarabine	PC3	-0.6017737653027068
lapatinib	SKB	-0.600829685382523
acitretin	FIBRNPC	-0.5978934505877346
perphenazine	HA1E	-0.5975067190541652
celecoxib	PC3	-0.5961612832987228
reserpine	HCC515	-0.5955600620070393
levonorgestrel	PC3	-0.591026528483265
fulvestrant	PC3	-0.5901035725544106
ingenol	VCAP	-0.5895965967625046
resveratrol	HA1E	-0.5849363192907538
midostaurin	PC3	-0.5846113348087628
dienestrol	MCF7	-0.5842896001715918
sorafenib	BT20	-0.580074551440169
amlodipine	HA1E	-0.5794798298381253
naltrexone	HCC515	-0.5791353462872149
liothyronine	HT29	-0.5747253068665971
fostamatinib	MCF7	-0.5746570601253791
calcipotriol	A549	-0.5718556938906169
mitotane	HA1E	-0.5711277286509571
quinethazone	A375	-0.5696685483268177
mometasone	MCF7	-0.5688983351044987
methylprednisolone	A549	-0.5670004257296715
mometasone	HCC515	-0.5659799744562196
betamethasone	HCC515	-0.5651805126305219
hydrocortisone	HCC515	-0.5616186827079006
mestranol	A549	-0.5610142115713974
hydroflumethiazide	A375	-0.5603089952454772
bromocriptine	HCC515	-0.5601172544011025
tamibarotene	PC3	-0.559451036213021
leflunomide	A549	-0.5581933462677156
chlorprothixene	MCF7	-0.5574783804073355
flumazenil	MCF7	-0.5557884611009825
dilazep	VCAP	-0.5539035511054348
isradipine	VCAP	-0.5536728121232211
betaxolol	MCF7	-0.5510404378190941
fostamatinib	MCF10A	-0.5504067180792117
