pert	cell	WTCS
raltitrexed	VCAP	-0.39257367291447687
raloxifene	HT29	-0.3900975801642856
mycophenolic-acid	VCAP	-0.38860291596426944
mycophenolate-mofetil	VCAP	-0.3847753897017912
cladribine	VCAP	-0.3828039177231423
irinotecan	HA1E	-0.379651370108262
amiodarone	HCC515	-0.3783014481088132
nicergoline	HA1E	-0.3774913347548533
mycophenolate-mofetil	MCF7	-0.3761914944363956
tropicamide	A375	-0.3761162341257612
probucol	HCC515	-0.375799714995516
ingenol	PC3	-0.3753434639513079
bepridil	MCF7	-0.3739436584783178
danazol	MCF7	-0.3738869929108292
talniflumate	HCC515	-0.373222399464184
ciprofibrate	HCC515	-0.3724696312677512
naftopidil	PC3	-0.3692788532845807
riboflavin	MCF7	-0.3689492609251104
tolazoline	MCF7	-0.3685247247679304
clomifene	ASC	-0.3681675554935332
palonosetron	MCF7	-0.3652638122145666
forskolin	NPC	-0.36421529555817206
tolazoline	A549	-0.3639206320254969
quinine	HCC515	-0.3624906688537053
belinostat	ASC	-0.3614327304091131
amsacrine	MCF7	-0.3610330334986872
ezetimibe	VCAP	-0.3604797848476536
panobinostat	MCF7	-0.35815276255710427
amperozide	MCF7	-0.3581390118036751
cortisone	VCAP	-0.35737097426014686
resveratrol	FIBRNPC	-0.3561521797354703
prednisone	SKB	-0.3560671597736792
simvastatin	VCAP	-0.3556330563031509
floxuridine	PC3	-0.3543808239412367
trapidil	A549	-0.35436623376269627
prednisolone	VCAP	-0.35436094177306976
perphenazine	MCF7	-0.3543577599526394
hexylcaine	A549	-0.3531919552179707
carvedilol	ASC	-0.3526696403187768
panobinostat	ASC	-0.3522344022176826
ingenol	A375	-0.35203348819939206
meclofenamic-acid	MCF7	-0.35158364890570154
tamibarotene	NEU	-0.3514141734136861
papaverine	MCF7	-0.3501923426199687
axitinib	A549	-0.35008534565516736
benzonatate	VCAP	-0.3488232722770365
chloroxine	MCF7	-0.3482877379904065
chenodeoxycholic-acid	A549	-0.3479610349706596
atorvastatin	A375	-0.3478103699401163
azaperone	ASC	-0.34705564415738344
proguanil	ASC	-0.3468766488750868
ondansetron	MCF7	-0.3460172663815899
aniracetam	MCF7	-0.3445883862265148
dopamine	NEU	-0.34448852399769486
valsartan	NPC	-0.3436876830729617
rilmenidine	MCF7	-0.3430642424142729
danazol	HA1E	-0.3427532377461149
methotrexate	VCAP	-0.3426685893789276
rimexolone	HA1E	-0.3422187573151632
isocarboxazid	VCAP	-0.3419598941010613
fluorometholone	A375	-0.341645053335502
fipronil	MCF7	-0.3414829298783054
ibuprofen	MCF7	-0.3409102848663278
clemastine	PC3	-0.3409068769946004
estradiol-valerate	SKB	-0.34037080090741617
felodipine	HCC515	-0.34028086841875227
itraconazole	MCF7	-0.340031682633049
vorinostat	MCF7	-0.33923987683001755
chloroxine	HA1E	-0.3389315652825377
montelukast	A549	-0.3389159736306408
ramipril	MCF7	-0.33891475412023764
acitretin	FIBRNPC	-0.3385049735669136
metoprolol	SKB	-0.3384690276537551
alimemazine	MCF7	-0.3375682661353304
dydrogesterone	MCF7	-0.33704743157128125
equol	HCC515	-0.33698407917710715
timolol	HCC515	-0.3366446217899049
chlorpromazine	HA1E	-0.3364079483576261
propentofylline	VCAP	-0.3361184667505939
methylene-blue	MCF7	-0.3360871850277448
clofarabine	MCF7	-0.3355546353627067
perindopril	MCF7	-0.33544495748418723
ozagrel	MCF7	-0.33533754094309
coumarin	MCF7	-0.33512101365808245
medetomidine	A549	-0.33509868876538573
