pert	cell	NCS
raloxifene	HT29	-1.4222494511332395
raltitrexed	VCAP	-1.376110045312923
mycophenolic-acid	VCAP	-1.3621911330075964
irinotecan	HA1E	-1.359491786356228
ingenol	PC3	-1.355309684222836
nicergoline	HA1E	-1.351756926028025
mycophenolate-mofetil	VCAP	-1.348774295094365
cladribine	VCAP	-1.3418635861470978
naftopidil	PC3	-1.3334112728821157
tolazoline	A549	-1.3317422288706295
amiodarone	HCC515	-1.3253375565923584
mycophenolate-mofetil	MCF7	-1.321654598445827
probucol	HCC515	-1.3165730095143633
bepridil	MCF7	-1.313757389778214
danazol	MCF7	-1.3135583094987489
talniflumate	HCC515	-1.307543667739598
clomifene	ASC	-1.3053036064943426
ciprofibrate	HCC515	-1.3049064270757618
tropicamide	A375	-1.2980364511929918
trapidil	A549	-1.2967785732867154
riboflavin	MCF7	-1.2962108248231707
prednisone	SKB	-1.2956004808346857
tolazoline	MCF7	-1.2947193233601082
hexylcaine	A549	-1.2924813826664314
forskolin	NPC	-1.2911925830509698
acetyl-farnesyl-cysteine	PHH	-1.284141107593603
palonosetron	MCF7	-1.2832629238002515
belinostat	ASC	-1.2814259145559053
axitinib	A549	-1.281112961149982
floxuridine	PC3	-1.2796166943584588
chenodeoxycholic-acid	A549	-1.2733391940237426
quinine	HCC515	-1.2699462287226366
amsacrine	MCF7	-1.2683991423816257
ezetimibe	VCAP	-1.2636095777343817
panobinostat	MCF7	-1.2582800317929714
amperozide	MCF7	-1.2582317219646777
tamibarotene	NEU	-1.2568399991105268
cortisone	VCAP	-1.252712093329269
carvedilol	ASC	-1.250357198890242
panobinostat	ASC	-1.2488141029423103
simvastatin	VCAP	-1.2466200741146416
perphenazine	MCF7	-1.2449472406015618
prednisolone	VCAP	-1.242160861221844
montelukast	A549	-1.240239421465686
estradiol-valerate	SKB	-1.2384870696809862
meclofenamic-acid	MCF7	-1.23520109621497
dopamine	NEU	-1.2320702719214434
metoprolol	SKB	-1.2315672000040188
clemastine	PC3	-1.2309642665547609
azaperone	ASC	-1.230453300985689
papaverine	MCF7	-1.2303130900330643
proguanil	ASC	-1.229818689966763
danazol	HA1E	-1.2273634395945148
medetomidine	A549	-1.2262703331334457
rimexolone	HA1E	-1.2254495211602423
chloroxine	MCF7	-1.2236217386758166
benzonatate	VCAP	-1.222749364356708
valsartan	NPC	-1.2184194147851282
ubenimex	SKB	-1.2173744360300935
ondansetron	MCF7	-1.2156450053184371
ingenol	A375	-1.2149230962751765
chloroxine	HA1E	-1.2136784308379407
vinburnine	A549	-1.212166903793772
aniracetam	MCF7	-1.210624992756983
hesperidin	SKB	-1.2097242969073427
domperidone	PHH	-1.2084754741419377
chloroxine	SKB	-1.2075159984159562
rilmenidine	MCF7	-1.2052702951948806
chlorpromazine	HA1E	-1.2046416229888115
nalbuphine	SKB	-1.2029996129882163
methotrexate	VCAP	-1.2011750165434034
atorvastatin	A375	-1.200348449022897
resveratrol	FIBRNPC	-1.199727436067512
fipronil	MCF7	-1.1997147496398897
ranitidine	A549	-1.199564399517726
isocarboxazid	VCAP	-1.19869078808331
ibuprofen	MCF7	-1.1977029048093968
proguanil	SKB	-1.19616991017268
tivozanib	PC3	-1.1956615083806472
thiothixene	HA1E	-1.1954200641494308
itraconazole	MCF7	-1.1946161559089268
methylene-blue	PC3	-1.1926128879195743
felodipine	HCC515	-1.192136633258445
vorinostat	MCF7	-1.191834344527943
