pert	cell	pearson
sulindac	VCAP	-0.1386061721272108
pirarubicin	ASC	-0.1383987628442351
voriconazole	MCF7	-0.13824638007133228
aminoglutethimide	PC3	-0.13781279136448202
carvedilol	PHH	-0.13771709085150963
naltrexone	A375	-0.13756261828459654
treprostinil	ASC	-0.1373596620163854
carbetocin	A549	-0.1373544247495029
megestrol	HT29	-0.13735155628442597
thiostrepton	MCF7	-0.13715430666509568
griseofulvin	MCF7	-0.13707677301040103
prazosin	ASC	-0.13694376637610003
azathioprine	A549	-0.13656091161614942
clozapine	A549	-0.13645010351205147
mefenamic-acid	HA1E	-0.1363741077788712
physostigmine	VCAP	-0.13634646281397975
mestranol	SKB	-0.1360631297201991
diclofenamide	A549	-0.13595561324009825
imiquimod	NPC	-0.1357452053971587
nelfinavir	PHH	-0.13553760104771903
hydrocortisone	PC3	-0.1353430108235488
tivozanib	HS578T	-0.1352066855733357
metronidazole	PC3	-0.13491830615315695
cimetidine	PC3	-0.13491452339305723
imatinib	MDAMB231	-0.1348454785372726
mifepristone	MCF7	-0.13481180716237573
carbamazepine	A549	-0.13470369437288307
ethisterone	A549	-0.13466010969266898
tadalafil	VCAP	-0.13462047753874165
paroxetine	PHH	-0.13460420285357552
leflunomide	ASC	-0.13423912469741384
nitrendipine	A549	-0.13407841714917715
mifepristone	HCC515	-0.13404741037720103
donepezil	HCC515	-0.13396524676923793
mexiletine	HA1E	-0.13350319662290544
methantheline	PC3	-0.13349985660280286
vorinostat	SKB	-0.13322501702001036
bumetanide	SKB	-0.13310692717689013
griseofulvin	PC3	-0.13293916917428247
spironolactone	A549	-0.13250930400906774
sildenafil	HCC515	-0.13239138733147204
nifedipine	PC3	-0.1322814678600428
clebopride	A375	-0.13216869429389616
anagrelide	PHH	-0.1321655581425294
norethindrone	PC3	-0.13181566194965852
vecuronium	PC3	-0.13161139973096844
felodipine	MCF7	-0.13153046685241854
estradiol-valerate	ASC	-0.1309616823864603
dosulepin	PC3	-0.13095962720461665
lapatinib	A549	-0.1307832586438909
phenoxybenzamine	MCF7	-0.13059788317474827
benazepril	VCAP	-0.1295983724376962
isradipine	VCAP	-0.12925512204186887
acamprosate	NPC	-0.12924443204725897
doxercalciferol	VCAP	-0.12882189108916403
yohimbine	ASC	-0.12876023397853306
everolimus	PHH	-0.12872991547583182
flecainide	HA1E	-0.12853712993906402
crizotinib	MCF7	-0.12843142147993183
treprostinil	NEU	-0.1281923556750248
hyoscyamine	MCF7	-0.12814975651709687
tetracycline	PC3	-0.12791069682582856
maprotiline	VCAP	-0.12781500145692754
neratinib	BT20	-0.12781065779161685
ivermectin	SKB	-0.12761989902197937
resorcinol	VCAP	-0.12754475414427924
trimebutine	A549	-0.1274355852217445
eplerenone	ASC	-0.12736738531894581
clomifene	VCAP	-0.12723180773363318
bicalutamide	HCC515	-0.12709589772566926
panobinostat	HEPG2	-0.12707396119139497
dihydroergocristine	MCF7	-0.12685456992443742
trapidil	HCC515	-0.1266262530916893
mefenamic-acid	PHH	-0.12656203642410677
cholic-acid	ASC	-0.12653077978409824
lisuride	ASC	-0.12639804607103883
pregnenolone	VCAP	-0.12637739930176378
flecainide	ASC	-0.12613482295793205
safinamide	ASC	-0.12612529043967466
domperidone	ASC	-0.12606259245582324
cilostazol	HCC515	-0.12594705335935408
sunitinib	SKB	-0.12593186128953004
esomeprazole	A549	-0.12584610167030028
phenelzine	PC3	-0.1257967353534198
celecoxib	VCAP	-0.12574979128328015
estradiol	ASC	-0.1257052439583652
nelfinavir	A549	-0.12561582658879064
calcifediol	PHH	-0.12550922132118156
indapamide	PC3	-0.12527864613533177
isradipine	A549	-0.12522569615015602
bepridil	HCC515	-0.12510897890473494
propafenone	HCC515	-0.12509968067568408
nimodipine	PC3	-0.12506653637889745
estradiol	HCC515	-0.1250005301180311
clebopride	HT29	-0.1249694802727722
quinethazone	HT29	-0.12478213597755967
econazole	VCAP	-0.12470912036913752
bezafibrate	FIBRNPC	-0.12461032622187164
carvedilol	PC3	-0.12449683154660252
olaparib	VCAP	-0.12439937951356204
calcitriol	CD34	-0.12417244216008748
tropisetron	HCC515	-0.12414395477339328
deferiprone	VCAP	-0.12412023744299112
piretanide	A549	-0.12394469503809598
lypressin	A549	-0.12383274310307268
pyrvinium-pamoate	MCF7	-0.12377760655500336
