pert	cell	spearman
naftifine	PHH	-0.08668687112889947
bucladesine	ASC	-0.08667434969195863
mercaptopurine	PC3	-0.08664449088079201
etoposide	A375	-0.08659964598412774
capsaicin	A549	-0.08657225182151793
medrysone	HCC515	-0.08653950344798034
mebendazole	SKB	-0.08647785945073312
rimexolone	SKB	-0.08642873689042674
flumazenil	HCC515	-0.08640850995383001
loxapine	NPC	-0.0862910010840775
penfluridol	PC3	-0.08628811152170654
buphenine	ASC	-0.08623802577394317
hydralazine	NEU	-0.08619179277600776
pirenzepine	MCF7	-0.08618119771398089
ibuprofen	VCAP	-0.0861571180275562
clebopride	PC3	-0.08615519165264222
somatostatin	ASC	-0.0860704311564273
