pert	cell	spearman
nateglinide	MCF7	-0.1378879899674555
nifedipine	A375	-0.1377271376621385
imiquimod	NPC	-0.13690264919895695
lypressin	VCAP	-0.1366551100225111
ketotifen	PC3	-0.1363016202257966
hexylresorcinol	VCAP	-0.13623227072889346
raltitrexed	NPC	-0.13607719754831843
memantine	A549	-0.13603674367512494
levofloxacin	A549	-0.13600014255175943
ruxolitinib	BT20	-0.13598762111481855
timolol	PHH	-0.1356312417557331
bupropion	PHH	-0.1354732790127871
flutamide	HCC515	-0.13525559864750786
flutamide	ASC	-0.1350408078445996
betaxolol	PHH	-0.13498494297209432
tadalafil	MCF7	-0.13481004307080022
pazopanib	BT20	-0.1337019772793866
tranylcypromine	MCF7	-0.1336913822173597
cefotaxime	VCAP	-0.13357098378523624
ubenimex	ASC	-0.13345058535311277
diclofenamide	A549	-0.13334367154538712
deoxycholic-acid	NPC	-0.13328010117322597
sulfacetamide	VCAP	-0.1332695061111991
carvedilol	PHH	-0.13301233506018334
everolimus	PHH	-0.13294009600090925
olaparib	HS578T	-0.13286015144197927
propranolol	PC3	-0.1328177711938718
exemestane	PC3	-0.13279080194507617
proxymetacaine	A549	-0.1323226928409801
captopril	VCAP	-0.13214931909872232
panobinostat	NEU	-0.1321252394122976
sertaconazole	HCC515	-0.13161763962246506
hyoscyamine	MCF7	-0.13144522906766423
fludroxycortide	SKB	-0.13142018619378254
pheniramine	NPC	-0.13110618708280455
zolmitriptan	HA1E	-0.13102913208624553
estrone	HT29	-0.1307151329752675
quercetin	NEU	-0.13053886967063874
bosentan	MCF7	-0.12954389702757038
rizatriptan	ASC	-0.1294090507835921
clebopride	HT29	-0.129180775356286
terguride	HCC515	-0.1291634379820602
vardenafil	HCC515	-0.1289361257422111
gliquidone	ASC	-0.12880802181043172
risperidone	NPC	-0.128154017527137
terconazole	MCF7	-0.12812801146579836
propranolol	VCAP	-0.12809622627971776
calcitriol	FIBRNPC	-0.1278968464761213
tamoxifen	CD34	-0.12786120854021274
nicergoline	HCC515	-0.1277061353596377
pirfenidone	NEU	-0.12766086554915929
ciprofibrate	PHH	-0.12752024018043906
estrone	PC3	-0.1275163874306111
sorafenib	MCF7	-0.1275029028062133
propofol	ASC	-0.1274942341191004
vecuronium	PHH	-0.12704346238923012
spiperone	NPC	-0.12692402714456366
gabexate	PHH	-0.12675546933959078
imatinib	MDAMB231	-0.12664759234440814
vinpocetine	SKB	-0.1266138807834136
tetrabenazine	PC3	-0.126424132854387
minoxidil	ASC	-0.12635863610731182
