SIGNATURE_NAME	disease	control
GSE119143_GPL17586_MTB_control_blood_pbmc	7	5
GSE139871_GPL10558_MTB_control_blood_monocyte	20	4
GSE16250_GPL570_MTB_control_blood_pmbc	3	3
GSE18794_GPL6244_MTB_Cpn60.1_control_2h_blood_monocytes	3	6
GSE19491_GPL6947_PTB_control_blood_whole_blood	21	6
GSE34151_GPL10558_MTB_control_blood_dcs	130	129
GSE42830_GPL10558_MTB_control_blood_whole_blood	16	38
GSE42834_GPL10558_MTB_control_blood_cd14	5	5
GSE42834_GPL10558_MTB_control_blood_cd15	5	5
GSE42834_GPL10558_MTB_control_blood_cd4	5	5
GSE42834_GPL10558_MTB_control_blood_cd8	5	5
GSE42834_GPL10558_MTB_control_blood_pbmc	5	5
GSE42834_GPL10558_MTB_control_blood_whole_blood	24	79
GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	22	4
GSE83456_GPL10558_EPTB_control_blood	47	30
GSE83456_GPL10558_PTB_control_blood	45	31
