refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment	assay	channel_count	characteristic_cell.type	characteristic_infect	characteristic_organism	characteristic_organism.part	characteristic_time	characteristics_ch1_agent	characteristics_ch1_disease.state	characteristics_ch1_tissue	contact_address	contact_city	contact_country	contact_department	contact_email	contact_institute	contact_laboratory	contact_name	contact_phone	contact_state	contact_zip.postal_code	data_processing	data_row_count	description	detected_platform	detection_percentage	extract	extract_protocol_ch1	file	geo_accession	geo_columns	growth_protocol_ch1	hyb_protocol	label_ch1	label_protocol_ch1	labeled.extract	last_update_date	mapped_percentage	molecule_ch1	organism_ch1	platform_id	scan_protocol	series_id	source_name_ch1	status	submission_date	supplementary_file	taxid_ch1	title	treatment_protocol_ch1	type
E.MEXP.3521.H_0h.untreated.D11	E-MEXP-3521	NA	NA	NA	NA	NA	NA	HOMO_SAPIENS	Affymetrix Human Genome U133A Array (hgu133a)	True	99	Affymetrix SCAN	v1.4.7	NA	NA	https://www.ebi.ac.uk/arrayexpress/json/v3/experiments/E-MEXP-3521/samples	ARRAY_EXPRESS	dendritic cell	NA	0	E_0h untreated D11	NA	H_0h untreated D11	NA	dendritic cell	NA	Homo sapiens	blood	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E_0h untreated D11	NA	{'url': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip/D11-0_U133A_10_12_04.CEL', 'name': 'D11-0_U133A_10_12_04.CEL', 'type': 'data', 'comment': {'name': 'ArrayExpress FTP file', 'value': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip'}}	NA	NA	NA	NA	NA	NA	{'name': 'L_0h untreated D11', 'label': 'biotin'}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E.MEXP.3521.H_0h.untreated.D12	E-MEXP-3521	NA	NA	NA	NA	NA	NA	HOMO_SAPIENS	Affymetrix Human Genome U133A Array (hgu133a)	True	99	Affymetrix SCAN	v1.4.7	NA	NA	https://www.ebi.ac.uk/arrayexpress/json/v3/experiments/E-MEXP-3521/samples	ARRAY_EXPRESS	dendritic cell	NA	0	E_0h untreated D12	NA	H_0h untreated D12	NA	dendritic cell	NA	Homo sapiens	blood	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E_0h untreated D12	NA	{'url': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip/050607_D12_0h_HG-U133A.CEL', 'name': '050607_D12_0h_HG-U133A.CEL', 'type': 'data', 'comment': {'name': 'ArrayExpress FTP file', 'value': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip'}}	NA	NA	NA	NA	NA	NA	{'name': 'L_0h untreated D12', 'label': 'biotin'}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E.MEXP.3521.H_0h.untreated.D13	E-MEXP-3521	NA	NA	NA	NA	NA	NA	HOMO_SAPIENS	Affymetrix Human Genome U133A Array (hgu133a)	True	99	Affymetrix SCAN	v1.4.7	NA	NA	https://www.ebi.ac.uk/arrayexpress/json/v3/experiments/E-MEXP-3521/samples	ARRAY_EXPRESS	dendritic cell	NA	0	E_0h untreated D13	NA	H_0h untreated D13	NA	dendritic cell	NA	Homo sapiens	blood	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E_0h untreated D13	NA	{'url': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip/050607_D13_0h_HG-U133A.CEL', 'name': '050607_D13_0h_HG-U133A.CEL', 'type': 'data', 'comment': {'name': 'ArrayExpress FTP file', 'value': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip'}}	NA	NA	NA	NA	NA	NA	{'name': 'L_0h untreated D13', 'label': 'biotin'}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E.MEXP.3521.H_0h.untreated.D2	E-MEXP-3521	NA	NA	NA	NA	NA	NA	HOMO_SAPIENS	Affymetrix Human Genome U133A Array (hgu133a)	True	99	Affymetrix SCAN	v1.4.7	NA	NA	https://www.ebi.ac.uk/arrayexpress/json/v3/experiments/E-MEXP-3521/samples	ARRAY_EXPRESS	dendritic cell	NA	0	E_0h untreated D2	NA	H_0h untreated D2	NA	dendritic cell	NA	Homo sapiens	blood	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E_0h untreated D2	NA	{'url': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip/D0_U133A_28_05_03.CEL', 'name': 'D0_U133A_28_05_03.CEL', 'type': 'data', 'comment': {'name': 'ArrayExpress FTP file', 'value': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip'}}	NA	NA	NA	NA	NA	NA	{'name': 'L_0h untreated D2', 'label': 'biotin'}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E.MEXP.3521.H_0h.untreated.D5	E-MEXP-3521	NA	NA	NA	NA	NA	NA	HOMO_SAPIENS	Affymetrix Human Genome U133A Array (hgu133a)	True	99	Affymetrix SCAN	v1.4.7	NA	NA	https://www.ebi.ac.uk/arrayexpress/json/v3/experiments/E-MEXP-3521/samples	ARRAY_EXPRESS	dendritic cell	NA	0	E_0h untreated D5	NA	H_0h untreated D5	NA	dendritic cell	NA	Homo sapiens	blood	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E_0h untreated D5	NA	{'url': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip/051503_D5_0h_HG-U133A.CEL', 'name': '051503_D5_0h_HG-U133A.CEL', 'type': 'data', 'comment': {'name': 'ArrayExpress FTP file', 'value': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip'}}	NA	NA	NA	NA	NA	NA	{'name': 'L_0h untreated D5', 'label': 'biotin'}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E.MEXP.3521.H_0h.untreated.D6	E-MEXP-3521	NA	NA	NA	NA	NA	NA	HOMO_SAPIENS	Affymetrix Human Genome U133A Array (hgu133a)	True	99	Affymetrix SCAN	v1.4.7	NA	NA	https://www.ebi.ac.uk/arrayexpress/json/v3/experiments/E-MEXP-3521/samples	ARRAY_EXPRESS	dendritic cell	NA	0	E_0h untreated D6	NA	H_0h untreated D6	NA	dendritic cell	NA	Homo sapiens	blood	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E_0h untreated D6	NA	{'url': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip/051603_D6_0h_HG-U133A.CEL', 'name': '051603_D6_0h_HG-U133A.CEL', 'type': 'data', 'comment': {'name': 'ArrayExpress FTP file', 'value': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip'}}	NA	NA	NA	NA	NA	NA	{'name': 'L_0h untreated D6', 'label': 'biotin'}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E.MEXP.3521.H_0h.untreated.D7	E-MEXP-3521	NA	NA	NA	NA	NA	NA	HOMO_SAPIENS	Affymetrix Human Genome U133A Array (hgu133a)	True	99	Affymetrix SCAN	v1.4.7	NA	NA	https://www.ebi.ac.uk/arrayexpress/json/v3/experiments/E-MEXP-3521/samples	ARRAY_EXPRESS	dendritic cell	NA	0	E_0h untreated D7	NA	H_0h untreated D7	NA	dendritic cell	NA	Homo sapiens	blood	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E_0h untreated D7	NA	{'url': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip/050903_D7_0h_HG-U1133A.CEL', 'name': '050903_D7_0h_HG-U1133A.CEL', 'type': 'data', 'comment': {'name': 'ArrayExpress FTP file', 'value': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip'}}	NA	NA	NA	NA	NA	NA	{'name': 'L_0h untreated D7', 'label': 'biotin'}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E.MEXP.3521.H_0h.untreated.D8	E-MEXP-3521	NA	NA	NA	NA	NA	NA	HOMO_SAPIENS	Affymetrix Human Genome U133A Array (hgu133a)	True	99	Affymetrix SCAN	v1.4.7	NA	NA	https://www.ebi.ac.uk/arrayexpress/json/v3/experiments/E-MEXP-3521/samples	ARRAY_EXPRESS	dendritic cell	NA	0	E_0h untreated D8	NA	H_0h untreated D8	NA	dendritic cell	NA	Homo sapiens	blood	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E_0h untreated D8	NA	{'url': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip/051703_D8_0h_HG-U133A.CEL', 'name': '051703_D8_0h_HG-U133A.CEL', 'type': 'data', 'comment': {'name': 'ArrayExpress FTP file', 'value': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip'}}	NA	NA	NA	NA	NA	NA	{'name': 'L_0h untreated D8', 'label': 'biotin'}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E.MEXP.3521.H_0h.untreated.M11	E-MEXP-3521	NA	NA	NA	NA	NA	NA	HOMO_SAPIENS	Affymetrix Human Genome U133A Array (hgu133a)	True	99	Affymetrix SCAN	v1.4.7	NA	NA	https://www.ebi.ac.uk/arrayexpress/json/v3/experiments/E-MEXP-3521/samples	ARRAY_EXPRESS	macrophage	NA	0	E_0h untreated M11	NA	H_0h untreated M11	NA	macrophage	NA	Homo sapiens	blood	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E_0h untreated M11	NA	{'url': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip/M11-0_U133A_10_12_04.CEL', 'name': 'M11-0_U133A_10_12_04.CEL', 'type': 'data', 'comment': {'name': 'ArrayExpress FTP file', 'value': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip'}}	NA	NA	NA	NA	NA	NA	{'name': 'L_0h untreated M11', 'label': 'biotin'}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E.MEXP.3521.H_0h.untreated.M12	E-MEXP-3521	NA	NA	NA	NA	NA	NA	HOMO_SAPIENS	Affymetrix Human Genome U133A Array (hgu133a)	True	99	Affymetrix SCAN	v1.4.7	NA	NA	https://www.ebi.ac.uk/arrayexpress/json/v3/experiments/E-MEXP-3521/samples	ARRAY_EXPRESS	macrophage	NA	0	E_0h untreated M12	NA	H_0h untreated M12	NA	macrophage	NA	Homo sapiens	blood	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E_0h untreated M12	NA	{'url': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip/050607_M12_0h_HG-U133A.CEL', 'name': '050607_M12_0h_HG-U133A.CEL', 'type': 'data', 'comment': {'name': 'ArrayExpress FTP file', 'value': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip'}}	NA	NA	NA	NA	NA	NA	{'name': 'L_0h untreated M12', 'label': 'biotin'}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
