GeneID	GSE16250_MTB_control	GSE17477_MTB_control	GSE19435_MTB_control	GSE19439_PTB_control	GSE19444_PTB_control	GSE19491_PTB_control	GSE29536_PTB_control	GSE34151_MTB_control	GSE54992_MTB_control	GSE139871_MTB_control	E-MEXP-3521_MTB4hD_control	E-MEXP-3521_MTB18hD_control	E-MEXP-3521_MTB48hD_control	E-MEXP-3521_MTB4hM_control	E-MEXP-3521_MTB18hM_control	E-MEXP-3521_MTB48hM_control
10007	0.5983732135832427	0.3523900376240112	0.05677893111937071	0	0	0	0.052515859759520334	0	0.07178304992062645	0	0.5889183404124745	0.8727435973566608	1.3510531532207435	0.8407497342582375	1.138497299409952	0.8622450994531046
1001	0	0	0.3612730724237805	0	0.8909449519868158	0	0	0	0	0	0	0	0.15797450553299752	0	0	0
10013	0.4900853827231596	0	0.05349466030420347	0	0	0	0	0	0	0	0	0	0	0	0	0
10038	1.1394454837490098	0	0.0071987739870900125	0.020485292541397193	0	0.02943932007735961	0.4447260401437929	0.027532684601979746	0.04441389183222322	0	0.47668314575374826	0.4139806563206097	0.2983295244775505	0.11273497206762118	0.48323955020407283	0.26783998739101944
10046	1.7491201041897946	0	0	0.6395218110369892	0.9489714759077166	0.08259893568483516	0.022760312694553586	0	0.6902391769572628	0.8660221794119982	0	0	0.6990531787097407	0	0	0
10049	0	0.10355445277603326	0.19946986156634328	0	0	0	0.04358376434391664	0	0.2972237027651359	0.2803029759723046	0.2008889013427546	0	0	0	0	0
10051	0.3232863284256884	0	0.25245848455713793	0	0.16826153097144503	0.15701638773068272	0.09056481956659734	0	0	0	0.4258979408717843	0	0	0	0.043076800625820866	0
10057	0	0.13113115202168013	0	0	0	0	0	0.02385653624224983	0	0	1.2768668636585505	1.3825515097113699	1.398415376010166	1.4315633123928257	2.5072853154353827	2.5108133512803303
10058	0	0	0	0	0	0	0.009700681944058376	0	0	0	0	0	0	0	0	0
10059	0	0	0.18914739708672723	0	0	0.005474588053294038	0.07151213970037368	0.007883106270885953	0.06407615765115393	0.1925671533129123	0.20431682144034968	0.062296344032604756	0.17855819922920624	0	0.004076395260771415	0.07117494065124319
10099	0	0	0	0	0	0.024033356580618115	0	0.07551538066644037	0.005312491425276067	0.07394102644823786	0	0	0.12651984453503218	0	0	0
10112	0	0	0.6436876621579277	0	0	0	0.045014246180268114	0	0	0.6761114144420657	0	0	0	0	0	0
10123	0	1.1347432354316414	0	0	0	0	0	0.015219968516962945	0	0.04014550213779358	0	0.4654846147338816	0.4263410977647375	0	0	0
10131	1.0207036618566123	0	0.07035394975275189	0	0.015519674717427545	0	0	0.005693216715642713	0	0	0.46493090844132656	0.3045324469426083	0	0.3292940918273384	1.6381539868439745	1.2540436418360166
10146	0	0.01028272319352519	0.06902000651868856	0	0.3541944702731099	0	0	0.012680584621351132	0.05351394098451345	0.34028741350952774	0.20555451859148777	0	0.27754966618243415	0.22044812383641466	0.24074325384496387	0.27945659660660827
10150	0	0	0	0.024583766201786983	0	0	0.07464205088349773	0	0	0	0	0	0	0.4786189749832771	0.4961736415543999	0.71356239103911
10153	0.7858483842419304	0	0.34931704527459306	0	0	0	0.0500835456443397	0.018569830495799966	0.07698922525093321	0.057560619596162876	0.4746143430041334	0.26448762014428695	0.3263215008890734	0.2704800549952113	0.09603376151195042	0
10165	0.06880439615935052	0.05098533618531054	0.0027113772646958356	0	0	0.03493399874697212	0.09560128631293485	0	0	0.24165423512189932	0	0.20496809477607092	0.7778293793566008	0	0	0
1017	0.3289345729466869	0	0.3572465114226242	0	0	0	0.06259431373505336	0	0.024727941058206637	0.09764166136054897	0	0	0	0	0	0
10174	0.6282358377201384	0	0	0	0.28682814281464586	0	0.07412291607019039	0	0.004579015756245086	0	0	0	0	0.06677761228202994	0.06163822224964932	0.02119479466829388
10180	2.1455302654924058	0	0	0.03993043015616249	0	0	0	0	0	0	0.01784825658586886	0	0	0	0	0
1019	0.2509033650917354	0	0.35725042788616834	0	0	0	0	0.006550721074247257	0.025488259770752197	0.19266013099981327	0	0.0073772657146498055	0.45797023026610606	0.12693894242813264	0.24637907157611738	0.43437216433603343
10190	0	0	0	1.3865327651692558	0	0	0	0.007398481981742644	0.1554083600987619	0.2248537205326142	0.2639037516027325	0	0.27255855006526897	0.09777703768368262	0.3484279776431447	0.5235136259982704
102	0	0.022084621079709432	0	0	0	0	0	0.004516404713753253	0	0	0.22214368403092277	0.5705501265337072	0.09612291627659353	0.197394850630221	0.24527136924838322	0.28672253019953553
10206	0	0	0.08259088145253513	0	0	0	0	0	0.004555894582339626	0.22903799938039948	0	0	0	0	0	0
1021	0.43211148927601184	0	0.3560716783138398	0	0	0	0.054607087365328266	0	0	0.37604426684501346	0	0	0	0	0.13246982091556436	0
1022	0.7012176785043769	0	0.3551891520842023	0	0	0	0.060740731291260674	0	0	0.20475260263797956	0	0	0	0	0	0
10221	0	0.9901917991566769	0.07574148569582961	0	0.009605299495059061	0	0.09017634739969482	0	0	0.2229140694393137	0	0	0	0.8844117513400258	0.4282749155916745	0.11201606042437451
