Ensembl	GeneID	Symbol	infected	control	AveExpr	F	P.Value	adj.P.Val	log2FoldChange
ENSG00000000457	57147	SCYL3	1.4824499452821938	1.4088311998574046	1.4395056771177333	1767.1306794596676	4.1902276768383756e-26	9.518215353401523e-25	0.07348462875597167
ENSG00000002919	29916	SNX11	3.3296902729573317	2.937445305910862	3.100880708846891	665.7788343718544	3.1016280473154535e-21	1.6796859915008867e-20	0.1808259948613269
ENSG00000003402	8837	CFLAR	16.20597905091353	12.962458881554117	14.31392561878721	61.3498182498857	5.37843851064258e-10	9.40198796130439e-10	0.32218676809684954
ENSG00000004864	10165	SLC25A13	5.271035635537895	4.458109988331311	4.796829008000719	1132.2524610257465	7.063943967596619e-24	7.423918265276018e-23	0.24165423512189932
ENSG00000004866	7982	ST7	1.8038171201221818	1.775575533494039	1.7873428612557651	1171.4420479768296	4.776804393354968e-24	5.306759295863028e-23	0.022766344140996098
ENSG00000005194	57019	CIAPIN1	1.5540034421608162	1.3748049778902909	1.4494710046696766	1670.1813063657692	8.033836571668968e-26	1.6547443248906922e-24	0.1767627188200166
ENSG00000006451	5898	RALA	4.053567384064577	4.043488001314542	4.047687744127057	3099.7679215934613	6.337917644357189e-29	5.5081415630959604e-27	0.0035917953694659666
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000006638	6915	TBXA2R	0.3397084942920076	0.30225953762893987	0.3178632695718847	21.775381195243718	4.715710063820489e-6	6.676148318291666e-6	0.16850942913313882
ENSG00000008282	6856	SYPL1	3.161686336877613	2.976735803395731	3.0537985256798477	1886.243314176898	1.973830643586884e-26	5.159562632381609e-25	0.08696306597454662
ENSG00000008283	1534	CYB561	1.3565581533573812	1.2342962567449869	1.2852387136668182	1024.8572412574727	2.2198705883351043e-23	2.0139596339163474e-22	0.1362621820121278
ENSG00000009335	9690	UBE3C	9.676354256420852	8.782670093436547	9.155038494680008	1406.6729507776186	5.813649569197578e-25	8.931707413812221e-24	0.13980397580411186
ENSG00000012963	55148	UBR7	2.8118674614115142	2.7208509933534017	2.758774521710947	1230.272179321146	2.718689153373985e-24	3.24840564052125e-23	0.04747064399956624
ENSG00000013619	10046	MAMLD1	2.230967105893649	1.2240369104982232	1.6435911585796505	118.26091335091229	6.642778952921079e-13	1.3756329016020157e-12	0.8660221794119982
ENSG00000015475	637	BID	5.675762868696087	3.6581364371078906	4.498814116936305	510.0003691783106	6.451371602827876e-20	2.7021643960484107e-19	0.6337054312580086
ENSG00000017260	27032	ATP2C1	4.04416311767106	3.3412701911771703	3.634142243882957	729.6272907321118	1.0896059031663393e-21	6.580102110608622e-21	0.2754445375678558
ENSG00000023041	64429	ZDHHC6	7.314940704091575	6.650171304051965	6.927158554068468	1686.920719234054	7.160917241431821e-26	1.5071842973208424e-24	0.13745466575742382
ENSG00000025772	10953	TOMM34	9.164642993812839	7.9698608974336755	8.467686770924995	479.0579391342949	1.3124873903986937e-19	5.223304111311131e-19	0.2015241378158108
ENSG00000026508	960	CD44	23.480994976924354	15.890227186023253	19.053047098898713	417.6773445848869	6.196544471368983e-19	2.244210601102296e-18	0.5633537907300461
ENSG00000028839	9519	TBPL1	5.294874573708755	4.592443128997205	4.885122897627017	570.386998674205	1.807736004520837e-20	8.328599056822134e-20	0.20533465402602147
ENSG00000043143	23338	JADE2	1.6337564142976857	1.5350407040516292	1.5761722499874857	70.26417955069243	1.4101353345415036e-10	2.54241042632791e-10	0.08991598874087459
ENSG00000049541	5982	RFC2	1.0475351717286185	0.9493278687603043	0.9902475783304353	608.3966777112947	8.670432536304004e-21	4.2631738433200814e-20	0.1420203431495028
ENSG00000052749	23223	RRP12	4.941963017255466	4.752358852334929	4.8313605877184855	559.0086458732624	2.2736319695508244e-20	1.0311684988804354e-19	0.05644043574999902
ENSG00000058063	23200	ATP11B	1.8786475947037014	1.7631908063959574	1.8112978015241836	468.26150816506106	1.699476166887409e-19	6.65769505697476e-19	0.09150585825078339
ENSG00000060558	2769	GNA15	9.035765710185883	7.117292123193028	7.916656117773384	493.3897833728845	9.394702524363758e-20	3.8347319558720143e-19	0.3443184119734486
ENSG00000061656	6676	SPAG4	0.16431716989168205	0.11596556564159874	0.1361120674124668	8.17229506053522	0.0020546242881738885	0.002549552752111245	0.5027867580409984
ENSG00000062725	10513	APPBP2	2.3376520998559718	2.332447399303524	2.3346160245337106	1157.7635542708567	5.4675620002209286e-24	5.958908849107049e-23	0.003215691137394172
ENSG00000063660	2817	GPC1	0.8044272212319095	0.6773712455255277	0.730311235403187	101.76509405035438	3.2171798557723536e-12	6.3974180988813304e-12	0.24801515663108276
ENSG00000064547	9170	LPAR2	2.9204094886152374	2.618058311676958	2.744037968734574	335.4587686426026	7.31931414035573e-18	2.2899108213822817e-17	0.15767344185030252
ENSG00000065361	2065	ERBB3	0.4175974051299509	0.35301405171593614	0.3799237823051088	92.74441495033037	8.426296636863614e-12	1.6288258239610295e-11	0.24238713622460817
ENSG00000065485	10954	PDIA5	2.94080649326685	2.8316555891914943	2.877135132556226	701.2197862238261	1.715422243667528e-21	9.822908991698911e-21	0.054566054340367875
ENSG00000065534	4638	MYLK	0.2980078227249866	0.2097676545895627	0.24653439131265598	96.66600728675226	5.490021725987544e-12	1.0747318734141686e-11	0.5065579652951233
ENSG00000065675	5588	PRKCQ	0.7631357018115433	0.6228425407625438	0.6812980245329602	254.25096901426843	1.6176239999962404e-16	4.4151443328208897e-16	0.2930721365515862
ENSG00000065911	10797	MTHFD2	9.40235311513202	7.792775300916286	8.463432723506173	797.481257005988	3.9398523081409347e-22	2.6286516023041157e-21	0.2708846455941756
ENSG00000066044	1994	ELAVL1	1.4676377366267226	1.2459859513290428	1.3383408618697423	774.8541555235845	5.477024321048176e-22	3.515152410437858e-21	0.2362081036044516
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000066583	51015	ISOC1	7.561258583534498	6.257021592800035	6.800453672272726	999.6566429399171	2.9544557548257786e-23	2.6031927399048537e-22	0.2731503105771558
ENSG00000066855	9650	MTFR1	2.874412574959703	2.713460851781431	2.7805240697723765	694.9578818494003	1.9005278857715903e-21	1.0718686007110271e-20	0.08313305748430544
ENSG00000067177	5255	PHKA1	0.8891776225363276	0.8227061799707944	0.8504026143730997	354.963402471313	3.878813657803119e-18	1.257104985118743e-17	0.11209436055071134
ENSG00000067334	30836	DNTTIP2	0.42347575882220323	0.3200683438535695	0.3631547667571669	13.98417031967189	1.0322433157188017e-4	1.3655018294658064e-4	0.4038993920541396
ENSG00000069974	5873	RAB27A	0.8601038933329576	0.8443537328700911	0.8509162997296186	674.6490605817941	2.6666834457173965e-21	1.4575476563828294e-20	0.02666340872998088
ENSG00000070081	4925	NUCB2	2.289490119378951	2.175112463242908	2.2227698199662576	167.47884005003266	1.5907727277479492e-14	3.6879495308514323e-14	0.07393634205992283
ENSG00000070495	23210	JMJD6	1.5104820680026636	1.4809405922027494	1.4932495404527137	775.204265430799	5.448786990515556e-22	3.499586343076695e-21	0.028495288710671418
ENSG00000070731	10610	ST6GALNAC2	1.5990300105326603	1.4235023895912615	1.4966388983168442	307.991792381291	1.9068346433606845e-17	5.709352850296318e-17	0.16775210062479362
ENSG00000070770	1459	CSNK2A2	2.891015165955013	2.793033925002366	2.8338594420659686	737.9990916407587	9.5636232104101e-22	5.8611099102674645e-21	0.04974307994018723
ENSG00000070831	998	CDC42	2.800040096966744	2.6195918550133115	2.6947786224939083	1169.60840556931	4.863635527307773e-24	5.390510303018949e-23	0.09610543645490544
ENSG00000071051	8440	NCK2	3.0220771738028285	2.2334183039580577	2.562026166393378	172.62505581204613	1.14476916319607e-14	2.6776843114106503e-14	0.4362870192358652
ENSG00000071054	9448	MAP4K4	1.704392174688722	1.559105691683749	1.619641726269154	329.30290029447525	9.010169632821717e-18	2.7867040734368625e-17	0.12853860128952688
ENSG00000071189	23161	SNX13	2.776718141356727	2.598748612218988	2.6729025826930455	2256.8567548694505	2.4865281440713595e-27	9.325272428211569e-26	0.09556365708328562
ENSG00000072506	3028	HSD17B10	3.521445891978205	3.4946701871669075	3.505826730838282	601.4324227554628	9.885890931125223e-21	4.80016163864014e-20	0.01101160917194477
ENSG00000072682	8974	P4HA2	1.0698341417108392	1.0411287576567991	1.0530893343459824	161.97424452196577	2.2859521919570463e-14	5.2453961442880314e-14	0.03923865086754307
ENSG00000072786	6793	STK10	3.4652982653950852	3.0688296375101523	3.234024899128874	319.6673387295299	1.257022098700602e-17	3.8339011225843794e-17	0.17529097495678791
ENSG00000073756	5743	PTGS2	51.11857980851008	24.23920891692976	35.43894678842155	44.85565529877928	1.054842739300496e-8	1.7207131317360635e-8	1.0765051404068888
ENSG00000073792	10644	IGF2BP2	1.4018483457574926	1.399261258915863	1.400339211766542	2511.077686342686	7.241648236729367e-28	3.509368297766462e-26	0.0026649285067689155
ENSG00000074266	8726	EED	1.6097561060912366	1.4024372803168814	1.4888201243895292	1305.2216660557592	1.3765464870448083e-24	1.8410234447972358e-23	0.19890587019593142
ENSG00000077147	56889	TM9SF3	7.530582916891135	7.0457428678068	7.247759554925274	2316.2799489078175	1.8414942363263886e-27	7.289222227556152e-26	0.09600971826417437
ENSG00000077150	4791	NFKB2	2.139629684862157	1.4397978324493734	1.7313944376213661	66.47324683633448	2.4454963145098745e-10	4.3455808962831267e-10	0.5714948731141745
ENSG00000077238	3566	IL4R	2.4021682142664083	2.3037152224858604	2.344737302394422	860.1942343240211	1.655561672182698e-22	1.1985606424373504e-21	0.06037479406287294
ENSG00000077721	7319	UBE2A	4.183667559137378	3.908622369692117	4.023224531960976	3288.725947406807	3.195738562138086e-29	3.1624384292216892e-27	0.09810801146487802
ENSG00000078142	5289	PIK3C3	2.8848107561837266	2.7769843066565456	2.821911993959537	1948.7198985763143	1.3550162567151616e-26	3.7500990456116906e-25	0.054957656869068616
ENSG00000078401	1906	EDN1	2.6179515104578996	2.1798034530015578	2.362365143608366	108.19542426464692	1.6952414003346743e-12	3.430686154036969e-12	0.2642403190733065
ENSG00000079819	2037	EPB41L2	1.0777427740537233	1.0213143334654415	1.0448261837105588	361.93420866966596	3.116640901143422e-18	1.0234680215243988e-17	0.07758593187490644
ENSG00000079999	9817	KEAP1	3.164254545012858	2.932865202798778	3.0292774287213105	1453.3561723404232	3.9912098493851902e-25	6.460548066853608e-24	0.10955489549301434
ENSG00000080371	23011	RAB21	9.666256514862212	7.737516512804828	8.54115818032874	423.42788367363585	5.309261654929531e-19	1.938963102758572e-18	0.32108669706530923
ENSG00000080823	5891	MOK	0.9767044353950844	0.8281721312278627	0.8900605912975382	205.58826514550634	1.6925136125639351e-15	4.21999582925109e-15	0.23799139279353912
ENSG00000081041	2920	CXCL2	29.92321261542799	10.097727959646317	18.358346566222014	42.62782839366089	1.683476650661027e-8	2.7170041853195715e-8	1.5672343584001722
ENSG00000083168	7994	KAT6A	4.388296778777331	4.232156540803689	4.297214973292706	321.3505796002837	1.1851687534775511e-17	3.623665387758443e-17	0.05226810648032387
ENSG00000083828	54807	ZNF586	3.2360207306594018	2.9194848533819533	3.0513748022475564	1112.9296100530707	8.609501716354217e-24	8.762791029540817e-23	0.14850702373417346
ENSG00000083845	6193	RPS5	34.806257730034595	34.04476031284333	34.362050903339686	220.60223278868693	7.787606273344964e-16	1.9975354274648288e-15	0.03191393178509383
ENSG00000084652	200081	TXLNA	7.46483258437314	7.393823721513493	7.423410747705012	1063.8428583075356	1.4457454893019342e-23	1.3852806250626183e-22	0.013789256860896604
ENSG00000085511	4216	MAP3K4	3.679624660915929	2.476241989522885	2.9776514359366533	280.11309601004206	5.503760142187705e-17	1.5773248828036605e-16	0.5714063039829509
ENSG00000085872	10523	CHERP	2.001225589659021	1.8983980565845529	1.941242862032248	399.07329373223035	1.0365951322757275e-18	3.647130050098287e-18	0.07610127655453736
ENSG00000087470	10059	DNM1L	3.766578024155588	3.295933790382089	3.49203555445438	1188.6404164605383	4.0396362387430535e-24	4.5631420956775254e-23	0.1925671533129123
ENSG00000089022	8550	MAPKAPK5	5.37927989737402	4.882739671202565	5.089631432107336	1986.6085907519548	1.0848996045539887e-26	3.1122479277046945e-25	0.13972219680303022
ENSG00000089159	5829	PXN	1.0263100586204683	1.0151378371257573	1.0197929294152204	283.4861899874061	4.8158729987665115e-17	1.3882918098769754e-16	0.01579101724531209
ENSG00000090339	3383	ICAM1	7.4489298866072495	4.2389904815824435	5.576465233676112	91.07889172489767	1.0157423263719669e-11	1.9524004954470385e-11	0.8133124559617526
ENSG00000091140	1738	DLD	8.085434527567404	8.027020379542009	8.05135960788592	339.3941049623551	6.420992908183081e-18	2.0231066886090694e-17	0.010460748704243628
ENSG00000092010	5720	PSME1	7.306054620283089	7.215812825084879	7.253413573084132	2144.741232699774	4.4796745896455346e-27	1.4965290203593139e-25	0.01793062314857785
ENSG00000092020	55012	PPP2R3C	7.019697247938876	6.8457225027379325	6.918211979904992	1588.6020727466757	1.4312556934808662e-25	2.711901375129635e-24	0.03620599732596075
ENSG00000095066	29911	HOOK2	0.7412616105364418	0.7153968798013268	0.726173850940958	103.33069999099152	2.743492731941669e-12	5.4823299527142535e-12	0.05123897102918429
